artist,cprog,C_1,C_2,C_3,C_4,song,energy,genres,key,popularity,release_date,tempo,valence,release_year
Sebastian Ingrosso and Alesso,4.5.6.2,4,5 ,6  ,2   ,Calling - Lose My Mind,0.871,"[u'big room', u'deep big room', u'edm', u'electro house', u'house', u'progressive electro house', u'progressive house', u'tropical house']",1,54,2012-03-13,125.043,0.132,2012
Shoji Meguro,4.5.6.2,4,5 ,6  ,2   ,Persona 4 - Reach Out To The Truth,0.801,[],4,12,2016-07-15,84.96,0.299,2016
Stephen,4.5.6.2,4,5 ,6  ,2   ,Crossfire,0.558,"[u'bass trap', u'indie poptimism']",5,63,2015-12-07,73.552,0.191,2015
They Might Be Giants,4.5.6.2,4,5 ,6  ,2   ,Experimental Film,0.663,"[u'alternative rock', u'anti-folk', u'comic', u'dance rock', u'geek rock', u'indie christmas', u'permanent wave', u'pop christmas', u'pop rock', u'zolo']",7,23,2004-07-13,132.861,0.772,2004
Tik Tok,4.5.6.2,4,5 ,6  ,2   ,Kesha,0.832,"[u'dance pop', u'pop', u'pop rap', u'post-teen pop', u'teen pop', u'viral pop']",2,65,2010,120.032,0.719,2010
ToFox,4.5.6.2,4,5 ,6  ,2   ,Hopes and Dreams,0.631,"[u'dwn trap', u'pop rap', u'rap', u'southern hip hop', u'trap music']",0,52,2011-03-29,140.726,0.54,2011
ZUN,4.5.6.2,4,5 ,6  ,2   ,Onigashima in Fairy Land - Missing Power,NA,NA,NA,NA,NA,NA,NA,NA
Amy Diamond,1.6.2.5,1,6 ,2  ,5   ,Stay My Baby,0.285,"[u'freak folk', u'indie pop', u'indie r&b', u'indie rock', u'indietronica', u'neo-psychedelic', u'noise pop']",4,51,2014-04-01,89.875,0.633,2014
Aqua,1.6.2.5,1,6 ,2  ,5   ,Barbie Girl,0.948,"[u'bubblegum dance', u'dance pop', u'eurodance', u'europop', u'pop', u'pop christmas']",1,54,2009-01-01,129.967,0.91,2009
Barry Mann,1.6.2.5,1,6 ,2  ,5   ,Who Put the Bomp,0.667,"[u'brill building pop', u'doo-wop', u'rock-and-roll']",0,33,2015-03-13,86.13,0.844,2015
Beyonce,1.6.2.5,1,6 ,2  ,5   ,Drunk In Love - Meikal Remix,NA,NA,NA,NA,NA,NA,NA,NA
Billy Joel,1.6.2.5,1,6 ,2  ,5   ,Uptown Girl,0.943,"[u'adult standards', u'album rock', u'classic rock', u'folk rock', u'hard rock', u'mellow gold', u'neo mellow', u'piano rock', u'pop rock', u'rock', u'singer-songwriter', u'soft rock']",4,66,1973,129.003,0.817,1973
Danny Baranowsky,1.6.2.5,1,6 ,2  ,5   ,McLarty Party People,0.959,"[u'deep chiptune', u'otacore', u'scorecore', u'video game music']",8,17,2011-11-25,132.984,0.662,2011
Disclosure,1.6.2.5,1,6 ,2  ,5   ,Magnets ft Lorde,0.592,[],10,8,2016-05-20,91.985,0.634,2016
Dung Truong,1.6.2.5,1,6 ,2  ,5   ,Allusion World,NA,NA,NA,NA,NA,NA,NA,NA
Dusty Springfield,1.6.2.5,1,6 ,2  ,5   ,You Don't Have to Say You Love Me,0.517,"[u'adult standards', u'brill building pop', u'british invasion', u'christmas', u'classic rock', u'disco', u'folk', u'folk rock', u'jazz blues', u'mellow gold', u'memphis soul', u'motown', u'new wave pop', u'rock-and-roll', u'singer-songwriter', u'soul', u'soul christmas', u'southern soul', u'traditional folk', u'vocal jazz']",2,44,1966-07,112.09,0.612,1966
Garbage,1.6.2.5,1,6 ,2  ,5   ,Special,0.609,[u'pop'],0,81,2015-01-12,114.988,0.932,2015
Grace Phipps,1.6.2.5,1,6 ,2  ,5   ,Teen Beach Movie - Falling For Ya,0.887,[],11,39,2013-01-01,129.973,0.965,2013
Horimitsu Kazumichi,1.6.2.5,1,6 ,2  ,5   ,Come Here Daitarn 3,NA,NA,NA,NA,NA,NA,NA,NA
Jacksfilms,1.6.2.5,1,6 ,2  ,5   ,Valentine's Day is a Lie,0.656,[],5,0,2015-01-23,159.934,0.359,2015
Judy Garland,1.6.2.5,1,6 ,2  ,5   ,Over The Rainbow,0.153,[u'hawaiian'],0,56,2001-09-25,85.6,0.661,2001
Justin Bieber,1.6.2.5,1,6 ,2  ,5   ,Boyfriend,0.554,"[u'canadian pop', u'dance pop', u'pop', u'pop christmas', u'post-teen pop']",1,61,2012-06-19,96.972,0.362,2012
Maktone,1.6.2.5,1,6 ,2  ,5   ,Class05,NA,NA,NA,NA,NA,NA,NA,NA
Mariah Carey,1.6.2.5,1,6 ,2  ,5   ,Honey,0.849,"[u'contemporary country', u'country', u'country christmas', u'country road', u'pop christmas']",4,65,2011-07-11,205.57,0.722,2011
Marina and the Diamonds,1.6.2.5,1,6 ,2  ,5   ,Primadonna,0.689,"[u'dance pop', u'metropopolis', u'pop', u'post-teen pop']",4,57,2012-04-30,127.98,0.416,2012
Maroon 5,1.6.2.5,1,6 ,2  ,5   ,This Love,0.849,"[u'dance pop', u'pop', u'pop christmas']",5,65,2002-06-25,95.041,0.775,2002
Queen,1.6.2.5,1,6 ,2  ,5   ,Play The Game,0.657,"[u'alternative emo', u'emo', u'pop punk', u'pop rock', u'screamo']",11,48,2003-06-17,98.245,0.441,2003
Rilo Kiley,1.6.2.5,1,6 ,2  ,5   ,Breakin' Up,0.775,"[u'anti-folk', u'chamber pop', u'folk-pop', u'indie folk', u'indie pop', u'indie rock', u'la indie', u'lilith', u'lo-fi', u'pop rock', u'singer-songwriter', u'stomp and holler']",9,36,2007-08-20,115.036,0.478,2007
The Beach Boys,1.6.2.5,1,6 ,2  ,5   ,Wouldn't It Be Nice,0.629,"[u'album rock', u'brill building pop', u'classic rock', u'folk rock', u'mellow gold', u'pop christmas', u'psychedelic rock', u'rock', u'singer-songwriter', u'soft rock']",5,68,1966-06-16,124.511,0.71,1966
The Beatles,1.6.2.5,1,6 ,2  ,5   ,Wait,0.694,"[u'crunk', u'deep trap', u'dirty south rap', u'dwn trap', u'gangster rap', u'hip hop', u'memphis hip hop', u'pop rap', u'rap', u'southern hip hop', u'trap music']",7,67,2016-09-02,130.023,0.927,2016
The Beatles,1.6.2.5,1,6 ,2  ,5   ,The Fool on the Hill,0.26,"[u'british invasion', u'classic rock', u'merseybeat', u'protopunk', u'psychedelic rock', u'rock']",4,49,1967-11-27,144.184,0.496,1967
The Beatles,1.6.2.5,1,6 ,2  ,5   ,I Will,0.752,"[u'folk-pop', u'indie folk', u'indie pop', u'neo mellow', u'singer-songwriter']",1,66,2012-09-25,131.221,0.432,2012
The Beatles,1.6.2.5,1,6 ,2  ,5   ,Lady Madonna,0.777,"[u'british invasion', u'classic rock', u'merseybeat', u'protopunk', u'psychedelic rock', u'rock']",2,51,2000-11-13,109.608,0.582,2000
The Four Seasons,1.6.2.5,1,6 ,2  ,5   ,Sherry,0.471,"[u'adult standards', u'brill building pop', u'bubblegum pop', u'christmas', u'doo-wop', u'folk rock', u'motown', u'rock-and-roll']",0,58,2003-01-14,117.564,0.703,2003
The Legend of Zelda,1.6.2.5,1,6 ,2  ,5   ,Lost Woods,0.714,[],0,43,2013-11-07,153.994,0.568,2013
The Muppets,1.6.2.5,1,6 ,2  ,5   ,Mah Na Mah Na,0.442,[],4,33,2011-11-21,93.548,0.563,2011
Timothy Bishop,1.6.2.5,1,6 ,2  ,5   ,Hang In There,0.848,"[u'chicago soul', u'disco', u'motown', u'quiet storm', u'soul']",7,38,2009-03-31,96.173,0.638,2009
Tom Hanks,1.6.2.5,1,6 ,2  ,5   ,Big soundtrack,0.859,"[u'emo', u'pop', u'pop punk', u'pop rock']",11,52,2014-11-04,108.014,0.78,2014
Traditional,1.6.2.5,1,6 ,2  ,5   ,Bingo,0.98,"[u'big room', u'brostep', u'deep big room', u'disco house', u'dutch house', u'edm', u'electro house', u'electronic trap', u'house', u'moombahton', u'progressive electro house', u'progressive house', u'tropical house']",7,50,2013-03-12,127.975,0.77,2013
Weezer,1.6.2.5,1,6 ,2  ,5   ,Island in the Sun,0.778,"[u'alternative metal', u'alternative rock', u'garage rock', u'indie christmas', u'indie pop', u'indie rock', u'permanent wave', u'pop christmas', u'pop punk', u'pop rock', u'post-grunge', u'punk christmas', u'rock']",4,67,2001-05-15,114.647,0.784,2001
Wham,1.6.2.5,1,6 ,2  ,5   ,Last Christmas,0.645,"[u'boy band', u'dance pop', u'dance rock', u'disco', u'europop', u'mellow gold', u'new romantic', u'new wave', u'new wave pop', u'pop christmas', u'soft rock', u'soul christmas', u'synthpop']",11,65,2013-09-20,106.753,0.881,2013
Yoko Takahashi,1.6.2.5,1,6 ,2  ,5   ,A Cruel Angel's Thesis,0.795,[u'otacore'],8,37,2016-03-30,128.227,0.917,2016
Yotam Perel,1.6.2.5,1,6 ,2  ,5   ,Did You Slip,0.734,[],7,0,2014,91.467,0.191,2014
3LAU,6.1.4.5,6,1 ,4  ,5   ,How You Love Me,0.803,"[u'big room', u'brostep', u'deep big room', u'edm', u'electro house', u'electronic trap', u'mashup', u'progressive electro house', u'progressive house', u'tropical house']",1,53,2014-03-25,127.927,0.289,2014
Adam Lambert,6.1.4.5,6,1 ,4  ,5   ,Whataya Want from Me,0.683,"[u'dance pop', u'idol', u'pop', u'post-teen pop', u'viral pop']",11,58,2009-11-20,185.948,0.451,2009
Archie,6.1.4.5,6,1 ,4  ,5   ,Famous,0.741,"[u'pop', u'pop christmas', u'pop rap', u'rap']",6,78,2016-06-15,174.1,0.429,2016
Archie feat Brenton Mattheus,6.1.4.5,6,1 ,4  ,5   ,Kingdom,0.492,"[u'fingerstyle', u'folk-pop', u'indie folk', u'neo mellow', u'pop', u'singer-songwriter']",8,66,2011-01-01,80.444,0.332,2011
Area 11,6.1.4.5,6,1 ,4  ,5   ,Heaven Piercing Giga Drill,0.983,"[u'antiviral pop', u'neo-industrial rock', u'otacore']",6,41,2013-01-31,94.993,0.315,2013
Armin van Buuren,6.1.4.5,6,1 ,4  ,5   ,Sound Of The Drums,0.592,"[u'big room', u'deep big room', u'edm', u'electro house', u'progressive house', u'progressive trance', u'trance', u'tropical house']",8,40,2013-05-03,131.862,0.321,2013
Associates,6.1.4.5,6,1 ,4  ,5   ,Party Fears Two,0.874,"[u'dance rock', u'new romantic', u'new wave', u'new wave pop', u'post-punk', u'uk post-punk']",7,14,1982-10-03,128.374,0.635,1982
Au5,6.1.4.5,6,1 ,4  ,5   ,Singularity,0.907,"[u'death core', u'deep melodic metalcore', u'djent', u'melodic metalcore', u'metalcore', u'rap metal', u'screamo']",8,47,2013-02-22,109.997,0.276,2013
Avicii vs Nicky Romero,6.1.4.5,6,1 ,4  ,5   ,I Could Be The One,0.79,"[u'big room', u'dance pop', u'edm', u'electro house', u'pop', u'tropical house']",6,62,2013-04-30,127.946,0.606,2013
Banks,6.1.4.5,6,1 ,4  ,5   ,Brain,0.641,"[u'dance pop', u'pop', u'pop christmas', u'r&b', u'soul christmas', u'urban contemporary']",4,71,2016-01-29,171.957,0.385,2016
blur,6.1.4.5,6,1 ,4  ,5   ,Coffee and TV,0.781,"[u'alternative dance', u'alternative rock', u'britpop', u'classic rock', u'dance rock', u'electronic', u'funk rock', u'garage rock', u'indie rock', u'neo-psychedelic', u'new wave', u'permanent wave', u'pop rock', u'rock']",1,57,1998-03-15,121.614,0.965,1998
Brad Breek,6.1.4.5,6,1 ,4  ,5   ,Gravity Falls Title Theme,0.898,[u'otacore'],2,43,2013-03-12,166.144,0.908,2013
Broiler ft RAVVEL,6.1.4.5,6,1 ,4  ,5   ,Wild Eyes,0.99,"[u'alternative metal', u'groove metal', u'melodic metalcore', u'metalcore', u'nu metal', u'rap metal', u'screamo']",6,55,2012-10-30,110.313,0.212,2012
Bruce Springsteen,6.1.4.5,6,1 ,4  ,5   ,Dancing in the Dark,0.942,"[u'classic rock', u'folk-pop', u'mellow gold', u'permanent wave', u'pop christmas', u'rock', u'singer-songwriter', u'soft rock']",1,69,1984-08-21,148.723,0.486,1984
Buddy Holly,6.1.4.5,6,1 ,4  ,5   ,Maybe Baby,0.702,"[u'indie anthem-folk', u'indie poptimism', u'vapor pop', u'vapor soul']",8,0,2016-11-09,204.054,0.914,2016
Carly Simon,6.1.4.5,6,1 ,4  ,5   ,With A Few Good Friends,NA,NA,NA,NA,NA,NA,NA,NA
Circus-P,6.1.4.5,6,1 ,4  ,5   ,Last of Me,0.694,"[u'afrobeats', u'azontobeats']",6,58,2016-09-30,104.747,0.644,2016
Cool Joke,6.1.4.5,6,1 ,4  ,5   ,Undo-Full-Metal-Alchemist-FMA-OP3,NA,NA,NA,NA,NA,NA,NA,NA
Counting Crows,6.1.4.5,6,1 ,4  ,5   ,Round Here,0.956,"[u'contemporary country', u'country road', u'dwn trap', u'modern country rock']",1,66,2012-01-01,141.977,0.887,2012
Cro,6.1.4.5,6,1 ,4  ,5   ,Einmal Um Die Welt,0.891,"[u'deep german hip hop', u'deep german pop rock', u'german hip hop', u'german pop', u'tropical house']",9,55,2013-07-05,159.973,0.975,2013
Dawid Podsiadlo,6.1.4.5,6,1 ,4  ,5   ,Trojkaty i Kwadraty,0.716,"[u'polish pop', u'talent show']",4,44,2013-05-27,124.961,0.748,2013
Dj Encore feat Engelina,6.1.4.5,6,1 ,4  ,5   ,I See Right Through To You,0.844,[u'eurodance'],10,36,2002-01-29,140.014,0.278,2002
Dj Sammy,6.1.4.5,6,1 ,4  ,5   ,Heaven,0.698,"[u'dance pop', u'pop']",5,77,2012-12-07,143.994,0.871,2012
Douglas Firs,6.1.4.5,6,1 ,4  ,5   ,Shimmer and Glow,0.415,[u'belgian rock'],4,2,2013-07-23,130.288,0.158,2013
Drake,6.1.4.5,6,1 ,4  ,5   ,Marvin's Room,0.273,[u'deep pop r&b'],5,34,2011-10-28,166.661,0.317,2011
Eisley,6.1.4.5,6,1 ,4  ,5   ,Drink The Water,0.584,"[u'folk-pop', u'neo mellow', u'pop rock']",8,44,2011-04-12,191.131,0.71,2011
Eisley,6.1.4.5,6,1 ,4  ,5   ,Go Away,0.643,"[u'album rock', u'art rock', u'dance rock', u'disco', u'europop', u'mellow gold', u'new romantic', u'new wave', u'new wave pop', u'soft rock', u'soul christmas', u'synthpop']",5,42,2002-10-14,164.256,0.705,2002
Ellie Goulding,6.1.4.5,6,1 ,4  ,5   ,Guns And Horses,0.821,"[u'dance pop', u'metropopolis', u'pop', u'post-teen pop', u'tropical house']",4,39,2010,144.043,0.84,2010
Eve 6,6.1.4.5,6,1 ,4  ,5   ,Promise,0.469,"[u'dance pop', u'dwn trap', u'hip hop', u'pop', u'pop rap', u'r&b', u'rap', u'southern hip hop', u'trap music']",8,74,2015-12-25,103.057,0.475,2015
Gemini,6.1.4.5,6,1 ,4  ,5   ,Fire Inside Mr FijiWiji Remix,NA,NA,NA,NA,NA,NA,NA,NA
Go West,6.1.4.5,6,1 ,4  ,5   ,King Of Wishful Thinking,0.868,"[u'dance rock', u'mellow gold', u'new romantic', u'new wave', u'new wave pop', u'soft rock', u'synthpop']",0,54,1992-11-14,107.885,0.918,1992
Grum,6.1.4.5,6,1 ,4  ,5   ,Heartbeats,0.177,"[u'chamber pop', u'folk christmas', u'folk-pop', u'indie folk', u'indie pop', u'neo mellow', u'stomp and holler']",3,64,2006,88.409,0.295,2006
IDA,6.1.4.5,6,1 ,4  ,5   ,Maybe I Like It,0.24,"[u'broadway', u'show tunes']",3,27,1999-11-15,107.069,0.122,1999
Imposs Ft J Perry,6.1.4.5,6,1 ,4  ,5   ,You're On My Mind,0.126,[u'acoustic pop'],7,43,2016-09-24,86.572,0.252,2016
Iron Maiden,6.1.4.5,6,1 ,4  ,5   ,Blood Brothers,0.723,"[u'contemporary country', u'country', u'country christmas', u'country road', u'dwn trap']",6,47,2013-01-01,80.981,0.56,2013
Jenny Owen Youngs,6.1.4.5,6,1 ,4  ,5   ,Hot In Herre,0.736,"[u'dance pop', u'dirty south rap', u'dwn trap', u'gangster rap', u'hip hop', u'hip pop', u'pop', u'pop rap', u'r&b', u'rap', u'southern hip hop', u'urban contemporary']",9,64,2002-01-01,107.07,0.912,2002
Jimmy Barnes,6.1.4.5,6,1 ,4  ,5   ,Working Class Man,0.944,"[u'australian pop', u'kiwi rock']",11,49,2010-07-02,138.322,0.389,2010
Justin Bieber,6.1.4.5,6,1 ,4  ,5   ,Beauty And A Beat,0.83,"[u'canadian pop', u'dance pop', u'pop', u'pop christmas', u'post-teen pop']",0,59,2012-01-01,127.965,0.626,2012
Katy Perry,6.1.4.5,6,1 ,4  ,5   ,Part Of Me,0.918,"[u'dance pop', u'pop', u'pop christmas', u'post-teen pop']",5,67,2012-03-12,130.028,0.769,2012
Katy Perry,6.1.4.5,6,1 ,4  ,5   ,ET,0.655,"[u'dwn trap', u'pop']",1,83,2016-08-05,84.849,0.628,2016
Kygo feat Conrad,6.1.4.5,6,1 ,4  ,5   ,Firestone,0.652,"[u'edm', u'minimal dub', u'pop', u'tropical house']",11,78,2016-05-13,113.055,0.404,2016
Labrinth feat Emeli Sande,6.1.4.5,6,1 ,4  ,5   ,Beneath Your Beautiful,0.522,"[u'dance pop', u'pop', u'pop rap', u'post-teen pop', u'tropical house']",2,57,2012,83.977,0.249,2012
Madeon,6.1.4.5,6,1 ,4  ,5   ,Pop Culture,0.943,"[u'alternative emo', u'anthem emo']",11,40,2014-06-03,139.57,0.137,2014
Madonna,6.1.4.5,6,1 ,4  ,5   ,Material Girl,0.883,"[u'dance pop', u'europop', u'new wave pop', u'pop', u'pop rock']",0,64,2009-09-18,136.506,0.977,2009
Metro Station,6.1.4.5,6,1 ,4  ,5   ,Shake It,0.808,"[u'folk-pop', u'pop']",10,63,2011-11-01,107.505,0.255,2011
MitiS,6.1.4.5,6,1 ,4  ,5   ,Innocent Discretion,0.726,"[u'brostep', u'catstep', u'chillstep', u'complextro', u'edm', u'electro house', u'filthstep', u'tracestep', u'zapstep']",5,34,2013-04-18,172.014,0.203,2013
Muse,6.1.4.5,6,1 ,4  ,5   ,Time Is Running Out,0.842,"[u'alternative rock', u'indie rock', u'permanent wave', u'piano rock', u'post-grunge', u'rock']",9,64,2004-03-23,118.211,0.437,2004
Nadia Ali,6.1.4.5,6,1 ,4  ,5   ,Pressure,0.696,"[u'dwn trap', u'hip hop', u'pop rap', u'rap', u'trap music']",11,68,2014-10-21,127.023,0.131,2014
Nicki Minaj,6.1.4.5,6,1 ,4  ,5   ,Va Va Voom,0.83,"[u'dance pop', u'dwn trap', u'hip pop', u'pop', u'pop rap', u'rap']",8,51,2012-05-14,126.813,0.678,2012
Nicki Minaj,6.1.4.5,6,1 ,4  ,5   ,Turn Me On,0.774,"[u'dance pop', u'edm', u'indie poptimism', u'pop', u'post-teen pop', u'tropical house']",1,86,2016-04-13,102.924,0.289,2016
Nintendo,6.1.4.5,6,1 ,4  ,5   ,Super Smash Bros Melee - Onett,NA,NA,NA,NA,NA,NA,NA,NA
Obadiah Parker,6.1.4.5,6,1 ,4  ,5   ,Hey Ya,0.97,"[u'dirty south rap', u'hip hop', u'pop rap', u'rap', u'southern hip hop']",0,70,2003,79.504,0.964,2003
Paramore,6.1.4.5,6,1 ,4  ,5   ,Pressure,0.696,"[u'dwn trap', u'hip hop', u'pop rap', u'rap', u'trap music']",11,68,2014-10-21,127.023,0.131,2014
Peter Paul and Mary,6.1.4.5,6,1 ,4  ,5   ,Blowin' In The Wind,0.0993,"[u'album rock', u'classic rock', u'folk', u'folk christmas', u'folk rock', u'folk-pop', u'mellow gold', u'rock', u'roots rock', u'singer-songwriter']",2,66,1963-05-27,174.874,0.447,1963
Pink,6.1.4.5,6,1 ,4  ,5   ,Who Knew,0.787,"[u'dwn trap', u'hip hop', u'pop rap', u'rap', u'trap music']",3,55,2015-07-31,91.026,0.572,2015
Project 46,6.1.4.5,6,1 ,4  ,5   ,Reasons,0.424,"[u'dance pop', u'pop', u'pop christmas', u'post-teen pop']",0,70,2016-10-21,129.911,0.14,2016
Regina Spektor,6.1.4.5,6,1 ,4  ,5   ,Samson,0.193,"[u'acoustic pop', u'anti-folk', u'chamber pop', u'folk-pop', u'indie folk', u'indie pop', u'neo mellow', u'piano rock', u'pop', u'pop rock']",11,53,2006-06-13,89.154,0.186,2006
Rex Preston and Miranda Sykes,6.1.4.5,6,1 ,4  ,5   ,Me And My Sister The Moon,NA,NA,NA,NA,NA,NA,NA,NA
Riviera The Promised Land,6.1.4.5,6,1 ,4  ,5   ,All You Have To Do Is Practice,NA,NA,NA,NA,NA,NA,NA,NA
Rush,6.1.4.5,6,1 ,4  ,5   ,Subdivisions,0.838,"[u'album rock', u'alternative rock', u'art rock', u'canadian metal', u'classic rock', u'hard rock', u'mellow gold', u'metal', u'progressive rock', u'psychedelic rock', u'rock', u'soft rock']",11,43,1982-09-09,133.287,0.435,1982
Ryn Weaver,6.1.4.5,6,1 ,4  ,5   ,The Fool,0.659,"[u'indie poptimism', u'indietronica', u'pop', u'shimmer pop']",6,56,2015-06-16,80.027,0.374,2015
Sara Bareilles,6.1.4.5,6,1 ,4  ,5   ,King of Anything,0.762,"[u'acoustic pop', u'dance pop', u'folk christmas', u'folk-pop', u'lilith', u'neo mellow', u'pop', u'pop christmas', u'pop rock', u'post-teen pop', u'singer-songwriter', u'viral pop']",1,58,2010-09-06,119.003,0.819,2010
Sarah Blasko,6.1.4.5,6,1 ,4  ,5   ,Flame Trees,0.659,[u'australian pop'],9,45,2011-10-31,120.361,0.621,2011
Sex Whales,6.1.4.5,6,1 ,4  ,5   ,Rainbow,0.153,[u'hawaiian'],0,56,2001-09-25,85.6,0.661,2001
Shinedown,6.1.4.5,6,1 ,4  ,5   ,Second Chance,0.796,"[u'alternative metal', u'alternative rock', u'heavy christmas', u'nu metal', u'post-grunge', u'rap metal', u'rap rock', u'rock']",0,64,2008-06-24,100.011,0.18,2008
Sigala,6.1.4.5,6,1 ,4  ,5   ,Say You Do,0.917,"[u'dance pop', u'edm', u'house', u'pop', u'tropical house']",7,67,2016-03-18,174.01,0.588,2016
Split Enz,6.1.4.5,6,1 ,4  ,5   ,I Got You,0.887,"[u'dance pop', u'pop', u'post-teen pop']",9,74,2016-10-28,97.99,0.303,2016
Stephen,6.1.4.5,6,1 ,4  ,5   ,Crossfire,0.558,"[u'bass trap', u'indie poptimism']",5,63,2015-12-07,73.552,0.191,2015
Stone Sour,6.1.4.5,6,1 ,4  ,5   ,Through Glass,0.701,"[u'dance pop', u'pop', u'pop rock', u'post-teen pop', u'r&b']",7,76,2016-04-15,162.958,0.488,2016
