 "menuid"   "year"   "price"   "avgwordlen"   "numwords"   "numitems"   "adj"   "choice"   "person"   "traditional"   "origin"   "generous"   "useless"   "delicious"   "sensoryadj" 
"88"   "35500"   "1913"   "$$"   "6.115727"   "1011"   "278.000000"   "0.428058"   "0.118705"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.003597"   "0.000000"   "0.061151" 
"89"   "19910"   "1900"   "$$"   "6.437500"   "16"   "5.000000"   "0.200000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"90"   "24888"   "1906"   "$"   "6.276360"   "901"   "322.000000"   "0.366460"   "0.012422"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.003106"   "0.000000"   "0.049689" 
"91"   "31718"   "1920"   "$$"   "6.040323"   "248"   "46.000000"   "0.369565"   "0.108696"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.021739"   "0.000000"   "0.065217" 
"92"   "33440"   "1915"   "$$"   "6.087500"   "160"   "47.000000"   "0.106383"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.063830" 
"93"   "21639"   "1900"   "$$"   "6.061185"   "523"   "173.000000"   "0.254335"   "0.023121"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.011561" 
"94"   "26048"   "1900"   "$"   "5.879880"   "666"   "226.000000"   "0.305310"   "0.004425"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.044248" 
"95"   "22818"   "1899"   "$"   "5.904192"   "334"   "107.000000"   "0.327103"   "0.000000"   "0.009346"   "0.018692"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.018692" 
"96"   "32519"   "1918"   "$$"   "6.242424"   "132"   "22.000000"   "0.500000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.272727" 
"97"   "22520"   "1898"   "$"   "6.285714"   "84"   "27.000000"   "0.407407"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.148148" 
"98"   "14866"   "1900"   "$"   "6.302083"   "96"   "38.000000"   "0.184211"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.052632" 
"99"   "18549"   "1900"   "$"   "6.071942"   "139"   "57.000000"   "0.192982"   "0.035088"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"100"   "14860"   "1900"   "$"   "5.943205"   "493"   "86.000000"   "0.348837"   "0.058140"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.034884" 
"101"   "14861"   "1900"   "$"   "5.787234"   "47"   "19.000000"   "0.526316"   "0.052632"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.421053" 
"102"   "18547"   "1900"   "$$"   "6.159475"   "533"   "183.000000"   "0.185792"   "0.010929"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.043716" 
"103"   "33939"   "1914"   "$$"   "6.158672"   "271"   "66.000000"   "0.500000"   "0.090909"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.090909" 
"104"   "13073"   "1900"   "$$"   "6.200000"   "40"   "13.000000"   "0.000000"   "0.000000"   "0.000000"   "0.153846"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"105"   "13077"   "1900"   "$"   "5.714286"   "105"   "33.000000"   "0.212121"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.090909" 
"106"   "13078"   "1900"   "$$"   "5.825000"   "40"   "12.000000"   "0.666667"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.500000" 
"107"   "33529"   "1915"   "$$"   "6.066667"   "60"   "24.000000"   "0.208333"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.041667" 
"108"   "20271"   "1900"   "$"   "6.045455"   "22"   "7.000000"   "0.142857"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"109"   "20272"   "1900"   "$$"   "6.242857"   "70"   "20.000000"   "0.100000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"110"   "20275"   "1900"   "$$"   "4.500000"   "6"   "1.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"111"   "20279"   "1900"   "$$"   "6.487805"   "164"   "54.000000"   "0.259259"   "0.018519"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.018519"   "0.000000"   "0.074074" 
"112"   "32875"   "1917"   "$$"   "6.246753"   "77"   "25.000000"   "0.120000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.040000"   "0.000000" 
"113"   "23078"   "1907"   "$"   "5.507042"   "71"   "13.000000"   "0.692308"   "0.153846"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.230769" 
"114"   "23073"   "1905"   "$$"   "6.849057"   "53"   "16.000000"   "0.312500"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.062500" 
"115"   "23077"   "1900"   "$"   "5.333333"   "9"   "4.000000"   "0.250000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"116"   "12859"   "1900"   "$"   "6.166667"   "12"   "3.000000"   "0.666667"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"117"   "12858"   "1900"   "$"   "6.124194"   "620"   "240.000000"   "0.254167"   "0.004167"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.008333"   "0.000000"   "0.033333" 
"118"   "12589"   "1900"   "$$"   "6.593625"   "251"   "110.000000"   "0.163636"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.009091"   "0.000000"   "0.009091" 
"119"   "12851"   "1900"   "$"   "5.538462"   "455"   "162.000000"   "0.222222"   "0.018519"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.012346"   "0.000000"   "0.018519" 
"120"   "12850"   "1900"   "$"   "6.005076"   "591"   "187.000000"   "0.358289"   "0.032086"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.069519" 
"121"   "12853"   "1900"   "$"   "5.839323"   "473"   "157.000000"   "0.280255"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.006369"   "0.000000"   "0.089172" 
"122"   "12852"   "1900"   "$"   "5.838998"   "559"   "188.000000"   "0.265957"   "0.026596"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.005319"   "0.000000"   "0.031915" 
"123"   "22659"   "1907"   "$$"   "6.331588"   "573"   "256.000000"   "0.117188"   "0.003906"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.003906"   "0.000000"   "0.011719" 
"124"   "22388"   "1905"   "$$"   "5.500000"   "6"   "2.000000"   "1.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"125"   "23389"   "1901"   "$$"   "5.083333"   "12"   "4.000000"   "0.500000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.250000" 
"126"   "22033"   "1900"   "$"   "6.042857"   "140"   "44.000000"   "0.159091"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.022727" 
"127"   "22039"   "1907"   "$"   "5.854545"   "165"   "54.000000"   "0.481481"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.055556" 
"128"   "32009"   "1919"   "$$"   "6.003096"   "323"   "75.000000"   "0.306667"   "0.013333"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.013333"   "0.000000"   "0.160000" 
"129"   "32247"   "1916"   "$"   "7.000000"   "3"   "1.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000" 
"130"   "32004"   "1919"   "$$"   "6.167832"   "143"   "32.000000"   "0.593750"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.250000" 
"131"   "12688"   "1900"   "$"   "6.076087"   "184"   "59.000000"   "0.355932"   "0.016949"   "0.000000"   "0.016949"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.084746" 
"132"   "15345"   "1901"   "$"   "5.684211"   "38"   "16.000000"   "0.687500"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.062500"   "0.000000"   "0.125000" 
"133"   "20717"   "1900"   "$"   "5.616162"   "198"   "77.000000"   "0.194805"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.038961" 
"134"   "20716"   "1900"   "$$"   "6.225275"   "182"   "56.000000"   "0.303571"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.000000"   "0.125000" 
