"name"   "category"   "city"   "restdollars"   "numitems"   "origin"   "traditional"   "generous"   "participle"   "useless"   "delicious"   "choice"   "adj"   "sensoryadj"   "length"   "wordlen"
 "14"   "Carmen"   "italian"   "boston"   "3.0"   "22"   "0.0000"   "0.0909"   "0.0000"   "0.7727"   "0.0000"   "0.0000"   "0.0000"   "1.4545"   "0.2727"   "10.7727"   "6.3386"
 "15"   "Chowders Pier 39"   "seafood"   "sf"   "1.0"   "29"   "0.0000"   "0.0000"   "0.0345"   "0.1034"   "0.0690"   "0.0000"   "0.0345"   "0.4483"   "0.1724"   "4.1379"   "6.4023"
 "16"   "Good Taste"   "chinese"   "nyc"   "1.0"   "327"   "0.0000"   "0.0000"   "0.0031"   "0.0795"   "0.0031"   "0.0000"   "0.2141"   "0.5505"   "0.1621"   "5.5199"   "5.3007"
 "17"   "Sing Luck Garden"   "chinese"   "nyc"   "1.0"   "309"   "0.0000"   "0.0000"   "0.0000"   "0.0356"   "0.0000"   "0.0000"   "0.1424"   "0.5502"   "0.0518"   "5.0809"   "5.1992"
 "18"   "Brother Jimmy's B B Q"   "barbeque"   "nyc"   "2.0"   "52"   "0.0000"   "0.0000"   "0.0000"   "0.4231"   "0.0000"   "0.0000"   "0.1731"   "1.0385"   "0.1538"   "6.5769"   "6.0022"
 "19"   "Cesca Enoteca & Trattoria"   "italian"   "nyc"   "3.0"   "52"   "0.1154"   "0.0000"   "0.0000"   "0.2500"   "0.0000"   "0.0000"   "0.0000"   "0.5769"   "0.0962"   "5.6731"   "6.9170"
 "20"   "S B 3"   "bars"   "nyc"   "2.0"   "14"   "0.2143"   "0.0714"   "0.0000"   "0.7857"   "0.0000"   "0.0000"   "0.0000"   "1.7857"   "0.4286"   "12.0000"   "6.1311"
 "21"   "Yerba Buena"   "spanish"   "nyc"   "3.0"   "32"   "0.0312"   "0.0000"   "0.0000"   "0.2188"   "0.0000"   "0.0000"   "0.0000"   "0.7500"   "0.2500"   "8.4688"   "6.7604"
 "22"   "J & J Fish & Chicken"   "seafood"   "chicago"   "1.0"   "72"   "0.0000"   "0.0139"   "0.0278"   "0.0139"   "0.0000"   "0.0000"   "0.0278"   "0.6250"   "0.0417"   "3.4306"   "5.7453"
 "23"   "Mizu Sushi"   "sushi bars"   "nyc"   "2.0"   "31"   "0.0000"   "0.0000"   "0.0000"   "0.0645"   "0.0000"   "0.0000"   "0.0645"   "0.2581"   "0.1290"   "4.3226"   "6.3967"
 "24"   "Twigs"   "other"   "washington"   "3.0"   "39"   "0.0513"   "0.0769"   "0.0000"   "1.1026"   "0.0256"   "0.0000"   "0.1026"   "2.3333"   "0.4359"   "18.9231"   "6.3820"
 "25"   "Broadway China"   "chinese"   "nyc"   "1.0"   "374"   "0.0000"   "0.0053"   "0.0000"   "0.0775"   "0.0027"   "0.0000"   "0.1471"   "0.5856"   "0.1711"   "6.0615"   "5.4730"
 "26"   "Kosher Delight"   "fast food"   "nyc"   "2.0"   "324"   "0.0000"   "0.0000"   "0.0000"   "0.2068"   "0.0093"   "0.0031"   "0.0772"   "0.6389"   "0.1235"   "5.5278"   "6.2198"
 "27"   "Bacco Ristorante"   "italian"   "sf"   "3.0"   "28"   "0.1071"   "0.0000"   "0.0000"   "0.2857"   "0.0000"   "0.0000"   "0.0000"   "0.8929"   "0.1786"   "10.4643"   "6.8810"
 "28"   "Red Apple Restaurant"   "othereuropean"   "chicago"   "1.0"   "80"   "0.0000"   "0.0000"   "0.0000"   "0.1000"   "0.0000"   "0.0000"   "0.0000"   "0.2375"   "0.0250"   "6.2875"   "5.6880"
 "29"   "Hunan's Kitchen"   "chinese"   "nyc"   "1.0"   "404"   "0.0050"   "0.0050"   "0.0000"   "0.1262"   "0.0000"   "0.0050"   "0.0000"   "0.5000"   "0.0941"   "4.9752"   "5.1624"
 "30"   "Game On!"   "american (traditional)"   "boston"   "2.0"   "95"   "0.0211"   "0.0316"   "0.0526"   "0.6632"   "0.0105"   "0.0000"   "0.1789"   "1.4000"   "0.2526"   "8.4632"   "6.0168"
 "31"   "Choux Factory"   "coffee & tea"   "nyc"   "1.0"   "31"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.2581"   "0.2258"   "0.0000"   "2.9677"   "5.9361"
 "32"   "Mojito"   "bars"   "sf"   "1.0"   "16"   "0.0000"   "0.0000"   "0.0000"   "0.6875"   "0.0000"   "0.0000"   "0.0625"   "1.0625"   "0.1875"   "8.5625"   "6.7301"
 "33"   "El Rey De La Caridad Restaurant & Piano Bar"   "mexican"   "nyc"   "1.0"   "278"   "0.0000"   "0.0000"   "0.0000"   "0.0863"   "0.0000"   "0.0000"   "0.0036"   "0.3381"   "0.0252"   "2.8669"   "6.2286"
 "34"   "Artisanal Fromagerie Bistro Wine Bar"   "french"   "nyc"   "3.0"   "67"   "0.1791"   "0.0000"   "0.0149"   "0.1194"   "0.0000"   "0.0000"   "0.0149"   "0.5672"   "0.0149"   "4.9104"   "6.8842"
 "35"   "Mike's Pizza"   "pizza"   "nyc"   "1.0"   "90"   "0.0000"   "0.0000"   "0.0000"   "0.0667"   "0.0000"   "0.0000"   "0.0000"   "0.8444"   "0.0222"   "2.7778"   "6.3591"
 "36"   "Xe Lua"   "otherasian"   "nyc"   "1.0"   "151"   "0.0000"   "0.0000"   "0.0000"   "0.0728"   "0.0066"   "0.0000"   "0.0331"   "0.5960"   "0.2583"   "7.8344"   "5.6696"
 "37"   "Nation"   "american (traditional)"   "nyc"   "2.0"   "37"   "0.0541"   "0.0270"   "0.0000"   "0.5405"   "0.0541"   "0.0000"   "0.1622"   "1.4054"   "0.4865"   "12.4324"   "6.7544"
 "38"   "Rocky's Tacos"   "mexican"   "chicago"   "1.0"   "125"   "0.0000"   "0.0000"   "0.0000"   "0.2720"   "0.0000"   "0.0000"   "0.0560"   "0.7200"   "0.0480"   "11.9920"   "5.9958"
 "39"   "Jeanty at Jack's"   "french"   "sf"   "3.0"   "36"   "0.0000"   "0.0000"   "0.0000"   "0.3333"   "0.0278"   "0.0000"   "0.0000"   "0.5833"   "0.1389"   "7.9167"   "6.1828"
 "40"   "Gaja Gaja"   "sushi bars"   "philadelphia"   "2.0"   "163"   "0.0000"   "0.0000"   "0.0000"   "0.2393"   "0.0000"   "0.0000"   "0.0736"   "0.8221"   "0.3620"   "7.4417"   "5.7220"
 "41"   "Eleven B express"   "pizza"   "nyc"   "2.0"   "73"   "0.0000"   "0.0548"   "0.0000"   "0.2055"   "0.0000"   "0.0000"   "0.0000"   "0.5890"   "0.1507"   "4.4384"   "7.0900"
 "42"   "Sun Cafe"   "sushi bars"   "nyc"   "2.0"   "163"   "0.0000"   "0.0000"   "0.0000"   "0.1043"   "0.0000"   "0.0000"   "0.1472"   "0.6258"   "0.1779"   "6.9755"   "6.0406"
 "43"   "Goat Hill Pizza"   "pizza"   "sf"   "2.0"   "84"   "0.0000"   "0.0000"   "0.0000"   "0.2976"   "0.0000"   "0.0476"   "0.2857"   "1.7262"   "0.2024"   "10.4405"   "6.3382"
 "44"   "S&I"   "thai"   "boston"   "1.0"   "199"   "0.0000"   "0.0201"   "0.0000"   "0.4422"   "0.0553"   "0.0151"   "0.1910"   "2.7789"   "0.9698"   "15.2161"   "6.2046"
 "45"   "Pad Thai"   "thai"   "nyc"   "1.0"   "72"   "0.0000"   "0.0000"   "0.0000"   "0.2917"   "0.0139"   "0.0000"   "0.2639"   "1.4583"   "0.5139"   "13.4722"   "5.9743"
 "46"   "Coco Restaurant & Lounge"   "latin american"   "chicago"   "2.0"   "33"   "0.0000"   "0.0909"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.2727"   "0.2424"   "0.0606"   "5.7879"   "6.4986"
 "47"   "Taqueria Can-cun"   "mexican"   "sf"   "1.0"   "27"   "0.0000"   "0.0000"   "0.0370"   "0.5185"   "0.0000"   "0.0000"   "0.4815"   "1.5926"   "0.4074"   "9.9630"   "6.3525"
 "48"   "Koo Sushi"   "sushi bars"   "nyc"   "2.0"   "154"   "0.0130"   "0.0065"   "0.0000"   "0.2532"   "0.0130"   "0.0000"   "0.0130"   "0.7468"   "0.1883"   "5.3571"   "6.0166"
 "49"   "Hunan Dynasty"   "chinese"   "washington"   "2.0"   "137"   "0.0000"   "0.0000"   "0.0000"   "0.0949"   "0.0073"   "0.0000"   "0.0949"   "0.5328"   "0.2044"   "3.9708"   "5.9156"
 "50"   "Dick's Last Resort"   "american (traditional)"   "boston"   "2.0"   "23"   "0.0000"   "0.0870"   "0.0870"   "0.1304"   "0.0000"   "0.0435"   "0.3043"   "1.7391"   "0.9565"   "12.2174"   "6.2143"
 "51"   "Soba Totto"   "sushi bars"   "nyc"   "3.0"   "109"   "0.0000"   "0.0183"   "0.0000"   "0.4404"   "0.0000"   "0.0000"   "0.0826"   "0.8716"   "0.1376"   "5.3303"   "6.2497"
 "52"   "T-BAR Steak & Lounge"   "steakhouses"   "nyc"   "3.0"   "29"   "0.0000"   "0.0000"   "0.0000"   "0.2069"   "0.0000"   "0.0000"   "0.0000"   "0.9310"   "0.1724"   "6.5517"   "6.9621"
 "53"   "Marseille"   "french"   "nyc"   "3.0"   "100"   "0.0200"   "0.0000"   "0.0000"   "0.3200"   "0.0000"   "0.0000"   "0.0000"   "0.8900"   "0.1300"   "7.3400"   "6.9671"
 "54"   "Madangsui"   "korean"   "nyc"   "2.0"   "84"   "0.0000"   "0.0119"   "0.0000"   "0.5952"   "0.0000"   "0.0000"   "0.0000"   "1.4643"   "0.4762"   "9.8571"   "5.7516"
 "55"   "Original Thai BBQ"   "thai"   "la"   "2.0"   "27"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0000"   "0.0370"   "0.2222"   "0.0000"   "4.2963"   "6.0216"
 "56"   "Wasabi Japanese Sushi Bar"   "sushi bars"   "philadelphia"   "2.0"   "204"   "0.0049"   "0.0000"   "0.0049"   "0.1029"   "0.0098"   "0.0000"   "0.0441"   "0.5784"   "0.2402"   "5.0490"   "6.1312"
 "57"   "Bao Bao"   "otherasian"   "nyc"   "3.0"   "37"   "0.1081"   "0.0541"   "0.0000"   "0.5405"   "0.0000"   "0.0000"   "0.0270"   "1.9459"   "0.7027"   "10.8919"   "6.4685"
 "58"   "Bee Desserts"   "french"   "nyc"   "2.0"   "19"   "0.0000"   "0.0526"   "0.0000"   "0.6842"   "0.0000"   "0.0000"   "0.0526"   "1.1579"   "0.1053"   "8.0526"   "6.6787"
 "59"   "Perch Cafe & Bar"   "american (traditional)"   "nyc"   "2.0"   "35"   "0.0000"   "0.0571"   "0.0000"   "0.4286"   "0.0286"   "0.0000"   "0.1714"   "0.7714"   "0.0857"   "8.5143"   "6.5949"
 "60"   "Raffaele"   "italian"   "nyc"   "3.0"   "47"   "0.0213"   "0.0000"   "0.0000"   "0.3404"   "0.0000"   "0.0000"   "0.0000"   "1.2979"   "0.5106"   "12.0213"   "6.5151"
 "61"   "Golden Thai"   "thai"   "chicago"   "1.0"   "92"   "0.0000"   "0.0109"   "0.0000"   "0.5109"   "0.0000"   "0.0543"   "0.4130"   "2.1196"   "0.8804"   "15.9783"   "6.0211"
 "62"   "Kang Suh Korean - Japanese Restaurant"   "korean"   "nyc"   "2.0"   "198"   "0.0101"   "0.0152"   "0.0000"   "0.4394"   "0.0000"   "0.0000"   "0.0051"   "1.1465"   "0.2778"   "10.0505"   "6.0505"
 "63"   "The Cheesecake Factory"   "american (new)"   "washington"   "2.0"   "196"   "0.0153"   "0.0408"   "0.0204"   "0.7704"   "0.1122"   "0.0459"   "0.0510"   "2.8418"   "0.8724"   "18.1684"   "6.4405"
 "64"   "Aux Delices"   "otherasian"   "sf"   "2.0"   "90"   "0.0000"   "0.0222"   "0.0000"   "0.1444"   "0.0000"   "0.0000"   "0.1111"   "0.8556"   "0.2889"   "11.8667"   "5.7392"
 "65"   "Don Giovanni Ristorante"   "pizza"   "nyc"   "2.0"   "322"   "0.0031"   "0.0000"   "0.0000"   "0.1398"   "0.0000"   "0.0000"   "0.0652"   "0.5497"   "0.2050"   "5.6770"   "6.5417"
 "66"   "Francesca's"   "italian"   "chicago"   "2.0"   "51"   "0.0784"   "0.0196"   "0.0000"   "0.0980"   "0.0000"   "0.0000"   "0.0196"   "1.0392"   "0.4118"   "10.4510"   "6.4710"
 "67"   "Chickpea"   "pizza"   "nyc"   "1.0"   "45"   "0.0000"   "0.0000"   "0.0000"   "0.0222"   "0.0000"   "0.0000"   "0.0000"   "0.0222"   "0.0000"   "2.5778"   "6.6981"
 "68"   "El Cid #2"   "mexican"   "chicago"   "2.0"   "94"   "0.0000"   "0.0213"   "0.0000"   "0.1596"   "0.0106"   "0.0319"   "0.2340"   "0.8511"   "0.1809"   "8.8617"   "6.0899"
 "69"   "Cafe Amore's - 14th St."   "pizza"   "nyc"   "1.0"   "157"   "0.0000"   "0.0191"   "0.0000"   "0.1083"   "0.0000"   "0.0000"   "0.0000"   "0.5096"   "0.1783"   "4.5924"   "6.6847"
 "70"   "Taco Grill"   "mexican"   "nyc"   "1.0"   "107"   "0.0000"   "0.0000"   "0.0000"   "0.1308"   "0.0000"   "0.0000"   "0.0187"   "0.4860"   "0.1776"   "4.3458"   "6.3106"
 "71"   "China Chalet"   "chinese"   "nyc"   "2.0"   "174"   "0.0000"   "0.0000"   "0.0000"   "0.0920"   "0.0230"   "0.0000"   "0.0345"   "0.4253"   "0.1149"   "4.0920"   "6.0140"
 "72"   "Curry Leaf"   "indian"   "nyc"   "2.0"   "90"   "0.0000"   "0.0222"   "0.0000"   "0.8000"   "0.0111"   "0.0000"   "0.0333"   "1.7667"   "0.5778"   "12.8556"   "6.2698"
 "73"   "Slattery's Midtown Pub & Restaurant"   "bars"   "nyc"   "2.0"   "46"   "0.0000"   "0.1739"   "0.0217"   "0.3913"   "0.0217"   "0.0000"   "0.1087"   "1.4130"   "0.3696"   "12.3478"   "6.0593"
 "74"   "Wang Wah (Golden China)"   "chinese"   "sf"   "1.0"   "183"   "0.0000"   "0.0000"   "0.0000"   "0.1257"   "0.0000"   "0.0000"   "0.1148"   "0.6557"   "0.2678"   "5.6066"   "5.8318"
 "75"   "29 Newbury Street"   "american (new)"   "boston"   "3.0"   "82"   "0.0366"   "0.0732"   "0.0000"   "0.7439"   "0.0122"   "0.0122"   "0.1829"   "1.8537"   "0.4390"   "11.3902"   "6.5398"
 "76"   "901 Columbus Caffe"   "coffee & tea"   "sf"   "1.0"   "89"   "0.0000"   "0.0000"   "0.0000"   "0.5618"   "0.0000"   "0.0000"   "0.0449"   "1.2360"   "0.2472"   "8.9438"   "6.4870"
 "77"   "News Cafe"   "italian"   "washington"   "2.0"   "20"   "0.0000"   "0.0500"   "0.0000"   "0.4500"   "0.0500"   "0.0000"   "0.0000"   "1.1000"   "0.2000"   "11.1500"   "6.4919"
 "78"   "Bar Blanc"   "southern"   "nyc"   "2.0"   "23"   "0.0870"   "0.0000"   "0.0000"   "0.5652"   "0.0435"   "0.0000"   "0.0000"   "1.5217"   "0.2609"   "10.4783"   "6.6997"
 "79"   "Jesus Taco - 145th St."   "mexican"   "nyc"   "1.0"   "115"   "0.0000"   "0.0000"   "0.0000"   "0.0522"   "0.0000"   "0.0000"   "0.0087"   "0.2000"   "0.0348"   "3.4870"   "4.6338"
 "80"   "Stix Restaurant & Lounge"   "american (new)"   "boston"   "2.0"   "32"   "0.0312"   "0.0000"   "0.0000"   "0.2500"   "0.0000"   "0.0000"   "0.0625"   "0.9375"   "0.2812"   "8.0000"   "6.3314"
 "81"   "Massimino's Cucina Italiana"   "italian"   "boston"   "2.0"   "191"   "0.0366"   "0.0471"   "0.0000"   "0.3455"   "0.0105"   "0.0000"   "0.1885"   "1.2670"   "0.4450"   "10.3298"   "6.5743"
 "82"   "Saloon Restaurant"   "italian"   "philadelphia"   "4.0"   "36"   "0.0000"   "0.0278"   "0.0000"   "0.5278"   "0.0000"   "0.0000"   "0.2500"   "1.6667"   "0.6667"   "13.5278"   "6.4334"
 "83"   "Ray Bari Pizza"   "pizza"   "nyc"   "1.0"   "116"   "0.0000"   "0.0259"   "0.0000"   "0.1983"   "0.0172"   "0.0000"   "0.0431"   "0.7586"   "0.2414"   "6.1810"   "6.8241"
 "84"   "Tony's Di Napoli"   "italian"   "nyc"   "2.0"   "95"   "0.0000"   "0.0211"   "0.0000"   "0.0526"   "0.0000"   "0.0000"   "0.0842"   "0.1158"   "0.0211"   "3.1684"   "6.9431"
 "85"   "Taj Of India"   "indian"   "washington"   "2.0"   "99"   "0.0101"   "0.1616"   "0.0000"   "0.5455"   "0.0606"   "0.0000"   "0.0202"   "2.2525"   "0.7778"   "14.7273"   "6.1098"
 "86"   "Siam House"   "thai"   "washington"   "2.0"   "32"   "0.0000"   "0.0938"   "0.0000"   "0.6875"   "0.0000"   "0.0312"   "0.1562"   "2.4688"   "1.0000"   "11.8438"   "5.9701"
 "87"   "Cure Bar & Bistro"   "american (new)"   "washington"   "3.0"   "57"   "0.1053"   "0.0175"   "0.0000"   "0.2982"   "0.0000"   "0.0000"   "0.0000"   "2.6491"   "1.5965"   "8.7895"   "6.1095"
 "88"   "Zuni Cafe"   "american (new)"   "sf"   "3.0"   "42"   "0.0952"   "0.0000"   "0.0000"   "0.1905"   "0.0000"   "0.0000"   "0.0476"   "0.6190"   "0.1905"   "7.4524"   "6.5515"
 "89"   "Tosca Ristorante"   "italian"   "washington"   "3.0"   "42"   "0.0714"   "0.0238"   "0.0000"   "0.4524"   "0.0000"   "0.0000"   "0.0000"   "1.1429"   "0.1667"   "11.2619"   "6.6879"
 "90"   "Foster's Bar & Grill"   "other"   "boston"   "2.0"   "32"   "0.1250"   "0.0625"   "0.0000"   "0.9688"   "0.0625"   "0.0000"   "0.0938"   "2.0312"   "0.0625"   "12.5312"   "6.1916"
 "91"   "Anthony's Cafe"   "italian"   "boston"   "1.0"   "83"   "0.0120"   "0.0361"   "0.0000"   "0.2048"   "0.0120"   "0.0241"   "0.2289"   "0.6506"   "0.0723"   "4.9639"   "6.0857"
 "92"   "Karahi Indian Cuisine"   "indian"   "nyc"   "2.0"   "87"   "0.0000"   "0.1149"   "0.0230"   "0.6437"   "0.0345"   "0.0115"   "0.0230"   "1.8046"   "0.7701"   "11.7816"   "6.2000"
 "93"   "Darling's Diner"   "diners"   "philadelphia"   "2.0"   "144"   "0.0069"   "0.0486"   "0.0000"   "0.2083"   "0.0139"   "0.0000"   "0.0972"   "0.8194"   "0.1597"   "5.6528"   "6.2992"
 "94"   "Lucia's Pizza & Pasta"   "pizza"   "la"   "1.0"   "189"   "0.0000"   "0.1005"   "0.0000"   "0.4021"   "0.0159"   "0.0053"   "0.0000"   "1.4180"   "0.2116"   "12.1058"   "6.7069"
 "95"   "Matts Grill"   "american (new)"   "nyc"   "2.0"   "30"   "0.0000"   "0.0000"   "0.0000"   "1.1667"   "0.0000"   "0.0000"   "0.1333"   "2.1333"   "0.3667"   "14.7333"   "6.3290"
 "96"   "Senor Swanky's Mexican Cafe & Speakeasy"   "mexican"   "nyc"   "2.0"   "70"   "0.0143"   "0.0429"   "0.0000"   "0.5143"   "0.0286"   "0.0000"   "0.2000"   "1.1571"   "0.1714"   "8.5143"   "6.4792"
 "97"   "Passage to India"   "indian"   "philadelphia"   "1.0"   "33"   "0.0000"   "0.0303"   "0.0000"   "0.3030"   "0.0606"   "0.0000"   "0.0000"   "1.6061"   "0.5455"   "13.7273"   "6.2724"
 "98"   "Z & Y Restaurant"   "chinese"   "sf"   "2.0"   "213"   "0.0047"   "0.0047"   "0.0000"   "0.1268"   "0.0000"   "0.0000"   "0.0376"   "0.7324"   "0.4272"   "3.9765"   "5.8428"
 "99"   "California Crisp"   "american (new)"   "sf"   "1.0"   "73"   "0.0411"   "0.0000"   "0.0000"   "0.4384"   "0.0000"   "0.0000"   "0.2055"   "1.0274"   "0.2329"   "6.4932"   "5.8319"
 "100"   "K L Restaurant"   "seafood"   "sf"   "1.0"   "138"   "0.0000"   "0.0000"   "0.0000"   "0.1812"   "0.0000"   "0.0000"   "0.0580"   "0.5725"   "0.1739"   "4.3333"   "5.6866"
 "101"   "East Japanese Restaurant"   "sushi bars"   "nyc"   "2.0"   "155"   "0.0000"   "0.0000"   "0.0000"   "0.1677"   "0.0000"   "0.0000"   "0.0323"   "0.5806"   "0.1613"   "5.6516"   "5.6350"
 "102"   "Famiglia"   "pizza"   "nyc"   "1.0"   "105"   "0.0000"   "0.0000"   "0.0000"   "0.0095"   "0.0095"   "0.0000"   "0.0190"   "0.4000"   "0.1810"   "3.6190"   "5.9010"
 "103"   "Mughlai"   "indian"   "nyc"   "2.0"   "56"   "0.0000"   "0.0357"   "0.0000"   "0.5357"   "0.0000"   "0.0536"   "0.0714"   "1.6607"   "0.8393"   "12.3214"   "6.4185"
 "104"   "Lalibela"   "ethiopian"   "washington"   "2.0"   "41"   "0.0000"   "0.0000"   "0.0000"   "0.6341"   "0.0000"   "0.0488"   "0.1220"   "1.7805"   "0.7317"   "14.1220"   "6.2312"
 "105"   "Stargate Restaurant"   "diners"   "nyc"   "2.0"   "202"   "0.0000"   "0.0347"   "0.0050"   "0.3267"   "0.0050"   "0.0000"   "0.0644"   "0.8663"   "0.2327"   "7.3762"   "6.3138"
 "106"   "Sunny "   "chinese"   "nyc"   "2.0"   "183"   "0.0000"   "0.0109"   "0.0000"   "0.2568"   "0.0055"   "0.0328"   "0.0000"   "1.0437"   "0.2896"   "6.9563"   "5.8956"
 "107"   "The Irish Punt"   "bars"   "nyc"   "2.0"   "47"   "0.0213"   "0.0638"   "0.0000"   "0.8511"   "0.0000"   "0.0000"   "0.0851"   "2.0851"   "0.4894"   "14.1702"   "6.3870"
 "108"   "Shank's Original"   "american (traditional)"   "philadelphia"   "1.0"   "37"   "0.0000"   "0.2162"   "0.0000"   "0.1081"   "0.0270"   "0.0000"   "0.2162"   "1.5405"   "0.5676"   "9.7568"   "5.8494"
 "109"   "Atomic Wings"   "american (traditional)"   "nyc"   "1.0"   "70"   "0.0286"   "0.0429"   "0.0000"   "0.1571"   "0.0429"   "0.0000"   "0.1571"   "0.6429"   "0.1143"   "5.4000"   "6.1326"
 "110"   "Kosher Deluxe Restaurant"   "fast food"   "nyc"   "3.0"   "371"   "0.0000"   "0.0377"   "0.0027"   "0.2210"   "0.0054"   "0.0027"   "0.0620"   "0.8302"   "0.1617"   "7.6388"   "5.9925"
 "111"   "Paragon Restaurant"   "american (new)"   "sf"   "2.0"   "26"   "0.0385"   "0.0000"   "0.0000"   "0.7692"   "0.0000"   "0.0000"   "0.1538"   "1.5769"   "0.1923"   "9.4615"   "6.6727"
 "112"   "Shanghai Cafe"   "chinese"   "nyc"   "1.0"   "172"   "0.0000"   "0.0116"   "0.0000"   "0.2849"   "0.0000"   "0.0000"   "0.0174"   "0.6512"   "0.1512"   "4.8953"   "5.8154"
 "113"   "Vai"   "american (new)"   "nyc"   "4.0"   "63"   "0.0000"   "0.0000"   "0.0000"   "0.2063"   "0.0000"   "0.0000"   "0.0000"   "0.8413"   "0.2698"   "6.2857"   "6.4678"
 "114"   "Lee's Sandwich Shop"   "sandwiches"   "sf"   "1.0"   "126"   "0.0000"   "0.0000"   "0.0000"   "0.1032"   "0.0000"   "0.0000"   "0.0397"   "0.3254"   "0.0238"   "3.8730"   "6.4013"
 "115"   "Just for You"   "american (traditional)"   "sf"   "2.0"   "119"   "0.0168"   "0.0588"   "0.0588"   "0.2941"   "0.0084"   "0.0000"   "0.3193"   "1.1176"   "0.1597"   "8.9412"   "5.9857"
 "116"   "Sakura"   "sushi bars"   "nyc"   "2.0"   "271"   "0.0037"   "0.0000"   "0.0000"   "0.1919"   "0.0148"   "0.0000"   "0.1402"   "0.8229"   "0.2989"   "6.8745"   "6.1299"
 "117"   "Pizza Orgasmica"   "pizza"   "sf"   "1.0"   "128"   "0.0000"   "0.0000"   "0.0312"   "0.3047"   "0.0156"   "0.0000"   "0.0312"   "1.8750"   "0.1875"   "10.2578"   "6.1866"
 "118"   "La Nueva Victoria"   "chinese"   "nyc"   "2.0"   "237"   "0.0000"   "0.0127"   "0.0000"   "0.1435"   "0.0042"   "0.0000"   "0.1772"   "0.7426"   "0.2447"   "7.8819"   "6.0792"
 "119"   "Grotta Del Mare Ristorante"   "italian"   "nyc"   "3.0"   "48"   "0.1042"   "0.1042"   "0.0000"   "0.5833"   "0.0208"   "0.0000"   "0.0625"   "1.5833"   "0.5417"   "12.7917"   "6.7106"
