core,name,power,rating,url,series,brand,corename,rank,productname,l3cache,l2cache,freq,price,socket
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA55W4WA3061,,,,250,HP 662244-B21,,,,"1,066.70",None
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M2XT6818,,,,249,HP Xeon DP E5607 2.26 GHz Processor Upgrade - Socket B LGA-1366,,,,149.95,None
12,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M2XT7191,Opteron,HP,,248,HP Opteron 6176 2.30 GHz Processor Upgrade - Socket G34 LGA-1944,12MB,6MB,2.3 GHz,701.95,G34 LGA-1944
2,Pentium G4400,54W,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N85112184,Pentium,Intel,Skylake,247,Intel Pentium G4400 Skylake Dual-Core 3.3 GHz LGA 1151 54W CM8066201927306 Desktop Processor Intel HD Graphics 510,3MB,2 x 256KB,3.3 GHz,89.94,LGA 1151
4,A10-6700,65W,Rating + 4,http://www.newegg.com/Product/Product.aspx?Item=9SIA6ZP3ZP8962,A-Series APU,AMD,Richland,246,AMD A10-6700 Richland Quad-Core 3.7 GHz Socket FM2 65W AD6700OKHLBOX Desktop Processor AMD Radeon HD,,4MB,3.7 GHz,147.4,FM2
2,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA1N849R8861,,Intel,,245,Intel Dual-Core 3.1 GHz CW8064701486606S Desktop Processor,,,3.1 GHz,250.94,None
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M2XT6817,,,,244,HP Xeon X6550 2 GHz Processor Upgrade - Socket LGA-1567,,,,223.45,None
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M2XT6772,,,,243,HP Xeon E7-4830 2.13 GHz Processor Upgrade - Socket LGA-1567,,,,"1,793.70",None
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M2XT6983,,,,242,HP 660604-B21 - Intel Xeon E5-2680 2.7GHz 20MB Cache 8-Core Processor,,,,570,None
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R4SB3067,,,,241,"AMD A4-6300 Dual-Core APU Richland Processor 3.7GHz Sockect FM2, ",,,,59.7,FM2
4,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M2XT6410,Xeon DP,HP,,239,Intel Xeon DP Quad-core E5504 2GHz - Processor Upgrade,4MB,1MB,2.0 GHz,99.95,LGA 1366
2,Core i3-4330,54W,Rating + 5,http://www.newegg.com/Product/Product.aspx?Item=9SIA85V4R41864,Core i3,Intel,Haswell,238,Intel Core i3-4330 Haswell Dual-Core 3.5 GHz LGA 1150 54W BX80646I34330 Desktop Processor Intel HD Graphics 4600,4MB,,3.5 GHz,350.37,LGA 1150
4,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M2XT6597,Xeon,HP,,237,HP Xeon E5630 2.53 GHz Processor Upgrade - Socket B LGA-1366,12MB,1MB,2.53 GHz,99.95,LGA 1366
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M2XT6902,,,,236,HP Xeon DP E5620 2.40 GHz Processor Upgrade - Socket B LGA-1366,,,,149.95,None
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M2XT6941,,,,235,HP Xeon DP E5620 2.40 GHz Processor Upgrade - Socket B LGA-1366,,,,149.95,None
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA91N4DB3390,,,,234,"HP 737330-001 Intel Core I7-4600M Dual-Core Processor - 2.9Ghz (Haswell-Mb, 4Mb Level-3 Cache, Socket G3, 37W Tdp) - Includes Replacement Thermal Material",,,,761,None
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA55W4UW7197,,,,233,HP 724567-B21,,,,474.22,None
Six,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M2XT6746,Xeon,HP,,231,HP Xeon E6540 2 GHz Processor Upgrade - Socket LGA-1567,18MB,,2.0 GHz,187.45,LGA-1567
12,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M2XT7163,Opteron,HP,,230,HP Opteron 6166 HE 1.80 GHz Processor Upgrade - Socket G34 LGA-1944,12MB,6MB,1.8 GHz,"1,133.95",G34 LGA-1944
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M2XT6800,,,,229,HP Xeon E7-4820 2 GHz Processor Upgrade - Socket LGA-1567,,,,"1,123.70",None
None,,,no rating,http://www.newegg.com/Product/Product.aspx?Item=9SIA75M46J1899,,,,228,HP Xeon E7-4850 2 GHz Processor Upgrade - Socket LGA-1567,,,,"1,174.95",None
