rating,chipmake,brand,memorysize,rank,boostclock,coreclock,url,memorytype,memoryclock,memoryinterface,gpu,model,productname,price
Rating + 1,,inno3d,2GB,479,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R3Y40462,,,128-Bit,GeForce GT 630,,nVIDIA GeForce 2GB Low Profile Half Height PCI Express x16 Video Graphics Card,115.93
Rating + 1,NVIDIA,EVGA,8GB,478,1.85 GHz,1.71 GHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA1UH4VX9268,GDDR5X,,256-Bit,GTX 1080,08G-P4-6183-KR,eVGA Video Card 08G-P4-6183-KR GTX 1080 SC 8GB DDR5 PCI Express 3.0 DVI/HDMI/Display Port ,672.60
Rating + 1,AMD,VisionTek,2GB,477,,970 MHz,http://www.newegg.com/Product/Product.aspx?Item=N82E16814129310,GDDR5,1375MHz x4 (5.5Gb/s),256-Bit,Radeon R9 380,900808,"Visiontek Radeon R9 380 2GB GDDR5 4M (DVI-D, DVI-I, DP, HDMI)",219.99
Rating + 1,AMD,ASUS,4GB,476,,970 MHz (990 MHz in OC mode),http://www.newegg.com/Product/Product.aspx?Item=9SIA24G4R66012,GDDR5,5700 MHz,256-Bit,Radeon R9 380X,STRIX-R9380X-4G-GAMING,ASUS Radeon R9 380X STRIX-R9380X-4G-GAMING 4GB 256-Bit GDDR5 PCI Express 3.0 Video Card,262.08
Rating + 1,NVIDIA,MSI,2GB,475,1137 MHz,1059 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA73M4YS3655,GDDR5,5400 MHz,128-Bit,GeForce GTX 750 Ti,N750TI-2GD5/OC,MSI N750TI-2GD5/OC G-SYNC Support GeForce GTX 750 Ti 2GB 128-Bit GDDR5 PCI Express 3.0 Video Graphics Card,179.77
Rating + 1,NVIDIA,Wintek Technology Int'l Limited,512MB,474,,300 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA5751VB9315,DDR2,532MHz,64-Bit,GeForce 6200,Y4080506,View Video Graphics nVIDIA GeForce 6200 AGP 4X 8X Dual Monitor Display VGA Card 512MB,136.97
Rating + 1,,,,473,,,http://www.newegg.com/Product/Product.aspx?Item=9SIAA4T4U60634,,,,,,Nvidia TESLA K8 GPU  8GB / × 16 GDDR5 / Active Accelerator,"2,225.00"
Rating + 1,NVIDIA,,2GB,472,1241,,http://www.newegg.com/Product/Product.aspx?Item=9SIA4UB27B8291,,7Gbps,GDDR5,,,Inno3D NVIDIA GeForce GTX 960 OC 2GB DDR5 PCIE 3.0 Video graphics Card 4K HDMI,311.68
Rating + 1,,inno3d,2GB,471,,,http://www.newegg.com/Product/Product.aspx?Item=9SIA30R3Y40489,,,64-Bit,GeForce GT 610,,nVIDIA 2GB 2048MB PCI-E x16 Dual Monitor Display View Gaming Video Graphics Card,108.74
Rating + 1,AMD,SAPPHIRE,,470,,1055 MHz,http://www.newegg.com/Product/Product.aspx?Item=9SIA70F4TV9987,GDDR5,,512-Bit,Radeon R9 390X,,SAPPHIRE NITRO Radeon R9 390X DirectX 12 100381NTOCL 8GB 512-Bit GDDR5 PCI Express 3.0 1 x DVI-D 1 x HDMI 3 x DisplayPort OC Version w/ backplate (UEFI) Video Card,667.76
