Reporter,Partner,Product categories,Indicator Type,Indicator,Year,Indicator Value
Switzerland,World,Hides and Skins,Export,Export(US$ Mil),2015,593.68
Switzerland,World,Intermediate goods,Export,Export(US$ Mil),2015,139788.0
Switzerland,World,Mach and Elec,Export,Export(US$ Mil),2015,34610.86
Switzerland,World,Metals,Export,Export(US$ Mil),2015,8451.47
Switzerland,World,Minerals,Export,Export(US$ Mil),2015,88.5
Switzerland,World,Miscellaneous,Export,Export(US$ Mil),2015,44857.19
Switzerland,World,Plastic or Rubber,Export,Export(US$ Mil),2015,4744.38
Switzerland,World,Raw materials,Export,Export(US$ Mil),2015,1846.77
Switzerland,World,Stone and Glass,Export,Export(US$ Mil),2015,90226.52
Switzerland,World,Textiles and Clothing,Export,Export(US$ Mil),2015,2376.86
Switzerland,World,Transportation,Export,Export(US$ Mil),2015,6212.8
Switzerland,World,Vegetable,Export,Export(US$ Mil),2015,2310.98
Switzerland,World,Wood,Export,Export(US$ Mil),2015,2157.05
Switzerland,World,Capital goods,Import,Import(US$ Mil),2015,42582.2
Switzerland,World,Consumer goods,Import,Import(US$ Mil),2015,83500.62
Switzerland,World,Intermediate goods,Import,Import(US$ Mil),2015,117475.81
Switzerland,World,Raw materials,Import,Import(US$ Mil),2015,7987.35
Chile,World,Animal,Export,Export(US$ Mil),2015,5211.36
Chile,World,Capital goods,Export,Export(US$ Mil),2015,1701.36
Chile,World,Chemicals,Export,Export(US$ Mil),2015,2622.38
Chile,World,Consumer goods,Export,Export(US$ Mil),2015,7022.88
Chile,World,Food Products,Export,Export(US$ Mil),2015,4043.64
Chile,World,Footwear,Export,Export(US$ Mil),2015,148.43
Chile,World,Fuels,Export,Export(US$ Mil),2015,445.76
Chile,World,Hides and Skins,Export,Export(US$ Mil),2015,74.81
Chile,World,Intermediate goods,Export,Export(US$ Mil),2015,26899.41
Chile,World,Mach and Elec,Export,Export(US$ Mil),2015,1129.4
Chile,World,Metals,Export,Export(US$ Mil),2015,18041.34
Chile,World,Minerals,Export,Export(US$ Mil),2015,16122.25
Chile,World,Miscellaneous,Export,Export(US$ Mil),2015,202.06
Chile,World,Plastic or Rubber,Export,Export(US$ Mil),2015,920.26
Chile,World,Raw materials,Export,Export(US$ Mil),2015,27662.74
Chile,World,Stone and Glass,Export,Export(US$ Mil),2015,1041.91
Chile,World,Textiles and Clothing,Export,Export(US$ Mil),2015,584.85
Chile,World,Transportation,Export,Export(US$ Mil),2015,902.87
Chile,World,Vegetable,Export,Export(US$ Mil),2015,6461.78
Chile,World,Wood,Export,Export(US$ Mil),2015,5406.97
Chile,World,Capital goods,Import,Import(US$ Mil),2015,19634.51
Chile,World,Consumer goods,Import,Import(US$ Mil),2015,25233.16
Chile,World,Intermediate goods,Import,Import(US$ Mil),2015,10778.96
Chile,World,Raw materials,Import,Import(US$ Mil),2015,6401.76
China,World,Animal,Export,Export(US$ Mil),2015,17356.16
China,World,Capital goods,Export,Export(US$ Mil),2015,1008282.1
China,World,Chemicals,Export,Export(US$ Mil),2015,106122.32
China,World,Consumer goods,Export,Export(US$ Mil),2015,830749.89
China,World,Food Products,Export,Export(US$ Mil),2015,27921.86
China,World,Footwear,Export,Export(US$ Mil),2015,68354.95
China,World,Fuels,Export,Export(US$ Mil),2015,27946.01
China,World,Hides and Skins,Export,Export(US$ Mil),2015,35114.86
China,World,Intermediate goods,Export,Export(US$ Mil),2015,365603.11
China,World,Mach and Elec,Export,Export(US$ Mil),2015,963640.05
China,World,Metals,Export,Export(US$ Mil),2015,176783.6
China,World,Minerals,Export,Export(US$ Mil),2015,3829.81
China,World,Miscellaneous,Export,Export(US$ Mil),2015,239490.8
China,World,Plastic or Rubber,Export,Export(US$ Mil),2015,86518.99
China,World,Raw materials,Export,Export(US$ Mil),2015,37932.25
