gameName,BCCompatible
Bomberman Battlefest,TRUE
Shank 2,TRUE
Far Cry 3 Blood Dragon,TRUE
NIN2-JUMP,TRUE
NEW RALLY-X,TRUE
Mr. DRILLER Online,TRUE
Triggerheart Exelica,TRUE
Boom Boom Rocket,TRUE
Syberia,TRUE
SONIC THE HEDGEHOG 4 Episode I,TRUE
SONIC 4 Episode II,TRUE
CAPCOM ARCADE CABINET,TRUE
PAC-MAN MUSEUM,TRUE
Bionic Commando Rearmed 2,TRUE
NEOGEO BATTLE COLISEUM,TRUE
CRYSTAL DEFENDERS,TRUE
Fret Nice,TRUE
Tour de France 2009,TRUE
HALF-MINUTE HERO -Super Mega Neo Climax-,TRUE
FLOCK!,TRUE
Interpol,TRUE
Red Dead Redemption,TRUE
Bloodforge,TRUE
Mars: War Logs,TRUE
Gripshift,TRUE
Go! Go! Break Steady,TRUE
Fallout: New Vegas,TRUE
Blood Knights,TRUE
Red Faction: Battlegrounds,TRUE
Joe Danger Special Edition,TRUE
Crystal Quest,TRUE
Comic Jumper,TRUE
Dungeons & Dragons: Chronicles of Mystara,TRUE
I Am Alive,TRUE
Left 4 Dead,TRUE
Portal 2,TRUE
Flashback,TRUE
Brain Challenge,TRUE
MONOPOLY PLUS,TRUE
Foul Play,TRUE
SEGA Bass Fishing,TRUE
XCOM: Enemy Within,TRUE
Aqua,TRUE
Anomaly Warzone Earth,TRUE
Lazy Raiders,TRUE
SSX,TRUE
XCOM: Enemy Unknown,TRUE
DuckTales: Remastered,TRUE
Magic 2012,TRUE
Hexic 2,TRUE
Domino Master,TRUE
Unbound Saga,TRUE
Call of Duty: Black Ops,TRUE
Final Fight: Double Impact,TRUE
Puzzlegeddon,TRUE
Frogger 2,TRUE
Faery: Legends of Avalon,TRUE
Deus Ex: Human Revolution – Director’s Cut,TRUE
Phantasy Star II,TRUE
DIG DUG,TRUE
Samurai Shodown II,TRUE
Runner2,TRUE
Sonic & Knuckles,TRUE
Star Wars: The Force Unleashed,TRUE
Star Wars: The Force Unleashed II,TRUE
Jet Set Radio,TRUE
MX vs. ATV Reflex,TRUE
Texas Hold ‘Em,TRUE
Galaga Legions DX,TRUE
Frogger,TRUE
Double Dragon Neon,TRUE
Ghostbusters: Sanctum of Slime,TRUE
The Cave,TRUE
Altered Beast,TRUE
Comix Zone,TRUE
Rayman Origins,TRUE
Monaco: What’s Yours is Mine,TRUE
DOOM 3 BFG Edition,TRUE
Garou: Mark of the Wolves,TRUE
Sonic the Fighters,TRUE
Duke Nukem Manhattan Project,TRUE
Gunstar Heroes,TRUE
Outland,TRUE
Saints Row IV,TRUE
Dead Space,TRUE
Sacred 3,TRUE
Assassin’s Creed II,TRUE
Banjo-Kazooie: Nuts & Bolts,TRUE
Borderlands,TRUE
CastleStorm,TRUE
Condemned: Criminal Origins,TRUE
DiRT 3,TRUE
DiRT Showdown,TRUE
Dungeon Siege III,TRUE
Fable II,TRUE
Fallout 3,TRUE
Gears of War,TRUE
Gears of War 2,TRUE
Gears of War 3,TRUE
Gears of War: Judgment,TRUE
Just Cause 2,TRUE
Kameo: Elements of Power,TRUE
LEGO Pirates of the Caribbean: The Video Game,TRUE
LEGO Star Wars: The Complete Saga,TRUE
Mass Effect,TRUE
Mirror’s Edge,TRUE
Operation Flashpoint: Dragon Rising,TRUE
Perfect Dark Zero,TRUE
Supreme Commander 2,TRUE
Tom Clancy’s Rainbow Six Vegas,TRUE
Tom Clancy’s Rainbow Six Vegas 2,TRUE
South Park: The Stick of Truth,TRUE
Tron: Evolution,TRUE
Viva Piñata,TRUE
Viva Piñata: Trouble In Paradise,TRUE
A Kingdom for Keflings,TRUE
A World of Keflings,TRUE
Alien Hominid HD,TRUE
Asteroids & Deluxe,TRUE
Banjo-Kazooie,TRUE
Banjo-Tooie,TRUE
BattleBlock Theater,TRUE
Bejeweled 2,TRUE
Bellator: MMA Onslaught,TRUE
Beyond Good & Evil HD,TRUE
Blood of the Werewolf,TRUE
BloodRayne: Betrayal,TRUE
Call of Juarez Gunslinger,TRUE
Castle Crashers,TRUE
Centipede & Millipede,TRUE
Crazy Taxi,TRUE
Deadliest Warrior: Legends,TRUE
Defense Grid: The Awakening,TRUE
Discs of Tron,TRUE
Doom,TRUE
Doom II,TRUE
Earthworm Jim HD,TRUE
Feeding Frenzy,TRUE
Feeding Frenzy 2: Shipwreck Showdown,TRUE
Golden Axe,TRUE
Halo: Spartan Assault,TRUE
Hardwood Backgammon,TRUE
Hardwood Hearts,TRUE
Hardwood Spades,TRUE
Heavy Weapon,TRUE
Hexic HD,TRUE
Ikaruga,TRUE
Jetpac Refuelled,TRUE
Joy Ride Turbo,TRUE
Lode Runner,TRUE
LUMINES LIVE!,TRUE
Metal Slug 3,TRUE
Metal Slug XX,TRUE
Might & Magic Clash of Heroes,TRUE
Missile Command,TRUE
Monday Night Combat,TRUE
Monkey Island 2: Special Edition,TRUE
Monkey Island: Special Edition,TRUE
Ms. Splosion Man,TRUE
Mutant Blobs Attack!!!,TRUE
N+,TRUE
NBA JAM: On Fire Edition,TRUE
NiGHTS into dreams…,TRUE
Pac-Man: Championship Edition,TRUE
Pac-Man: Championship Edition DX+,TRUE
Perfect Dark,TRUE
Phantom Breaker: Battle Grounds,TRUE
Pinball FX,TRUE
Plants vs. Zombies,TRUE
Prince of Persia,TRUE
Putty Squad,TRUE
Rayman 3 HD,TRUE
R-Type Dimensions,TRUE
Sacred Citadel,TRUE
Sega Vintage Collection: Alex Kidd & Co.,TRUE
Sega Vintage Collection: Golden Axe,TRUE
Sega Vintage Collection: Monster World,TRUE
Sega Vintage Collection: Streets of Rage,TRUE
Shadow Complex,TRUE
Sonic CD,TRUE
Sonic The Hedgehog,TRUE
Sonic The Hedgehog 2,TRUE
Sonic The Hedgehog 3,TRUE
Super Meat Boy,TRUE
Torchlight,TRUE
Toy Soldiers,TRUE
Toy Soldiers: Cold War,TRUE
Ugly Americans: Apocalypsegeddon,TRUE
Wolfenstein 3D,TRUE
Zuma,TRUE
Braid,TRUE
DEUS EX: HUMAN REVOLUTION,TRUE
Doritos Crash Course,TRUE
Fable III,TRUE
Halo: Reach,TRUE
Hydro Thunder,TRUE
Iron Brigade,TRUE
Kane & Lynch 2,TRUE
Motocross Madness,TRUE
MS. PAC-MAN,TRUE
Peggle,TRUE
Portal: Still Alive,TRUE
Spelunky,TRUE
Splosion Man,TRUE
Ticket to Ride,TRUE
Zuma’s Revenge!,TRUE
The Witcher 2: Assassins of Kings,TRUE
Sam & Max Save the World,TRUE
Aegis Wing,TRUE
Counter-Strike: GO,TRUE
Age of Booty,TRUE
Space Giraffe,TRUE
Soulcalibur,TRUE
Skullgirls,TRUE
Jeremy McGrath’s Offroad,TRUE
Small Arms,TRUE
Trials HD,TRUE
LEGO Batman,TRUE
Alan Wake’s American Nightmare,TRUE
Sam & Max Beyond Time & Space,TRUE
Galaga,TRUE
Geometry Wars Evolved,TRUE
Carcassonne,TRUE
Alan Wake,TRUE
Castlevania: Symphony of the Night,TRUE
PAC-MAN,TRUE
Dark Void,TRUE
GRID 2,TRUE
Assassin’s Creed,TRUE
Tekken Tag Tournament 2,TRUE
Dark Souls,TRUE
Halo Wars,TRUE
Soul Calibur II HD,TRUE
The King of Fighters ’98 Ultimate Match,TRUE
Left 4 Dead 2,TRUE
