"year","make","model","carline_class","carline_broad","cyl","disp","air_asp","trans_desc","gears","drive_desc","fuel_type","mpg_city","mpg_hwy","mpg_mix","ann_fuel","condition","lux","trans_broad"
2012,"Porsche","boxster spyder","Two seaters","Cars",6,3.4,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",20,29,23,2577,"Used","Luxury","Automatic"
2012,"Porsche","boxster spyder","Two seaters","Cars",6,3.4,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",19,27,22,2696,"Used","Luxury","Manual"
2012,"Porsche","cayman","Two seaters","Cars",6,2.9,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",20,29,24,2471,"Used","Luxury","Automatic"
2012,"Porsche","cayman","Two seaters","Cars",6,2.9,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",19,27,22,2696,"Used","Luxury","Manual"
2012,"Porsche","cayman r","Two seaters","Cars",6,3.4,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",20,29,23,2577,"Used","Luxury","Automatic"
2012,"Porsche","cayman r","Two seaters","Cars",6,3.4,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",19,27,22,2696,"Used","Luxury","Manual"
2012,"Porsche","cayman s","Two seaters","Cars",6,3.4,"Naturally Aspirated","Automatic",7,"Rear Wheel Drive","Premium Gasoline",20,29,23,2577,"Used","Luxury","Automatic"
2012,"Porsche","cayman s","Two seaters","Cars",6,3.4,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",19,26,22,2696,"Used","Luxury","Manual"
2012,"Aston Martin","db9","Minicompact Cars","Cars",12,5.9,"Naturally Aspirated","Automated Manual",6,"Rear Wheel Drive","Premium Gasoline",13,20,15,3800,"Used","Super","Automatic"
2012,"Aston Martin","db9","Minicompact Cars","Cars",12,5.9,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",11,17,13,4385,"Used","Super","Manual"
2012,"Aston Martin","dbs","Minicompact Cars","Cars",12,5.9,"Naturally Aspirated","Automated Manual",6,"Rear Wheel Drive","Premium Gasoline",12,18,14,4071,"Used","Super","Automatic"
2012,"Aston Martin","dbs","Minicompact Cars","Cars",12,5.9,"Naturally Aspirated","Manual",6,"Rear Wheel Drive","Premium Gasoline",11,17,13,4385,"Used","Super","Manual"
2012,"Aston Martin","virage","Minicompact Cars","Cars",12,5.9,"Naturally Aspirated","Automated Manual",6,"Rear Wheel Drive","Premium Gasoline",13,18,15,3800,"Used","Super","Automatic"
2012,"FIAT","500","Minicompact Cars","Cars",4,1.4,"Naturally Aspirated","Automatic",6,"Front Wheel Drive","Premium Gasoline",27,34,30,1598,"Used","Family","Automatic"
2012,"FIAT","500","Minicompact Cars","Cars",4,1.4,"Naturally Aspirated","Manual",5,"Front Wheel Drive","Premium Gasoline",30,38,33,1454,"Used","Family","Manual"
2012,"FIAT","500 abarth","Minicompact Cars","Cars",4,1.4,"Turbocharged","Manual",5,"Front Wheel Drive","Premium Gasoline",28,34,31,1850,"Used","Family","Manual"
2012,"FIAT","500 cabrio","Minicompact Cars","Cars",4,1.4,"Naturally Aspirated","Automatic",6,"Front Wheel Drive","Premium Gasoline",27,32,29,1656,"Used","Family","Automatic"
2012,"Jaguar","jaguar xk","Minicompact Cars","Cars",8,5,"Naturally Aspirated","Automated Manual",6,"Rear Wheel Drive","Premium Gasoline",16,24,19,3117,"Used","Luxury","Automatic"
