"","Name","appid","Owners_Before","Owners_After","Sales","Increase","Price_Before_Sale","Review_Score_Steam_Users","Sale_Percent","Price_After_Sale","Owners_As_Of_Today","Players_Forever_As_Of_Today","average_forever.x","median_forever.x","owners","owners_variance","players_forever","players_forever_variance","players_2weeks","players_2weeks_variance","average_forever.y","average_2weeks","median_forever.y","median_2weeks","Price_Now","publisher","score","Review_Score_Metacritic_User","Review_Score_IGN","Genre","Release_Date","Review_Score_Metacritic","main_story_length","GameAge"
"47","Among the Sleep",250620,158088,179076,20988,13.28,14.99,86,50,7.49,167306,122441,224,143,158020,10280,116851,8841,2314,1508,227,139,130,192,14.99,"",66,74,73,"Adventure",2014-05-29,74,2,767
"48","Ampersand",410210,103972,109048,5076,4.88,0.99,35,51,0.49,112160,81503,255,209,118602,8907,81638,7390,1577,1027,220,99,214,132,0.99,"",NA,NA,NA,NA,2015-10-19,NA,NA,259
"49","An Alternative Reality The Football Manager Documentary",NA,126771,146258,19487,15.37,3.99,96,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","Angry Video Game Nerd",NA,10773,20155,9382,87.09,2.99,81,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Angry Video Game Nerd Adventures",237740,116749,124035,7286,6.24,9.99,89,50,4.99,119077,102253,264,111,123683,9095,106339,8434,1927,1135,221,58,129,42,9.99,"",77,74,NA,NA,2013-09-20,74,2.5,1018
"52","Angry Video Game Nerd II ASSimilation",NA,7766,12920,5154,66.37,14.99,94,20,11.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Angvik",278890,41087,48839,7752,18.87,2.99,82,50,1.49,49350,23927,124,32,46250,5562,24176,4021,787,889,130,31,30,48,2.99,"",NA,NA,NA,NA,2014-02-24,NA,1,861
"54","Annas Quest",NA,26055,31784,5729,21.99,19.99,92,60,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",75,72,NA,NA,2015-07-02,72,10,368
"55","Anno 2070",48240,803719,837242,33523,4.17,19.99,62,75,4.99,838771,776522,2144,692,818480,23373,767325,22633,12964,2945,2091,335,650,112,19.99,"Ubisoft",83,70,85,"Strategy",2011-12-02,70,22.5,1676
"56","Anno 2205",375910,58875,72871,13996,23.77,39.99,56,40,23.99,88046,82251,1517,888,86017,7585,81463,7382,6132,2025,1591,243,926,62,39.99,"",73,60,70,"Simulation",2015-11-04,60,21,243
"57","Anomaly Korea",251530,170865,178818,7953,4.65,4.99,81,80,0.99,183195,84868,143,86,181845,11028,81638,7390,1312,1148,160,56,94,95,4.99,"",NA,72,NA,NA,2013-11-06,72,3,971
"58","Anomaly Warzone Earth",91200,855079,874711,19632,2.3,9.99,89,80,1.99,870736,515563,167,80,888555,24351,515929,18566,2628,1326,160,172,79,132,9.99,"11 bit studios",80,73,80,"Action",2011-04-08,73,6,1914
"59","Anomaly Warzone Earth",91200,855079,874711,19632,2.3,9.99,89,80,1.99,870736,515563,167,80,888555,24351,515929,18566,2628,1326,160,172,79,132,9.99,"11 bit studios",80,73,82,"Action",2011-04-08,73,6,1914
"60","Aozora Meikyuu",427980,20042,25323,5281,26.35,4.99,80,30,3.49,29349,20189,226,213,23475,3963,14716,3137,1050,1026,179,140,190,247,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Aperture Tag The Paint Gun Testing Initiative",NA,103471,123519,20048,19.38,4.99,76,80,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,68,NA,NA,2014-07-15,68,3.5,720
"62","AquaNox 2 Revelation",NA,124516,129720,5204,4.18,4.99,75,75,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Encore Software, Inc.",59,79,60,"Shooter",2003-08-22,79,NA,4700
"63","Ara Fell",440540,0,9044,9044,0,9.99,89,25,7.49,10094,5421,202,203,10336,2629,5781,1966,1285,1124,218,167,216,274,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","ArcaniA",39690,369039,380118,11079,3,19.99,47,80,3.99,371250,153099,490,108,394349,16234,165728,10528,1752,1082,474,707,88,1270,19.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","ArcaniA Fall of Setarrif",NA,142805,147809,5004,3.5,14.99,27,80,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","ARK Survival Evolved",NA,3217384,3434243,216859,6.74,29.99,69,45,16.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Arkhelom 3D",373670,22548,28683,6135,27.21,3.99,40,50,1.99,24862,935,2,3,24702,4065,876,765,0,0,1,0,2,0,3.99,"",NA,NA,NA,NA,2015-05-29,NA,NA,402
"68","Arma 2",33900,1134678,1173689,39011,3.44,12.99,83,80,2.59,1142912,960278,347,35,1151863,27714,964587,25368,2453,1281,389,54,35,27,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Arma 2",33900,2965596,2995207,29611,1,12.99,83,80,2.59,1142912,960278,347,35,1151863,27714,964587,25368,2453,1281,389,54,35,27,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Arma 2",33910,2965596,2995207,29611,1,12.99,83,80,2.59,3036922,2486777,234,28,3027779,44804,2465074,40462,29432,4437,252,77,27,10,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Arma 2",33910,1134678,1173689,39011,3.44,12.99,83,80,2.59,3036922,2486777,234,28,3027779,44804,2465074,40462,29432,4437,252,77,27,10,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","Arma 2 Operation Arrowhead",NA,3891076,3959586,68510,1.76,19.99,92,80,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Arma 3",107410,2420680,2517152,96472,3.99,39.99,89,50,19.99,2554634,2509956,10292,2261,2565107,41269,2517455,40886,444453,17233,9588,894,2100,261,34.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Arma Gold Edition",NA,389834,398206,8372,2.15,9.99,71,80,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Armello",290340,121259,136181,14922,12.31,19.99,86,25,14.99,148425,137583,819,377,147333,9927,136121,9541,20147,3671,730,301,331,167,19.99,"",74,63,56,"Board",2015-09-01,63,1,307
"76","Assassinâ s CreedÂ Chronicles India",NA,9269,14987,5718,61.69,9.99,64,33,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","Assassinâ s CreedÂ Chronicles Russia",NA,6012,11886,5874,97.7,9.99,69,33,6.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Assassins Creed",NA,768644,783751,15107,1.97,19.99,83,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Assassins Creed Brotherhood",NA,809482,824321,14839,1.83,19.99,86,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ubisoft",88,82,80,"Action",2011-03-22,82,14.5,1931
"80","Assassins Creed Brotherhood",NA,809482,824321,14839,1.83,19.99,86,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ubisoft",88,82,80,"Action",2010-11-16,82,14.5,2057
"81","Assassins Creed II",NA,1113883,1135186,21303,1.91,19.99,82,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ubisoft",86,67,89,"Action",2010-03-09,67,18.5,2309
"82","Assassins Creed II",NA,1113883,1135186,21303,1.91,19.99,82,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ubisoft",86,67,92,"Action",2009-11-17,67,18.5,2421
"83","Assassins Creed IV Black Flag",NA,1063776,1177565,113789,10.7,29.99,88,75,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",84,76,85,"Action, Adventure",2013-10-29,76,21.5,979
"84","Assassins Creed Rogue",NA,162096,180885,18789,11.59,29.99,83,45,16.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",74,75,68,"Action",2014-11-15,75,9.5,597
"85","Assassins Creed Syndicate",NA,157587,176751,19164,12.16,39.99,72,35,25.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",75,57,82,"Action",2015-10-22,57,15.5,256
"86","Assassins Creed Unity",289650,308660,321976,13316,4.31,39.99,52,50,19.99,340219,301337,1624,989,340391,15084,293616,14010,16643,3337,1733,476,1102,133,29.99,"",70,27,78,"Action, Adventure",2014-11-11,27,16.5,601
"87","Atonement Scourge of Time",NA,48102,100520,52418,108.97,8.99,76,90,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-07-16,NA,NA,354
"88","Attrition Nuclear Domination",NA,127522,144450,16928,13.27,0.99,32,51,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2015-08-07,NA,NA,332
"89","Audiosurf",12900,1397490,1414525,17035,1.22,9.99,96,75,2.49,1350969,1201796,457,133,1436369,30935,1266786,29059,15241,3193,451,51,134,17,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Audiosurf 2",235800,193163,232050,38887,20.13,14.99,87,67,4.94,217591,204692,417,129,224241,12245,211102,11881,15066,3175,436,96,116,28,14.99,"",76,79,75,"Music, Action",2015-05-26,79,54,405
"91","Autumn",473520,39334,45479,6145,15.62,2.99,50,50,1.49,46173,36826,217,214,50104,5789,40293,5192,1506,1702,243,74,214,109,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Avernum 2 Crystal Souls",NA,12025,51940,39915,331.93,19.99,92,50,9.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",78,81,NA,NA,2015-01-14,81,NA,537
"93","Avernum 4",206020,71152,83724,12572,17.67,4.99,88,70,1.49,71035,14581,632,70,73929,7032,16643,3337,502,983,928,240,45,240,4.99,"",NA,85,NA,NA,2006-03-02,85,NA,3777
"94","Avernum 5",206040,70651,82173,11522,16.31,4.99,87,70,1.49,70287,4486,765,17,73054,6990,5256,1875,0,0,671,0,30,0,4.99,"",NA,80,NA,NA,2008-02-18,80,NA,3059
"95","Avernum 6",206060,72906,83724,10818,14.84,4.99,90,70,1.49,72343,11029,780,94,74630,7066,8759,2421,527,1031,1010,484,292,484,4.99,"",NA,78,NA,NA,2010-02-26,78,NA,2320
"96","Avernum Escape From the Pit",NA,90694,105430,14736,16.25,9.99,93,70,2.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",76,82,NA,NA,2012-04-11,82,NA,1545
"97","Awesomenauts",204300,1627733,1652777,25044,1.54,9.99,88,80,1.99,1685767,1264045,1595,359,1653252,33177,1230172,28637,24877,4079,1600,263,363,77,9.99,"Ronimo Games",78,81,70,"Shooter",2012-08-01,81,20,1433
"98","Axiom Verge",332200,59627,79848,20221,33.91,19.99,95,40,11.99,85616,72904,504,339,92499,7866,77083,7181,3329,1492,547,131,391,120,17.99,"",80,82,79,"Action",2015-05-14,82,10.5,417
"99","Axis Football 2015",370090,67644,73646,6002,8.87,14.99,75,25,11.24,84120,61314,333,335,89872,7753,66572,6673,1577,1027,335,190,337,246,14.99,"",NA,61,NA,NA,2015-07-15,61,NA,355
"100","Back to the Future Ep 1 Its About Time",NA,541909,562295,20386,3.76,19.99,90,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","BADLAND Game of the Year Edition",NA,38833,56591,17758,45.73,9.99,88,80,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",79,75,NA,NA,2015-05-26,75,5.5,405
"102","Baldurs Gate Enhanced Edition",NA,531637,579609,47972,9.02,19.99,83,60,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",78,72,81,"RPG",2012-11-30,72,29,1312
"103","Baldurs Gate II Enhanced Edition",NA,331459,362288,30829,9.3,19.99,80,60,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",78,78,83,"RPG",2013-11-27,78,52,950
"104","Banished",242920,1479415,1561043,81628,5.52,19.99,90,66,6.79,1553791,1431350,1785,675,1511174,31726,1394499,30482,68674,6778,1771,439,661,111,18.99,"",73,82,83,"Simulation",2014-02-18,82,17.5,867
"105","BASEBALL STARS 2",366230,9019,18863,9844,109.15,7.99,85,50,3.99,22245,2056,26,25,20147,3671,3679,1569,527,1031,16,13,13,13,7.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Batman Arkham Asylum GOTY Edition",NA,2601817,2631369,29552,1.14,19.99,96,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Batman Arkham City GOTY",NA,3046519,3097537,51018,1.67,19.99,96,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Batman Arkham Knight",NA,576734,621212,44478,7.71,29.99,54,50,14.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",71,21,92,"Action",2015-06-23,21,15,377
"109","Battle Dome",484870,1503,7493,5990,398.54,14.99,94,10,13.49,11029,9347,127,81,13139,2965,10161,2607,2057,1422,147,12,63,16,14.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Battle Mages Sign of Darkness",NA,4509,10336,5827,129.23,4.99,82,90,0.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,2014-07-24,NA,NA,711
"111","Battle Ranch",340070,45848,89667,43819,95.57,1.99,48,75,0.49,106178,72904,257,213,106339,8434,73929,7032,5956,1996,218,150,211,166,0.22,"",NA,NA,NA,NA,2015-02-02,NA,NA,518
"112","BattleBlock Theater",238460,1856973,2029536,172563,9.29,14.99,97,80,2.99,2037575,1778859,481,260,2043571,36864,1767825,34301,66922,6691,477,119,257,37,14.99,"",85,79,78,"Platformer",2014-05-15,79,9,781
"113","Battlefield Bad Company 2",NA,1629236,1736243,107007,6.57,19.99,88,75,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EA Games",87,83,89,"Shooter",2010-03-02,83,7,2316
"114","BeamNGdrive",NA,260307,299494,39187,15.05,24.99,87,25,18.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Beast Blaster",447880,35075,50131,15056,42.93,3.99,61,87,0.51,126367,84307,308,266,93025,7888,64995,6594,2628,1326,300,326,276,379,3.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Beatbuddy Tale of the Guardians",NA,367285,391229,23944,6.52,9.99,78,70,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",75,75,NA,NA,2013-08-06,75,5,1063
"117","BEEP",104200,554937,562812,7875,1.42,1.99,86,90,0.49,602861,382840,125,65,578121,19651,363516,15587,13489,3004,202,279,71,130,0.99,"",NA,71,NA,NA,2011-03-03,71,5.5,1950
"118","Bejeweled 2 Deluxe",3300,47601,57108,9507,19.97,4.99,96,75,1.24,58884,34770,1084,122,52206,5910,30658,4529,1076,1052,2212,319,142,469,4.99,"",NA,NA,78,"Puzzle",2005-06-27,NA,NA,4025
"119","Bejeweled Deluxe",3350,29062,35143,6081,20.92,4.99,83,75,1.24,35704,14394,1457,31,34862,4829,15417,3211,502,983,143,1,26,1,4.99,NA,NA,NA,NA,NA,NA,NA,NA,NA
