"#","Game","Owners before","Owners after","Sales","Increase","Price","Max discount","Userscore (Metascore)"
"136","Stardew Valley","1,191,549 ±33,733","1,399,796 ±37,122","208,247","17.48%","$14.99","20% ($11.99)","97% (88%)"
"30","BioShock Infinite","4,236,565 ±63,298","4,438,158 ±65,783","201,593","4.76%","$29.99","75% ($7.49)","95% (94%)"
"315","Age of Empires II HD: The African Kingdoms","379,311 ±19,057","574,699 ±23,817","195,388","51.51%","$9.99","50% ($4.99)","84% (N/A)"
"108","Prison Architect","1,551,570 ±38,471","1,746,321 ±41,441","194,751","12.55%","$29.99","75% ($7.49)","94% (83%)"
"32","Left 4 Dead","4,106,537 ±62,332","4,288,281 ±64,678","181,744","4.43%","$19.99","80% ($3.99)","94% (89%)"
"160","SpeedRunners","1,030,956 ±31,385","1,206,248 ±34,471","175,292","17%","$14.99","75% ($3.74)","94% (84%)"
"98","BattleBlock Theater","1,856,973 ±42,067","2,029,536 ±44,655","172,563","9.29%","$14.99","80% ($2.99)","97% (85%)"
"35","The Witcher 2: Assassins of Kings Enhanced Edition","3,945,442 ±61,113","4,115,406 ±63,379","169,964","4.31%","$19.99","85% ($2.99)","88% (88%)"
"6","The Elder Scrolls V: Skyrim","10,477,170 ±98,538","10,645,119 ±100,868","167,949","1.6%","$19.99","50% ($9.99)","93% (94%)"
"8","Portal","9,160,101 ±92,336","9,327,497 ±94,621","167,396","1.83%","$9.99","80% ($1.99)","98% (90%)"
"11","Terraria","7,427,895 ±83,383","7,592,545 ±85,608","164,650","2.22%","$9.99","50% ($4.99)","96% (83%)"
"110","Age of Empires III: Complete Collection","1,569,107 ±38,687","1,727,974 ±41,224","158,867","10.12%","$39.99","80% ($7.99)","90% (81%)"
"52","Torchlight II","3,102,388 ±54,265","3,259,042 ±56,477","156,654","5.05%","$19.99","80% ($3.99)","95% (88%)"
"104","South Park: The Stick of Truth","1,692,371 ±40,170","1,847,617 ±42,619","155,246","9.17%","$29.99","75% ($7.49)","97% (N/A)"
"153","This War of Mine","1,121,399 ±32,728","1,274,985 ±35,436","153,586","13.7%","$19.99","75% ($4.99)","95% (83%)"
"209","Rise of the Tomb Raider","745,846 ±26,707","898,743 ±29,769","152,897","20.5%","$59.99","35% ($38.99)","91% (86%)"
"7","Half-Life 2","9,433,687 ±93,663","9,585,388 ±95,880","151,701","1.61%","$9.99","80% ($1.99)","96% (96%)"
"450","Golf With Friends","188,653 ±13,443","335,930 ±18,216","147,277","78.07%","$5.99","20% ($4.79)","92% (N/A)"
"92","Middle-earth: Shadow of Mordor","2,009,049 ±43,745","2,155,123 ±46,007","146,074","7.27%","$19.99","75% ($9.99)","92% (N/A)"
"112","Undertale","1,557,082 ±38,539","1,700,066 ±40,891","142,984","9.18%","$9.99","30% ($6.99)","96% (92%)"
"386","Fable Anniversary","292,626 ±16,740","434,642 ±20,717","142,016","48.53%","$34.99","85% ($5.24)","72% (N/A)"
"281","Hotline Miami 2: Wrong Number","548,924 ±22,919","681,680 ±25,935","132,756","24.18%","$14.99","75% ($3.74)","89% (N/A)"
"4","Half-Life 2: Deathmatch","13,505,650 ±111,320","13,634,900 ±113,601","129,250","0.96%","$4.99","80% ($0.99)","89% (N/A)"
"37","Rust","3,869,780 ±60,531","3,997,830 ±62,479","128,050","3.31%","$19.99","50% ($9.99)","81% (N/A)"
"20","Half-Life","5,627,542 ±72,790","5,754,747 ±74,751","127,205","2.26%","$9.99","80% ($1.99)","96% (96%)"
"69","Dark Souls: Prepare to Die Edition","2,507,866 ±48,836","2,632,661 ±50,811","124,795","4.98%","$19.99","75% ($4.99)","89% (85%)"
"23","Half-Life: Opposing Force","5,129,476 ±69,550","5,251,626 ±71,466","122,150","2.38%","$4.99","80% ($0.99)","95% (N/A)"
"24","Half-Life: Blue Shift","5,113,191 ±69,441","5,230,437 ±71,324","117,246","2.29%","$4.99","80% ($0.99)","90% (71%)"
"22","Team Fortress Classic","5,141,752 ±69,631","5,258,345 ±71,511","116,593","2.27%","$4.99","80% ($0.99)","83% (N/A)"
"163","Assassin's Creed IV Black Flag","1,063,776 ±31,879","1,177,565 ±34,060","113,789","10.7%","$29.99","75% ($7.49)","88% (N/A)"
"231","Subnautica","696,490 ±25,810","808,817 ±28,244","112,327","16.13%","$19.99","40% ($11.99)","92% (N/A)"
"212","Age of Mythology: Extended Edition","766,139 ±27,067","877,295 ±29,413","111,156","14.51%","$29.99","80% ($5.99)","82% (66%)"
"260","Tom Clancy's Rainbow Six Siege","628,845 ±24,527","738,013 ±26,983","109,168","17.36%","$49.99","40% ($29.99)","76% (N/A)"
"254","Tabletop Simulator","647,385 ±24,886","755,843 ±27,306","108,458","16.75%","$19.99","50% ($9.99)","93% (N/A)"
"109","Battlefield: Bad Company 2","1,629,236 ±39,417","1,736,243 ±41,322","107,007","6.57%","$19.99","75% ($4.99)","88% (87%)"
"149","Spore","1,203,575 ±33,902","1,308,836 ±35,901","105,261","8.75%","$19.99","75% ($4.99)","87% (84%)"
"171","Metro: Last Light Redux","999,138 ±30,899","1,102,627 ±32,963","103,489","10.36%","$19.99","75% ($4.99)","91% (76%)"
"48","Fallout 4","3,258,472 ±55,599","3,361,113 ±57,345","102,641","3.15%","$59.99","50% ($29.99)","77% (84%)"
"177","Metro 2033 Redux","972,080 ±30,479","1,070,067 ±32,474","97,987","10.08%","$19.99","75% ($4.99)","89% (N/A)"
"29","Don't Starve Together Beta","4,401,168 ±64,499","4,497,850 ±66,218","96,682","2.2%","$14.99","35% ($9.74)","96% (83%)"
"75","Arma 3","2,420,680 ±47,986","2,517,152 ±49,693","96,472","3.99%","$39.99","50% ($19.99)","89% (74%)"
"67","Mirror's Edge","2,561,982 ±49,355","2,656,176 ±51,035","94,194","3.68%","$19.99","75% ($4.99)","89% (81%)"
"55","Castle Crashers","2,902,711 ±52,506","2,994,949 ±54,163","92,238","3.18%","$14.99","80% ($2.99)","96% (N/A)"
"134","Mass Effect","1,348,635 ±35,878","1,438,816 ±37,634","90,181","6.69%","$19.99","75% ($4.99)","94% (89%)"
"449","ShellShock Live","246,778 ±15,374","336,447 ±18,230","89,669","36.34%","$6.99","35% ($4.54)","88% (N/A)"
"206","Sniper Elite 3","828,773 ±28,149","918,382 ±30,092","89,609","10.81%","$49.99","80% ($9.99)","81% (N/A)"
"498","NBA 2K16","188,904 ±13,452","276,755 ±16,535","87,851","46.51%","$59.99","80% ($11.99)","46% (N/A)"
"199","The Sims(TM) 3","859,839 ±28,670","947,065 ±30,556","87,226","10.14%","$19.99","75% ($4.99)","85% (86%)"
"33","Tomb Raider","4,104,282 ±62,315","4,191,120 ±63,951","86,838","2.12%","$19.99","75% ($4.99)","95% (86%)"
"99","Hotline Miami","1,884,783 ±42,379","1,971,136 ±44,012","86,353","4.58%","$9.99","75% ($2.49)","97% (85%)"
"488","Sonic CD","200,679 ±13,865","286,574 ±16,826","85,895","42.8%","$4.99","50% ($2.49)","93% (N/A)"
"103","Company of Heroes 2","1,771,791 ±41,096","1,856,920 ±42,726","85,129","4.8%","$29.99","75% ($8.74)","77% (80%)"
"582","Guardians of Orion","122,512 ±10,834","207,501 ±14,319","84,989","69.37%","$0.99","51% ($0.49)","64% (N/A)"
"280","Just Cause 3","599,282 ±23,945","682,972 ±25,959","83,690","13.97%","$59.99","50% ($29.99)","65% (74%)"
"301","Rise of Nations: Extended Edition","516,605 ±22,235","599,765 ±24,330","83,160","16.1%","$19.99","80% ($3.99)","91% (89%)"
"19","Half-Life 2: Episode One","5,960,003 ±74,869","6,042,355 ±76,561","82,352","1.38%","$7.99","80% ($1.59)","95% (87%)"
"122","Banished","1,479,415 ±37,570","1,561,043 ±39,192","81,628","5.52%","$19.99","66% ($6.79)","90% (N/A)"
"338","DRAGON BALL XENOVERSE","432,926 ±20,357","514,490 ±22,537","81,564","18.84%","$49.99","75% ($12.49)","88% (N/A)"
"2","Counter-Strike: Source","14,869,820 ±116,543","14,950,456 ±118,698","80,636","0.54%","$19.99","0% ($19.99)","95% (88%)"
"142","Call of Duty: World at War","1,302,036 ±35,256","1,381,191 ±36,876","79,155","6.08%","$19.99","50% ($9.99)","93% (83%)"
"207","Plague Inc: Evolved","837,291 ±28,293","915,798 ±30,049","78,507","9.38%","$14.99","40% ($8.99)","94% (N/A)"
"515","Punch Club","188,152 ±13,426","266,160 ±16,216","78,008","41.46%","$9.99","75% ($2.49)","79% (73%)"
"329","Crypt of the NecroDancer","457,980 ±20,937","535,679 ±22,996","77,699","16.97%","$14.99","75% ($3.74)","97% (87%)"
"12","Day of Defeat","7,365,260 ±83,039","7,442,927 ±84,781","77,667","1.05%","$4.99","75% ($1.24)","90% (79%)"
"827","Learn Japanese To Survive - Hiragana Battle","19,541 ±4,328","96,127 ±9,748","76,586","391.92%","$6.99","60% ($2.79)","96% (N/A)"
"16","Half-Life Deathmatch: Source","6,446,294 ±77,802","6,521,702 ±79,478","75,408","1.17%","$9.99","80% ($1.99)","75% (N/A)"
"909","Supraball (closed testing)","4,760 ±2,136","79,848 ±8,884","75,088","1577.48%","$9.99","60% ($3.99)","67% (N/A)"
"18","Day of Defeat: Source","6,172,959 ±76,168","6,247,531 ±77,824","74,572","1.21%","$9.99","75% ($2.49)","91% (80%)"
"14","Ricochet","7,235,232 ±82,320","7,309,588 ±84,036","74,356","1.03%","$4.99","80% ($0.99)","80% (N/A)"
"236","Total War: WARHAMMER","716,282 ±26,174","790,470 ±27,923","74,188","10.36%","$59.99","0% ($59.99)","65% (86%)"
"387","Saints Row: Gat out of Hell","360,270 ±18,573","434,383 ±20,711","74,113","20.57%","$14.99","75% ($3.74)","75% (66%)"
"72","Grand Theft Auto: San Andreas","2,555,969 ±49,298","2,630,077 ±50,786","74,108","2.9%","$14.99","75% ($3.74)","86% (93%)"
"486","Black Mesa","216,212 ±14,391","290,192 ±16,932","73,980","34.22%","$19.99","60% ($7.99)","93% (86%)"
"80","Cities: Skylines","2,358,296 ±47,368","2,431,102 ±48,843","72,806","3.09%","$29.99","60% ($11.99)","93% (85%)"
"428","Youtubers Life","300,392 ±16,961","372,624 ±19,184","72,232","24.05%","$14.99","15% ($12.74)","81% (N/A)"
"412","Sonic Adventure 2","320,686 ±17,524","392,005 ±19,676","71,319","22.24%","$9.99","50% ($4.99)","86% (N/A)"
"57","Euro Truck Simulator 2","2,816,777 ±51,730","2,887,968 ±53,196","71,191","2.53%","$22.99","70% ($6.89)","97% (79%)"
"417","Firewatch","318,932 ±17,476","389,679 ±19,618","70,747","22.18%","$19.99","33% ($13.39)","85% (81%)"
"221","Valkyria Chronicles","773,655 ±27,199","844,219 ±28,854","70,564","9.12%","$19.99","75% ($4.99)","92% (N/A)"
"13","Deathmatch Classic","7,250,264 ±82,404","7,320,183 ±84,095","69,919","0.96%","$4.99","75% ($1.24)","84% (N/A)"
"56","Borderlands","2,849,096 ±52,024","2,918,718 ±53,476","69,622","2.44%","$19.99","75% ($4.99)","94% (81%)"
"389","Hurtworld","360,270 ±18,573","429,732 ±20,600","69,462","19.28%","$24.99","40% ($14.99)","79% (N/A)"
"39","Arma 2: Operation Arrowhead","3,891,076 ±60,696","3,959,586 ±62,183","68,510","1.76%","$19.99","80% ($3.99)","92% (73%)"
"121","Mass Effect 2","1,511,233 ±37,970","1,579,390 ±39,421","68,157","4.51%","$19.99","75% ($4.99)","95% (94%)"
"131","Dying Light","1,388,721 ±36,405","1,456,646 ±37,865","67,925","4.89%","$59.99","50% ($29.99)","92% (87%)"
"220","Mad Max","780,169 ±27,313","846,544 ±28,894","66,375","8.51%","$29.99","66% ($20.39)","90% (73%)"
"313","Multiwinia","511,845 ±22,132","577,541 ±23,876","65,696","12.84%","$9.99","85% ($1.49)","85% (76%)"
"963","Outrage","4,509 ±2,079","69,253 ±8,274","64,744","1435.88%","$3.99","55% ($1.79)","69% (N/A)"
"105","Warhammer 40,000: Dawn of War II - Chaos Rising","1,745,735 ±40,794","1,810,406 ±42,190","64,671","3.7%","$19.99","75% ($4.99)","91% (85%)"
"211","Darkest Dungeon","819,002 ±27,983","883,238 ±29,512","64,236","7.84%","$24.99","40% ($14.99)","85% (84%)"
"44","Magicka","3,482,953 ±57,462","3,547,167 ±58,894","64,214","1.84%","$9.99","75% ($2.49)","94% (74%)"
"556","SONIC THE HEDGEHOG 4 Episode II","159,090 ±12,346","222,489 ±14,827","63,399","39.85%","$9.99","50% ($7.49)","81% (54%)"
"916","City of Chains","15,282 ±3,827","78,556 ±8,812","63,274","414.04%","$8.99","90% ($0.89)","88% (N/A)"
"551","Sonic and All-Stars Racing Transformed Metal Sonic DLC Pack","164,101 ±12,539","227,140 ±14,981","63,039","38.41%","$2.99","% ($0)","94% (N/A)"
"767","Sonic Lost World","53,113 ±7,134","116,025 ±10,709","62,912","118.45%","$29.99","50% ($14.99)","68% (N/A)"
"284","Ryse: Son of Rome","601,036 ±23,980","663,591 ±25,589","62,555","10.41%","$19.99","75% ($4.99)","83% (61%)"
"647","Please, Dont Touch Anything","105,726 ±10,065","168,223 ±12,894","62,497","59.11%","$4.99","80% ($0.99)","84% (N/A)"
"289","Gauntlet","581,744 ±23,593","643,952 ±25,208","62,208","10.69%","$19.99","75% ($4.99)","75% (N/A)"
"421","Dragon's Dogma: Dark Arisen","320,936 ±17,531","382,443 ±19,435","61,507","19.16%","$29.99","33% ($20.09)","89% (81%)"
"138","Outlast","1,324,333 ±35,555","1,385,583 ±36,934","61,250","4.62%","$19.99","75% ($4.99)","96% (80%)"
"352","Sonic Adventure DX","424,658 ±20,162","485,807 ±21,901","61,149","14.4%","$7.99","50% ($3.99)","80% (N/A)"
"76","Dishonored","2,454,251 ±48,315","2,515,343 ±49,675","61,092","2.49%","$9.99","50% ($4.99)","97% (91%)"
"317","Tales from the Borderlands","507,085 ±22,029","567,980 ±23,678","60,895","12.01%","$24.99","66% ($8.49)","95% (N/A)"
"293","Darwinia","570,470 ±23,363","631,290 ±24,960","60,820","10.66%","$9.99","85% ($1.49)","78% (84%)"
"999","Purgatory","2,755 ±1,625","63,309 ±7,911","60,554","2197.97%","$0.99","30% ($0.69)","56% (N/A)"
"34","PAYDAY: The Heist","4,105,535 ±62,324","4,165,537 ±63,759","60,002","1.46%","$14.99","90% ($1.5)","93% (76%)"
"971","Elements II: Hearts of Light","8,267 ±2,815","68,219 ±8,212","59,952","725.2%","$4.99","90% ($1.99)","94% (N/A)"
"272","Broforce","642,124 ±24,785","701,577 ±26,310","59,453","9.26%","$14.99","60% ($5.99)","97% (83%)"
"87","Mount & Blade: Warband","2,200,458 ±45,767","2,259,778 ±47,103","59,320","2.7%","$19.99","75% ($4.99)","96% (78%)"
"106","Warhammer 40,000: Dawn of War II Retribution","1,744,733 ±40,783","1,803,946 ±42,115","59,213","3.39%","$29.99","75% ($7.49)","92% (N/A)"
"991","Insincere","6,513 ±2,498","65,377 ±8,039","58,864","903.79%","$3.99","59% ($1.63)","43% (N/A)"
"184","DARK SOULS III","955,043 ±30,211","1,013,734 ±31,610","58,691","6.15%","$59.99","25% ($44.99)","81% (89%)"
"772","Elements: Soul of Fire","54,616 ±7,235","112,924 ±10,565","58,308","106.76%","$7.99","90% ($1.59)","51% (N/A)"
"68","H1Z1: King of the Kill","2,585,282 ±49,578","2,643,514 ±50,915","58,232","2.25%","$19.99","35% ($12.99)","64% (N/A)"
"246","Pillars of Eternity","714,027 ±26,132","771,864 ±27,593","57,837","8.1%","$44.99","60% ($17.99)","88% (89%)"
"111","Grand Theft Auto: Vice City","1,644,268 ±39,598","1,701,875 ±40,913","57,607","3.5%","$9.99","75% ($2.49)","91% (94%)"
"42","Chivalry: Medieval Warfare","3,688,893 ±59,117","3,746,399 ±60,506","57,506","1.56%","$24.99","85% ($3.74)","84% (79%)"
"561","Sonic and SEGA All Stars Racing","160,092 ±12,385","217,579 ±14,663","57,487","35.91%","$9.99","50% ($4.99)","78% (65%)"
"771","They Came From The Moon","56,120 ±7,334","113,182 ±10,577","57,062","101.68%","$1.99","75% ($0.49)","52% (N/A)"
"540","SONIC THE HEDGEHOG 4 Episode I","179,383 ±13,109","236,443 ±15,285","57,060","31.81%","$9.99","50% ($4.99)","53% (N/A)"
"406","Zombie Army Trilogy","337,472 ±17,976","394,072 ±19,728","56,600","16.77%","$44.99","80% ($8.99)","87% (72%)"
"830","Data Hacker: Reboot","38,081 ±6,041","94,577 ±9,669","56,496","148.36%","$4.99","90% ($0.49)","62% (N/A)"
"17","Borderlands 2","6,307,246 ±76,976","6,363,556 ±78,529","56,310","0.89%","$19.99","75% ($4.99)","96% (89%)"
"86","Company of Heroes: Opposing Fronts","2,222,756 ±45,997","2,278,642 ±47,298","55,886","2.51%","$19.99","75% ($4.99)","93% (87%)"
"253","DEFCON","703,505 ±25,940","758,427 ±27,353","54,922","7.81%","$9.99","85% ($1.49)","88% (84%)"
"164","Game Dev Tycoon","1,121,650 ±32,732","1,176,531 ±34,045","54,881","4.89%","$9.99","33% ($6.69)","95% (68%)"
"101","The Stanley Parable","1,843,945 ±41,920","1,898,265 ±43,196","54,320","2.95%","$14.99","80% ($2.99)","91% (88%)"
"618","Party Hard","127,522 ±11,054","181,402 ±13,389","53,880","42.25%","$12.89","75% ($3.22)","87% (64%)"
"337","The Culling","461,738 ±21,023","515,524 ±22,560","53,786","11.65%","$14.99","15% ($12.74)","70% (N/A)"
"781","Data Hacker: Corruption","56,370 ±7,350","109,565 ±10,407","53,195","94.37%","$2.99","80% ($0.59)","51% (N/A)"
"128","7 Days to Die","1,429,308 ±36,931","1,482,486 ±38,198","53,178","3.72%","$24.99","60% ($9.99)","80% (N/A)"
"96","Company of Heroes: Tales of Valor","2,004,038 ±43,690","2,057,186 ±44,956","53,148","2.65%","$19.99","75% ($4.99)","94% (70%)"
"398","The Vanishing of Ethan Carter","358,266 ±18,521","411,385 ±20,156","53,119","14.83%","$19.99","80% ($3.99)","89% (82%)"
"597","RWBY: Grimm Eclipse","143,557 ±11,728","196,648 ±13,940","53,091","36.98%","$24.99","50% ($9.99)","87% (N/A)"
"749","Data Hacker: Initiation","69,398 ±8,155","122,485 ±11,003","53,087","76.5%","$2.99","80% ($0.59)","72% (N/A)"
"107","Space Engineers","1,731,455 ±40,628","1,784,307 ±41,887","52,852","3.05%","$24.99","70% ($7.49)","89% (N/A)"
"814","Atonement: Scourge of Time","48,102 ±6,790","100,520 ±9,968","52,418","108.97%","$8.99","90% ($0.89)","76% (N/A)"
"58","The Witcher: Enhanced Edition","2,818,030 ±51,742","2,870,138 ±53,033","52,108","1.85%","$9.99","85% ($1.49)","85% (86%)"
"285","Uplink","605,044 ±24,060","657,131 ±25,465","52,087","8.61%","$9.99","85% ($1.49)","92% (75%)"
"208","XCOM 2","858,336 ±28,645","910,113 ±29,956","51,777","6.03%","$59.99","40% ($35.99)","76% (88%)"
"378","Project CARS","395,095 ±19,449","446,787 ±21,004","51,692","13.08%","$29.99","50% ($14.99)","76% (83%)"
"239","DARK SOULS II: Scholar of the First Sin","733,569 ±26,487","785,043 ±27,827","51,474","7.02%","$39.99","66% ($13.59)","86% (80%)"
"102","Serious Sam 3: BFE","1,808,369 ±41,516","1,859,762 ±42,758","51,393","2.84%","$39.99","90% ($3.99)","89% (72%)"
"53","Batman: Arkham City GOTY","3,046,519 ±53,779","3,097,537 ±55,074","51,018","1.67%","$19.99","75% ($4.99)","96% (91%)"
"444","Gang Beasts","295,632 ±16,826","346,266 ±18,494","50,634","17.13%","$19.99","25% ($14.99)","79% (N/A)"
"73","Warhammer 40,000: Dawn of War II","2,541,688 ±49,161","2,592,091 ±50,421","50,403","1.98%","$19.99","75% ($4.99)","88% (85%)"
"158","Wolfenstein: The New Order","1,165,494 ±33,363","1,215,809 ±34,607","50,315","4.32%","$19.99","50% ($9.99)","84% (81%)"
"607","Tales of Zestiria","136,291 ±11,427","185,795 ±13,550","49,504","36.32%","$49.99","60% ($19.99)","89% (77%)"
"844","Invasion: Brain Craving","41,338 ±6,294","90,701 ±9,469","49,363","119.41%","$0.99","40% ($0.59)","46% (N/A)"
"97","The Walking Dead","1,982,742 ±43,459","2,031,862 ±44,681","49,120","2.48%","$24.99","75% ($6.24)","97% (82%)"
"60","Call of Duty: Black Ops II","2,787,965 ±51,468","2,836,545 ±52,725","48,580","1.74%","$99.99","67% ($19.79)","85% (74%)"
"61","Call of Duty: Black Ops II - Multiplayer","2,787,965 ±51,468","2,836,545 ±52,725","48,580","1.74%","$99.99","67% ($19.79)","N/A (74%)"
"83","Darksiders","2,323,472 ±47,020","2,371,669 ±48,246","48,197","2.07%","$19.99","80% ($3.99)","89% (83%)"
"312","Baldur's Gate: Enhanced Edition","531,637 ±22,556","579,609 ±23,918","47,972","9.02%","$19.99","60% ($7.99)","83% (78%)"
"688","Satellite Reign","98,711 ±9,726","146,517 ±12,034","47,806","48.43%","$29.99","67% ($9.89)","81% (75%)"
"295","Spore: Galactic Adventures","580,993 ±23,578","628,706 ±24,909","47,713","8.21%","$19.99","75% ($4.99)","78% (70%)"
"1056","Cube Destroyer","4,509 ±2,079","52,198 ±7,183","47,689","1057.64%","$2.99","82% ($0.53)","87% (N/A)"
"325","Who's Your Daddy","503,076 ±21,942","550,409 ±23,309","47,333","9.41%","$4.99","0% ($4.99)","79% (N/A)"
"38","Grand Theft Auto IV","3,937,676 ±61,054","3,984,910 ±62,379","47,234","1.2%","$19.99","75% ($4.99)","65% (90%)"
"167","Brothers - A Tale of Two Sons","1,114,885 ±32,633","1,161,802 ±33,832","46,917","4.21%","$14.99","90% ($1.49)","95% (90%)"
"255","Tropico 5","708,766 ±26,036","755,326 ±27,297","46,560","6.57%","$24.99","75% ($6.24)","74% (75%)"
"1007","AI: Rampage","15,533 ±3,858","62,017 ±7,830","46,484","299.26%","$1.99","75% ($0.49)","18% (N/A)"
"192","Worms Revolution","932,996 ±29,862","979,366 ±31,072","46,370","4.97%","$14.99","85% ($2.24)","85% (73%)"
"243","Bully: Scholarship Edition","734,321 ±26,500","780,650 ±27,749","46,329","6.31%","$14.99","80% ($3)","87% (72%)"
"117","Natural Selection 2","1,589,401 ±38,935","1,635,722 ±40,114","46,321","2.91%","$9.99","50% ($4.99)","84% (80%)"
"287","Worms Armageddon","601,036 ±23,980","647,312 ±25,274","46,276","7.7%","$14.99","85% ($2.24)","93% (N/A)"
"642","Hyper Light Drifter","126,520 ±11,010","172,616 ±13,061","46,096","36.43%","$19.99","20% ($15.99)","93% (84%)"
"63","Company of Heroes","2,779,447 ±51,390","2,824,916 ±52,617","45,469","1.64%","$19.99","75% ($4.99)","95% (93%)"
"720","NEKOPARA Vol. 2","91,195 ±9,348","135,922 ±11,590","44,727","49.05%","$9.99","33% ($6.69)","98% (N/A)"
"130","Grand Theft Auto III","1,424,798 ±36,873","1,469,308 ±38,029","44,510","3.12%","$9.99","75% ($2.49)","88% (93%)"
"299","Batman: Arkham Knight","576,734 ±23,491","621,212 ±24,760","44,478","7.71%","$29.99","50% ($14.99)","54% (N/A)"
"701","TIS-100","97,458 ±9,664","141,866 ±11,841","44,408","45.57%","$6.99","50% ($3.49)","97% (N/A)"
"181","METAL GEAR SOLID V: THE PHANTOM PAIN","998,135 ±30,883","1,042,418 ±32,053","44,283","4.44%","$39.99","30% ($27.99)","87% (91%)"
"1020","Rabiez: Epidemic","15,032 ±3,795","59,175 ±7,648","44,143","293.66%","$1.99","75% ($0.49)","33% (N/A)"
"986","Project Starship","22,548 ±4,649","66,669 ±8,118","44,121","195.68%","$0.99","51% ($0.49)","84% (N/A)"
"250","Sonic & All-Stars Racing Transformed","719,038 ±26,224","763,078 ±27,436","44,040","6.12%","$19.99","50% ($9.99)","95% (79%)"
"21","Half-Life 2: Episode Two","5,420,349 ±71,461","5,464,296 ±72,874","43,947","0.81%","$7.99","80% ($1.59)","95% (90%)"
"855","Battle Ranch","45,848 ±6,629","89,667 ±9,415","43,819","95.57%","$1.99","75% ($0.49)","48% (N/A)"
"587","How to Survive 2","160,844 ±12,414","204,659 ±14,221","43,815","27.24%","$14.99","70% ($4.49)","71% (N/A)"
"129","Papers, Please","1,426,552 ±36,896","1,470,341 ±38,042","43,789","3.07%","$9.99","50% ($4.99)","96% (85%)"
"49","Killing Floor","3,257,470 ±55,591","3,301,162 ±56,837","43,692","1.34%","$19.99","75% ($4.99)","96% (72%)"
"984","State of Anarchy","23,299 ±4,725","66,927 ±8,134","43,628","187.25%","$0.99","51% ($0.49)","88% (N/A)"
"25","Call of Duty: Modern Warfare 2","4,840,858 ±67,596","4,884,429 ±68,962","43,571","0.9%","$19.99","50% ($9.99)","90% (86%)"
"26","Call of Duty: Modern Warfare 2 - Multiplayer","4,840,858 ±67,596","4,884,429 ±68,962","43,571","0.9%","$19.99","50% ($9.99)","90% (86%)"
"113","Medieval II: Total War","1,641,011 ±39,559","1,684,562 ±40,705","43,551","2.65%","$19.99","75% ($4.99)","95% (88%)"
"50","Call of Duty: Modern Warfare 3","3,225,151 ±55,317","3,268,603 ±56,559","43,452","1.35%","$39.99","50% ($19.99)","N/A (N/A)"
"51","Call of Duty: Modern Warfare 3 - Multiplayer","3,225,151 ±55,317","3,268,603 ±56,559","43,452","1.35%","$39.99","50% ($19.99)","N/A (N/A)"
"603","Portal Knights","147,816 ±11,900","190,963 ±13,737","43,147","29.19%","$14.99","33% ($10.04)","85% (N/A)"
"288","Sonic Generations","603,792 ±24,035","646,536 ±25,259","42,744","7.08%","$19.99","50% ($14.99)","93% (77%)"
"94","Crysis 2 Maximum Edition","2,062,162 ±44,315","2,104,733 ±45,469","42,571","2.06%","$29.99","75% ($7.49)","81% (N/A)"
"790","The Red Solstice","65,139 ±7,901","107,497 ±10,308","42,358","65.03%","$19.99","60% ($7.99)","83% (74%)"
