"","isbn","title","authors","publishedDate","publisher","categories","pageCount","averageRating","ratingsCount","maturityRating","imageThumbnail","infoLink","textSnippet"
"11","096574373X","Night Magic","Charlotte Vale Allen","1989-12-01","Island Nation Press LLC","Fiction",271,5,3,"MATURE","http://books.google.com/books/content?id=rSo9k1e1fFoC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=rSo9k1e1fFoC&dq=isbn:096574373X&hl=&source=gbs_api","&quot;In &quot;Night Magic&quot;, Charlotte Vale Allen rewrites &quot;The Phantom of the Opera&quot; and sets it in a Connecticut suburb&quot;.--&quot;New York Post&quot;."
"12","155166030X","Dreaming in Color","Charlotte Vale Allen","1995","Mira Books","Fiction",442,2,1,"NOT_MATURE","http://books.google.com/books/content?id=QfEuIDQKAfMC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=QfEuIDQKAfMC&dq=isbn:155166030X&hl=&source=gbs_api","Two-time New York Times bestselling author, Charlotte Vale Allen, delivers an intriguing and thoroughly engrossing story about three women and the bond that develops between them in their struggle for happiness."
"13","185306386X","Ghosts of Bedfordshire","Betty Puttick","1996","Countryside Books (GB)","Ghosts",96,4,1,"NOT_MATURE","http://books.google.com/books/content?id=JBzXAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=JBzXAAAAMAAJ&dq=isbn:185306386X&hl=&source=gbs_api","Presents a collection of twenty stories, including, amongst others, ghosts at Flitwick Manor, Woburn Abbey, Luton Museum and Henlow Grange."
"14","0451406176","The Duke","Catherine Coulter","1995","Penguin","Great Britain",382,2.5,2,"NOT_MATURE","http://books.google.com/books/content?id=L5khykc5nuYC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=L5khykc5nuYC&dq=isbn:0451406176&hl=&source=gbs_api","Originally published as &quot;The Generous Earl, &quot; Coulter rewrote her book in 1995 as a historical romance with a touch of mystery added."
"15","1572231319","101 Uses for a Lab","","1998","Willow Creek Press","Pets",101,4,1,"NOT_MATURE","http://books.google.com/books/content?id=qNENC7mvmmUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","https://play.google.com/store/books/details?id=qNENC7mvmmUC&source=gbs_api","101 Uses for a Lab is a whimsical look at the many roles the Lab in your life can fill. Garbage disposal, car alarm, athlete, border patrol, fishing buddy, and dishwasher...these are just a few of the Lab&#39;s many hidden talents."
"16","0786710977","Keeping Faith","Frank Schaeffer, John Schaeffer","2002","Da Capo Press","Biography & Autobiography",261,5,1,"NOT_MATURE","http://books.google.com/books/content?id=W9uUPwAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=W9uUPwAACAAJ&dq=isbn:0786710977&hl=&source=gbs_api","A dual memoir written in the alternating voices of both authors follows how the youngest son of a privileged New England family joined the Marines, and how experiences reshaped his father&#39;s beliefs about the characters of people in the ..."
"17","0812533453","Mother of Storms","John Barnes","1995-05-15","Macmillan","Fiction",560,4,1,"NOT_MATURE","http://books.google.com/books/content?id=1nDszXE155QC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=1nDszXE155QC&dq=isbn:0812533453&hl=&source=gbs_api","Vast in scope, yet intimate in personal detail, Mother of Storms is a visionary fusion of cutting-edge cyberspace fiction and heart-stopping storytelling in the grand tradition, filled with passion, tragedy, and the triumph of the human ..."
"18","0812564618","Vulcan's Forge","Jack B. Du Brul","1999-01-15","Forge Books","Fiction",384,4,1,"NOT_MATURE","http://books.google.com/books/content?id=K23aHAAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=K23aHAAACAAJ&dq=isbn:0812564618&hl=&source=gbs_api","When Mercer learns that the daughter of an old friend is being kept under armed guard in a local hospital, he vows to rescue her, not knowing that this is the first step in unraveling the fantastic secrets of...Vulcan&#39;s Forge."
"19","0439372836","Santa Paws, Our Hero","Nicholas Edwards","2002","Scholastic Paperbacks","Juvenile Fiction",166,4,1,"NOT_MATURE","http://books.google.com/books/content?id=8iklGwAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=8iklGwAACAAJ&dq=isbn:0439372836&hl=&source=gbs_api","After performing yet another brave rescue while spending the Christmas holidays in Boston with his family, Santa Paws gets separated from them and has no idea how to get back in time for Christmas morning."
"20","1853261483","The Water Babies","Charles Kingsley","1994","Wordsworth Editions","Juvenile Fiction",214,3.5,17,"NOT_MATURE","http://books.google.com/books/content?id=nIZmE3TjOk0C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=nIZmE3TjOk0C&dq=isbn:1853261483&hl=&source=gbs_api","The adventures of Tom, a sooty little chimney sweep with a great longing to be clean, who is stolen by fairies and turned into a water baby."
"21","0312953011","Love's Blood","Clark Howard","1994-08-15","Macmillan","True Crime",528,5,2,"NOT_MATURE","http://books.google.com/books/content?id=Nka4vTCW5pwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=Nka4vTCW5pwC&dq=isbn:0312953011&hl=&source=gbs_api","A portrait of a teenage girl convicted in the brutal slayings of her father, mother, and brother looks at the causes and aftermath of the crime"
"22","0876120826","Autobiography of a Yogi","Paramahansa Yogananda","1998","Self-Realization Fellowship Publishers","Biography & Autobiography",520,4,7,"NOT_MATURE","http://books.google.com/books/content?id=QuMQAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=QuMQAQAAIAAJ&dq=isbn:0876120826&hl=&source=gbs_api","An autobiographical account of an early nineteenth-century yogi as he reaches self-realization, identification with his larger self, mankind, and union with his God"
"23","0671877836","Honor Among Enemies Honor Harrington Vi","David Weber","1997-06-01","Baen","Fiction",544,3,3,"NOT_MATURE","http://books.google.com/books/content?id=ILFWPgAACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=ILFWPgAACAAJ&dq=isbn:0671877836&hl=&source=gbs_api","Offered a chance to reclaim her career with the Royal Manticoran Navy, exiled officer Honor Harrington is charged with stopping a band of pirates, a mission that soon has her questioning who are her friends and who are her enemies HEADS WE ..."
"24","0553275984","Island of the swans","Ciji Ware","1989-02-01","Fanfare","Fiction",533,3.5,5,"NOT_MATURE","http://books.google.com/books/content?id=Uv_y1kqWYjEC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=Uv_y1kqWYjEC&dq=isbn:0553275984&hl=&source=gbs_api","Believing her childhood love, Thomas Fraser, to be dead, Jane Maxwell marries the enigmatic Alexander, Duke of Gordon, only to have Fraser return and attempt to woo her once again"
"25","0553579649","The Legend","Suzanne Robinson","2001","Bantam","Fiction",280,2,1,"NOT_MATURE","http://books.google.com/books/content?id=YlwRif6tLVYC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=YlwRif6tLVYC&dq=isbn:0553579649&hl=&source=gbs_api","Fleeing another loveless marriage, lovely young widow Honor Jennings seeks refuge in the ruins of Durance Guarde castle, but her new home is threatened by the arrival of Galen de Marlowe, a powerful aristocrat seeking a safe place to deal ..."
"26","0940322277","Contempt","Alberto Moravia","1954","New York Review of Books","Fiction",251,2.5,5,"NOT_MATURE","http://books.google.com/books/content?id=LNcbAQAAIAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=LNcbAQAAIAAJ&dq=isbn:0940322277&hl=&source=gbs_api","Frustrated by his work as a screenwriter, Molteni becomes convinced his wife, Emilia, no longer loves him and inadvertently does his best to make this fear come true."
"27","043931948X","Touching the Waves","Ben M. Baglio","2002-05-01","Scholastic Inc.","Juvenile Fiction",160,5,1,"NOT_MATURE","http://books.google.com/books/content?id=gCSsMPBS35kC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=gCSsMPBS35kC&dq=isbn:043931948X&hl=&source=gbs_api","In the series&#39; second book, The Dolphin Dreamer is at bay in Key West, Florida, visiting a very special dolphin center -- with &quot;dolphin teachers.&quot; Jody loves watching the dolphins at work, but then one of them gets caught in netting."
"28","0395366380","Gorillas in the mist","Dian Fossey","1983","Houghton Mifflin Harcourt (HMH)","Biography & Autobiography",326,4.5,2,"NOT_MATURE","http://books.google.com/books/content?id=5SyP7VLd8MEC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=5SyP7VLd8MEC&dq=isbn:0395366380&hl=&source=gbs_api","The results of many years of field study of gorillas are reported on by this outstanding naturalist."
"29","0671520369","The Ashes of Eden","William Shatner, Judith Reeves-Stevens, Garfield Reeves-Stevens","1996","Pocket Books/Star Trek","Fiction",309,2,1,"NOT_MATURE","http://books.google.com/books/content?id=Qy11kxQWSJIC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=Qy11kxQWSJIC&dq=isbn:0671520369&hl=&source=gbs_api","Following his reluctant retirement, Captain James Kirk is offered an irresistible adventure by a mysterious young woman that will force Kirk to confront the fragile peace between the Federation and the Klingons"
"30","0671661299","Rules of Engagement","Peter Morwood","1990","Star Trek","Fiction",245,4,2,"NOT_MATURE","http://books.google.com/books/content?id=hCqD2Fg4GjkC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=hCqD2Fg4GjkC&dq=isbn:0671661299&hl=&source=gbs_api","Kirk and the &quot;Enterprise&quot; become embroiled in a Klingon power struggle when they stumble upon a previously uncataloged and apparently abandoned Klingon starship in neutral space"
"31","0451197011","American Dreams","","1999","Penguin","Fiction",548,5,2,"NOT_MATURE","http://books.google.com/books/content?id=H2rRaTQUjpwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=H2rRaTQUjpwC&dq=isbn:0451197011&hl=&source=gbs_api","Follows the historical saga of the Crown family, German immigrants who settle in Chicago, as they participate in the events of the early twentieth century"
"32","0345455371","The New Sugar Busters!","Morrison Bethea, Sam Andrews","2003","Random House Digital, Inc.","Family & Relationships",367,4,8,"NOT_MATURE","http://books.google.com/books/content?id=Azy4k9Swi6kC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=Azy4k9Swi6kC&dq=isbn:0345455371&hl=&source=gbs_api","Offers a plan for losing weight and improving health through reducing the amount of sugar in one&#39;s diet, including sections on nutrition for kids and restaurant recipes and meal plans. • A discussion on prevention, still the"
"33","0671881140","Devil in the Sky","Greg Cox, John Gregory Betancourt","1995","Star Trek","Fiction",280,4,3,"NOT_MATURE","http://books.google.com/books/content?id=DWQ7lQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=DWQ7lQEACAAJ&dq=isbn:0671881140&hl=&source=gbs_api","When rock-tunneling Hortas are recruited to help rebuild Bajor&#39;s devastated mining industry, Cardassian raiders kidnap the Mother Horta and leave Commander Sisko with twenty voracious baby Hortas that threaten to consume Deep Space Nine."
"34","0449220605","He, She, and it","Marge Piercy","1991","Fawcett","Fiction",432,5,3,"NOT_MATURE","http://books.google.com/books/content?id=F7OuxUc00oIC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=F7OuxUc00oIC&dq=isbn:0449220605&hl=&source=gbs_api","In a world ravaged by environmental disasters and divided up into corporate zones, a young Jewish woman returns to her home following the disintegration of her marriage and there is welcomed by the brilliant grandmother who raised her."
"35","1853260444","The Moonstone","Wilkie Collins","1993","Wordsworth Editions","Fiction",448,3.5,35,"NOT_MATURE","http://books.google.com/books/content?id=FDjtQsXv_JUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=FDjtQsXv_JUC&dq=isbn:1853260444&hl=&source=gbs_api","And when the Moonstone disappears, what seems like a simple case turns into a masterpiece of detection and suspense."
"36","0688156819","The Melancholy Death of Oyster Boy","Tim Burton","1997-10-22","Harper Collins","Fiction",128,5,9,"NOT_MATURE","http://books.google.com/books/content?id=Ajws3FBpZy4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=Ajws3FBpZy4C&dq=isbn:0688156819&hl=&source=gbs_api","From breathtaking stop-action animation to bittersweet modern fairy tales, filmmaker Tim Burton has become known for his unique visual brilliance -- witty and macabre at once."
"37","0553382195","Villa Incognito","Tom Robbins","2004-04-01","Random House of Canada","Fiction",256,3,19,"NOT_MATURE","http://books.google.com/books/content?id=kW2kC2Az1r4C&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=kW2kC2Az1r4C&dq=isbn:0553382195&hl=&source=gbs_api","American MIAs choose to remain missing after the end of the Vietnam War, while four generations of women share a unique link to a mysterious figure from Japanese folklore, in a provocative new tour de force from the author of Even Cowgirls ..."
"38","037541536X","Horatio's Drive","Dayton Duncan, Ken Burns","2003","Knopf","History",173,4,3,"NOT_MATURE","http://books.google.com/books/content?id=l5N9EgaDGhgC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=l5N9EgaDGhgC&dq=isbn:037541536X&hl=&source=gbs_api","Chronicles the nation&#39;s first road trip by Horatio Jackson, a thirty-one-year-old Vermont doctor who drove his car from San Francisco to New York on mainly unpaved roads in 1903."
"39","0385265204","The Cartoon History of the Universe 1","Larry Gonick","1990","Three Rivers Press","Comics & Graphic Novels",358,4,2,"NOT_MATURE","http://books.google.com/books/content?id=NVOsohzE6xwC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=NVOsohzE6xwC&dq=isbn:0385265204&hl=&source=gbs_api","A cartoon journey through the history of the universe from the big bang through the rise and fall of civilizations"
"40","0395248302","The Stars","Hans Augusto Rey","1976","Houghton Mifflin Harcourt","Juvenile Nonfiction",160,4.5,5,"NOT_MATURE","http://books.google.com/books/content?id=sLq6qgB6FBsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=sLq6qgB6FBsC&dq=isbn:0395248302&hl=&source=gbs_api","A simple guide to the location and recognition of stars and constellations, mainly in the northern latitudes"
"41","0471127957","Eclipse!","Philip S. Harrington","1997-09-24","Wiley","Juvenile Nonfiction",280,4,1,"NOT_MATURE","http://books.google.com/books/content?id=bZHvAAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=bZHvAAAAMAAJ&dq=isbn:0471127957&hl=&source=gbs_api","Gives advice on telescopes, lenses, photography, and sites for watching eclipses of the sun and moon, and provides a listing of eclipses that are due to occur between 1998 and 2017"
"42","0826310117","The Fourth World of the Hopis","Harold Courlander","1971","UNM Press","History",239,4,1,"NOT_MATURE","http://books.google.com/books/content?id=dgcUguU8ajwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=dgcUguU8ajwC&dq=isbn:0826310117&hl=&source=gbs_api","A collection of twenty legends of the Hopi people, originating in the different tribes and relating tales of journeys, wars, heroic deeds, and tribal heroes."
"43","089804801X","Fart Proudly","Benjamin Franklin","1990","Ariel Press","Humor",128,4,5,"NOT_MATURE","http://books.google.com/books/content?id=XZI2AAAAMAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=XZI2AAAAMAAJ&dq=isbn:089804801X&hl=&source=gbs_api","Everyone knows Benjamin Franklin was one of the great philosophers of his time."
"44","1858285321","The Rough Guide to Zimbabwe","Barbara McCrea, Tony Pinchuck","2000","Rough Guides","History",404,5,1,"NOT_MATURE","http://books.google.com/books/content?id=br7n-gvkWvIC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=br7n-gvkWvIC&dq=isbn:1858285321&hl=&source=gbs_api","The fourth edition of the Rough Guide to Zimbabwe includes Botswana&#39;s national parks and Okavanga Delta."
"45","0486264696","Hedda Gabler","Henrik Ibsen","1990-01-01","Courier Corporation","Social Science",72,4,1,"NOT_MATURE","http://books.google.com/books/content?id=OcqmvpuILjsC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=OcqmvpuILjsC&dq=isbn:0486264696&hl=&source=gbs_api","This dark psychological drama was first produced in Norway in 1890 and depicts the evil machinations of a ruthless, nihilistic heroine: the infamous Hedda Gabler."
"46","0394750594","Sanford Meisner on Acting","Sanford Meisner, Dennis Longwell","1987","Vintage","Performing Arts",252,4,2,"NOT_MATURE","http://books.google.com/books/content?id=5i8ECHWjnvgC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=5i8ECHWjnvgC&dq=isbn:0394750594&hl=&source=gbs_api","Taking readers step-by-step through the most basic acting exercises to critiques of performances in scenes from contemporary American plays, this volume follows a class of eight at the Neighborhood Playhouse, where Meisner has taught for ..."
"47","0441008461","The Mirror of Merlin","T. A. Barron","2001","Penguin","Juvenile Fiction",288,4,9,"NOT_MATURE","http://books.google.com/books/content?id=FwcW600zSW4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=FwcW600zSW4C&dq=isbn:0441008461&hl=&source=gbs_api","&quot;Young sorcery fans . . . set aside Harry Potter and pick up Merlin! [&quot;The Mirror of Merlin&quot; is] ingeniousIfilled with rich images [and] surprising touches of humor.U--&quot;Cincinnati Enquirer."
"48","044691200X","MAD","MAD Magazine, Sergio Aragonés","1997","Warner Books","Humor",85,5,1,"NOT_MATURE","http://books.google.com/books/content?id=r0H-VvJOyiYC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=r0H-VvJOyiYC&dq=isbn:044691200X&hl=&source=gbs_api","Presents a collection of quotations by MAD magazine&#39;s mascot Alfred E. Neuman published over forty years In what could only be termed a golden opportunity to change your miserable existence, you now hold in your clammy hands the creme de la ..."
"49","0451524543","Tartuffe and Other Plays","Molière, Donald Murdoch Frame","1981","Univ. Press of Mississippi","Drama",384,4,3,"MATURE","http://books.google.com/books/content?id=tkCoNuNX9qMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=tkCoNuNX9qMC&dq=isbn:0451524543&hl=&source=gbs_api","Collection of seven plays by the seventeenth-century French author, representing the many facets of his writing talents."
"50","076790205X","All about Me","Philipp Keel","1998-01","Broadway","Self-Help",86,3,7,"NOT_MATURE","http://books.google.com/books/content?id=VwNQx-nLK1gC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=VwNQx-nLK1gC&dq=isbn:076790205X&hl=&source=gbs_api","A unique gift book and self-discovery journal prompts givers to reveal their most profound experiences, beliefs, secrets, and dreams, and probe their psyches through simple but provocative questions and suggestions. $40,000 ad/promo."
"51","0380822253","The Bounty Hunters","Elmore Leonard","2002-04-02","HarperTorch","Fiction",336,2,1,"NOT_MATURE","http://books.google.com/books/content?id=2HEOlwEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=2HEOlwEACAAJ&dq=isbn:0380822253&hl=&source=gbs_api","The old Apache renegade Soldado Viejo is hiding out in Mexico, and the Arizona Department Adjutant has selected two men to hunt him down."
"52","0192839357","Vita Nuova","Dante Alighieri","1992","Oxford University Press, USA","Fiction",94,3,1,"NOT_MATURE","http://books.google.com/books/content?id=6phJszQtpkwC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=6phJszQtpkwC&dq=isbn:0192839357&hl=&source=gbs_api","Dante&#39;s first major work links 31 poems inspired by his love of Beatrice, with a prose narrative that celebrates the subject of love while commenting on the nature of the poet&#39;s art."
"53","0306805146","The Psychopathic God","Robert G. L. Waite","1993","Da Capo Press","Biography & Autobiography",482,4,2,"NOT_MATURE","http://books.google.com/books/content?id=tNaS6C5os8kC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=tNaS6C5os8kC&dq=isbn:0306805146&hl=&source=gbs_api","The Psychopathic God is the definitive psychological portrait of Adolph Hitler. By documenting accounts of his behavior, beliefs, tastes, fears, and compulsions, Robert Waite sheds new light on this complex figure."
"54","0374504016","Listen, Little Man!","Wilhelm Reich, Ralph Manheim","1974-01","Macmillan","Psychology",127,5,2,"NOT_MATURE","http://books.google.com/books/content?id=Cm3FuF8EKvEC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=Cm3FuF8EKvEC&dq=isbn:0374504016&hl=&source=gbs_api","Reich urges the common man to acknowledge the emotional plague that dominates reason and marshal human resources for the betterment of mankind"
"55","0374524610","The Blue Estuaries","Louise Bogan","1995-10-31","Macmillan","Poetry",144,4,1,"NOT_MATURE","http://books.google.com/books/content?id=GzMGO1K5Jp4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=GzMGO1K5Jp4C&dq=isbn:0374524610&hl=&source=gbs_api","The Blue Estuaries contains her five previous books of verse along with a section of uncollected work, fully representing a unique and distinguished contribution to modern poetry over five decades."
"56","0684832402","The Denial of Death","Ernest Becker","1997-05-08","Simon and Schuster","Philosophy",314,5,2,"MATURE","http://books.google.com/books/content?id=wP9zAgAAQBAJ&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=wP9zAgAAQBAJ&dq=isbn:0684832402&hl=&source=gbs_api","Drawing from religion and the human sciences, particularly psychology after Freud, the author attempts to demonstrate that the fear of death is man&#39;s central concern"
"57","0802133878","Ray","Barry Hannah","1994","Grove Press","Fiction",113,4.5,12,"NOT_MATURE","http://books.google.com/books/content?id=j5DHn13xsCkC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=j5DHn13xsCkC&dq=isbn:0802133878&hl=&source=gbs_api","Nominated for the American Book Award, Ray is the bizarre, hilarious, and consistently adventurous story of a life on the edge."
"58","0156806797","The Seven Storey Mountain","Thomas Merton","1948","Harvest Books","Autobiografías",429,4.5,7,"NOT_MATURE","http://books.google.com/books/content?id=D0_7s9qji3UC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=D0_7s9qji3UC&dq=isbn:0156806797&hl=&source=gbs_api","One man&#39;s search to find his role in the world is revealed in the writer&#39;s portrait of his youthful political activism and entry into a Trappist monastery"
"59","0375802975","Knights and Castles","Will Osborne, Mary Pope Osborne","2000","Random House Childrens Books","Juvenile Nonfiction",119,5,1,"NOT_MATURE","http://books.google.com/books/content?id=Nx3DVXxvrNwC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=Nx3DVXxvrNwC&dq=isbn:0375802975&hl=&source=gbs_api","Jack and Annie look at knights, armor, and life in a castle."
"60","0395440904","The Boy of the Three-year Nap","Dianne Snyder, Allen Say","1988","Houghton Mifflin Harcourt","Juvenile Fiction",32,3.5,11,"NOT_MATURE","http://books.google.com/books/content?id=87Y8Emn-GNUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=87Y8Emn-GNUC&dq=isbn:0395440904&hl=&source=gbs_api","A poor Japanese woman maneuvers events to change the lazy habits of her son."
