"isbn","title","authors","publishedDate","publisher","categories","pageCount","averageRating","ratingsCount","maturityRating","imageThumbnail","infoLink","textSnippet"
"0440221471","The Runaway Jury","John Grisham","1996","Dell Publishing Company","Fiction",550,5,2,"NOT_MATURE","http://books.google.com/books/content?id=35SA8u4QpacC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=35SA8u4QpacC&dq=isbn:0440221471&hl=&source=gbs_api","Reissue. (A 20th Century Fox film, releasing Fall 2003, starring Gene Hackman, Dustin Hoffman, &amp; John Cusack) (Suspense)"
"0440236673","The Brethren","John Grisham","2000","Dell Publishing Company","Fiction",440,4.5,4,"NOT_MATURE","http://books.google.com/books/content?id=nxgDA2ZQ2BUC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=nxgDA2ZQ2BUC&dq=isbn:0440236673&hl=&source=gbs_api","In a federal prison, three former judges who call themselves &quot;the brethren&quot; meet in the law library to run a rougher form of justice inside their community and make a some money, but when one of their scams derails, they are forced to ..."
"0316769487","The Catcher in the Rye","J.D. Salinger","1991-05-01","Little, Brown","Fiction",240,4.5,28,"NOT_MATURE","http://books.google.com/books/content?id=ZotvleqZomIC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=ZotvleqZomIC&dq=isbn:0316769487&hl=&source=gbs_api","There are many voices in this novel: children&#39;s voices, adult voices, underground voices-but Holden&#39;s voice is the most eloquent of all."
"0385484518","Michelle Lang's Biography","Astrid Lang, Lori Chan, Mitch Albom","2008",NA,"Marina (Calif.), Biography & Autobiography",4,5,6,"NOT_MATURE","http://books.google.com/books/content?id=jwvHmQEACAAJ&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=jwvHmQEACAAJ&dq=isbn:0385484518&hl=&source=gbs_api",NA
"0385484518","Tuesdays with Morrie","Astrid Lang, Lori Chan, Mitch Albom","1997","Doubleday Books","Marina (Calif.), Biography & Autobiography",192,4.5,39,"NOT_MATURE","http://books.google.com/books/content?id=5y-l3sM3gg0C&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=5y-l3sM3gg0C&dq=isbn:0385484518&hl=&source=gbs_api","A sportswriter conveys the wisdom of his late mentor, professor Morrie Schwartz, recounting their weekly conversations as Schwartz lay dying"
"0446610038","1st to Die","James Patterson","2002-02-01","Grand Central Publishing","Fiction",488,4.5,8,"NOT_MATURE","http://books.google.com/books/content?id=SH2V_9tSpaUC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=SH2V_9tSpaUC&dq=isbn:0446610038&hl=&source=gbs_api","Four women--a police detective, an assistant D.A., a reporter, and a medical examiner who call themselves the Women&#39;s Murder Club--develop lifelong bonds as they pursue a killer whose twisted imagination has stunned an entire city."
"044022165X","The Rainmaker","John Grisham","1996","Dell","Fiction",598,5,1,"NOT_MATURE","http://books.google.com/books/content?id=xFB2XRFqxM4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=xFB2XRFqxM4C&dq=isbn:044022165X&hl=&source=gbs_api","Abandoning his aspirations about living the good life, Memphis attorney Rudy Baylor fears he will lose everything in the face of a pivotal case that could cost him his life or turn him into the biggest rainmaker in the land. Reprint."
"0375706771","Midwives","Christopher A. Bohjalian","1998","Vintage","Fiction",374,3.5,1935,"NOT_MATURE","http://books.google.com/books/content?id=aFl4zg_Gmi4C&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=aFl4zg_Gmi4C&dq=isbn:0375706771&hl=&source=gbs_api","In the winter of 1981, trapped by unpassable roads, midwife Sibyl Danforth makes a life-altering decision when she performs an emergency cesarean section on a woman she fears has died of a stroke"
"0440220602","The Chamber","John Grisham","1995","Dell","Fiction",676,3,1,"NOT_MATURE","http://books.google.com/books/content?id=B_ejY3GLhYoC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=B_ejY3GLhYoC&dq=isbn:0440220602&hl=&source=gbs_api","Twenty-two years after the bombing of a Mississippi law office in which Marvin Kramer&#39;s two sons died, Klan member Sam Cayhill, the accused killer, has nearly exhausted his death row appeals, until young lawyer Adam Hall takes the case"
"0440225701","The Street Lawyer","John Grisham","1998","BRILL","Fiction",452,3.5,15,"NOT_MATURE","http://books.google.com/books/content?id=dfL-8Vjfs-gC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=dfL-8Vjfs-gC&dq=isbn:0440225701&hl=&source=gbs_api","After a violent encounter with a homeless man, talented corporate lawyer Michael finds himself out in the streets, lucky to be alive, and holding a top-secret file belonging to his former employers"
"0060502258","Divine Secrets of the Ya-Ya Sisterhood","Rebecca Wells","2002-05-21","Harper Collins","Fiction",480,3.5,61,"NOT_MATURE","http://books.google.com/books/content?id=fv1yK4UXvH4C&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=fv1yK4UXvH4C&dq=isbn:0060502258&hl=&source=gbs_api","SiddaLee has escaped her Louisiana hometown to become a theatrical director, but as she gathers mementos from the Ya-Ya Sisterhood to assist in writing a play about women&#39;s friendships, she yearns to revisit her childhood."
"0446606812","Message in a Bottle","Nicholas Sparks","1999-02-01","Vision","Fiction",384,2,37,"NOT_MATURE","http://books.google.com/books/content?id=oSf4egey-sgC&printsec=frontcover&img=1&zoom=5&source=gbs_api","http://books.google.com/books?id=oSf4egey-sgC&dq=isbn:0446606812&hl=&source=gbs_api","What happens to her is unexpected, perhaps miraculous-an encounter that embraces all our hopes for finding someone special, for having a love that is timeless and everlasting.... Nicholas Sparks exquisitely chronicles the human heart."
"0345353145","Sphere","Michael Crichton","1988","Random House Digital, Inc.","Fiction",371,4,6,"NOT_MATURE","http://books.google.com/books/content?id=enWmYAlPgKMC&printsec=frontcover&img=1&zoom=5&edge=curl&source=gbs_api","http://books.google.com/books?id=enWmYAlPgKMC&dq=isbn:0345353145&hl=&source=gbs_api","Four American scientists are summoned in great secrecy to the South Pacific to investigate a giant spacecraft at least three hundred years old"
