"gameName","votes","isListedOnMSSite","isOnXboxOne","isBCCompatible","isExclusive","isKinectSupported","isConsoleExclusive","isKinectRequired","gameUrl","releaseDate","numberOfReviews","DLthemes","developer","DLgameVideos","DLsmartglass","DLgamerPictures","highresboxart","DLavatarItems","ESRBRating","DLgameAddons","gamesOnDemandorArcade","price","genre","publisher","xbox360Rating","hasDemoAvailable","isAvailableToPurchaseDigitally","comments","isInProgress","reviewScorePro","reviewScoreUser","usesRequiredPeripheral","predicted_isBCCompatible"
"Testament of Sherlock Holmes",455,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/Testament-of-Sherlock-Holmes/66acd000-77fe-1000-9115-d802415407e0?PageSize=60&Page=1&SortBy=BestSelling",654,764,0,"Frogwares",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802415407e0/1033/boxartlg.jpg",0,"M (Mature)",0,"Retail Only",17.21,"Action & Adventure","SEGA",3.5,"FALSE","FALSE",7,"FALSE",64,7.6,"FALSE","FALSE"
"Tetris Splash",1281.02737158264,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/Tetris-Splash/66acd000-77fe-1000-9115-d8025841083b?PageSize=60&Page=1&SortBy=BestSelling",82,10057,0,"Tetris Online America",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d8025841083b/1033/boxartlg.jpg",0,"E (Everyone)",14,"Games on Demand",4.99,"Puzzle & Trivia","Microsoft",3.75,"TRUE","TRUE",22,"FALSE",53,7.6,"FALSE","FALSE"
"Tetris: The Grand Master Ace",1649.7580503416,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product",4,15004.73267173,0,"Unkown",0,0,0,"No Boxart",0,"eC (Early Childhood)",0,"Retail Only",20.49,"Unkown","Unkown",3.8,"FALSE","FALSE",35,"FALSE",63,6.7,"FALSE","FALSE"
"Texas Cheat'em",220,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/Texas-Cheatem/66acd000-77fe-1000-9115-d8025841096d?PageSize=60&Page=1&SortBy=BestSelling",230,2544,0,"Wideload Games",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d8025841096d/1033/boxartlg.jpg",0,"T (Teen)",0,"Arcade",17,"Card & Board","D3 Publisher",2.5,"FALSE","FALSE",0,"FALSE",65,6.2,"FALSE","FALSE"
"The Adventures of Tintin: The Game",358,"TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Adventures-of-Tintin/66acd000-77fe-1000-9115-d80255530871?PageSize=60&Page=1&SortBy=BestSelling",555,1962,0,"Ubisoft",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d80255530871/1033/boxartlg.jpg",0,"E10 (Everyone 10+)",0,"Retail Only",17.3,"Action & Adventure","Ubisoft",3.75,"FALSE","FALSE",7,"FALSE",63,5.3,"FALSE","FALSE"
"The AllNew 2011 Outlander Sport",1367.55814347097,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-All-New-2011-Outlander-Sport/66acd000-77fe-1000-9115-d802585708e7?PageSize=60&Page=1&SortBy=BestSelling",563,2603,1,"Mitsubishi",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802585708e7/1033/boxartlg.jpg",0,"E (Everyone)",0,"Retail Only",23.99,"Other","Mitsubishi",4,"FALSE","FALSE",37,"FALSE",63,6.3,"FALSE","FALSE"
"The Amazing SpiderMan",2958,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Amazing-Spider-Man/66acd000-77fe-1000-9115-d802415608b5?PageSize=60&Page=1&SortBy=BestSelling",654,88595,0,"Beenox",1,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802415608b5/1033/boxartlg.jpg",0,"T (Teen)",4,"Games on Demand",29.99,"Action & Adventure","Activision Blizzard",4,"FALSE","TRUE",41,"FALSE",69,7.4,"FALSE","FALSE"
"The Amazing SpiderMan 2",1706,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-Amazing-Spider-Man-2/66acd000-77fe-1000-9115-d80241560905?PageSize=60&Page=1&SortBy=BestSelling",820,35278,0,"Beenox",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d80241560905/1033/boxartlg.jpg",0,"T (Teen)",7,"Games on Demand",39.99,"Action & Adventure","Activision Blizzard",4,"FALSE","TRUE",19,"FALSE",55,6.6,"FALSE","FALSE"
"The BIGS",431,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-BIGS/66acd000-77fe-1000-9115-d802545407e4?PageSize=60&Page=1&SortBy=BestSelling",50,3345,0,"Blue Castle Games",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d802545407e4/1033/boxartlg.jpg",0,"E (Everyone)",0,"Retail Only",16.07,"Sports & Recreation","2K Sports",4,"FALSE","FALSE",12,"FALSE",79,8.4,"FALSE","FALSE"
"The BIGS 2",636,"TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","http://marketplace.xbox.com/en-US/Product/The-BIGS-2/66acd000-77fe-1000-9115-d80254540830?PageSize=60&Page=1&SortBy=BestSelling",159,9091,0,"Blue Castle Games",0,0,0,"http://download.xbox.com/content/images/66acd000-77fe-1000-9115-d80254540830/1033/boxartlg.jpg",0,"E10 (Everyone 10+)",0,"Retail Only",19.57,"Sports & Recreation","2K Sports",4.25,"FALSE","FALSE",49,"FALSE",76,6.2,"FALSE","FALSE"
