"id","isBCCompatible"
"Crackdown 2","TRUE"
"Crash Mind Over Mutant","TRUE"
"Crash Of The Titans","TRUE"
"Crazy Machines Elements","TRUE"
"CrazyMouse","TRUE"
"Create","TRUE"
"Crimson Alliance","TRUE"
"Crysis","TRUE"
"Crysis 2","TRUE"
"Crysis 3","TRUE"
"CSI: Deadly Intent","TRUE"
"CSI: Fatal Conspiracy","TRUE"
"CSIHard Evidence","TRUE"
"Culdcept Saga","TRUE"
"Damage Inc.  Pacific Squadron WWII","TRUE"
"Damnation","TRUE"
"Dance Dance Revolution Universe","TRUE"
"Dance Dance Revolution Universe 2","TRUE"
"Dance Dance Revolution Universe 3","TRUE"
"Dance Paradise","TRUE"
"DanceDanceRevolution","TRUE"
"DanceMasters","TRUE"
"Dancing Stage Universe","TRUE"
"Dancing Stage Universe 2","TRUE"
"Dante's Inferno","TRUE"
"DARK","TRUE"
"Dark Messiah of Might and Magic: Elements","TRUE"
"Dark Sector","TRUE"
"DARK SOULS II","TRUE"
"Darkest of Days","TRUE"
"Darksiders","TRUE"
"Darksiders II","TRUE"
"Darkstalkers Resurrection","TRUE"
"DarkStar One","TRUE"
"Darwinia+","TRUE"
"Dash of Destruction","TRUE"
"DAYTONA USA","TRUE"
"Dead Block","TRUE"
"Dead Island","TRUE"
"Dead Island Riptide","TRUE"
"Dead or Alive 4","TRUE"
"Dead or Alive 5","TRUE"
"Dead or Alive 5 Last Round","TRUE"
"Dead or Alive Xtreme 2","TRUE"
"Dead Rising","TRUE"
"Dead Rising 2","TRUE"
"DEAD RISING 2 OFF THE RECORD","TRUE"
"Dead Space 2","TRUE"
"Dead Space 3","TRUE"
"Dead Space Ignition","TRUE"
"Dead to Rights: Retribution","TRUE"
"Deadfall Adventures","TRUE"
"Deadliest Catch: Alaskan Storm","TRUE"
"Deadliest Warrior","TRUE"
"Deadliest Warrior: Ancient Combat","TRUE"
"Deadliest Warrior: Battlegrounds","TRUE"
"Deadlight","TRUE"
"DEADLY PREMONITION","TRUE"
"Deadpool","TRUE"
"DEATH BY CUBE","TRUE"
"Death Tank","TRUE"
"Deathsmiles","TRUE"
"Deathsmiles II","TRUE"
"DEATHSMILES NA","TRUE"
"DeathSmiles2 X","TRUE"
"DeathSpank","TRUE"
"DeathSpank: The Baconing","TRUE"
"Deep Black  Ep. 1","TRUE"
"Deep Black  Episode 1","TRUE"
"Def Jam Rapstar","TRUE"
"DEF JAM: ICON","TRUE"
"Defenders of Ardania","TRUE"
"Defense Technica","TRUE"
"Defiance","TRUE"
"Destiny","TRUE"
"Destiny: The Taken King  Digital Collector's Edition","TRUE"
"Destiny: The Taken King  Legendary Edition","TRUE"
"Destroy All Humans! Path of the Furon","TRUE"
"Devil May Cry 4","TRUE"
"Devil May Cry HD Collection","TRUE"
"Diablo III: Reaper of Souls","TRUE"
"Diabolical Pitch","TRUE"
"Digimon: All-Star Rumble","TRUE"
"DiRT","TRUE"
"DiRT 2","TRUE"
"Dishonored","TRUE"
"Disney Bolt","TRUE"
"Disney Epic Mickey 2: The Power of Two","TRUE"
"Disney Infinity","TRUE"
"Disney Infinity (2.0 Edition)","TRUE"
"Disney Infinity 3.0 Edition","TRUE"
"Disney Sing It","TRUE"
"Disney Sing It HSM3","TRUE"
"Disney Universe","TRUE"
"Disney's Bolt","TRUE"
"Disney/Pixar:  Brave The Video Game","TRUE"
"Divinity II","TRUE"
"Divinity II  The Dragon Knight Saga","TRUE"
"DmC Devil May Cry","TRUE"
"DoDonPachi Dai Ou Jou Black Label Extra","TRUE"
"Dogfight 1942","TRUE"
"Dollar Dash","TRUE"
"Don King Presents Prizefighter","TRUE"
"Double D Dodgeball","TRUE"
"Double Dragon II –the wander of Dragons","TRUE"
"Double Fine Happy Action Theater","TRUE"
"Dragon Age 2","TRUE"
"Dragon Age: Inquisition","TRUE"
"Dragon Age: Origins","TRUE"
"DRAGON BALL XENOVERSE","TRUE"
"Dragon Ball Z Budokai HD Collection","TRUE"
"Dragon Ball Z Ultimate Tenkaichi","TRUE"
"Dragon Ball Z: Battle of Z","FALSE"
"Dragon Ball Z: BURST LIMIT","TRUE"
"Dragon Ball: Raging Blast","TRUE"
"Dragon Ball: Raging Blast 2","TRUE"
"Dragon's Dogma: Dark Arisen","TRUE"
"Dreamcast Collection","TRUE"
"Dreamkiller","TRUE"
"DreamWorks Kartz","TRUE"
"Driver San Francisco","TRUE"
"Droplitz","TRUE"
"Duck Dynasty","TRUE"
"Duke Nukem 3D","TRUE"
"Duke Nukem Forever","TRUE"
"Dumbo","TRUE"
"Dungeon Defenders","TRUE"
"Dungeon Fighter LIVE: Fall Of Hendon Myre","TRUE"
"Dungeons & Dragons Daggerdale","TRUE"
"Dust: An Elysian Tail","FALSE"
"Dustforce","TRUE"
"Dynasty Warriors 5 Empires","FALSE"
"DYNASTY WARRIORS 6","FALSE"
"Dynasty Warriors 6 Empires","FALSE"
"Dynasty Warriors 7","TRUE"
"Dynasty Warriors 8","TRUE"
"Dynasty Warriors: GUNDAM 2","TRUE"
"Dynasty Warriors: Gundam 3","TRUE"
"Dynasty Warriors: Strikeforce","TRUE"
"Dynasty Warriors:GUNDAM","TRUE"
"EA SPORTS 2014 FIFA World Cup Brazil","TRUE"
"EA SPORTS FIFA 15","TRUE"
"EA SPORTS FIFA 16","TRUE"
"EA SPORTS FIFA 17 Standard Edition","TRUE"
"EA SPORTS FIFA Street","TRUE"
"EA SPORTS Grand Slam Tennis 2","TRUE"
"EA SPORTS MMA","TRUE"
"EA SPORTS NHL Legacy Edition","TRUE"
"Earth Defense Force 2025","TRUE"
"Earth Defense Force: Insect Armageddon","TRUE"
"EarthDefenseForce 2017","TRUE"
"Ecco the Dolphin","TRUE"
"Eets: Chowdown","FALSE"
"El Shaddai  ASCENSION OF THE METATRON","TRUE"
"Elements Of Destruction","TRUE"
"Enchanted Arms","TRUE"
"End of Eternity","TRUE"
"Enemy Front","TRUE"
"Enslaved: Odyssey to the West","TRUE"
"Eragon","TRUE"
"Escape Dead Island","TRUE"
"Espn 2k5","TRUE"
"ET: QUAKE Wars","TRUE"
"Eternal Sonata","TRUE"
"Every Party","TRUE"
"EXIT","TRUE"
"EXIT 2","TRUE"
"F.E.A.R.","TRUE"
"F.E.A.R. 2","TRUE"
"F.E.A.R. 3","TRUE"
"F1 2010","TRUE"
"F1 2011","TRUE"
"F1 2012","TRUE"
"F1 2013","TRUE"
"F1 2014","TRUE"
"F1 RACE STARS","TRUE"
"Fable Heroes","TRUE"
"Fable II Pub Games","TRUE"
"Fable Trilogy","TRUE"
"Fable: Anniversary","TRUE"
"FaceBreaker","TRUE"
"Falling Skies: The Game","TRUE"
"Family Feud","TRUE"
"Family Game Night","TRUE"
"Family Game Night 4: The Game Show","TRUE"
"Family Guy: BT","TRUE"
"Fantastic Pets","TRUE"
"Far Cry 2","TRUE"
"Far Cry 3","TRUE"
"Far Cry 4","TRUE"
"Far Cry Classic","TRUE"
"Far Cry Instincts: Predator","TRUE"
"Farming Simulator","TRUE"
"Farming Simulator 15","TRUE"
"Fast & Furious: Showdown","TRUE"
"Fatal Fury Special","TRUE"
"Fatal Inertia","TRUE"
"Fez","TRUE"
"Field & Stream T.O.C.","TRUE"
"Field Goal Contest","TRUE"
"FIFA 06 Road to FIFA World Cup","TRUE"
"FIFA 07","TRUE"
"FIFA 10","TRUE"
"FIFA 12","TRUE"
"FIFA 14","TRUE"
"FIFA Soccer 11","TRUE"
"FIFA Soccer 13","TRUE"
"FIFA Street 3","TRUE"
"FIGHT NIGHT CHAMPION","TRUE"
"Fight Night Round 3","TRUE"
"Fight Night Round 4","TRUE"
"Fighting Vipers","TRUE"
"Final Exam","TRUE"
"FINAL FANTASY XIII","TRUE"
"FINAL FANTASY XIII2","TRUE"
"Fire Pro Wrestling","TRUE"
"Fireburst","TRUE"
"Fist of the North Star: Ken's Rage","TRUE"
"Fist of the North Star: Ken’s rage 2","TRUE"
"Forgotten Wars","TRUE"
"Forza Horizon 2","TRUE"
"Forza Horizon 2 Presents Fast & Furious","TRUE"
"Forza Motorsport 2","TRUE"
"Forza Motorsport 3","TRUE"
"Forza Motorsport 4","TRUE"
"Fracture","TRUE"
"Freefall Racers","TRUE"
"Frogger: Hyper Arcade Edition","TRUE"
"From Dust","TRUE"
"Front Mission Evolved","TRUE"
"Frontlines: Fuel of War","TRUE"
"Frozen Free Fall: Snowball Fight","TRUE"
"FUEL","TRUE"
"Full Auto","TRUE"
"Full House Poker","TRUE"
"Fuse","TRUE"
"Fusion: Genesis","TRUE"
"Fuzion Frenzy 2","TRUE"
"G.I. JOE","TRUE"
"Game of Thrones","TRUE"
"Game of Thrones  A Telltale Games Series","TRUE"
"Game of Thrones: A Telltale Game Series","TRUE"
"Game Room","TRUE"
"Gel","TRUE"
"Generator Rex","TRUE"
"Geometry Wars 3: Dimensions Evolved","TRUE"
"Geometry Wars: Retro Evolved 2","TRUE"
"Geon","TRUE"
"Geon: Emotions","TRUE"
"GForce","TRUE"
"Ghostbusters","TRUE"
"GHP2","TRUE"
"Giana Sisters: Twisted Dreams","TRUE"
"Gin Rummy","TRUE"
"Girl Fight","TRUE"
"Goat Simulator","TRUE"
"God Mode","TRUE"
"Golden Axe:Beast Rider","TRUE"
"GoldenEye Reloaded","TRUE"
"Golf: Tee It Up!","TRUE"
"Goosebumps: The Game","TRUE"
"Gotham City Impostors","TRUE"
"Grand Theft Auto IV","TRUE"
"Grand Theft Auto V","TRUE"
"Grand Theft Auto: San Andreas","TRUE"
"Great Battles Medieval","TRUE"
"Greed Corp","TRUE"
"Green Lantern: Rise of the Manhunters","TRUE"
"Greg Hastings Paintball 2","TRUE"
"GRID","TRUE"
"GRID Autosport","TRUE"
"Guacamelee! Super Turbo Championship Edition","TRUE"
"Guardians of Middleearth","TRUE"
"GUILTY GEAR 2","TRUE"
"Guilty Gear 2: Overture","TRUE"
"GUILTY GEAR XX ΛCORE PLUS","TRUE"
"Guitar Hero Live","TRUE"
"Gun","TRUE"
"Guncraft: Blocked and Loaded","TRUE"
"Gyromancer","TRUE"
"Gyruss","TRUE"
"Hail to the Chimp","TRUE"
"Halo 3","TRUE"
"Halo 3: ODST","TRUE"
"Halo 4","TRUE"
"Handball 16","TRUE"
"Hannah Montana The Movie","TRUE"
"Happy Feet Two: The Videogame","TRUE"
"Happy Tree Friends False Alarm","TRUE"
"Happy Wars","TRUE"
"Hard Corps: Uprising","TRUE"
"Harms Way","TRUE"
"Harry Potter and the Deathly Hallows  Part 1","TRUE"
"Harry Potter and the Deathly Hallows  Part 2","TRUE"
"Harry Potter and the Deathly Hallows: Part I","TRUE"
"Harry Potter and the Half-Blood Prince","TRUE"
"Harry Potter and the Order of the Phoenix","TRUE"
"Hasbro Family Game Night 3","TRUE"
"Hasbro Family Game Night 4: The Game Show","TRUE"
"Haunt","TRUE"
"Haunted House","TRUE"
"HELL YEAH! Wrath of the Dead Rabbit","TRUE"
"Hellboy: TSoE","TRUE"
"Heroes Over Europe","TRUE"
"HEXODIUS","TRUE"
"High School Musical 3: Senior Year Dance","TRUE"
"HISTORY: Legends of War","TRUE"
"Hitman: Absolution","TRUE"
"Hitman: Blood Money","TRUE"
"Home Run Stars","TRUE"
"Homefront","TRUE"
"Hot Wheels World’s Best Driver","TRUE"
"Hour of Victory","TRUE"
"How to Survive","TRUE"
"How To Train Your Dragon 2","TRUE"
"HowToTrainYourDragon","TRUE"
"Hunted Demons Forge","TRUE"
"Hunter's Trophy 2  America","TRUE"
"Hunter's Trophy 2  Australia","TRUE"
"Hunter's Trophy 2: Europa","TRUE"
"Hybrid","TRUE"
"Hydrophobia","TRUE"
"I Am Super!","TRUE"
"I MAED A GAM3 W1TH Z0MBIES 1N IT!!!1","TRUE"
"Ice Age: Dawn of the Dinosaurs","TRUE"
"IHF Handball Challenge 14","TRUE"
"IL2 Sturmovik: Birds of Prey","TRUE"
"IL2: Birds of Prey","TRUE"
"ilomilo","TRUE"
"Import Tuner Challenge","TRUE"
"Indianapolis 500: Evolution","TRUE"
"Infernal","TRUE"
"Inferno Pool","TRUE"
"Infinite Undiscovery","TRUE"
"Injustice: Gods Among Us","TRUE"
"Insanely Twisted Shadow Planet","TRUE"
"Inversion","TRUE"
"Iron Man","TRUE"
"Iron Man 2","TRUE"
"Islands of Wakfu","TRUE"
"Jam Live Music Arcade","TRUE"
"James Bond 007: Blood Stone","TRUE"
"James Cameron's Avatar","TRUE"
"Jane's Advanced Strike Fighters","TRUE"
"JD Disney Party","TRUE"
"Jeopardy!","TRUE"
"Jet Car Stunts","TRUE"
"Jewel Quest","TRUE"
"Jillian Michaels' Fitness Adventure","TRUE"
"Jimmie Johnson's Anything With An Engine","TRUE"
"Jonah Lomu Rugby Challenge","TRUE"
"JUJU","TRUE"
"Junk Fu","FALSE"
"Jurassic: The Hunted","TRUE"
"Just Cause","TRUE"
"Just Dance 2014","TRUE"
"Just Dance 2015","TRUE"
"Just Dance 2016","TRUE"
"Just Dance Disney Party 2","TRUE"
"Just Dance Kids 2014","TRUE"
"Kane and Lynch: Dead Men","TRUE"
"Karaoke","TRUE"
"Karaoke Revolution","TRUE"
"Karaoke Revolution Glee:  Volume 3","TRUE"
"Karateka","TRUE"
"Kengo: Legend of the 9","TRUE"
"Ketsui: Kizuna Jigoku Tachi EXTRA","TRUE"
"King Kong","TRUE"
"King's Quest  Chapter 1: A Knight to Remember","TRUE"
"King’s Quest: The Complete Collection","TRUE"
"Kingdom Under Fire: Circle of Doom","TRUE"
"Kingdoms of Amalur: Reckoning","FALSE"
"Knights Contract","FALSE"
"KR: AI Encore","FALSE"
"KR: AI Encore 2","TRUE"
"Kung Fu Panda","TRUE"
"Kung Fu Panda Showdown of Legendary Legends","TRUE"
"Kung Fu Strike","TRUE"
"KungFu High Impact","TRUE"
"L.A. Noire","TRUE"
"Lara Croft and the Guardian of Light","TRUE"
"Leedmees","TRUE"
"Legend of Kay Anniversary","TRUE"
"Legend of Spyro","TRUE"
"Legend of the Guardians","TRUE"
"Legendary","TRUE"
"Legends of War","TRUE"
"LEGO Batman 2:  DC Super Heroes","TRUE"
"LEGO BATMAN 3: BEYOND GOTHAM","TRUE"
"LEGO Dimensions","TRUE"
"LEGO Harry Potter: Years 1-4","TRUE"
"LEGO Harry Potter: Years 14","TRUE"
"LEGO Harry Potter: Years 57","FALSE"
"LEGO Indiana Jones 2: The Adventure Continues","TRUE"
"LEGO Indiana Jones: The Original Adventures","TRUE"
"LEGO Jurassic World","TRUE"
"LEGO Lord of the Rings  Demo","TRUE"
"LEGO Marvel Super Heroes","TRUE"
"LEGO Marvel's Avengers","TRUE"
"LEGO Star Wars III: The Clone Wars","TRUE"
"LEGO Star Wars: The Force Awakens","TRUE"
"LEGO The Hobbit","TRUE"
"LEGO The Lord of the Rings","TRUE"
"Leisure Suit Larry","TRUE"
"Let's Sing And Dance","TRUE"
"Lets Cheer","TRUE"
"Life Is Strange","TRUE"
"Lightning Returns FFXIII","TRUE"
"LIGHTNING RETURNS: FINAL FANTASY XIII","TRUE"
"Lips","TRUE"
"Lips Music Store","TRUE"
"Lips: Canta en Espanol","TRUE"
"Lips: Deutsche Partyknaller","TRUE"
"Lips: I Love the 80's","TRUE"
"Lips: Party Classics","TRUE"
"Little League World Series 2010","TRUE"
"LLWS2010","TRUE"
"LocoCycle","TRUE"
"Lollipop Chainsaw","TRUE"
"London 2012","TRUE"
"Looney Tunes: AA","TRUE"
"Looney Tunes: Acme Arsenal","TRUE"
"Lord of the Rings: Battle for Middle-Earth II","TRUE"
"Lord of the Rings: Conquest","TRUE"
"Lost Odyssey","TRUE"
"Lost Planet 2","TRUE"
"Lost Planet 3","TRUE"
"Lost Planet: Extreme Condition","TRUE"
"Lost Via Domus","TRUE"
"LOTG","TRUE"
