DATE,PCE
1995-02-01,4871.7
1995-03-01,4906.5
1995-04-01,4911.5
1995-05-01,4954.4
1995-06-01,4999.0
1995-07-01,4991.8
1995-08-01,5027.1
1995-09-01,5042.5
1995-10-01,5035.9
1995-11-01,5077.8
1995-12-01,5120.1
1996-01-01,5108.9
1996-02-01,5156.1
1996-03-01,5196.4
1996-04-01,5231.6
1996-05-01,5247.2
1996-06-01,5253.7
1996-07-01,5275.8
1996-08-01,5299.0
1996-09-01,5320.0
1996-10-01,5351.5
1996-11-01,5375.0
1996-12-01,5401.7
1997-01-01,5434.9
1997-02-01,5457.7
1997-03-01,5477.6
1997-04-01,5482.8
1997-05-01,5484.3
1997-06-01,5518.2
1997-07-01,5573.0
1997-08-01,5611.8
1997-09-01,5625.6
1997-10-01,5661.2
1997-11-01,5685.2
1997-12-01,5716.4
1998-01-01,5714.4
1998-02-01,5748.4
1998-03-01,5775.0
1998-04-01,5812.9
1998-05-01,5863.3
1998-06-01,5897.2
1998-07-01,5915.6
1998-08-01,5951.0
1998-09-01,5991.8
1998-10-01,6025.8
1998-11-01,6042.7
1998-12-01,6098.2
1999-01-01,6099.1
1999-02-01,6128.2
1999-03-01,6159.7
1999-04-01,6223.6
1999-05-01,6253.4
1999-06-01,6281.9
1999-07-01,6309.5
1999-08-01,6354.8
1999-09-01,6407.4
1999-10-01,6431.2
1999-11-01,6467.2
1999-12-01,6568.2
2000-01-01,6564.7
2000-02-01,6648.7
2000-03-01,6714.8
2000-04-01,6701.0
2000-05-01,6737.2
2000-06-01,6773.6
2000-07-01,6793.7
2000-08-01,6828.7
2000-09-01,6913.1
2000-10-01,6919.6
2000-11-01,6934.5
2000-12-01,6979.1
2001-01-01,7009.8
2001-02-01,7029.3
2001-03-01,7022.1
2001-04-01,7036.2
2001-05-01,7083.1
2001-06-01,7097.1
2001-07-01,7109.2
2001-08-01,7146.1
2001-09-01,7054.8
2001-10-01,7250.2
2001-11-01,7209.6
2001-12-01,7190.0
2002-01-01,7217.7
2002-02-01,7259.7
2002-03-01,7276.7
2002-04-01,7345.6
2002-05-01,7321.8
2002-06-01,7366.1
2002-07-01,7424.2
2002-08-01,7449.0
2002-09-01,7426.1
2002-10-01,7469.3
2002-11-01,7499.8
2002-12-01,7552.6
2003-01-01,7579.5
2003-02-01,7573.6
2003-03-01,7627.5
2003-04-01,7661.7
2003-05-01,7669.2
2003-06-01,7722.9
2003-07-01,7783.8
2003-08-01,7878.9
2003-09-01,7874.0
2003-10-01,7890.6
2003-11-01,7950.4
2003-12-01,7974.3
2004-01-01,8037.3
2004-02-01,8072.1
2004-03-01,8121.0
2004-04-01,8141.6
2004-05-01,8212.9
2004-06-01,8204.6
2004-07-01,8270.7
2004-08-01,8294.4
2004-09-01,8373.0
2004-10-01,8417.9
2004-11-01,8458.4
2004-12-01,8516.5
2005-01-01,8521.2
2005-02-01,8575.7
2005-03-01,8622.5
2005-04-01,8715.9
2005-05-01,8680.6
2005-06-01,8775.3
2005-07-01,8867.9
2005-08-01,8872.6
2005-09-01,8923.6
2005-10-01,8959.6
2005-11-01,8987.7
2005-12-01,9026.8
2006-01-01,9100.1
2006-02-01,9134.7
2006-03-01,9168.1
2006-04-01,9223.3
2006-05-01,9254.1
2006-06-01,9283.8
2006-07-01,9360.4
2006-08-01,9368.6
2006-09-01,9393.9
2006-10-01,9413.3
2006-11-01,9431.2
2006-12-01,9516.5
2007-01-01,9553.1
2007-02-01,9590.8
2007-03-01,9631.6
2007-04-01,9670.6
2007-05-01,9708.9
2007-06-01,9723.3
2007-07-01,9759.6
2007-08-01,9800.6
2007-09-01,9837.5
2007-10-01,9853.9
2007-11-01,9928.6
2007-12-01,9947.6
2008-01-01,9963.2
2008-02-01,9955.7
2008-03-01,10004.2
2008-04-01,10044.6
2008-05-01,10093.3
2008-06-01,10149.4
2008-07-01,10151.1
2008-08-01,10140.3
2008-09-01,10083.2
2008-10-01,9983.3
2008-11-01,9851.2
2008-12-01,9744.2
2009-01-01,9792.1
2009-02-01,9775.7
2009-03-01,9742.9
2009-04-01,9741.9
2009-05-01,9759.7
2009-06-01,9807.6
2009-07-01,9835.2
2009-08-01,9961.9
2009-09-01,9875.4
2009-10-01,9924.6
2009-11-01,9946.1
2009-12-01,10000.6
2010-01-01,10003.4
2010-02-01,10034.7
2010-03-01,10095.5
2010-04-01,10106.9
2010-05-01,10140.2
2010-06-01,10165.9
2010-07-01,10184.3
2010-08-01,10247.1
2010-09-01,10268.9
2010-10-01,10343.7
2010-11-01,10399.8
2010-12-01,10436.1
2011-01-01,10474.7
2011-02-01,10512.4
2011-03-01,10583.5
2011-04-01,10624.6
2011-05-01,10653.1
2011-06-01,10676.4
2011-07-01,10727.1
2011-08-01,10745.6
2011-09-01,10790.6
2011-10-01,10827.6
2011-11-01,10828.7
2011-12-01,10827.3
2012-01-01,10905.6
2012-02-01,10975.9
2012-03-01,10987.2
2012-04-01,11017.4
2012-05-01,11010.3
2012-06-01,10997.4
2012-07-01,11034.9
2012-08-01,11054.9
2012-09-01,11131.0
2012-10-01,11144.7
2012-11-01,11161.7
2012-12-01,11186.5
2013-01-01,11225.4
2013-02-01,11283.0
2013-03-01,11261.6
2013-04-01,11253.9
2013-05-01,11279.5
2013-06-01,11320.2
2013-07-01,11343.1
2013-08-01,11370.2
2013-09-01,11423.9
2013-10-01,11465.2
2013-11-01,11542.0
2013-12-01,11566.0
2014-01-01,11562.2
2014-02-01,11631.4
2014-03-01,11714.6
2014-04-01,11757.1
2014-05-01,11790.1
2014-06-01,11854.4
2014-07-01,11878.5
2014-08-01,11965.9
2014-09-01,11978.6
2014-10-01,12049.5
2014-11-01,12095.7
2014-12-01,12082.4
2015-01-01,12056.3
2015-02-01,12087.5
2015-03-01,12152.9
2015-04-01,12181.0
2015-05-01,12257.7
2015-06-01,12281.8
2015-07-01,12327.9
2015-08-01,12355.6
2015-09-01,12387.2
2015-10-01,12402.1
2015-11-01,12442.4
2015-12-01,12471.8
2016-01-01,12479.1
2016-02-01,12504.3
2016-03-01,12510.5
2016-04-01,12642.8
2016-05-01,12684.5
2016-06-01,12750.8
2016-07-01,12791.0
2016-08-01,12783.0
2016-09-01,12844.0
