numLikes,location,image_urls,numComments,Class 1,Class 2,Class 3,Class 4,Class 5,score 1,score 2,score 3,score 4,score 5,Object 1,Object 2,Object 3,Object 4,Object 5,Prob 1,Prob 2,Prob 3,Prob 4,Prob 5
948277,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.134.1080.1080/14717442_1868563973377314_6368600716512067584_n.jpg?ig_cache_key=MTM3Mzg4ODc1MTcyNTUxNTI1OA%3D%3D.2.c,3717,window shade,shower curtain,"theater curtain, theatre curtain","spotlight, spot",window screen,0.35674715,0.044996496,0.018038064,0.017919799,0.017345097,people,light,backlit,dark,motion,0.9807234,0.9763883,0.9648793,0.95894897,0.9142649
1700399,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c88.0.903.903/14677385_1789631431311818_4760164489549053952_n.jpg?ig_cache_key=MTM3MzUxMDc2NzUzNDE0OTE3Mg%3D%3D.2.c,7210,"mountain bike, all-terrain bike, off-roader","bicycle-built-for-two, tandem bicycle, tandem",alp,Appenzeller,crutch,0.166554824,0.03113218,0.019946519,0.01920793,0.017734094,people,wheel,cyclist,seated,dog,0.97633636,0.966764,0.96626544,0.9603046,0.9579395
877200,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14716446_1442483105765875_3874405331031293952_n.jpg?ig_cache_key=MTM3MzI2NDc4NDQ0Njg5MDc4NA%3D%3D.2,5223,"bakery, bakeshop, bakehouse","clog, geta, patten, sabot","shoe shop, shoe-shop, shoe store",toyshop,"saltshaker, salt shaker",0.416009843,0.166090637,0.049131662,0.026226703,0.019728247,no person,Christmas,decoration,fun,celebration,0.9665513,0.96007085,0.9545795,0.95251095,0.9291525
932916,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14693906_194491834329677_789244092256092160_n.jpg?ig_cache_key=MTM3MjcyMjAxNDkxODA4ODM0Mg%3D%3D.2,5415,purse,necklace,"gong, tam-tam",face powder,safety pin,0.160661489,0.147642732,0.085998639,0.085092589,0.0424948,watch,time,vintage,antique,clock,0.98758054,0.9818097,0.975093,0.9683916,0.96506935
1670302,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14719332_1260458830692525_7115563093417000960_n.jpg?ig_cache_key=MTM3MjU0MDc2NDQ2Mjk4MjcwMQ%3D%3D.2,7599,"thatch, thatched roof","megalith, megalithic structure",yurt,"cliff, drop, drop-off","Indian elephant, Elephas maximus",0.595705569,0.223383307,0.010553233,0.003400465,0.002653892,tree,park,no person,grass,landscape,0.99000597,0.9741447,0.9713712,0.96404976,0.9638409
1560525,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c179.0.721.721/14718408_208793382878194_2201541798604570624_n.jpg?ig_cache_key=MTM3MTk5NDAyMDI1OTkzMzQ5Mg%3D%3D.2.c,16621,vestment,cloak,abaya,gown,poncho,0.494742483,0.163156226,0.030085029,0.021635177,0.008886551,veil,religion,traditional,wedding,people,0.9928613,0.97964096,0.97357255,0.95010006,0.9420622
1347181,Chukhloma,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c0.134.1080.1080/14677188_1122465257801688_4599323272893431808_n.jpg?ig_cache_key=MTM3MTkzODA5Nzc0NzMyODY3Mw%3D%3D.2.c,5521,palace,"bell cote, bell cot",castle,"lakeside, lakeshore",dome,0.17040439,0.100089386,0.053492125,0.048091244,0.023790685,tree,winter,wood,no person,landscape,0.99081695,0.987748,0.9874903,0.9848771,0.9827795
807906,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c135.0.810.810/14718224_1608455269449244_3750874336362233856_n.jpg?ig_cache_key=MTM3MTMwNDgxMjEwMDMyOTAyNQ%3D%3D.2.c,4701,shopping cart,shopping basket,"lab coat, laboratory coat","tricycle, trike, velocipede","toilet tissue, toilet paper, bathroom tissue",0.974465668,0.003695506,0.001181218,0.001101169,0.000330574,street,people,two,man,child,0.9863217,0.9860426,0.9547857,0.9377953,0.92920506
741396,Louisville Jack O' Lantern Spectacular,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14718202_141531862983485_2709879103963529216_n.jpg?ig_cache_key=MTM3MDU1NDM5MzUzNTQzNzI5MA%3D%3D.2,5382,jack-o'-lantern,pomegranate,acorn squash,vase,maraca,0.879802048,0.019794639,0.011150424,0.005999125,0.005879791,pumpkin,Halloween,no person,fruit,fall,0.9863651,0.9814105,0.97722673,0.97508085,0.9660238
622350,,http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/14719812_742061929280622_5566972378115735552_n.jpg?ig_cache_key=MTM3MDM5Mzg4NTAwMzU5MzkxNQ%3D%3D.2,3184,vestment,"king penguin, Aptenodytes patagonica",stage,"theater curtain, theatre curtain",military uniform,0.094996154,0.085771635,0.073604144,0.036938433,0.036144387,football,audience,stadium,competition,people,0.9890272,0.98723674,0.9858681,0.97655743,0.9747819
772192,"Katmandu, Nepal",http://scontent.cdninstagram.com/t51.2885-15/s480x480/e35/c135.0.809.809/14719757_949765651794887_5034804704412958720_n.jpg?ig_cache_key=MTM2OTkxMzQxMTg4Njc2NzY1NA%3D%3D.2.c,4981,oxcart,"lumbermill, sawmill",ox,"horse cart, horse-cart","thresher, thrasher, threshing machine",0.303788096,0.272726208,0.073049836,0.053181257,0.025701586,people,adult,group,woman,two,0.9996717,0.9929184,0.9848409,0.9779576,0.9740088
