"","tripduration","starttime","stoptime","start.station.id","start.station.name","start.station.latitude","start.station.longitude","end.station.id","end.station.name","end.station.latitude","end.station.longitude","bikeid","usertype","birth.year","gender"
"450",644,"6/1/2016 01:50:49","6/1/2016 02:01:33",346,"Bank St & Hudson St",40.73652889,-74.00618026,474,"5 Ave & E 29 St",40.7451677,-73.98683077,14923,"Subscriber",1992,1
"372",713,"6/1/2016 01:16:08","6/1/2016 01:28:02",434,"9 Ave & W 18 St",40.74317449,-74.00366443,432,"E 7 St & Avenue A",40.72621788,-73.98379855,20756,"Subscriber",1992,1
"937",603,"6/1/2016 05:55:27","6/1/2016 06:05:31",2010,"Grand St & Greene St",40.72165481,-74.00234737,284,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,16819,"Subscriber",1992,2
"784",360,"6/1/2016 05:39:40","6/1/2016 05:45:40",3077,"Stagg St & Union Ave",40.70877084,-73.95095259,3090,"N 8 St & Driggs Ave",40.71774592,-73.95600096,24879,"Subscriber",1987,2
"334",408,"6/1/2016 01:05:13","6/1/2016 01:12:01",387,"Centre St & Chambers St",40.71273266,-74.0046073,337,"Old Slip & Front St",40.7037992,-74.00838676,25334,"Subscriber",1988,2
"214",412,"6/1/2016 00:36:11","6/1/2016 00:43:03",302,"Avenue D & E 3 St",40.72082834,-73.97793172,302,"Avenue D & E 3 St",40.72082834,-73.97793172,24995,"Subscriber",1961,1
"665",231,"6/1/2016 05:04:09","6/1/2016 05:08:01",515,"W 43 St & 10 Ave",40.76009437,-73.99461843,450,"W 49 St & 8 Ave",40.76227205,-73.98788205,18673,"Subscriber",1968,1
"964",1392,"6/1/2016 05:58:55","6/1/2016 06:22:07",481,"S 3 St & Bedford Ave",40.71260486,-73.96264403,444,"Broadway & W 24 St",40.7423543,-73.98915076,14839,"Subscriber",1986,1
"181",767,"6/1/2016 00:30:18","6/1/2016 00:43:05",336,"Sullivan St & Washington Sq",40.73047747,-73.99906065,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,24905,"Subscriber",1974,1
"858",152,"6/1/2016 05:47:47","6/1/2016 05:50:20",3140,"1 Ave & E 78 St",40.77140426,-73.9535166,3148,"E 84 St & 1 Ave",40.77565541,-73.95068615,17868,"Subscriber",1975,1
"242",507,"6/1/2016 00:39:59","6/1/2016 00:48:27",473,"Rivington St & Chrystie St",40.72110063,-73.9919254,445,"E 10 St & Avenue A",40.72740794,-73.98142006,15228,"Subscriber",1990,2
"495",170,"6/1/2016 02:16:22","6/1/2016 02:19:12",480,"W 53 St & 10 Ave",40.76669671,-73.99061728,422,"W 59 St & 10 Ave",40.770513,-73.988038,22631,"Subscriber",1979,1
"771",762,"6/1/2016 05:38:31","6/1/2016 05:51:14",2012,"E 27 St & 1 Ave",40.739445,-73.976806,394,"E 9 St & Avenue C",40.72521311,-73.97768752,25217,"Subscriber",1980,1
"20",823,"6/1/2016 00:03:16","6/1/2016 00:16:59",415,"Pearl St & Hanover Square",40.7047177,-74.00926027,350,"Clinton St & Grand St",40.71559509,-73.9870295,15121,"Subscriber",1952,1
"303",896,"6/1/2016 00:55:17","6/1/2016 01:10:13",3224,"W 13 St & Hudson St",40.7399735410341,-74.0051387250423,251,"Mott St & Prince St",40.72317958,-73.99480012,23112,"Subscriber",1978,1
"433",851,"6/1/2016 01:43:13","6/1/2016 01:57:25",3162,"W 78 St & Broadway",40.78339981,-73.98093133,3147,"E 85 St & 3 Ave",40.77801203,-73.95407149,24795,"Subscriber",1995,2
"210",854,"6/1/2016 00:34:43","6/1/2016 00:48:57",532,"S 5 Pl & S 4 St",40.710451,-73.960876,295,"Pike St & E Broadway",40.71406667,-73.99293911,22948,"Subscriber",1980,1
"371",351,"6/1/2016 01:16:07","6/1/2016 01:21:58",504,"1 Ave & E 15 St",40.73221853,-73.98165557,536,"1 Ave & E 30 St",40.74144387,-73.97536082,17855,"Subscriber",1951,2
"15",582,"6/1/2016 00:02:21","6/1/2016 00:12:04",456,"E 53 St & Madison Ave",40.7597108,-73.97402311,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,20782,"Subscriber",1969,1
"375",230,"6/1/2016 01:16:49","6/1/2016 01:20:39",3095,"Graham Ave & Herbert St",40.71929301,-73.94500379,3087,"Metropolitan Ave & Meeker Ave",40.71413311,-73.95234386,24111,"Subscriber",1990,2
"618",757,"6/1/2016 04:23:39","6/1/2016 04:36:16",388,"W 26 St & 10 Ave",40.749717753,-74.002950346,497,"E 17 St & Broadway",40.73704984,-73.99009296,19750,"Subscriber",1989,2
"320",180,"6/1/2016 01:00:56","6/1/2016 01:03:57",445,"E 10 St & Avenue A",40.72740794,-73.98142006,302,"Avenue D & E 3 St",40.72082834,-73.97793172,25054,"Subscriber",1997,1
"142",172,"6/1/2016 00:22:57","6/1/2016 00:25:49",280,"E 10 St & 5 Ave",40.73331967,-73.99510132,161,"LaGuardia Pl & W 3 St",40.72917025,-73.99810231,18682,"Subscriber",1992,2
"484",235,"6/1/2016 02:06:12","6/1/2016 02:10:08",252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,127,"Barrow St & Hudson St",40.73172428,-74.00674436,18536,"Subscriber",1976,1
"105",284,"6/1/2016 00:13:56","6/1/2016 00:18:40",223,"W 13 St & 7 Ave",40.73781509,-73.99994661,127,"Barrow St & Hudson St",40.73172428,-74.00674436,17297,"Subscriber",1989,2
"515",724,"6/1/2016 02:27:55","6/1/2016 02:39:59",486,"Broadway & W 29 St",40.7462009,-73.98855723,529,"W 42 St & 8 Ave",40.7575699,-73.99098507,25170,"Subscriber",1967,1
"77",566,"6/1/2016 00:10:41","6/1/2016 00:20:07",151,"Cleveland Pl & Spring St",40.722103786686,-73.997249007225,438,"St Marks Pl & 1 Ave",40.72779126,-73.98564945,18092,"Subscriber",1990,2
"726",476,"6/1/2016 05:28:27","6/1/2016 05:36:23",3167,"Amsterdam Ave & W 73 St",40.7796680900731,-73.9809304475784,457,"Broadway & W 58 St",40.76695317,-73.98169333,16787,"Subscriber",1968,1
"811",261,"6/1/2016 05:43:04","6/1/2016 05:47:25",472,"E 32 St & Park Ave",40.7457121,-73.98194829,536,"1 Ave & E 30 St",40.74144387,-73.97536082,24948,"Subscriber",1974,1
"893",410,"6/1/2016 05:50:26","6/1/2016 05:57:16",468,"Broadway & W 55 St",40.7652654,-73.98192338,305,"E 58 St & 3 Ave",40.76095756,-73.96724467,17474,"Subscriber",1981,1
"157",1692,"6/1/2016 00:26:06","6/1/2016 00:54:19",515,"W 43 St & 10 Ave",40.76009437,-73.99461843,434,"9 Ave & W 18 St",40.74317449,-74.00366443,20756,"Customer",NA,0
"93",1144,"6/1/2016 00:12:23","6/1/2016 00:31:28",241,"DeKalb Ave & S Portland Ave",40.68981035,-73.97493121,3073,"Division Ave & Hooper St",40.70691254,-73.95441667,23693,"Subscriber",1981,1
"264",132,"6/1/2016 00:45:01","6/1/2016 00:47:13",515,"W 43 St & 10 Ave",40.76009437,-73.99461843,495,"W 47 St & 10 Ave",40.76269882,-73.99301222,14862,"Subscriber",1980,1
"739",768,"6/1/2016 05:31:30","6/1/2016 05:44:18",357,"E 11 St & Broadway",40.73261787,-73.99158043,309,"Murray St & West St",40.7149787,-74.013012,23036,"Subscriber",1976,1
"171",2134,"6/1/2016 00:28:45","6/1/2016 01:04:19",2008,"Little West St & 1 Pl",40.70569254,-74.01677685,458,"11 Ave & W 27 St",40.751396,-74.005226,24795,"Subscriber",1995,2
"998",968,"6/1/2016 06:01:30","6/1/2016 06:17:39",3041,"Kingston Ave & Herkimer St",40.67890679,-73.94142771,397,"Fulton St & Clermont Ave",40.68415748,-73.96922273,18334,"Subscriber",1973,2
"279",107,"6/1/2016 00:47:35","6/1/2016 00:49:22",469,"Broadway & W 53 St",40.76344058,-73.98268129,173,"Broadway & W 49 St",40.7606832709659,-73.9845272898674,22397,"Subscriber",1984,1
"49",909,"6/1/2016 00:06:31","6/1/2016 00:21:40",296,"Division St & Bowery",40.71413089,-73.9970468,419,"Carlton Ave & Park Ave",40.69580705,-73.97355569,21796,"Subscriber",1956,1
"570",1242,"6/1/2016 03:14:32","6/1/2016 03:35:14",439,"E 4 St & 2 Ave",40.7262807,-73.98978041,412,"Forsyth St & Canal St",40.7158155,-73.99422366,19667,"Subscriber",1986,2
"498",611,"6/1/2016 02:16:54","6/1/2016 02:27:05",83,"Atlantic Ave & Fort Greene Pl",40.68382604,-73.97632328,3049,"Cambridge Pl & Gates Ave",40.68488,-73.96304,23490,"Subscriber",1983,2
"432",225,"6/1/2016 01:42:50","6/1/2016 01:46:35",410,"Suffolk St & Stanton St",40.72066442,-73.98517977,432,"E 7 St & Avenue A",40.72621788,-73.98379855,22234,"Subscriber",1984,1
"197",2513,"6/1/2016 00:33:27","6/1/2016 01:15:21",3169,"Riverside Dr & W 82 St",40.78720869,-73.98128127,3169,"Riverside Dr & W 82 St",40.78720869,-73.98128127,22147,"Customer",NA,0
"496",2069,"6/1/2016 02:16:45","6/1/2016 02:51:14",345,"W 13 St & 6 Ave",40.73649403,-73.99704374,3141,"1 Ave & E 68 St",40.76500525,-73.95818491,15599,"Subscriber",1989,1
"27",741,"6/1/2016 00:04:19","6/1/2016 00:16:40",462,"W 22 St & 10 Ave",40.74691959,-74.00451887,504,"1 Ave & E 15 St",40.73221853,-73.98165557,22453,"Subscriber",1988,1
"452",1581,"6/1/2016 01:51:02","6/1/2016 02:17:23",3167,"Amsterdam Ave & W 73 St",40.7796680900731,-73.9809304475784,380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,20878,"Subscriber",1994,1
"635",305,"6/1/2016 04:38:33","6/1/2016 04:43:38",437,"Macon St & Nostrand Ave",40.6809833854,-73.9500479759,3241,"Monroe St & Tompkins Ave",40.686203,-73.944694,22091,"Subscriber",1994,1
"308",758,"6/1/2016 00:56:56","6/1/2016 01:09:35",511,"E 14 St & Avenue B",40.72938685,-73.97772429,518,"E 39 St & 2 Ave",40.74780373,-73.9734419,24155,"Subscriber",1958,1
"579",134,"6/1/2016 03:23:02","6/1/2016 03:25:17",479,"9 Ave & W 45 St",40.76019252,-73.9912551,488,"W 39 St & 9 Ave",40.75645824,-73.99372222,18089,"Subscriber",1987,1
"5",229,"6/1/2016 00:00:53","6/1/2016 00:04:42",335,"Washington Pl & Broadway",40.72903917,-73.99404649,285,"Broadway & E 14 St",40.73454567,-73.99074142,15400,"Subscriber",1989,1
"710",980,"6/1/2016 05:22:50","6/1/2016 05:39:10",3129,"Queens Plaza North & Crescent St",40.75110165,-73.94073717,281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,16259,"Subscriber",1956,1
"162",235,"6/1/2016 00:27:18","6/1/2016 00:31:14",401,"Allen St & Rivington St",40.72019576,-73.98997825,438,"St Marks Pl & 1 Ave",40.72779126,-73.98564945,24115,"Subscriber",1971,1
"387",442,"6/1/2016 01:19:48","6/1/2016 01:27:11",153,"E 40 St & 5 Ave",40.752062307,-73.9816324043,492,"W 33 St & 7 Ave",40.75019995,-73.99093085,19527,"Subscriber",1975,1
"648",511,"6/1/2016 04:53:36","6/1/2016 05:02:08",3161,"W 76 St & Columbus Ave",40.7801839724239,-73.9772853255272,469,"Broadway & W 53 St",40.76344058,-73.98268129,24971,"Subscriber",1955,1
"352",577,"6/1/2016 01:09:54","6/1/2016 01:19:32",467,"Dean St & 4 Ave",40.68312489,-73.97895137,3060,"Willoughby Ave & Tompkins Ave",40.69425403,-73.94626915,23602,"Subscriber",1989,1
"139",245,"6/1/2016 00:22:48","6/1/2016 00:26:53",301,"E 2 St & Avenue B",40.72217444,-73.98368779,312,"Allen St & Stanton St",40.722055,-73.989111,16405,"Subscriber",1978,2
"1",1470,"6/1/2016 00:00:18","6/1/2016 00:24:48",380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,3236,"W 42 St & Dyer Ave",40.7589848139963,-73.9937996864319,19859,"Subscriber",1972,1
"187",145,"6/1/2016 00:30:42","6/1/2016 00:33:07",3062,"Myrtle Ave & Marcy Ave",40.69539817,-73.94954908,3061,"Throop Ave & Myrtle Ave",40.69622937,-73.94371094,22930,"Subscriber",1984,1
"960",519,"6/1/2016 05:58:39","6/1/2016 06:07:19",153,"E 40 St & 5 Ave",40.752062307,-73.9816324043,478,"11 Ave & W 41 St",40.76030096,-73.99884222,22719,"Subscriber",1965,1
"832",447,"6/1/2016 05:45:02","6/1/2016 05:52:29",3167,"Amsterdam Ave & W 73 St",40.7796680900731,-73.9809304475784,3168,"Central Park West & W 85 St",40.78472675,-73.96961715,14725,"Subscriber",1980,2
"185",957,"6/1/2016 00:30:32","6/1/2016 00:46:29",412,"Forsyth St & Canal St",40.7158155,-73.99422366,310,"State St & Smith St",40.68926942,-73.98912867,17263,"Subscriber",1984,1
"671",501,"6/1/2016 05:07:37","6/1/2016 05:15:59",3076,"Scholes St & Manhattan Ave",40.70870368,-73.9448625,2002,"Wythe Ave & Metropolitan Ave",40.716887,-73.963198,25069,"Subscriber",1993,2
"126",1434,"6/1/2016 00:16:40","6/1/2016 00:40:35",380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,337,"Old Slip & Front St",40.7037992,-74.00838676,16974,"Subscriber",1993,1
"413",654,"6/1/2016 01:31:34","6/1/2016 01:42:28",450,"W 49 St & 8 Ave",40.76227205,-73.98788205,486,"Broadway & W 29 St",40.7462009,-73.98855723,25170,"Subscriber",1986,1
"799",250,"6/1/2016 05:41:32","6/1/2016 05:45:43",261,"Johnson St & Gold St",40.69474881,-73.98362464,3232,"Bond St & Fulton St",40.6896218879033,-73.9830426871777,21626,"Subscriber",1977,1
"930",339,"6/1/2016 05:54:18","6/1/2016 05:59:58",470,"W 20 St & 8 Ave",40.74345335,-74.00004031,444,"Broadway & W 24 St",40.7423543,-73.98915076,23756,"Subscriber",1985,1
"761",308,"6/1/2016 05:36:49","6/1/2016 05:41:58",237,"E 11 St & 2 Ave",40.73047309,-73.98672378,345,"W 13 St & 6 Ave",40.73649403,-73.99704374,24832,"Subscriber",1989,1
"644",834,"6/1/2016 04:49:00","6/1/2016 05:02:54",478,"11 Ave & W 41 St",40.76030096,-73.99884222,434,"9 Ave & W 18 St",40.74317449,-74.00366443,14570,"Subscriber",1979,1
"946",454,"6/1/2016 05:56:45","6/1/2016 06:04:19",482,"W 15 St & 7 Ave",40.73935542,-73.99931783,377,"6 Ave & Canal St",40.72243797,-74.00566443,20294,"Subscriber",1986,1
"646",175,"6/1/2016 04:51:30","6/1/2016 04:54:26",355,"Bayard St & Baxter St",40.71602118,-73.99974372,320,"Leonard St & Church St",40.717571,-74.005549,25383,"Subscriber",1980,1
"716",515,"6/1/2016 05:24:36","6/1/2016 05:33:12",368,"Carmine St & 6 Ave",40.73038599,-74.00214988,3002,"South End Ave & Liberty St",40.711512,-74.015756,16143,"Subscriber",1988,1
"996",276,"6/1/2016 06:01:13","6/1/2016 06:05:49",174,"E 25 St & 1 Ave",40.7381765,-73.97738662,476,"E 31 St & 3 Ave",40.74394314,-73.97966069,22146,"Subscriber",1969,2
"896",410,"6/1/2016 05:50:40","6/1/2016 05:57:31",127,"Barrow St & Hudson St",40.73172428,-74.00674436,435,"W 21 St & 6 Ave",40.74173969,-73.99415556,19417,"Subscriber",1978,1
"940",213,"6/1/2016 05:55:46","6/1/2016 05:59:19",229,"Great Jones St",40.72743423,-73.99379025,285,"Broadway & E 14 St",40.73454567,-73.99074142,20520,"Subscriber",1983,1
"411",594,"6/1/2016 01:30:50","6/1/2016 01:40:45",334,"W 20 St & 7 Ave",40.74238787,-73.99726235,519,"Pershing Square North",40.751873,-73.977706,18356,"Subscriber",1981,1
"806",401,"6/1/2016 05:42:22","6/1/2016 05:49:03",301,"E 2 St & Avenue B",40.72217444,-73.98368779,293,"Lafayette St & E 8 St",40.73028666,-73.9907647,25008,"Subscriber",1983,1
"697",262,"6/1/2016 05:20:00","6/1/2016 05:24:22",441,"E 52 St & 2 Ave",40.756014,-73.967416,518,"E 39 St & 2 Ave",40.74780373,-73.9734419,22354,"Subscriber",1983,1
"306",129,"6/1/2016 00:56:04","6/1/2016 00:58:13",329,"Greenwich St & N Moore St",40.72043411,-74.01020609,147,"Greenwich St & Warren St",40.71542197,-74.01121978,17582,"Subscriber",1956,1
"400",383,"6/1/2016 01:22:54","6/1/2016 01:29:18",462,"W 22 St & 10 Ave",40.74691959,-74.00451887,3255,"8 Ave & W 31 St",40.7505853470215,-73.9946848154068,14583,"Subscriber",1989,1
"672",915,"6/1/2016 05:08:40","6/1/2016 05:23:56",3162,"W 78 St & Broadway",40.78339981,-73.98093133,486,"Broadway & W 29 St",40.7462009,-73.98855723,15259,"Subscriber",1988,1
"335",606,"6/1/2016 01:05:29","6/1/2016 01:15:35",3093,"N 6 St & Bedford Ave",40.71745169,-73.95850939,282,"Kent Ave & S 11 St",40.7076449441757,-73.9684152603149,17118,"Subscriber",1976,1
"610",242,"6/1/2016 04:15:05","6/1/2016 04:19:07",3122,"48 Ave & 5 St",40.7443632870669,-73.9558732509613,3125,"45 Rd & 11 St",40.74708586,-73.94977234,17564,"Subscriber",1981,1
"669",2261,"6/1/2016 05:05:10","6/1/2016 05:42:51",3226,"W 82 St & Central Park West",40.78275,-73.97137,3168,"Central Park West & W 85 St",40.78472675,-73.96961715,25038,"Subscriber",1969,2
"934",231,"6/1/2016 05:55:04","6/1/2016 05:58:55",445,"E 10 St & Avenue A",40.72740794,-73.98142006,483,"E 12 St & 3 Ave",40.73223272,-73.98889957,22227,"Subscriber",1989,1
"597",1164,"6/1/2016 03:55:04","6/1/2016 04:14:28",225,"W 14 St & The High Line",40.74195138,-74.00803013,478,"11 Ave & W 41 St",40.76030096,-73.99884222,20083,"Subscriber",1988,1
"837",1265,"6/1/2016 05:45:29","6/1/2016 06:06:34",301,"E 2 St & Avenue B",40.72217444,-73.98368779,519,"Pershing Square North",40.751873,-73.977706,18809,"Subscriber",1993,2
"415",363,"6/1/2016 01:35:48","6/1/2016 01:41:51",284,"Greenwich Ave & 8 Ave",40.7390169121,-74.0026376103,161,"LaGuardia Pl & W 3 St",40.72917025,-73.99810231,19262,"Subscriber",1982,2
"841",543,"6/1/2016 05:45:50","6/1/2016 05:54:53",237,"E 11 St & 2 Ave",40.73047309,-73.98672378,252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,21096,"Subscriber",1984,2
"984",329,"6/1/2016 06:00:33","6/1/2016 06:06:02",2008,"Little West St & 1 Pl",40.70569254,-74.01677685,327,"Vesey Pl & River Terrace",40.7153379,-74.01658354,22677,"Subscriber",1966,1
"348",1896,"6/1/2016 01:08:17","6/1/2016 01:39:53",458,"11 Ave & W 27 St",40.751396,-74.005226,3162,"W 78 St & Broadway",40.78339981,-73.98093133,21622,"Subscriber",1994,1
"359",398,"6/1/2016 01:07:20","6/1/2016 01:13:59",383,"Greenwich Ave & Charles St",40.735238,-74.000271,326,"E 11 St & 1 Ave",40.72953837,-73.98426726,24872,"Subscriber",1989,2
"781",360,"6/1/2016 05:39:15","6/1/2016 05:45:16",488,"W 39 St & 9 Ave",40.75645824,-73.99372222,462,"W 22 St & 10 Ave",40.74691959,-74.00451887,18089,"Subscriber",1976,1
"407",781,"6/1/2016 01:29:38","6/1/2016 01:42:39",483,"E 12 St & 3 Ave",40.73223272,-73.98889957,523,"W 38 St & 8 Ave",40.75466591,-73.99138152,17101,"Subscriber",1986,1
"47",353,"6/1/2016 00:05:57","6/1/2016 00:11:51",3157,"East End Ave & E 86 St",40.77518615,-73.94446054,3156,"E 72 St & York Ave",40.76663814,-73.95348296,19057,"Subscriber",1952,1
"741",551,"6/1/2016 05:31:39","6/1/2016 05:40:51",236,"St Marks Pl & 2 Ave",40.7284186,-73.98713956,474,"5 Ave & E 29 St",40.7451677,-73.98683077,22397,"Subscriber",1984,1
"479",1720,"6/1/2016 02:02:19","6/1/2016 02:31:00",445,"E 10 St & Avenue A",40.72740794,-73.98142006,2006,"Central Park S & 6 Ave",40.76590936,-73.97634151,16665,"Customer",NA,0
"982",310,"6/1/2016 06:00:28","6/1/2016 06:05:38",305,"E 58 St & 3 Ave",40.76095756,-73.96724467,359,"E 47 St & Park Ave",40.75510267,-73.97498696,16997,"Subscriber",1987,1
"706",1659,"6/1/2016 05:21:58","6/1/2016 05:49:38",432,"E 7 St & Avenue A",40.72621788,-73.98379855,468,"Broadway & W 55 St",40.7652654,-73.98192338,24726,"Subscriber",1963,1
"385",1580,"6/1/2016 01:19:12","6/1/2016 01:45:33",445,"E 10 St & Avenue A",40.72740794,-73.98142006,3002,"South End Ave & Liberty St",40.711512,-74.015756,17019,"Subscriber",1961,2
"487",135,"6/1/2016 02:07:16","6/1/2016 02:09:31",3129,"Queens Plaza North & Crescent St",40.75110165,-73.94073717,3237,"21 St & 41 Ave",40.7538334343762,-73.942676782608,20791,"Subscriber",1988,1
