,psraid,state,density,igender,irace,sex,qp2,age,q5,q29a,q29b,q29c,educ2,race3m1,income,party,ideo
53,100254,Texas,4,Female,Black or African-American,Male,"Barack Obama, the Democrat [OR]",31,Middle class,Less likely,More likely,More likely,High school graduate (Grade 12 with diploma or GED certificate),"Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)","20 to under $30,000",Independent,Very conservative
54,100258,New Mexico,1,Male,Hispanic,Female,"Barack Obama, the Democrat [OR]",62,Lower class,Less likely,Less likely,More likely,"Some college, no degree (includes community college)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","20 to under $30,000",Democrat,Conservative
55,100259,North Carolina,3,Female,Black or African-American,Female,"Mitt Romney, the Republican",43,Lower-middle class,Less likely,More likely,More likely,"Some college, no degree (includes community college)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","75 to under $100,000",Republican,Conservative
56,100265,New Mexico,1,Male,Black or African-American,Male,[VOL. DO NOT READ] Don't know/Refused,60,Lower-middle class,Less likely,Less likely,More likely,"Some college, no degree (includes community college)","Hispanic/Latino (VOL.) (e.g., Mexican, Puerto Rican, Cuban)","20 to under $30,000",No preference (VOL.),"Liberal, OR"
57,100271,Alabama,2,Male,Black or African-American,Female,"Barack Obama, the Democrat [OR]",39,Middle class,Less likely,More likely,More likely,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)","75 to under $100,000",Democrat,Moderate
58,100274,Illinois,3,Male,Black or African-American,Male,"Barack Obama, the Democrat [OR]",58,Upper-middle class,The Same/No difference (VOL.),More likely,The Same/No difference (VOL.),Two year associate degree from a college or university,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","30 to under $40,000",Independent,Moderate
59,100275,New Mexico,3,Female,White,Male,"Mitt Romney, the Republican",75,Upper-middle class,More likely,More likely,Less likely,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","$150,000 or more",Republican,Very conservative
60,100276,New Mexico,1,Female,Black or African-American,Female,"Barack Obama, the Democrat [OR]",28,Upper-middle class,More likely,The Same/No difference (VOL.),More likely,Two year associate degree from a college or university,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","50 to under $75,000",Democrat,Moderate
61,100285,Minnesota,5,Female,Black or African-American,Female,"Barack Obama, the Democrat [OR]",82,Middle class,More likely,Less likely,More likely,"Postgraduate or professional degree, including master’s, doctorate, medical or law degree (e.g., MA, MS, PhD, MD, JD)","White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","50 to under $75,000",Democrat,Moderate
62,100286,Texas,4,Female,Hispanic,Female,"Barack Obama, the Democrat [OR]",54,Upper-middle class,Less likely,No opinion/Don't know enough to say,More likely,"Four year college or university degree/Bachelor’s degree (e.g., BS, BA, AB)","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)","$150,000 or more",Democrat,Conservative
63,100290,Pennsylvania,5,Female,Black or African-American,Male,"Barack Obama, the Democrat [OR]",50,Middle class,Less likely,No opinion/Don't know enough to say,More likely,"Some postgraduate or professional schooling, no postgraduate degree","Black or African-American (e.g., Negro, Kenyan, Nigerian, Haitian)",(VOL. DO NOT READ) Don't know/Refused,Democrat,Moderate
64,100306,Colorado,3,Female,Black or African-American,Male,"Mitt Romney, the Republican",65,Middle class,More likely,More likely,The Same/No difference (VOL.),Two year associate degree from a college or university,"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)","10 to under $20,000",Republican,Moderate
65,100322,North Carolina,1,Female,Black or African-American,Female,"Mitt Romney, the Republican",76,Middle class,No opinion/Don't know enough to say,Less likely,No opinion/Don't know enough to say,Don't know/Refused (VOL.),"White (e.g., Caucasian, European, Irish, Italian, Arab, Middle Eastern)",(VOL. DO NOT READ) Don't know/Refused,Independent,(VOL. DO NOT READ) Don't know/Refused
