review_count,style_score,brewer,wgt_avg,beer_img,state,beer_rank,overall_score,beer_style,beer_name,abv,est_cal,mean,ibu,beer_desc
11,91,Bluegrass Brewing Company,3.5,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_119289.jpg",KENTUCKY,25,93,Stout,Bluegrass Bourbon Barrel Smoked Stout,6.4%,192,3.92/5.0,37,"A standard American stout by style, however aged in Woodford Reserve bourbon barrels for 90 days. This full bodied stout presents with a black opaque appearance due to the heavy doses of dark malts and roasted barley. A blend of the dark grains, a portion of smoked malt, and a generous amount of pale malt lends to a filling and warming beer with notes of bourbon, caramel, coffee, toffee and smoke. With the complement of conditioning on a Woodford Reserve Barrel for 3 months the stout finishes with a deliciously balanced melding of barrel aged character and the smooth silky flavor of a well made stout."
28,78,Country Boy Brewing,3.59,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_189802.jpg",KENTUCKY,24,93,American Strong Ale,Country Boy Papaw’s Red Ale,,,3.68/5.0,270,Red Ale aged in Pappy Van Winkle barrels.
156,90,West Sixth Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_169849.jpg",KENTUCKY,23,93,India Pale Ale (IPA),West Sixth IPA,7%,210,/,80,
24,61,Against the Grain Brewery,3.54,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_217373.jpg",KENTUCKY,22,94,Imperial IPA,Against the Grain Tropical Segway Kitten,10.2%,306,3.74/5.0,130,"This beer is a work of fiction.  Any similarities to any other beer, living or dead, are purely coincidental.  This is a gentle giant of a double IPA.  Sure, the malt bill is rather large.  Sure, it’s a little boozy.  Sure, the hop bill is completely unreasonable.  But that’s no reason to get so aggressive.  Let’s all just relax and soak in the complex blend of German and American malts.  Let’s kick back and bask in the heightened IBUs holding up the earthy, fruity, grapefuity, lemony, piney, myrcene-heavy flavors provided by late hopping with Sorachi Ace, Simcoe, and Falconer’s Flight hops and dry hopping with Centennial and Citra hops.  Just chill out and throw one back in the hot, hot sun."
96,52,Bluegrass Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_39867.jpg",KENTUCKY,21,94,Imperial Porter,Bluegrass Russian Imperial Porter,11%,330,/,,71 IBUs
11,85,Braxton Brewing Company,3.61,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_340194.jpg",KENTUCKY,20,94,Foreign Stout,Braxton Dead Blow - Starter Coffee,,27,3.85/5.0,,"For this beer, we’ve taken our Starter Coffee Blend and added it to Dead Blow Tropical Stout during the brewing process. The result is the perfect balance of bitterness and sweetness paired with the delicate roast of a Stout. It’s a beer worth the buzz."
180,74,Bluegrass Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_9134.jpg",KENTUCKY,19,95,Barley Wine,Bluegrass Bearded Pats Barleywine Style Ale,11%,330,/,,"American Style barleywine: so named because of its high, wine-like alcohol content and the usage of American hops. Deep amber in color and full bodied, with a blend of fruitiness, maltiness and hop bitterness to balance."
34,90,Against the Grain Brewery,3.66,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_421337.jpg",KENTUCKY,18,95,Black IPA,Against the Grain Gnight Ryder,9%,270,3.74/5.0,,Imperial Black Ale. Red wine barrel aged.
237,96,Against the Grain Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_183198.jpg",KENTUCKY,17,96,India Pale Ale (IPA),Against the Grain Rico Sauvin,8.2%,246,/,68,"An India Pale Ale featuring Nelson Sauvin hops. Named after the Sauvignon Blanc grape, is a variety of hop developed and grown in New Zealand. It has a strong fruity flavor and aroma that is described as resembling white wine, or fresh crushed grapes or gooseberries. Some reviewers of this hop perceive the fruitiness as being very tropical with deScriptions including passion fruit, tangerines, and grapefruit."
52,83,Against the Grain Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_205477.jpg",KENTUCKY,16,96,Barley Wine,Against the Grain The Green Dragon,12.5%,375,/,115,"This big barleywine is malty and chewy as well as packed full of aromatic and flavorful New Zealand hops.  Over a ton of malt went into the mash on this beast.  Pale malt forms the base and additions of wheat, Victory malt, and British caramel malt give a complex character that comes through as toffee, caramel, and dark fruits.  A blend of Pacific Gem, Topaz, Wakatu, Motueka, and Nelson Sauvin hops lend notes of vanilla, tropical fruits, earthy spice, and citrus.  There’s a lot going on here, just like in the Lord of the Rings.  Take your time, and enjoy it all!"
367,85,Against the Grain Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_258430.jpg",KENTUCKY,15,96,Imperial IPA,Against the Grain Citra Ass Down,8.2%,246,/,68,"This beer is not candy or mother’s milk. It is not brewed by gypsies or aliens, nor does it contain any zombie dirt. This is an American Style IPA brewed with Citra Hops. It is citrusy, sticky, hoppy and delicious. Simply drink it and enjoy it. Don’t hoard this beer, Citra Ass Down and drink it now."
282,96,Against the Grain Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_155857.jpg",KENTUCKY,14,96,Sweet Stout,Against the Grain 35K Stout,7%,210,/,26,"Not your typical ""Jelly of the Month Club"" beer. Dark roasted malt and bittersweet cocoa and coffee flavor and aroma burst from this pitch black milk stout. The full body and sweetness are derived from the addition of lactose (aka milk sugar) which is not fermentable by beer yeast. A healthy dose of English Kent Goldings hops provides a counterpoint to this ale’s rich and complex maltiness."
10,58,West Sixth Brewing Company,3.69,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_200777.jpg",KENTUCKY,13,96,Imperial Stout,West Sixth Snakes In A Barrel ,12%,360,3.97/5.0,,Our imperial stout aged in 20 year pappy van winkle barrels.
13,84,Country Boy Brewing,3.71,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_393819.jpg",KENTUCKY,12,97,Sour Red/Brown,Country Boy 4th Anniversary Wild Red Ale,,,3.93/5.0,270,This wild red ale (Flanders Red) has been maturing in American oak barrels for 2 years with additions of wild yeast and bacteria. Distinct wine-like notes of plum and raisin are backed up by a subtle tartness with an underlying foundation of caramel malt and oak tannin
17,62,Against the Grain Brewery,3.71,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_391786.jpg",KENTUCKY,11,97,Imperial Stout,Against the Grain / Dry & Bitter Your Lytest One,10.2%,306,3.88/5.0,,"A collaboration with Dry and Bitter Brewery from Copenhagen, Denmark. A solid base of pale ale malt, generous additions of rye malt and roasted barley lend this stout a ton of complexity. Feel yourself hover above the ground, feel light and airy just like you would with the Danes. This beer is what you want to feel like a light has been turned on inside your body, let yourself be illuminated with the power of a Danish stout. Cheese danishes are not included, bring your own."
31,63,West Sixth Brewing Company,3.71,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_176031.jpg",KENTUCKY,10,97,Imperial Stout,West Sixth Snake Eyes Imperial Stout ,,,3.8/5.0,330,"This American-style imperial stout is strong at an 11% ABV, but not too chewy for a high gravity beer.  Malt bill includes 8 different grains for complexity, and it’s hopped with Northern Brewer and Columbus hops."
23,62,Bluegrass Brewing Company,3.66,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_133853.jpg",KENTUCKY,9,97,Imperial Stout,Bluegrass Cherry Inyouendo,11%,330,3.91/5.0,,Russian Imperial Stout aged in Woodford Reserve barrels with a supporting tart Michigan cherry fruit character.
16,80,Bluegrass Brewing Company,3.73,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_74375.jpg",KENTUCKY,8,97,Imperial Porter,Bluegrass Bourbon Barrel Russian Imperial Porter,11%,330,3.92/5.0,,
18,96,Country Boy Brewing,3.75,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_223293.jpg",KENTUCKY,7,98,Black IPA,Country Boy Infinite Sadness,12%,360,3.92/5.0,,"Barreled Black IPA, our Heart of Dankness aged five months in Elmer T. Lee Bourbon barrels. Tastes as epic as your hangover will feel!"
150,93,Against the Grain Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_166380.jpg",KENTUCKY,6,98,Barley Wine,Against the Grain London Balling,,80,/,,"English style barleywine aged in Angel’s Envy bourbon barrels. Brewed with enough Maris Otter pale, Aromatic and caramel malts to nearly overflow our mash tun. We then balanced this beer with some English Nugget and Kent Goldings hops. The resulting ale was sweet, nutty and powerful, but we didn’t stop there. The entire batch was put into used Angel’s Envy barrels for nearly 3 months to gather the residual bourbon flavor and some aromatic and drying oak notes. By the way, Balling is a measurement of specific gravity."
49,90,Against the Grain Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_251378.jpg",KENTUCKY,5,98,Sour/Wild Ale,Against the Grain Brett The Hipman Hop,,65,/,,"A solid dose of light pilsner malt along with a variety of
similarly undermodified German-style malts gave us a
crisp, clean base to work with. Then we got it All
Funked Up. Generous additions of Apollo and
Vanguard hops created a substantial flavor of citrus
peel and floral spice as well as plenty of IBUs for such
a mild malt bill. Ale yeast was then used for primary
fermentation before adding a blend of three strains of
Brettanomyces. These superattenuating little bugs
were allowed to thoroughly ferment out many complex
sugars and leave behind their characteristic (and very
apparent) wild and funky flavors. After about four and
a half months, we added a fresh addition of whole leaf
Amarillo hops that spent about a week imparting a
citrusy, almost candylike flavor. Finally, we moved the
beer to a bottle for a final fermentation that cleaned
and carbonated this beer to be ready for the glass."
50,83,Against the Grain Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_211947.jpg",KENTUCKY,4,99,Imperial Stout,Against the Grain / To Øl An Ale Pleasure,,85,/,,"This giant imperial rye stout is the result of our collaboration with the Danish brewers from ToØl. In true Danish style, it is austere and utterly humorless. Deep in the heart of its double mash lies a cornucopia of dark, flavorful malts. The discerning palate will detect chocolate, rye, biscuit, and faint peat notes in each sip. The raw power of Magnum and Chinook hops were used to battle this beer into a variety of different woods. Most of the batch aged in used bourbon barrels, but some of it saw scotch barrels, port barrels, ash, hickory, red oak, white oak, cherrywood, and more. Check your keg for what wooded nectar is in your glass."
25,90,Quaff Bros,3.9,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_431858.jpg",KENTUCKY,3,99,Imperial Stout,Quaff Bros Full Allotment,,,4.04/5.0,357,Follow the Muler family on a cross-country adventure buying more Beer than they should. Friendships are born and broken and the meaning of life comes into question. Mind-blowing bottle shares and owner/brewmaster confrontations await this thirsty bunch as they search for the full allotment! Starring Dark Apparition and Oil of Aphrodite in a bourbon barrel aged production.
295,96,Against the Grain Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_186595.jpg",KENTUCKY,2,100,Imperial Stout,Against the Grain / De Molen Bo & Luke,13%,390,/,86,"Orange Wax (or Reddish orange).  Originally an Against the Grain Brewery and Brouwerij De Molen collaboration beer.  For the first incarnation, De Molen head brewer Menno Oliver hopped in a muscle car and drove straight through from the Netherlands to Louisville, KY (that’s USA folks) to brew this bourbon inspired ale, and we liked it so much, we decided to do it again.  We took the ingredients in bourbon whiskey (Barley, Rye, Corn) and then smoked them with cherry wood and brewed a huge imperial stout with them.  Then to top it off we aged it in Pappy VanWinkle Bourbon Barrels.  The resulting beer is rich, smokey and complex, with a bourbon character of caramel, vanilla and spice. Bottle has orange reddish orange) wax top. Only the first version was aged in Pappy barrels. For further information see - http://www.ratebeer.com/forums/bo-luke-initial-release-vs-later-bottles_256787.htm"
115,97,Against the Grain Brewery,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_205480.jpg",KENTUCKY,1,100,Imperial Stout,Against the Grain 70K,13.1%,393,/,48,"Taking awesome and doubling it can only be double awesome. It’s math.

This is essentially the 35K recipe doubled. Double roasty, double chocolatey, double creamy, double delicious. Then we decided to make it 2.5X awesome by aging it in Angel’s Envy barrels for a really, really long time. The bourbon and oak flavors perfectly compliment the massive flavors in the double mega imperial milk stout. You don’t swim in this beer, it swims in you!"
15,37,Defiance Brewing Co.,3.53,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_298378.jpg",KANSAS,24,90,Imperial Stout,Defiance Fuzzy Knuckles,10%,300,3.69/5.0,55,"Rich roasty malts, earthy English hops, Sumatran coffee, and nutty cocoa nibs blend harmoniously to create this approachable full-bodied beast we call Fuzzy Knuckles. Think woolly mammoths, and Bob Vila, and that barista that makes the best lattes."
16,81,Free State Brewing Company,3.46,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_53497.jpg",KANSAS,23,90,India Pale Ale (IPA),Free State Hop Picker Pale Ale,,,3.73/5.0,225,"As the harvest wound up and the hop pickers finished their seasons work, we made this extra hoppy American IPA to remember the season by. The Hop Picker marries two of our favorite American hop varieties, Centennial and Columbus in even portions at each step of the brew. From bittering in the kettle to dry hopping in the conditioning tank, we added equal parts of these two pungent hops all the way through. Balanced with a subdued malt bill made up of American 2-row pale malt, Munich malt and an assortment of light caramel malts for a deep gold color and a nice body to match the hops without overpowering them. O.G. 17.5°P/1070 IBUs 78

Alc content 6.0  by wt., 7.5 by vol."
13,90,Lb. (Liquid Bread) Brewing Co,3.48,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_110799.jpg",KANSAS,22,91,Stout,Liquid Bread Liberty Stout,,,3.83/5.0,177,"2009 GABF Gold medal winner, American-style Stout category."
78,95,Tallgrass Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_327395.jpg",KANSAS,21,92,American Pale Ale,Tallgrass 16-Bit DPA,6.2%,186,/,55,"16-Bit Double Pale Ale is the next generation of pale ale from Tallgrass. For fans of 8-Bit Pale Ale ready to advance to a new realm, 16-Bit DPA is a one-pint finishing move that delivers a sweeping sequence of crisp aromas, light body, bright hoppiness and striking citrus flavors. Best enjoyed in multi-player mode."
61,94,Blind Tiger,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_34623.jpg",KANSAS,20,92,Porter,Blind Tiger Java Porter,,33,/,,"Our award winning coffee beer! We brew this robust style porter with coffee we roast at the brewery. The roasted coffee compliments the dark roasted malts we use in this brew. English malts and hops round out the balance. Mmm, the perfect breakfast beer."
32,95,Free State Brewing Company,3.54,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_2933.jpg",KANSAS,19,92,American Pale Ale,Free State Hop Jack Ale,,,3.61/5.0,,"First the name - Hop Jacks (or Hop Backs as they are also called) are pieces of traditional brewing equipment that are used to add fresh hop flavors and aromas to the hot wort as it is transferred from the brew kettle to the heat exchanger. Fresh hop flowers would be placed in the Hop Jack for the very freshest hop character. Though hop jacks are still in use, they are not in use here. However, the results achieved with this beer are similar and represent the kind of hop character that is achieved using a Hop Jack."
23,83,Free State Brewing Company,3.48,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_119830.jpg",KANSAS,18,92,India Pale Ale (IPA),Free State Belgian Muse IPA,8%,240,3.68/5.0,48,"Inspired by a Belgian beer that itself was inspired by American craft brewers and their propensity for hoppy beers, this Belgian Holiday IPA illustrates the ever-evolving brewing landscape. This beer starts with a generous portion of pilsner malt augmented by an addition of cane sugar to the kettle. Judicious amounts of Simcoe, Centennial, Sterling, Amarillo, Chinook, and Columbus hops contribute to the uniquely American citrus and pine characteristics of this international brew. The Belgian yeast strain adds fruity and earthy overtones that meld harmoniously with the complex hop bill. The Bottom Line- A medium bodied, hoppy Belgian ale hybrid: part IPA, part Belgian Trippel. A Belgian for hopheads."
54,89,Lb. (Liquid Bread) Brewing Co,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_51655.jpg",KANSAS,17,92,Sweet Stout,Liquid Bread Oatmeal Stout,,,/,180,"Dominated with caramel, coffee and chocolate flavors, this ""Liquid Bread"" is a meal in itself.  Silver Medal 2005 GABF - Oatmeal Stout category."
37,77,Free State Brewing Company,3.57,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_26548.jpg",KANSAS,16,93,Black IPA,Free State Stormwatch Dark Ale,,,3.64/5.0,213,"This dark brown, hoppy ale takes the IPA style into unfamiliar depths of color. Amarillo hops provide the hoppy flavors and aromas of an India Pale Ale complemented by subtle chocolaty roasted notes from the dark malts. The malt bill is very close to that for Copperhead but with the addition of some dark roasted malt for color and flavor. The Amarillo hops are a potent American variety with a distinctive flavor and aroma."
217,91,Tallgrass Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_197569.jpg",KANSAS,15,93,Sweet Stout,Tallgrass Vanilla Bean Buffalo Sweat,,20,/,,"In 2013, two nine-gallon casks were filled with Buffalo Sweat and a handful of vanilla beans, and were stored in Tallgrass founder Jeff Gill’s office. A few weeks later, Jeff entered his office to find one of casks had exploded, spraying beer all over his office and leaving a hole in the ceiling above his desk shaped exactly like the cork bung used to seal the cask. Thankfully, the other cask did not explode. That night at an event in Wichita, Kansas, the beer was so well-received, it immediately got the call to become the brewery’s winter seasonal."
19,44,Blind Tiger,3.58,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_1815.jpg",KANSAS,14,93,Imperial Stout,Blind Tiger Russian Imperial Stout,,,3.71/5.0,,"A very rich, dark and full-bodied brew. Complex, slight licorice and roasted barley finish. Dark tan head."
60,93,Tallgrass Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_351915.jpg",KANSAS,13,94,Sweet Stout,Tallgrass Vanilla Bean Buffalo Sweat - Bourbon Barrel & Cinnamon,,20,/,,"We took our highly popular winter seasonal, Vanilla Bean Buffalo Sweat, aged it in bourbon barrels and enhanced it with crushed cinnamon sticks during fermentation."
73,91,Free State Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_159463.jpg",KANSAS,12,94,India Pale Ale (IPA),Free State Winterfest IPA,,60,/,,"Bright golden, with citrus flavor and an aroma that combines notes of grapefruit, orange zest and a touch of the tropics. Like a warm ray of sunshine on a cold winter’s day."
79,100,Free State Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_2942.jpg",KANSAS,11,94,Oktoberfest/Märzen,Free State Octoberfest,,20,/,,"Oktoberfest is one of the most celebrated traditions in German culture. And though Kansas may be a long way from Munich, we share the sentiment. Our Octoberfest was only the second specialty beer we ever brewed, and the original batch was first tasted back in 1989.

To this day, it continues to be one of our most popular brews, with folks seeking it out both at the brewpub and on the shelves of their local liquor stores."
56,97,Tallgrass Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_331114.jpg",KANSAS,10,94,Abbey Tripel,Tallgrass Wooden Rooster,9.5%,285,/,34,"To create Wooden Rooster, we took Velvet Rooster, our Belgian-style Tripel, and aged it in rye whiskey barrels, giving it an oaky vanilla finish."
14,87,Free State Brewing Company,3.63,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_133855.jpg",KANSAS,9,94,Black IPA,Free State C4 Imperial Black IPA,,,3.81/5.0,85,"This dark, strong IPA explodes with flavors borrowed from Free State favorites, C3 IPA and Stormwatch Ale. Columbus, Centennial, and Citra hops contribute the intense hop aroma and flavor while Carafa malt provides the roasty, chocolate notes. A big beer with big flavor."
69,49,Tallgrass Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_262313.jpg",KANSAS,8,95,Imperial Stout,Tallgrass Big Ricc,,65,/,,Big RICC: Russian Imperial Stout with Coffee and Chocolate
273,94,Tallgrass Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_196752.jpg",KANSAS,7,95,India Pale Ale (IPA),Tallgrass Ethos IPA,6.8%,204,/,110,"This beer was known as Area 51 IPA during development. Ethos is our new West Coast style IPA...double dry-hopped using 6 different hop varietals. Juicy, citrusy, dank."
50,62,Free State Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_44740.jpg",KANSAS,6,95,Imperial Porter,Free State Black Jack Porter,7.9%,237,/,30,This Baltic-Style Porter marries the chocolate character of an English Porter with the strength more typical of an Imperial Stout. The lager yeast employed lends a smoothness and neutrality not typically seen in a Porter. Named for the Battle of Black Jack between John Brown’s men and the pro-slavery forces of Henry C. Pate in a Black Jack oak grove near Baldwin City in 1856.
139,52,Free State Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_2935.jpg",KANSAS,5,96,Imperial Stout,Free State Ironman Imperial Stout,8.4%,252,/,75,"Honoring our favorite local blacksmith, this flavorful Stout is a selected mix of ten malts and five hop varieties. Imperial Stout was a key British export in the Baltic trade that elevated art and industry in Russia and England during the 18th Century. Celebrate craftsmanship and raise a glass to broader flavor horizons."
160,98,Tallgrass Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_229763.jpg",KANSAS,4,96,Porter,Tallgrass Zombie Monkie,,35,/,,"Zombie Monkie is a dark, rich porter, carefully brewed for the post-apocalyptic world to come. Crafted with lots of roasty dark chocolate and specialty malts, then inoculated with enough hops to add a floral/citrus character in the finish. It’s hardy, complex, and interesting, because you might be drinking it for a long time."
114,96,Free State Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_209815.jpg",KANSAS,3,99,Imperial IPA,Free State Cloud Hopper Imperial IPA,9.2%,276,/,82,"This boldly hopped ale will take you to new heights of hoppiness. Copious amounts of Chinook, Columbus, and Cascade hops combine to evoke far off places with the scents and flavors of tropical fruit, pine needles, flowers and a hint of freshly mown grass. A choice malt bill lifts the hops, providing balance and keeping this beer on course."
254,99,Free State Brewing Company,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_2943.jpg",KANSAS,2,99,Barley Wine,Free State Old Backus Barleywine,,55,/,,"Like great friendships, barleywine is meant to evolve over time. From the first brash encounters, to the mellow complexity that age will bring, this is a beer to be savored early and then revisited with the passage of time. Share our tribute to friendships new and old."
