state,beer_rank,beer_name,beer_style,brewer,review_count,overall_score,style_score,wgt_avg,abv,est_cal,mean,ibu,beer_desc,beer_img
ALABAMA,11,Straight To Ale Unobtanium,Old Ale,Straight To Ale,64,94.0,89.0,,,68.0,,,"Unobtanium is a barrel-aged English-style Old Ale that ages for six months in a bourbon barrel, soaking up all sorts of amazing whiskey character as well as hints of oak and vanilla. The name was taken from an old aerospace/engineering term for a specific material or object (often imaginary, impossible or highly improbable to obtain) needed to complete any given project. And, before you ask, we did not take the name from the elusive metal in Avatar. James Cameron reportedly named the substance as an inside joke to his fellow techie/gear-heads. Our version is much tastier, though.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_122697.jpg"
ALABAMA,12,Beer Engineers Peanut Butter Porter,Imperial Porter,Beer Engineers,22,93.0,49.0,3.53,12,360.0,3.77,,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_175870.jpg"
ALABAMA,13,Good People Coffee Oatmeal Stout,Sweet Stout,Good People Brewing Company,125,92.0,88.0,,6,180.0,,54.0,"Big coffee flavors dominate early only to be wiped out by an enormous about of Willamette hop flavors. One of GPBC's most requested beers. Complex and full of flavor yet amazingly sessionable. Brewed with coffee from Primavera Coffee Roasters here in Birmingham, AL.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_95959.jpg"
ALABAMA,14,Straight To Ale Illudium,Old Ale,Straight To Ale,33,91.0,84.0,3.55,,22.0,3.63,,"Like Unobtanium, Illudium is an English-style Old Ale, but instead of being aged in whiskey barrels, we use cognac barrels. This imparts a wonderful, alcohol warmth and a slight spiciness.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_177875.jpg"
ALABAMA,15,Blue Pants Weedys Double IPA,Imperial IPA,Blue Pants Brewery,19,91.0,56.0,3.55,8.7,261.0,3.67,175.0,Hoppy brilliance. This beer is a beautiful batch of hop craziness for our hop head friends. Sound the trumpet for the alluring floral tastes and smells of this wonderful double.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_212063.jpg"
ALABAMA,16,Straight To Ale Monkeynaut IPA,India Pale Ale (IPA),Straight To Ale,158,91.0,86.0,,7.25,218.0,,70.0,"Albert. Able. Gordo. Miss Baker. Bonny. Goliath. Between 1948 and 1961 these primate pioneers and others bravely went where no man had ever gone before, paving the way for manned U.S. spaceflight. This hoppy little monkey of a beer is a tribute to those Simian heroes of yesteryear. It has a citrusy, floral hop aroma, a strong malt body and a crisp finish.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_122298.jpg"
ALABAMA,17,Fairhope Painted Black IPA,Black IPA,Fairhope Brewing Company,14,90.0,65.0,3.51,7,210.0,3.68,72.0,"The Painted Black IPA is one of the first examples of this new style to emerge from the South. It combines the dark-as-night color of a stout with a prominent ""Northwest"" hop aroma  citrusy, piney, and resinous. The body has some sweet malt flavors, with just a hint of roastiness and toasted malt.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_190848.jpg"
ALABAMA,18,Avondale Vanillaphant Porter,Porter,Avondale Brewing Company,56,90.0,91.0,,,,,189.0,Available year-round.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_158530.jpg"
ALABAMA,19,Blue Pants Pinstripe Candy Bar Stout,Foreign Stout,Blue Pants Brewery,12,89.0,66.0,3.52,8,240.0,3.7,,Pinstripe Export Stout with peanut butter and caramel flavoring added.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_343941.jpg"
ALABAMA,20,Good People Hitchhiker American IPA,India Pale Ale (IPA),Good People Brewing Company,19,88.0,80.0,3.5,,81.0,3.62,,"A far cry from our original IPA, The Hitchhiker is a big floral/citrus American IPA. Aromas and flavors of pineapple, grapefruit, orange, and tangerines take center stage with a tad bit of caramel malt backbone to balance just a bit. A very dry finish with hops flavors lingering...this one is for the hopheads.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_122594.jpg"
ALABAMA,21,Straight To Ale Verns Wheat Wine,Barley Wine,Straight To Ale,22,87.0,48.0,3.46,,,3.55,330.0,Righ to Brew Series,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_181447.jpg"
ALABAMA,22,Back Forty Trade Day Cuban Coffee Stout,Imperial Stout,Back Forty Beer Company,38,86.0,30.0,3.47,8,240.0,3.53,38.0,"Cuban Coffee Stout. Trade Day refers to the old Southern tradition of gathering at the crossroads to buy and sell goods of all kinds. These culturally diverse events still exist all over Alabama, and after half a century, it's finally time to welcome our Cuban neighbors back to the crossroads. Y'all bring the coffee, we'll bring the beer.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_195719.jpg"
ALABAMA,23,Salty Nut Dahkness Stout,Stout,Salty Nut Brewery,10,85.0,82.0,3.45,,,3.64,192.0,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_250938.jpg"
ALABAMA,24,Straight To Ale He Aint Heffe,German Hefeweizen,Straight To Ale,23,85.0,98.0,3.46,,10.0,3.55,,"He Ain't Heffe is our take on the traditional German hefeweizen. An unfiltered wheat beer, it has a big nose full of banana and clove, a light and fruity flavor and a very small hop profile. Sweet and refreshing  a great lawnmower beer!","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_174657.jpg"
ALABAMA,25,Fairhope (Take The) Causeway IPA,India Pale Ale (IPA),Fairhope Brewing Company,28,85.0,71.0,3.46,8.2,246.0,3.54,69.0,Previously 6.5% abv and 75 IBUs,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_222591.jpg"
ALASKA,1,Midnight Sun 2007 Deadly Sins: Sloth,Imperial Stout,Midnight Sun Brewing Company,133,100.0,98.0,,,20.0,,,"Sloth is the avoidance of physical or spiritual work.

SLOTH Belgian-style Imperial Stout is deliberately dark as hell. The pour is slow and sluggish. Its head is menacing, becoming torn and tattered Belgian lace on the sides of the glass as you cautiously consume this brewsip by insidious sip.

The aroma is sweet from heavy malt and big alcohol with notes of vanilla, coconut and whiskey from the oak. The depth & breadth of roasted malt flavors loiters on the palate while the robust finish lingers, well, forever.

SLOTH...Just add couch.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_82146.jpg"
ALASKA,2,Midnight Sun Berserker,Imperial Stout,Midnight Sun Brewing Company,528,100.0,98.0,,,30.0,,,"Vicious and viscous, this menacing brew pours opaque black with a creamy maduro-colored head. Its aroma offers seductive whiskey, chewy red wine, dark fruit and lavish tobacco. Berserker Imperial Stout invades your taste buds with in-your-face flavor. Weighing in at almost 13% alcohol by volume, Berserker is completely out-of-control. Give it a good fight.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_55357.jpg"
ALASKA,3,Midnight Sun 2010 Pop Ten: Barfly,Imperial Stout,Midnight Sun Brewing Company,197,100.0,97.0,,,45.0,,,Smoked Imperial Stout. Part of the 2010 Pop Ten Series. December 2010.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_136022.jpg"
ALASKA,4,Anchorage A Deal With The Devil Barleywine,Barley Wine,Anchorage Brewing Company,208,100.0,99.0,,,60.0,,,"1 hop, 1 malt, aged in giant freshly emptied Cognac Barrels.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_198143.jpg"
ALASKA,5,Anchorage Time Waits For No One,Imperial Stout,Anchorage Brewing Company,11,100.0,96.0,4.03,14.6,438.0,4.4,60.0,"Imperial stout aged in Laphroaig barrels. 14.6% ABV, 60 IBUs, Original Gravity 36 degrees plato.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_266226.jpg"
ALASKA,6,Midnight Sun Arctic Devil,Barley Wine,Midnight Sun Brewing Company,542,100.0,99.0,,,20.0,,,"Arctic Devil Barley Wine, aptly named after the ferocious wolverine of the north, is an English-style (meaning malt-inclined) barley wine. Though the recipe and process for Arctic Devil have evolved over the years, it is brewed once a year then aged in oak barrels for several months before the entire batch is blended, bottled and released. Beginning in 2010, ADBW will be released in late SEP.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_21244.jpg"
ALASKA,7,Anchorage Bitter Monk Belgian Style Double IPA,Imperial IPA,Anchorage Brewing Company,406,100.0,99.0,,9,270.0,,100.0,"Double IPA aged in French oak Chardonnay barrels with Brett. Deep within the tortured aberrations of a monk's mind there lay a concept of a Holy Grail of beer -- a beer oft imagined but never tasted, strived for but never achieved. It's Belgian heritage manifested in its yeasty complexity, softened and rounded in its cooperage Franais and made to sparkle like the stars first seen by his distant predecessor Dom Prignon.
Bitter Monk Belgian Double IPA is such a beer. Redolent of citrusy hop bittering and massive malt infusion, this is a beer to ponder, to sip, and, even for a monk, to dream. Why then is the monk so bitter? What provokes that sly smile? What is he wearing under that flowing robe? A triple-fermented beer gives him three times the mystery. Remember, anything worth doing is worth over doing. Nothing exceeds like excess. Even for the cloistered.
And what rough monk, his hour come round at last, slinks slowly toward Brussels to be reborn.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_146192.jpg"
ALASKA,8,Anchorage Darkest Hour Imperial Stout (2014-),Imperial Stout,Anchorage Brewing Company,66,100.0,95.0,,,40.0,,,This years batch is totally new recipe using regular ale yeast and several high end whiskey barrels for aging.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_301625.jpg"
ALASKA,9,Anchorage Love Buzz Saison,Saison,Anchorage Brewing Company,488,100.0,100.0,,8,240.0,,40.0,Saison brewed with spices and aged in French oak Pinot Noir barrels.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_146193.jpg"
ALASKA,10,Midnight Sun Monks Mistress,Belgian Strong Ale,Midnight Sun Brewing Company,514,99.0,100.0,,11.5,345.0,,13.0,"The inspiration for this beer's namepreviously, La Maitresse du Moineis the beer itself. Its deep, intense flavors inspired the concept of a monk that seeks solace and satisfaction from the sensory pleasure and mind-provoking effects of this liquid temptress.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_22463.jpg"
ALASKA,11,Midnight Sun Moscow,Imperial Stout,Midnight Sun Brewing Company,173,99.0,90.0,,,45.0,,,Alaska's Most Wanted Series.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_160952.jpg"
ALASKA,12,Alaskan Smoked Porter,Smoked,Alaskan Brewing Company,1744,99.0,100.0,,6.5,195.0,,45.0,"The dark, robust body and pronounced smoky flavor of this limited edition beer make it an adventuresome taste experience. Alaskan Smoked Porter is produced in limited ""vintages"" each year and, unlike most beers, may be aged in the bottle, much like fine wine.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_16.jpg"
ALASKA,13,Anchorage Mosaic Saison,Saison,Anchorage Brewing Company,264,99.0,99.0,,6.5,195.0,,30.0,Ale with brettanomyces aged in fermented in oak tanks.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_328505.jpg"
ALASKA,14,Anchorage The Tide and Its Takers Triple,Abbey Tripel,Anchorage Brewing Company,379,99.0,100.0,,9,270.0,,30.0,Brewed with Sorachi Ace and Styrian Golding Hops. Aged in French Oak Chardonnay barrels with brettanomyces. Triple Fermented.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_155352.jpg"
ALASKA,15,Midnight Sun T.R.E.A.T. Imperial Chocolate Pumpkin Porter,Spice/Herb/Vegetable,Midnight Sun Brewing Company,440,99.0,100.0,,,30.0,,,"Intriguing doses of sweet spices, cocoa nibs and pumpkin transform an exceptional porter into a mesmerizing potion. Pour this tantalizing brew into a snifter and experience its many eccentric nuances, which will delight your taste buds.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_66804.jpg"
ALASKA,16,Alaskan Pilot Series: Barley Wine Ale,Barley Wine,Alaskan Brewing Company,517,99.0,96.0,,,50.0,,,"Alaskan Barley Wine has been produced in limited edition vintages each year since its introduction in 2003. A big beer for big winters, this brew has garnered a steady following in Alaska. Bottled for the first time in 2007, the balanced flavor collaboration between hops, malt and high alcohol showcases the barley wine style, winning first place at the 2007 Toronado Barley Wine Festival and bronze at the 2008 World Beer Cup.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_21245.jpg"
ALASKA,17,Anchorage / Jolly Pumpkin Calabaza Boreal ,Saison,Anchorage Brewing Company,229,99.0,98.0,,,40.0,,,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_267899.jpg"
ALASKA,18,Anchorage Galaxy White IPA,India Pale Ale (IPA),Anchorage Brewing Company,585,99.0,99.0,,7,210.0,,50.0,"Ale brewed with Galaxy hops, coriander, kumquats, and peppercorns. Fermented and aged in French oak foudres with a wit yeast. Dry hopped with Galaxy hops. Bottle conditioned with brettanomyces and wine yeast. Drink fresh or age to bring out the funk.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_161579.jpg"
ALASKA,19,Midnight Sun Monks Mistress (Bourbon),Belgian Strong Ale,Midnight Sun Brewing Company,40,98.0,98.0,,11,330.0,,,"Spending seven months in an oak bourbon barrel beautifully develops this dark strong ale's complexity.  Dark chocolate and hints of wood in the nose introduce a palate of bourbon and sweet raisins.  At 11% abv, Oak-Aged Monk's Mistress delivers untamed strength in character and purpose.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_69361.jpg"
ALASKA,20,Midnight Sun 2009 Crew Brews: Brewtality,Baltic Porter,Midnight Sun Brewing Company,158,98.0,95.0,,,17.0,,,"""Combining jet black color with incredibly smooth texture and decadent coffee flavor, BREWTALITY breaks the expectations of both rich espresso and dark beer to create a whole 'nuther beast. While brutal in alcoholic strength, this biggie beautifully showcases its roasted malt and coffee flavors without bringing on bitterness and bite. This is the first of two lagers in the series.""","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_99800.jpg"
ALASKA,21,Midnight Sun 2014 Alaskana Series: Termination Dust,Barley Wine,Midnight Sun Brewing Company,51,98.0,94.0,,,70.0,,,Belgian barley wine ale aged in High West bourbon barrels,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_291146.jpg"
ALASKA,22,Midnight Sun XXX Black Double IPA,Black IPA,Midnight Sun Brewing Company,191,98.0,97.0,,,87.0,,,"Originally brewed in 2009 to celebrate Specialty Imports' 30th Anniversary, XXX Black Double IPA is now produced each winter. XXX offers bold, American hop character  comfortably cloaked in dark, luxurious malt. This exciting winter warmer will take the chill right out of your bones. Curl up with this session-beer-meets-nightcap.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_97948.jpg"
ALASKA,23,Anchorage The Experiment,Sour/Wild Ale,Anchorage Brewing Company,17,98.0,89.0,3.76,,20.0,3.95,,Belgian sour White,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_163955.jpg"
ALASKA,24,Anchorage Whiteout Wit Bier,Witbier,Anchorage Brewing Company,393,97.0,100.0,,6.5,195.0,,20.0,"This is a variation on the classic Belgian Witbier style, but aged in French Oak Chardonnay barrels","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_146191.jpg"
ALASKA,25,Anchorage Anadromous Belgian Black Bier ,Sour/Wild Ale,Anchorage Brewing Company,246,97.0,87.0,,8.5,255.0,,30.0,"Ale brewed with summit hops. Triple fermented. First in French Oak Foudres, second in pinot noir and whiskey barrels with brett and other critters. Finally in the bottle for natural carbonation.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_155354.jpg"
ARIZONA,1,Superstition Berry White,Mead,Superstition Meadery,57,100.0,100.0,,13.5,405.0,,,Mead with raspberries and white chocolate.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_258871.jpg"
ARIZONA,2,Superstition Blue Berry White ,Mead,Superstition Meadery,54,100.0,100.0,,,,,405.0,Mead made with blueberries and white chocolate. Batch # 1801. 100 bottles.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_293345.jpg"
ARIZONA,3,Superstition Endovelicus,Mead,Superstition Meadery,36,100.0,100.0,4.31,,,4.46,390.0,"Mead made with Arizona Mesquite Honey and Raspberry Juice, aged in a Sandeman's Tawny Port Barrel.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_335468.jpg"
ARIZONA,4,Superstition Straw Berry White,Mead,Superstition Meadery,44,100.0,100.0,,,,,405.0,An American oak barrel aged dessert mead made with strawberry juice and white chocolate.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_335470.jpg"
ARIZONA,5,Dragoon Lazarus,Barley Wine,Dragoon Brewing Company,17,100.0,100.0,4.25,,84.0,4.54,,"Lazarus is the biggest, most complex beer we've ever produced. It began life as an American Barleywine, and was then aged with Brettanomyces in Downslope Disttiling barrels for 13 months. The result is a soft, complex, toasty and slightly chocolatey delight, with just a hint of alcohol warmth.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_310629.jpg"
ARIZONA,6,Superstition Aphrodisia Pyment - Cabernet ,Mead,Superstition Meadery,22,100.0,99.0,4.18,,,4.4,420.0,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_260186.jpg"
ARIZONA,7,Superstition Framboesa Atando,Mead,Superstition Meadery,33,100.0,99.0,4.21,,,4.36,360.0,"Mead made with Arizona Mesquite Honey, Raspberry Juice and Belgian Dark Candi Sugar","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_335466.jpg"
ARIZONA,8,Superstition Grand Cru Berry,Mead,Superstition Meadery,36,100.0,99.0,4.23,,,4.37,405.0,"A blend of equal parts Berry White, Blue Berry White, Straw Berry White & Black Berry White.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_359366.jpg"
ARIZONA,9,Superstition Black Berry White,Mead,Superstition Meadery,35,100.0,99.0,4.14,,,4.28,405.0,American oak barrel aged dessert mead made with black berry juice and white chocolate.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_335471.jpg"
ARIZONA,10,Superstition Peanut Butter Jelly Crime,Mead,Superstition Meadery,13,100.0,99.0,4.14,13,390.0,4.52,,"Mead aged on peanuts and blueberry juice, which tastes amazingly like peanut butter and jelly.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_402282.jpg"
ARIZONA,11,Sun Up White Russian Imperial Stout ,Imperial Stout,Sun Up Brewery,39,100.0,98.0,4.08,9.3,279.0,4.19,,Thick dark brown in color- this Imperial Russian Stout is infused with white Russian coffee.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_230359.jpg"
ARIZONA,12,Arizona Wilderness American Presidential Stout,Imperial Stout,Arizona Wilderness Brewing Company,120,100.0,97.0,,11,330.0,,,"Russian Imperial Stout made with smoked jalapeos from McClendon Select and smoked over Arizona mesquite wood, all aged on cocoa nibs (Papa New Guinea and Belize).

Well, well. What sits in front of you, this thick, monstrous, viscous  this is the Russian Imperial Stout. This is the crme de la crme of the beer world. The empress of Russia couldn't get enough of it. This being the US of freaking A makes this the free world's style, thus, the American Presidential nomenclature. Catherine the Great would have sat in the Hermitage and asked why jalapeos smoked over Arizona mesquite were used. We say this to CTG: This is 'Merica and this is Wilderness. This is OUR stout. Enjoy  we poured our hearts and souls into this one!","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_258394.jpg"
ARIZONA,13,Arizona Wilderness DC Mountain Double IPA,Imperial IPA,Arizona Wilderness Brewing Company,44,100.0,99.0,,,,,255.0,"Many of you craft beer aficionados began your beer-drinking lives with yellow swill out of horse troughs and gas stations. Then, in a moment of serendipity, a certain beer graced your palate and changed your destiny of taste. If this Double IPA was given too early, the tongue of the inexperienced beer drink may shrivel up and die in the desert of hops. Not you though; you have reached your beernucopia and can appreciate massive amounts of expensive hops. Let's see  Centennial, Chinook, Columbus, Citra, Cascade (whole cone), and Galaxy hops joined the party. A blend of malts that unifies this ale into a pint of pine, dank, citrus, mango, and pleasure. Enjoy, good person, you are a craft beer lover.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_239543.jpg"
ARIZONA,14,Arizona Wilderness Picacho Pecan Pie Brown Ale,Brown Ale,Arizona Wilderness Brewing Company,27,100.0,100.0,4.04,6.6,198.0,4.21,,Our brown ale brewed with whole pecan pies and dry hopped with local Arizona pecans and real vanilla beans.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_235747.jpg"
ARIZONA,15,Superstition Super Bee,Mead,Superstition Meadery,16,100.0,99.0,4.01,,,4.27,330.0,Trojniak style mead is a classic polish beverage. Made with honey from a small local producer: Bee Dudes. Made with pure ironwood honey,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_322486.jpg"
ARIZONA,16,Superstition Marion Mead - Still,Mead,Superstition Meadery,64,100.0,99.0,,13.5,405.0,,,"Honey Wine (85%) fermented with Marion Berries (5%), Raspberries (5%) and Blueberries (5%).","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_211340.jpg"
ARIZONA,17,Superstition Aphrodisia Pyment - Cabernet/Pinot Noir/Syrah,Mead,Superstition Meadery,36,100.0,98.0,3.98,13,390.0,4.09,,"This batch of Aphrodisia (red wine grape pyment) was made by blending 3 sixty gallon New American Oak barrels of Aphrodisia equally, including the ingredients of Arizona Mesquite honey, Arizona Wildflower honey, and 3 California wine grape varietals (Cabernet, Pinot Noir & Syrah). Aphrodisia Batch 0611 on the Bottle.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_392813.jpg"
ARIZONA,18,Superstition Aphrodisia Pyment - Cabernet/Syrah,Mead,Superstition Meadery,37,100.0,98.0,3.98,,,4.09,420.0,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_260182.jpg"
ARIZONA,19,Superstition Aphrodisia Pyment - Syrah/Grenache,Mead,Superstition Meadery,16,100.0,98.0,3.98,,,4.22,420.0,,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_260184.jpg"
ARIZONA,20,Superstition Date Night,Mead,Superstition Meadery,27,100.0,98.0,3.97,,,4.12,390.0,"Safe Word with coffee and Medjool dates, aged in oak.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_349793.jpg"
ARIZONA,21,Superstition Fruit of Venus,Mead,Superstition Meadery,13,100.0,98.0,3.96,14,420.0,4.28,,Peach & apricot mead aged on Madagascar Bourbon vanilla beans and toasted oak barrel staves.,"http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_399331.jpg"
ARIZONA,22,Superstition Marion Mead - Sparkling,Mead,Superstition Meadery,35,99.0,98.0,3.96,,,4.07,405.0,"Sparkling mead made with marionberries, raspberries, and blueberries","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_254973.jpg"
ARIZONA,23,Four Peaks Double Knot,Imperial IPA,Four Peaks Brewing Company (AB-InBev),33,99.0,98.0,3.93,9.2,276.0,4.04,,"Why Double Knot for a name?  Well, it's essentially a double Hop Knot.  Now does that mean we just went and doubled the alcohol content?  No, but close; Hop Knot is around 6% and Double Knot is around 9.2%.  So, did we double the hops?  Well, yes!  We did!  Hop Knot uses around 3.5 lbs per barrel and Double Knot is around 7.5 lbs per barrel (Okay, a little more than double, don't sue us).  That's really the main difference between the two; slightly higher alcohol content and twice the hops. But what a difference if you're a true hop-head.","http://res.cloudinary.com/ratebeer/image/upload/w_250,c_limit/beer_117751.jpg"
