Variable,Factor,coef,std err,t,p,sig,Keep
cat103,cat103G,-1.48E+00,2.03E+00,-0.731,0.464713,,0
cat103,cat103H,-1.15E+00,1.68E+00,-0.684,0.49371,,0
cat103,cat103I,-1.11E+00,1.35E+00,-0.821,0.411563,,0
cat103,cat103J,-2.93E-01,1.02E+00,-0.287,0.774274,,0
cat103,cat103K,-1.94E-01,8.90E-01,-0.218,0.827458,,0
cat103,cat103L,NA,NA,NA,NA,,0
cat103,cat103N,NA,NA,NA,NA,,0
cat104,cat104B,-2.22E+00,1.14E+00,-1.936,0.052918,.,0
cat104,cat104C,-1.15E+00,9.16E-01,-1.256,0.209232,,0
cat104,cat104D,-5.98E-01,1.10E+00,-0.546,0.584801,,0
cat104,cat104E,-1.38E+00,6.86E-01,-2.017,0.043722,*,1
cat104,cat104F,-1.01E+00,1.11E+00,-0.909,0.363139,,0
cat104,cat104G,-1.78E+00,9.42E-01,-1.884,0.059543,.,0
cat104,cat104H,-1.08E+00,1.10E+00,-0.981,0.326441,,0
cat104,cat104I,-1.66E+00,1.33E+00,-1.247,0.212581,,0
cat104,cat104J,-1.79E+00,1.09E+00,-1.635,0.102073,,0
cat104,cat104K,-1.74E+00,8.21E-01,-2.124,0.033716,*,1
cat104,cat104L,-1.41E+00,8.80E-01,-1.602,0.109178,,0
cat104,cat104M,-1.12E+00,7.21E-01,-1.548,0.121691,,0
cat104,cat104N,-1.03E+00,6.10E-01,-1.684,0.092254,.,0
cat104,cat104O,-8.82E-01,6.26E-01,-1.409,0.158799,,0
cat104,cat104P,-1.28E+00,6.28E-01,-2.031,0.042268,*,1
cat104,cat104Q,-1.20E+00,8.25E-01,-1.451,0.146803,,0
cat105,cat105C,3.43E-01,6.27E-01,0.547,0.584613,,0
cat105,cat105D,1.96E-01,6.08E-01,0.322,0.747547,,0
cat105,cat105E,2.46E-01,6.08E-01,0.404,0.68617,,0
cat105,cat105F,2.83E-01,6.08E-01,0.465,0.641753,,0
cat105,cat105G,2.90E-01,6.08E-01,0.477,0.633634,,0
cat105,cat105H,3.52E-01,6.08E-01,0.578,0.563321,,0
cat105,cat105I,3.84E-01,6.09E-01,0.631,0.528179,,0
cat105,cat105J,4.66E-01,6.14E-01,0.759,0.448137,,0
cat105,cat105K,3.45E-01,6.18E-01,0.559,0.576158,,0
cat105,cat105L,1.07E+00,6.52E-01,1.639,0.101299,,0
cat105,cat105M,2.79E-01,6.52E-01,0.427,0.669036,,0
cat105,cat105N,6.21E-01,7.16E-01,0.866,0.386229,,0
cat105,cat105R,1.20E+00,1.27E+00,0.949,0.342432,,0
cat106,cat106B,9.91E-01,1.18E+00,0.842,0.399774,,0
cat106,cat106C,-6.59E-01,1.04E+00,-0.635,0.52549,,0
cat106,cat106D,-1.20E-01,1.02E+00,-0.117,0.906571,,0
cat106,cat106E,-2.41E-01,1.02E+00,-0.237,0.812878,,0
cat106,cat106F,-2.82E-01,1.02E+00,-0.277,0.781732,,0
cat106,cat106G,-3.29E-01,1.02E+00,-0.324,0.746277,,0
cat106,cat106H,-3.45E-01,1.02E+00,-0.34,0.734202,,0
cat106,cat106I,-3.75E-01,1.02E+00,-0.37,0.711756,,0
cat106,cat106J,-4.32E-01,1.02E+00,-0.425,0.670762,,0
cat106,cat106K,-4.61E-01,1.02E+00,-0.454,0.650124,,0
cat106,cat106L,-5.40E-01,1.02E+00,-0.53,0.596009,,0
cat106,cat106M,-5.37E-01,1.02E+00,-0.527,0.598527,,0
cat106,cat106N,-6.97E-01,1.03E+00,-0.677,0.498509,,0
cat106,cat106O,-5.79E-01,1.06E+00,-0.545,0.585644,,0
cat106,cat106R,-4.57E-01,1.49E+00,-0.307,0.758704,,0
cat107,cat107C,-1.72E-01,7.60E-01,-0.226,0.820976,,0
cat107,cat107D,-7.53E-02,7.44E-01,-0.101,0.919295,,0
cat107,cat107E,7.00E-02,7.42E-01,0.094,0.924832,,0
cat107,cat107F,1.15E-01,7.42E-01,0.155,0.877182,,0
cat107,cat107G,1.31E-01,7.41E-01,0.176,0.860068,,0
cat107,cat107H,1.95E-01,7.41E-01,0.263,0.792701,,0
cat107,cat107I,1.67E-01,7.40E-01,0.225,0.821924,,0
cat107,cat107J,1.91E-01,7.40E-01,0.258,0.796381,,0
cat107,cat107K,1.94E-01,7.40E-01,0.262,0.793291,,0
cat107,cat107L,2.39E-01,7.40E-01,0.323,0.746901,,0
cat107,cat107M,2.28E-01,7.42E-01,0.308,0.75812,,0
cat107,cat107N,1.98E-01,7.44E-01,0.266,0.790347,,0
cat107,cat107O,1.21E-01,7.24E-01,0.167,0.867459,,0
cat107,cat107P,4.61E-01,7.82E-01,0.589,0.555774,,0
cat107,cat107Q,3.50E-01,8.14E-01,0.429,0.667639,,0
cat107,cat107R,NA,NA,NA,NA,,0
cat107,cat107S,NA,NA,NA,NA,,0
cat107,cat107U,NA,NA,NA,NA,,0
cat108,cat108B,-2.22E-02,5.07E-02,-0.438,0.661252,,0
cat108,cat108C,-8.58E-01,4.71E-01,-1.82,0.068796,.,0
cat108,cat108D,-3.33E-02,6.48E-02,-0.514,0.607391,,0
cat108,cat108E,-3.45E-02,2.26E-01,-0.153,0.878282,,0
cat108,cat108F,NA,NA,NA,NA,,0
cat108,cat108G,-7.39E-05,4.70E-01,0,0.999875,,0
cat108,cat108H,5.66E-02,6.41E-02,0.883,0.377478,,0
cat108,cat108I,-4.37E-02,8.88E-02,-0.492,0.62282,,0
cat108,cat108J,NA,NA,NA,NA,,0
cat108,cat108K,-2.58E-02,2.21E-01,-0.117,0.907196,,0
cat109,cat109AB,2.21E-01,2.02E-01,1.096,0.273173,,0
cat109,cat109AE,-1.72E-01,3.39E-01,-0.508,0.611546,,0
cat109,cat109AF,-2.54E-01,4.56E-01,-0.555,0.578579,,0
cat109,cat109AH,5.31E-01,3.40E-01,1.562,0.118227,,0
cat109,cat109AI,8.30E-02,6.40E-01,0.13,0.896784,,0
cat109,cat109AJ,5.60E-01,7.53E-01,0.743,0.457286,,0
cat109,cat109AL,-2.99E-01,2.60E-01,-1.149,0.250717,,0
cat109,cat109AM,4.29E-01,2.84E-01,1.514,0.130125,,0
cat109,cat109AN,-2.67E-01,4.63E-01,-0.577,0.564171,,0
cat109,cat109AP,2.48E-03,6.45E-01,0.004,0.996935,,0
cat109,cat109AQ,3.71E-01,3.11E-01,1.192,0.233265,,0
cat109,cat109AR,4.49E-01,2.40E-01,1.87,0.061432,.,0
cat109,cat109AS,2.27E-01,2.44E-01,0.931,0.351982,,0
cat109,cat109AT,8.96E-02,2.54E-01,0.352,0.724561,,0
cat109,cat109AU,3.07E-01,4.54E-01,0.677,0.49865,,0
cat109,cat109AW,-2.63E-01,3.16E-01,-0.832,0.405274,,0
cat109,cat109AX,1.37E-01,3.87E-01,0.353,0.723739,,0
cat109,cat109BA,6.72E-01,3.31E-01,2.032,0.042119,*,1
cat109,cat109BB,7.41E-01,6.04E-01,1.228,0.219311,,0
cat109,cat109BC,2.05E-01,4.59E-01,0.447,0.654878,,0
cat109,cat109BD,1.34E-01,3.24E-01,0.414,0.6789,,0
cat109,cat109BG,5.12E-01,6.08E-01,0.842,0.399984,,0
cat109,cat109BH,1.83E-01,2.29E-01,0.798,0.424649,,0
cat109,cat109BI,2.29E-01,2.01E-01,1.141,0.253988,,0
cat109,cat109BJ,9.49E-01,6.05E-01,1.567,0.117151,,0
cat109,cat109BK,-4.68E-01,6.03E-01,-0.777,0.437338,,0
cat109,cat109BL,1.78E-02,2.54E-01,0.07,0.944274,,0
cat109,cat109BO,4.47E-01,2.36E-01,1.895,0.058103,.,0
cat109,cat109BQ,2.14E-01,2.11E-01,1.01,0.312523,,0
cat109,cat109BR,5.93E-01,4.50E-01,1.318,0.187489,,0
cat109,cat109BS,4.29E-01,6.12E-01,0.702,0.482947,,0
cat109,cat109BT,-7.73E-01,6.12E-01,-1.263,0.206427,,0
cat109,cat109BU,2.24E-01,2.06E-01,1.091,0.275421,,0
cat109,cat109BX,6.79E-02,3.37E-01,0.202,0.840301,,0
cat109,cat109C,5.90E-01,3.49E-01,1.694,0.090341,.,0
cat109,cat109CA,4.50E-01,3.50E-01,1.286,0.198421,,0
cat109,cat109CC,1.32E-01,3.52E-01,0.375,0.707851,,0
cat109,cat109CD,1.87E-01,2.39E-01,0.783,0.433707,,0
cat109,cat109CE,3.80E-01,6.05E-01,0.628,0.529918,,0
cat109,cat109CF,-1.52E-01,6.05E-01,-0.252,0.80124,,0
cat109,cat109CG,3.14E-01,6.06E-01,0.518,0.604453,,0
cat109,cat109CI,1.68E-01,2.77E-01,0.606,0.544343,,0
cat109,cat109CJ,2.04E-01,6.06E-01,0.336,0.73692,,0
cat109,cat109CK,3.93E-02,4.55E-01,0.086,0.931135,,0
cat109,cat109CL,1.57E-01,3.31E-01,0.473,0.636384,,0
cat109,cat109D,2.60E-01,2.60E-01,0.997,0.318767,,0
cat109,cat109F,9.03E-02,2.71E-01,0.334,0.738661,,0
cat109,cat109G,1.84E-01,2.11E-01,0.872,0.382951,,0
cat109,cat109H,-3.43E-01,3.11E-01,-1.103,0.270157,,0
cat109,cat109I,1.17E+00,3.60E-01,3.262,0.001107,**,1
cat109,cat109K,2.26E-01,2.05E-01,1.1,0.271264,,0
cat109,cat109L,4.02E-01,3.26E-01,1.234,0.217154,,0
cat109,cat109M,1.11E-01,2.20E-01,0.505,0.613528,,0
cat109,cat109N,3.28E-01,2.46E-01,1.335,0.181994,,0
cat109,cat109O,2.33E-01,3.28E-01,0.71,0.477914,,0
cat109,cat109P,-6.05E-01,4.52E-01,-1.336,0.181415,,0
cat109,cat109Q,1.73E-01,3.29E-01,0.526,0.599241,,0
cat109,cat109R,4.03E-01,3.02E-01,1.336,0.181533,,0
cat109,cat109S,7.26E-02,3.12E-01,0.233,0.816137,,0
cat109,cat109T,2.44E-01,3.77E-01,0.648,0.517137,,0
cat109,cat109U,1.26E-01,2.97E-01,0.424,0.671912,,0
cat109,cat109V,2.25E-01,6.47E-01,0.348,0.727957,,0
cat109,cat109X,3.49E-01,4.55E-01,0.767,0.443283,,0
cat109,cat109Y,-3.48E-01,3.70E-01,-0.939,0.347698,,0
cat109,cat109ZZ,-4.91E-01,9.43E-01,-0.521,0.602373,,0
cat11,cat11B,1.08E+00,9.96E-01,1.084,0.278374,,0
cat110,cat110AA,-4.95E-01,4.30E-01,-1.15,0.249963,,0
cat110,cat110AB,-2.02E-01,2.91E-01,-0.693,0.488148,,0
cat110,cat110AC,8.03E-02,7.78E-02,1.032,0.301938,,0
cat110,cat110AD,9.49E-03,1.01E-01,0.094,0.925238,,0
cat110,cat110AE,6.28E-01,5.82E-01,1.08,0.280315,,0
cat110,cat110AI,1.46E-02,7.09E-02,0.206,0.836807,,0
cat110,cat110AJ,-5.10E-01,4.19E-01,-1.218,0.22334,,0
cat110,cat110AK,7.60E-02,1.21E-01,0.63,0.528682,,0
cat110,cat110AL,-2.37E-01,2.65E-01,-0.894,0.371374,,0
cat110,cat110AM,-8.99E-02,1.03E-01,-0.872,0.383287,,0
cat110,cat110AN,-2.92E-01,5.71E-01,-0.512,0.608793,,0
cat110,cat110AO,5.54E-01,4.69E-01,1.18,0.238038,,0
cat110,cat110AP,-1.38E-01,1.03E-01,-1.345,0.178508,,0
cat110,cat110AR,-4.54E-02,1.74E-01,-0.262,0.793699,,0
cat110,cat110AT,5.25E-01,4.07E-01,1.29,0.197136,,0
cat110,cat110AU,2.17E-01,3.02E-01,0.719,0.472055,,0
cat110,cat110AW,-2.18E-01,2.51E-01,-0.869,0.384937,,0
cat110,cat110AX,-5.33E-01,4.15E-01,-1.285,0.198881,,0
cat110,cat110AY,-1.56E-01,1.44E-01,-1.086,0.277612,,0
cat110,cat110B,-1.19E-01,5.71E-01,-0.208,0.835618,,0
cat110,cat110BA,-5.64E-01,4.17E-01,-1.353,0.175962,,0
cat110,cat110BC,-1.07E-01,6.80E-02,-1.567,0.11724,,0
cat110,cat110BF,2.18E-01,3.81E-01,0.573,0.566907,,0
cat110,cat110BG,-3.17E-01,1.82E-01,-1.738,0.082274,.,0
cat110,cat110BJ,-4.93E-01,8.32E-01,-0.592,0.553679,,0
cat110,cat110BL,-4.63E-03,3.55E-01,-0.013,0.989598,,0
cat110,cat110BO,-7.77E-02,3.01E-01,-0.259,0.79592,,0
cat110,cat110BP,-1.65E-02,6.38E-02,-0.258,0.796253,,0
cat110,cat110BQ,-3.25E-01,4.08E-01,-0.798,0.424621,,0
cat110,cat110BR,-2.80E-01,2.30E-01,-1.219,0.222883,,0
cat110,cat110BS,1.11E-01,7.15E-02,1.546,0.122005,,0
cat110,cat110BT,-5.70E-03,6.34E-02,-0.09,0.928338,,0
cat110,cat110BU,1.09E-01,6.96E-01,0.156,0.875955,,0
cat110,cat110BW,-3.57E-01,6.54E-01,-0.546,0.585082,,0
cat110,cat110BX,2.49E-01,4.48E-01,0.554,0.579393,,0
cat110,cat110BY,5.20E-01,6.55E-01,0.794,0.427373,,0
cat110,cat110C,-7.45E-02,7.25E-02,-1.027,0.304348,,0
cat110,cat110CF,2.99E-01,2.91E-01,1.027,0.304214,,0
cat110,cat110CG,-2.56E-01,1.82E-01,-1.406,0.15981,,0
cat110,cat110CH,9.38E-02,1.33E-01,0.706,0.480341,,0
cat110,cat110CI,6.04E-02,8.28E-02,0.73,0.465518,,0
cat110,cat110CJ,8.90E-02,1.61E-01,0.553,0.579971,,0
cat110,cat110CK,-1.59E+00,4.09E-01,-3.883,0.000104,***,1
cat110,cat110CL,6.73E-02,6.24E-02,1.079,0.280556,,0
cat110,cat110CM,3.06E-02,7.81E-02,0.392,0.695182,,0
cat110,cat110CN,-2.37E-01,2.46E-01,-0.963,0.335437,,0
cat110,cat110CO,1.61E-02,6.24E-02,0.258,0.796059,,0
cat110,cat110CP,2.67E-01,2.65E-01,1.006,0.314375,,0
cat110,cat110CQ,4.79E-02,6.67E-02,0.718,0.472984,,0
cat110,cat110CR,-3.05E-02,9.25E-02,-0.33,0.741523,,0
cat110,cat110CS,1.78E-02,6.01E-02,0.296,0.767312,,0
cat110,cat110CT,-8.41E-01,3.21E-01,-2.622,0.008738,**,1
cat110,cat110CV,-2.85E-01,2.40E-01,-1.189,0.234384,,0
cat110,cat110CW,-2.96E-01,5.73E-01,-0.516,0.605846,,0
cat110,cat110CY,8.17E-02,6.03E-01,0.136,0.892101,,0
cat110,cat110D,7.44E-02,3.35E-01,0.222,0.824207,,0
cat110,cat110DC,6.41E-01,5.70E-01,1.125,0.260727,,0
cat110,cat110DD,5.96E-02,5.89E-01,0.101,0.919297,,0
cat110,cat110DE,2.53E-01,3.35E-01,0.756,0.449723,,0
cat110,cat110DF,-4.45E-02,2.95E-01,-0.151,0.88005,,0
cat110,cat110DG,-5.20E-01,5.68E-01,-0.915,0.360068,,0
cat110,cat110DH,-8.82E-02,1.55E-01,-0.57,0.568914,,0
cat110,cat110DI,-3.89E-01,2.46E-01,-1.578,0.114492,,0
cat110,cat110DJ,-2.50E-01,1.58E-01,-1.585,0.11301,,0
cat110,cat110DK,5.39E-04,8.13E-02,0.007,0.994709,,0
cat110,cat110DL,-1.35E-01,1.20E-01,-1.124,0.260942,,0
cat110,cat110DM,-2.35E-02,9.31E-02,-0.253,0.8003,,0
cat110,cat110DO,6.25E-01,5.81E-01,1.075,0.282306,,0
cat110,cat110DP,2.28E-01,5.99E-01,0.38,0.703588,,0
cat110,cat110DR,7.20E-02,4.08E-01,0.176,0.860007,,0
cat110,cat110DS,2.83E-01,4.14E-01,0.684,0.494182,,0
cat110,cat110DU,-8.39E-02,1.81E-01,-0.465,0.642126,,0
cat110,cat110DW,-1.35E-02,6.85E-02,-0.198,0.843348,,0
cat110,cat110DX,5.10E-02,6.54E-02,0.78,0.435432,,0
cat110,cat110E,1.76E-01,1.43E-01,1.234,0.217157,,0
cat110,cat110EA,1.42E-01,1.51E-01,0.939,0.347611,,0
cat110,cat110EB,3.09E-02,6.16E-02,0.502,0.615855,,0
cat110,cat110EE,1.12E-01,8.42E-02,1.332,0.182821,,0
cat110,cat110EF,1.01E-01,8.16E-02,1.242,0.214192,,0
cat110,cat110EG,3.16E-03,6.06E-02,0.052,0.958345,,0
cat110,cat110EK,7.31E-01,8.02E-01,0.912,0.362043,,0
cat110,cat110EL,-2.62E-02,6.42E-02,-0.407,0.68376,,0
cat110,cat110EM,NA,NA,NA,NA,,0
cat110,cat110G,-2.37E-01,2.80E-01,-0.848,0.396319,,0
cat110,cat110H,-4.13E-01,5.89E-01,-0.701,0.483334,,0
cat110,cat110I,-2.01E-01,1.40E-01,-1.439,0.150118,,0
cat110,cat110J,-5.28E-02,3.40E-01,-0.155,0.87654,,0
cat110,cat110K,-1.80E-01,4.07E-01,-0.443,0.657979,,0
cat110,cat110L,-1.94E+00,6.26E-01,-3.104,0.001914,**,1
cat110,cat110N,-1.41E-01,1.67E-01,-0.845,0.398058,,0
cat110,cat110O,-2.62E-01,2.19E-01,-1.199,0.230591,,0
cat110,cat110Q,-2.67E+00,1.03E+00,-2.581,0.00986,**,1
cat110,cat110R,7.76E-01,6.02E-01,1.288,0.197841,,0
cat110,cat110T,4.16E-05,1.01E-01,0,0.999669,,0
cat110,cat110U,2.38E-02,1.18E-01,0.202,0.840218,,0
cat110,cat110V,2.32E-02,7.88E-02,0.295,0.76817,,0
cat110,cat110W,-5.89E-02,7.43E-02,-0.792,0.428165,,0
cat110,cat110X,3.04E-02,2.55E-01,0.119,0.904971,,0
cat110,cat110Y,2.73E-01,5.80E-01,0.471,0.637376,,0
cat111,cat111B,NA,NA,NA,NA,,0
cat111,cat111C,6.47E+00,5.11E+00,1.266,0.205567,,0
cat111,cat111E,5.87E+00,4.57E+00,1.286,0.198288,,0
cat111,cat111G,5.25E+00,4.02E+00,1.306,0.191497,,0
cat111,cat111I,4.55E+00,3.48E+00,1.309,0.190708,,0
cat111,cat111K,3.91E+00,2.94E+00,1.33,0.183487,,0
cat111,cat111M,3.28E+00,2.40E+00,1.368,0.171445,,0
cat111,cat111O,2.60E+00,1.86E+00,1.4,0.161509,,0
cat111,cat111Q,2.11E+00,1.33E+00,1.587,0.112535,,0
cat111,cat111S,1.64E+00,8.19E-01,2.005,0.044947,*,1
cat111,cat111U,NA,NA,NA,NA,,0
cat111,cat111W,NA,NA,NA,NA,,0
cat112,cat112AA,4.09E-02,6.12E-02,0.668,0.503915,,0
cat112,cat112AB,3.06E-01,1.25E-01,2.458,0.013988,*,1
cat112,cat112AC,2.27E-01,8.35E-02,2.713,0.006679,**,1
cat112,cat112AD,2.23E-01,6.04E-02,3.697,0.000219,***,1
cat112,cat112AE,-4.65E-02,7.49E-02,-0.622,0.534239,,0
cat112,cat112AF,1.41E-01,4.10E-02,3.444,0.000575,***,1
cat112,cat112AG,1.28E-01,6.17E-02,2.08,0.037554,*,1
cat112,cat112AH,1.72E-01,3.87E-02,4.448,8.71E-06,***,1
cat112,cat112AI,-8.63E-02,4.51E-02,-1.913,0.055702,.,0
cat112,cat112AJ,3.36E-01,1.48E-01,2.272,0.023116,*,1
cat112,cat112AK,2.86E-02,4.30E-02,0.666,0.505221,,0
cat112,cat112AL,1.21E-01,6.47E-02,1.871,0.061344,.,0
cat112,cat112AM,-6.89E-02,6.68E-02,-1.03,0.303009,,0
cat112,cat112AN,3.20E-02,4.11E-02,0.778,0.436538,,0
cat112,cat112AO,1.95E-01,8.17E-02,2.385,0.017109,*,1
cat112,cat112AP,-1.55E-01,4.61E-02,-3.372,0.000748,***,1
cat112,cat112AQ,7.41E-02,2.38E-01,0.312,0.755355,,0
cat112,cat112AR,4.53E-02,5.20E-02,0.872,0.383268,,0
cat112,cat112AS,8.77E-02,3.90E-02,2.251,0.024378,*,1
cat112,cat112AT,1.06E-01,6.24E-02,1.705,0.088215,.,0
cat112,cat112AU,1.24E-01,9.07E-02,1.364,0.172526,,0
cat112,cat112AV,-9.01E-02,4.21E-02,-2.138,0.032498,*,1
cat112,cat112AW,9.00E-02,4.83E-02,1.863,0.062423,.,0
cat112,cat112AX,5.97E-02,7.03E-02,0.849,0.396107,,0
cat112,cat112AY,7.36E-02,6.25E-02,1.176,0.239558,,0
cat112,cat112B,2.13E-01,9.64E-02,2.208,0.027274,*,1
cat112,cat112BA,-1.11E-01,1.65E-01,-0.672,0.501842,,0
cat112,cat112C,1.71E-01,5.46E-02,3.132,0.001738,**,1
cat112,cat112D,1.13E-01,5.70E-02,1.984,0.047239,*,1
cat112,cat112E,1.86E-01,3.82E-02,4.869,1.13E-06,***,1
cat112,cat112F,2.73E-02,4.93E-02,0.554,0.579922,,0
cat112,cat112G,1.05E-01,4.93E-02,2.128,0.033387,*,1
cat112,cat112H,9.42E-02,1.04E-01,0.908,0.363668,,0
cat112,cat112I,-1.04E-01,6.80E-02,-1.527,0.126855,,0
cat112,cat112J,-6.97E-02,3.91E-02,-1.784,0.074423,.,0
cat112,cat112K,6.99E-02,4.30E-02,1.627,0.103771,,0
cat112,cat112L,2.00E-01,9.03E-02,2.221,0.026394,*,1
cat112,cat112M,3.14E-02,9.50E-02,0.33,0.741195,,0
cat112,cat112N,5.49E-02,4.13E-02,1.332,0.182944,,0
cat112,cat112O,3.36E-02,5.26E-02,0.638,0.523485,,0
cat112,cat112P,2.07E-01,9.15E-02,2.257,0.024046,*,1
cat112,cat112Q,-9.17E-03,7.23E-02,-0.127,0.898999,,0
cat112,cat112R,8.82E-02,6.38E-02,1.382,0.166916,,0
cat112,cat112S,8.92E-02,4.51E-02,1.978,0.047972,*,1
cat112,cat112T,-1.48E-01,9.14E-02,-1.624,0.104462,,0
cat112,cat112U,-3.10E-02,4.15E-02,-0.747,0.4551,,0
cat112,cat112V,1.09E-01,7.89E-02,1.383,0.166815,,0
cat112,cat112W,9.14E-02,9.62E-02,0.95,0.342148,,0
cat112,cat112X,1.23E-01,6.95E-02,1.769,0.076984,.,0
cat112,cat112Y,2.61E-02,5.92E-02,0.44,0.659824,,0
cat113,cat113AD,-1.54E-02,6.61E-02,-0.232,0.816153,,0
cat113,cat113AE,-1.70E-02,5.24E-02,-0.324,0.746092,,0
cat113,cat113AF,1.55E-02,6.28E-02,0.246,0.805412,,0
cat113,cat113AG,2.04E-01,6.14E-02,3.324,0.000888,***,1
cat113,cat113AH,5.66E-02,1.33E-01,0.426,0.670385,,0
cat113,cat113AI,1.97E-01,1.22E-01,1.612,0.106919,,0
cat113,cat113AJ,-3.40E-02,6.49E-02,-0.524,0.600013,,0
cat113,cat113AK,-8.39E-02,9.10E-02,-0.922,0.356537,,0
cat113,cat113AM,3.12E-01,1.39E-01,2.251,0.024413,*,1
cat113,cat113AN,1.01E-01,5.32E-02,1.896,0.058026,.,0
cat113,cat113AO,1.03E-01,6.88E-02,1.498,0.13414,,0
cat113,cat113AP,7.72E-02,4.66E-01,0.166,0.868459,,0
cat113,cat113AS,1.10E-01,5.95E-02,1.845,0.065059,.,0
cat113,cat113AT,5.81E-01,3.27E-01,1.776,0.07574,.,0
cat113,cat113AU,-3.61E-02,7.34E-02,-0.492,0.622433,,0
cat113,cat113AV,8.87E-02,1.61E-01,0.551,0.581489,,0
cat113,cat113AW,-2.90E-02,6.83E-02,-0.424,0.671579,,0
cat113,cat113AX,2.15E-02,5.35E-02,0.401,0.68822,,0
cat113,cat113AY,-1.61E-01,9.81E-02,-1.639,0.101284,,0
cat113,cat113BA,-3.67E-01,5.71E-01,-0.644,0.519667,,0
cat113,cat113BB,-5.73E-01,3.36E-01,-1.707,0.087917,.,0
cat113,cat113BC,-1.29E-01,6.48E-02,-1.99,0.046654,*,1
cat113,cat113BD,2.60E-01,1.21E-01,2.154,0.031281,*,1
cat113,cat113BF,-8.09E-02,3.36E-01,-0.241,0.809548,,0
cat113,cat113BG,1.54E-02,7.15E-02,0.215,0.829634,,0
cat113,cat113BH,6.46E-02,8.15E-02,0.792,0.42834,,0
cat113,cat113BI,NA,NA,NA,NA,,0
cat113,cat113BJ,-5.65E-02,7.32E-02,-0.773,0.439718,,0
cat113,cat113BK,1.12E-01,9.70E-02,1.156,0.247528,,0
cat113,cat113BL,1.29E+00,8.15E-01,1.579,0.11444,,0
cat113,cat113BM,-1.73E-02,5.44E-02,-0.319,0.749837,,0
cat113,cat113BN,3.59E-02,8.51E-02,0.422,0.672853,,0
cat113,cat113BO,2.21E-01,1.20E-01,1.85,0.064352,.,0
cat113,cat113C,3.96E-02,2.03E-01,0.195,0.845641,,0
cat113,cat113E,9.09E-01,9.71E-01,0.936,0.349106,,0
cat113,cat113F,1.25E-01,8.78E-02,1.428,0.153336,,0
cat113,cat113G,2.48E+00,1.27E+00,1.96,0.050069,.,0
cat113,cat113H,1.83E-01,5.81E-02,3.147,0.001653,**,1
