"","id","name","genres","group","n_edges","bio","top_track_id","top_track_name","top_track_preview_url","image"
"100","4yBK75WVCQXej1p04GWqxH","Jeezy","crunk, dirty south rap, gangster rap, hip hop, hip pop, pop rap, rap, southern hip hop, trap music","related",3,"Jay Jenkins born October 12, 1977 in Columbia, South Carolina), better known by his stage name Jeezy, formerly Young Jeezy and Lil J, is an American rapper and actor signed to Def Jam Records. In 2001 he released his solo debut album Thuggin' Under the Influence, under the name Lil J, which featured production from Lil Jon. In 2004 he signed with Bad Boy Records and joined the group Boyz N Da Hood, whose self-titled album was released in June 2005. <a href=""https://www.last.fm/music/+noredirect/Jeezy"">Read more on Last.fm</a>","5dANgSy7v091dhiPnEXNrf","Put On","https://p.scdn.co/mp3-preview/3bdc43ca88b0d4b1617e84403bfde680a52a6900","https://i.scdn.co/image/16dbd75ff1dcc86d9b2309a35416e2c331ef3443"
"101","4OBJLual30L7gRl5UkeRcT","T.I.","crunk, dance pop, dirty south rap, gangster rap, hip hop, hip pop, pop rap, rap, southern hip hop, trap music","related",3,"Clifford Joseph Harris Jr. (born September 25, 1980 in Bankhead, Atlanta, Georgia), better known by his stage name T.I., and also by his alter ego T.I.P., is a Grammy award winning American rapper, producer, actor, and co-CEO of Grand Hustle Records. In 2001 he released his debut solo album, I'm Serious through Arista Records. Since then he has released 2003's Trap Muzik, 2004's Urban Legend, 2006's King, 2007's T.I. vs. T.I.P, 2008's Paper Trail, and his latest CD No Mercy released December 7, 2010. <a href=""https://www.last.fm/music/T.I."">Read more on Last.fm</a>","3tvWMBIblzT5FSjKtIeRR1","Whatever You Like","https://p.scdn.co/mp3-preview/c82678be83d118b5d815dda0ecc00b5ad99e81e3","https://i.scdn.co/image/fd4988d4da581fc3749490c71303230aa70199d6"
"102","5OrB6Jhhrl9y2PK0pSV4VP","Young Money","crunk, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap music","related",2,"Young Money is an imprint of Cash Money Records founded by Lil Wayne in 2005. In 2009 artists on the label including Drake, Jae Millz, Mack Maine, Tyga, Gudda Gudda, T-Streets, Lemon Drop, Nicki Minaj, Lil Chuckee, Short Dawg, Shanell and Lil Twist went on a nationwide tour and decided to work on a collaboration album titled We Are Young Money. It was released December 21, 2009 and also featured guest appearances from Lloyd, Birdman, Gucci Mane and Nate Bailey. <a href=""https://www.last.fm/music/Young+Money"">Read more on Last.fm</a>","6HfOzLLjsaXsehIFEsrxTk","Trophies","https://p.scdn.co/mp3-preview/8140baded1c88864ebff1d7e3c31e9709aab3385","https://i.scdn.co/image/573c5319cd2bbe266ff9f635191a63364890f745"
"103","35sCXuy5gN6Or69rZ9vqBs","Birdman","crunk, dirty south rap, gangster rap, hip hop, hip pop, pop rap, rap, southern hip hop, trap music","related",2,"Bryan Williams (born February 15, 1969), better known by his stage name Birdman or Baby, is an American rapper and record executive from New Orleans, Louisiana. He is the co-founder of Cash Money Records and one half of the duo Big Tymers. Along with his releases with Big Tymers and for his solo career, Birdman recorded a collaboration album and numerous tracks with Lil Wayne.

Birdman was born and raised in Uptown New Orleans. With his brother Ronald ""Slim"" Williams, Birdman founded Cash Money Records in 1991. <a href=""https://www.last.fm/music/Birdman"">Read more on Last.fm</a>","3rMyMv8EjKXoPnaRo2hdJN","Stuntin' Like My Daddy - Street","https://p.scdn.co/mp3-preview/4cb79c948bf675382120398e33a8d4274638c890","https://i.scdn.co/image/8414a01f3f3ce41a5c76b5eb8ff2f1c60fc6a723"
"104","6eUSUma6IbsuvfAs9c0Kti","Young Greatness","dwn trap, trap music","related",5,"Young Greatness is an American rapper from New Orleans. He has worked with producer Jazze Pha on his song Moolah. <a href=""https://www.last.fm/music/Young+Greatness"">Read more on Last.fm</a>","5htB2gxndGHrLb09x1Q3Vp","Moolah","https://p.scdn.co/mp3-preview/8e6de462d88911bf80c6993914400cdaf278c160","https://i.scdn.co/image/89ba7403cf34cb0259e63a497c4bcaff8630e54e"
"105","699OTQXzgjhIYAHMy9RyPD","Playboi Carti","underground hip hop","related",3,"Playboi Carti is also known as “Cash Carti” and is signed to A$AP Rocky & Awful Records. Carti was Born in Atlanta, Georgia. With bangers like “Broke Boi”“, & “Fetti”, Carti is gearing up to release his first mixtape : Cash Carti. <a href=""https://www.last.fm/music/Playboi+Carti"">Read more on Last.fm</a>",NA,NA,NA,"https://i.scdn.co/image/d6accb84fe147339c69ed9294131f18d1344b270"
"106","7BaOGj1Tm9WcFYVwSNqjrO","The Low Down","dwn trap","related",2," <a href=""https://www.last.fm/music/The+Low+Down"">Read more on Last.fm</a>","0EwcHsy6FsFHxtA5dI7Ull","Just for the Night","https://p.scdn.co/mp3-preview/11c83c8cd50a29c97aa0f3c5c1bab95536fbaceb","https://i.scdn.co/image/0c8b6b08fc19e953c8675fb8cbf602ab7cee0e93"
"107","5lCY3tqdQxbeg5igSlObaT","Nebu Kiniza","dwn trap","related",5," <a href=""https://www.last.fm/music/Nebu+Kiniza"">Read more on Last.fm</a>","6JjEVlMkfHWMeYavkEYzNO","Gassed Up","https://p.scdn.co/mp3-preview/d4bf0839e07f82f7c054de6aba7371fea010dad0","https://i.scdn.co/image/6cab8856795bf9858743220a4fb55f9f0a8814d5"
"108","39Uhf21aJFjMLus1j0YGT8","Zoey Dollaz","dwn trap, trap music","related",4," <a href=""https://www.last.fm/music/Zoey+Dollaz"">Read more on Last.fm</a>","0aEQ0pQ4O6XyxOibKiEvet","Hold Down The Set","https://p.scdn.co/mp3-preview/c5926f408e3fd6ca4af9c4ccd4132755de0fd286","https://i.scdn.co/image/529e7903540bdb00ca5f57c75edd8b4d09bcdc84"
"109","05ZOzt8hlefGYXWJIL37PI","Tate Kobang","dwn trap, trap music, underground hip hop","related",5," <a href=""https://www.last.fm/music/Tate+Kobang"">Read more on Last.fm</a>","2IuWB214OCchhPrBK8OtIR","Bank Rolls - Remix","https://p.scdn.co/mp3-preview/5ede2806ed9121e0d1291712033d357123c7653f","https://i.scdn.co/image/3cf76501ea14930cac7c083ab84cf9c0f4361150"
