"dba","inspection.date","camis","boro","zipcode","cuisine.type","score","grade"
"INTERCONTINENTAL NEW YORK EMPLOYEE CAFE",2016-07-12,50048138,"MANHATTAN",10017,"American",10,"A"
"INTERCONTINENTAL NEW YORK TIMES SQUARE/TODD ENGLISH CAVA",2016-09-21,41488846,"MANHATTAN",10036,"French",12,"A"
"INTERMEZZO",2016-03-30,41647939,"MANHATTAN",10011,"Italian",18,"B"
"INTERNATIONAL BAKE SHOP",2016-08-04,41236537,"QUEENS",11385,"Bakery",11,"A"
"INTERNATIONAL BAR",2016-04-15,41322550,"MANHATTAN",10009,"American",9,"A"
"INTERNATIONAL CATERERS",2016-04-14,41597770,"BRONX",10465,"American",13,"A"
"INTERNATIONAL COFFEE SHOP",2015-12-03,41221268,"QUEENS",11385,"Latin",10,"A"
"INTERNATIONAL FLAVORS  & FRAGRANCES",2016-08-12,41370481,"MANHATTAN",10019,"American",9,"A"
"INTERNATIONAL GOURMET KITCHEN",2016-08-17,41592433,"MANHATTAN",10018,"American",12,"A"
"INTERNATIONAL HOUSE DINING",2015-11-04,50040532,"MANHATTAN",10027,"American",10,"A"
"INTERNATIONAL RESTAURANT",2016-08-30,40399810,"BROOKLYN",11220,"Latin",12,"A"
"INTERNATIONAL WINGS FACTORY",2016-04-15,41702637,"MANHATTAN",10128,"American",7,"A"
"INTERWICH",2016-04-20,50033193,"QUEENS",11371,"American",9,"A"
"INTI N.Y.C.",2016-04-11,41636209,"MANHATTAN",10019,"Latin",8,"A"
"INTOTEA",2016-04-22,41615530,"BROOKLYN",11238,"Cafe/Coffee/Tea",7,"A"
"INTREPID SEA-AIR-SPACE MUSEUM",2016-06-27,41683279,"MANHATTAN",10036,"American",12,"A"
"INWOOD BEER GARDEN & BISTRO",2016-01-04,50040374,"MANHATTAN",10034,"American",12,"A"
"INWOOD GOURMET",2016-03-03,50003183,"MANHATTAN",10034,"Mediterranean",0,"A"
"INWOOD LOCAL WINE BAR & BEER GARDEN",2015-11-12,41497832,"MANHATTAN",10034,"American",12,"A"
"IONA'S BAR",2016-03-25,40748959,"BROOKLYN",11211,"American",9,"A"
"IPANEMA BAR",2016-06-15,40392430,"MANHATTAN",10011,"Spanish",20,"B"
"IPANEMA RESTAURANT",2016-09-20,50038288,"MANHATTAN",10036,"Other",31,"C"
"IPPUDO",2015-09-11,50005848,"MANHATTAN",10003,"Japanese",7,"A"
"IPPUDO NY",2016-04-15,50045841,"MANHATTAN",10019,"Japanese",11,"A"
"IRENE'S PLACE",2016-04-19,40384507,"BROOKLYN",11222,"European (Irish, English, German, etc)",7,"A"
"IRIE CARIBBEAN KITCHEN & BAKERY",2016-09-02,50041619,"BROOKLYN",11213,"Caribbean",13,"A"
"IRIS CAFE",2016-08-18,50018186,"BROOKLYN",11201,"American",13,"A"
"IRIS TEA & BAKERY, QUICKLY",2016-08-22,41646824,"QUEENS",11354,"Bakery",17,"B"
"IRISH COTTAGE",2016-05-04,40366549,"QUEENS",11375,"European (Irish, English, German, etc)",9,"A"
"IRISH HAVEN",2016-05-25,41670427,"BROOKLYN",11220,"European (Irish, English, German, etc)",7,"A"
"IRISH PUNT",2015-12-01,40400976,"MANHATTAN",10005,"European (Irish, English, German, etc)",7,"A"
"IRISH ROVER",2016-04-12,41050934,"QUEENS",11103,"European (Irish, English, German, etc)",10,"A"
"IRISH WHISKEY BAR",2016-06-23,41711983,"QUEENS",11102,"European (Irish, English, German, etc)",5,"A"
"IROHA JAPANESE RESTAURANT",2016-08-10,40573444,"MANHATTAN",10019,"Japanese",28,"C"
"IRON CHEF HOUSE",2016-07-22,40815044,"BROOKLYN",11201,"Japanese",22,"B"
"IRON MOUNTAIN RESTAURANT",2016-08-23,50045301,"QUEENS",11355,"Chinese",13,"A"
"IRON STATION",2016-09-22,50035723,"BROOKLYN",11215,"American",15,"B"
"Iron Sushi",2016-01-21,41670534,"MANHATTAN",10075,"Japanese",11,"A"
"IRVING FARM",2016-04-13,41641604,"MANHATTAN",10024,"Cafe/Coffee/Tea",11,"A"
"IRVING FARM COFFEE ROASTERS",2016-07-08,50047803,"MANHATTAN",10028,"Cafe/Coffee/Tea",4,"A"
"IRVING PLAZA",2016-05-12,41390799,"MANHATTAN",10003,"American",11,"A"
"IRVINGTON BAR AND RESTAURANT",2016-02-22,50010153,"MANHATTAN",10003,"American",7,"A"
"ISA",2016-01-14,41613808,"BROOKLYN",11249,"American",4,"A"
"ISAAC'S COFFEE SHOP",2016-03-28,40980650,"BROOKLYN",11210,"Cafe/Coffee/Tea",3,"A"
"ISAACS JAMAICAN CUISINE",2016-07-27,41502489,"BROOKLYN",11212,"Caribbean",5,"A"
"ISABELA'S MEXICAN CUISINE",2016-02-01,40547031,"BROOKLYN",11220,"Mexican",10,"A"
"ISABELLA'S",2015-10-26,41300526,"MANHATTAN",10024,"American",13,"A"
"ISABELLA'S CREATIONS",2015-10-01,50033350,"BROOKLYN",11219,"Bakery",2,"A"
"ISABELLA'S FROZEN TREATS",2016-05-16,41354314,"QUEENS",11378,"Juice/Smoothies/Ice Cream/Yogurt",6,"A"
"ISADORA'S CAFE",2015-09-04,50017042,"MANHATTAN",10022,"American",4,"A"
"ISARI JAPANESE CUISINE",2016-07-07,50046180,"QUEENS",11354,"Japanese",7,"A"
"ISE MENKUI-TEI",2016-01-05,40612297,"MANHATTAN",10019,"Japanese",9,"A"
"ISE RESTAURANT",2016-01-28,40914031,"MANHATTAN",10005,"Japanese",11,"A"
"ISIS",2016-04-07,41634226,"QUEENS",11105,"Middle Eastern",12,"A"
"ISIS RESTAURANT",2016-05-20,41713504,"BRONX",10467,"Spanish",24,"B"
"ISLA OF VERDE",2016-08-31,40927513,"BRONX",10472,"Latin",26,"B"
"ISLA VERDE EXPRESS",2016-08-29,50010058,"BRONX",10472,"Spanish",27,"B"
"ISLAND",2016-07-21,40385587,"MANHATTAN",10128,"Seafood",8,"A"
"ISLAND'S DELI & GRILL",2016-04-12,50044552,"BROOKLYN",11224,"American",12,"A"
"ISLAND BLEND JUICE  BAR .",2016-03-29,50008005,"BRONX",10466,"Juice/Smoothies/Ice Cream/Yogurt",4,"A"
"ISLAND BURGER",2016-08-10,41497934,"BROOKLYN",11203,"American",24,"B"
"ISLAND BURGERS & SHAKES",2016-04-13,41609832,"MANHATTAN",10024,"American",12,"A"
"ISLAND BURGERS AND SHAKES",2016-08-29,40527001,"MANHATTAN",10019,"American",22,"B"
"ISLAND CAFE",2016-08-18,50038691,"MANHATTAN",10018,"American",11,"A"
"ISLAND CHATEAU",2016-05-11,40402742,"STATEN ISLAND",10305,"American",18,"B"
"ISLAND CHOIZ RESTAURANT",2016-08-08,41616416,"BROOKLYN",11234,"Caribbean",6,"A"
"ISLAND COFFEE SHOP",2016-09-07,41614624,"STATEN ISLAND",10314,"American",5,"A"
"ISLAND CZ CAFE",2016-04-23,50002396,"BROOKLYN",11238,"Caribbean",10,"A"
"ISLAND EXPRESS",2016-08-05,50047278,"BROOKLYN",11226,"Other",9,"A"
"ISLAND GRAND NEW YORK BAKERY",2016-04-22,41163829,"MANHATTAN",10001,"American",12,"A"
"ISLAND GRILL",2016-01-28,41217329,"BROOKLYN",11234,"Caribbean",11,"A"
"ISLAND GROVE RESTAURANT",2016-09-08,41421560,"BROOKLYN",11203,"Caribbean",9,"A"
"ISLAND KITCHEN CHINESE RESTAURANT",2016-05-18,50002387,"STATEN ISLAND",10314,"Chinese",4,"A"
"ISLAND POT RESTAURANT",2016-02-25,50010987,"BROOKLYN",11207,"Caribbean",15,"B"
"ISLAND PRIDE RESTAURANT",2016-01-04,41344235,"BROOKLYN",11203,"Caribbean",12,"A"
"ISLAND RAGE",2016-05-12,50005819,"QUEENS",11432,"American",5,"A"
"ISLAND ROTI SHOP",2016-07-22,41381335,"QUEENS",11420,"Caribbean",21,"B"
"ISLAND ROTI SHOP & BAKERY",2015-10-08,40967378,"STATEN ISLAND",10301,"Caribbean",5,"A"
"ISLAND SHORES",2015-12-08,40747162,"STATEN ISLAND",10306,"American",13,"A"
"ISLAND SOFT PRETZEL STOP",2015-10-27,41681666,"STATEN ISLAND",10301,"Delicatessen",12,"A"
"ISLAND TASTE",2015-12-30,50041181,"QUEENS",11422,"Caribbean",9,"A"
"ISLAND TASTE RESTAURANT",2016-05-19,41398322,"BRONX",10470,"Caribbean",22,"B"
"ISLAND TRINI BURGER",2016-06-21,50032862,"BROOKLYN",11210,"Caribbean",2,"A"
"ISLAND VYBZ JAMAICAN RESTAURANT",2016-08-31,50010029,"BROOKLYN",11207,"Caribbean",41,"C"
"ISLANDER TASTE I",2016-08-17,41433069,"STATEN ISLAND",10309,"Chinese",13,"A"
"ISLE OF CAPRI RESTURANT",2015-11-16,40364373,"MANHATTAN",10065,"Italian",5,"A"
"ISOHAMA",2015-07-30,41087789,"MANHATTAN",10128,"Japanese",2,"A"
"ISOLA",2015-12-16,41706212,"MANHATTAN",10025,"American",13,"A"
"ISTANBUL CAFE OF WHITE PLAINS",2016-09-20,41532134,"BRONX",10462,"Cafe/Coffee/Tea",12,"A"
"ISTANBUL GRILL",2015-11-05,40932869,"MANHATTAN",10014,"Mediterranean",9,"A"
"ISTANBUL KEBAB HOUSE",2016-05-02,50010830,"MANHATTAN",10019,"Mediterranean",8,"A"
"ISTANBUL KITCHEN",2016-02-08,50008114,"BROOKLYN",11209,"Mediterranean",10,"A"
"ISTANBUL PARK",2016-07-21,41713784,"BROOKLYN",11215,"Other",7,"A"
"ISTANBUL RESTAURANT",2016-08-10,40754877,"BROOKLYN",11235,"Mediterranean",12,"A"
"ISTANBUL TURKISH",2016-04-20,50033207,"BROOKLYN",11214,"Mediterranean",12,"A"
"ISTRIA SPORT CLUB",2016-07-13,50048673,"QUEENS",11102,"Other",18,"B"
"IT'Z ALL 4 U",2016-07-08,50001865,"QUEENS",11691,"Caribbean",12,"A"
"ITAL FUSION",2016-09-08,41491419,"BROOKLYN",11203,"Other",25,"B"
"ITAL KITCHEN",2015-09-22,50002573,"BROOKLYN",11225,"Other",11,"A"
"ITALIA PIZZA",2016-09-10,41083637,"BROOKLYN",11223,"Pizza",32,"C"
"ITALIAN FOOD CENTER",2016-05-10,41688043,"MANHATTAN",10013,"Italian",3,"A"
"ITALIAN PASSION CAFE & PIZZA RESTAURANT",2016-04-11,50001235,"BROOKLYN",11225,"Pizza",7,"A"
"ITALIAN PIZZA",2016-01-19,41596557,"BRONX",10451,"Pizza",6,"A"
"ITALIAN VILLAGE RESTAURANT PIZZERIA",2016-03-23,40825792,"MANHATTAN",10075,"Pizza",12,"A"
"ITALIANA CREMOSA PIZZERIA & RESTAURANT",2016-07-28,50042805,"QUEENS",11419,"Italian",9,"A"
"ITALIANISSIMO RESTAURANT CAFE BAR",2016-07-26,41217591,"STATEN ISLAND",10305,"Italian",12,"A"
"ITALIANISSIMO RISTORANTE",2016-05-04,40991266,"MANHATTAN",10028,"Italian",13,"A"
"ITALY PIZZA",2016-01-14,50016249,"BROOKLYN",11222,"Italian",7,"A"
"ITHAKA",2016-02-17,41337836,"MANHATTAN",10028,"Mediterranean",11,"A"
"ITTADI GARDEN & GRILL",2016-07-21,50041617,"QUEENS",11372,"South Asian (Indian, Pakistani, Afghan, etc)",41,"C"
"ITZ FIRE",2015-11-07,50016905,"QUEENS",11363,"Korean",11,"A"
"IVAN RAMEN",2016-06-01,50008894,"MANHATTAN",10002,"Japanese",13,"A"
"IVAN RAMEN SLURP SHOP",2016-06-06,50002438,"MANHATTAN",10036,"Asian",8,"A"
"IVANA PIZZA",2016-09-02,41392231,"BRONX",10458,"Pizza",11,"A"
"IVORY DOS",2016-08-18,50013507,"MANHATTAN",10039,"Other",21,"B"
"IVY",2016-04-28,41700207,"MANHATTAN",10019,"American",10,"A"
"IVY JUICE BAR",2016-03-17,50043693,"BRONX",10455,"Juice/Smoothies/Ice Cream/Yogurt",13,"A"
"IZAKAYA NOMAD",2016-06-28,50009047,"MANHATTAN",10010,"Japanese",13,"A"
"IZALCO RESTAURANT",2016-07-21,40402029,"QUEENS",11377,"Latin",12,"A"
"J'S BOWL ICE CREAM",2016-06-06,50049912,"BROOKLYN",11220,"Juice/Smoothies/Ice Cream/Yogurt",2,"A"
"J'S ON THE BAY",2016-09-21,50015893,"STATEN ISLAND",10305,"American",12,"A"
"J'S WONG",2016-02-04,50004792,"BROOKLYN",11238,"Chinese",2,"A"
"J-M PIZZA II",2016-06-21,41675367,"BROOKLYN",11229,"Pizza",9,"A"
"J-PETAL",2016-06-03,50049976,"BROOKLYN",11220,"Juice/Smoothies/Ice Cream/Yogurt",10,"A"
"J 'S PIZZA",2016-07-25,40877741,"MANHATTAN",10011,"Pizza",13,"A"
"J & B YUMMY PIZZA",2016-02-22,50005180,"BROOKLYN",11220,"Pizza",9,"A"
"J & C DELICIAS",2015-08-12,50004274,"QUEENS",11372,"Latin",8,"A"
"J & C SEAFOOD",2016-06-08,40734541,"QUEENS",11412,"Seafood",13,"A"
"J & D PIZZERIA & RESTAURANT",2016-06-29,50051001,"BROOKLYN",11208,"Pizza",0,"A"
"J & J HOT FOOD AND SALAD",2016-05-25,41294692,"BROOKLYN",11219,"Delicatessen",9,"A"
"J & J RESTAURANT & CUCHIFRITOS",2016-06-14,40812317,"BRONX",10457,"Latin",11,"A"
"J & JOE DELI & GROCERY",2016-08-11,41237250,"QUEENS",11432,"Delicatessen",10,"A"
"J & L FAMILY PIZZERIA",2016-06-25,50046814,"QUEENS",11412,"Pizza",10,"A"
"J & LEE'S DELI",2016-08-03,50008064,"BRONX",10458,"Delicatessen",14,"B"
"J & M BAKERY",2016-07-20,40402337,"QUEENS",11106,"Bakery",10,"A"
"J & M BELLA PIZZA",2016-06-29,50046510,"BRONX",10469,"Pizza",8,"A"
"J & M KELLYS JAMAICAN & AMERICAN RESTAURANT",2016-09-12,50042336,"QUEENS",11434,"Caribbean",19,"B"
"J & R PIZZA",2016-09-07,40384662,"BROOKLYN",11229,"Pizza",13,"A"
"J & R PIZZERIA NO. 2",2016-03-28,41110462,"STATEN ISLAND",10305,"Pizza",9,"A"
"J & R WEST INDIAN RESTAURANT",2016-09-16,41690704,"BROOKLYN",11225,"Caribbean",5,"A"
"J & S PIZZA",2015-08-27,40669648,"QUEENS",11422,"Pizza",9,"A"
"J + B CAFE",2016-04-06,50013991,"BROOKLYN",11215,"Cafe/Coffee/Tea",10,"A"
"J AND B PIZZERIA",2016-05-04,41123423,"STATEN ISLAND",10303,"Pizza",12,"A"
"J AND D PIZZA",2016-02-09,40662141,"QUEENS",11374,"Pizza",12,"A"
"J AND L DELI",2015-10-26,40401223,"BROOKLYN",11215,"Delicatessen",10,"A"
"J EAST",2016-05-11,41609500,"MANHATTAN",10003,"Chinese",13,"A"
"J J NOODLE",2016-06-24,41630632,"MANHATTAN",10002,"Chinese",20,"B"
"J J SPORT RESTAURANT",2016-03-31,50017111,"BRONX",10458,"Latin",11,"A"
"J P MORGAN CHASE",2016-02-18,41589450,"MANHATTAN",10017,"American",11,"A"
"J R SUSHI",2016-03-18,50005592,"MANHATTAN",10007,"Japanese",13,"A"
"J&M PIZZA",2016-04-07,50044818,"QUEENS",11691,"Pizza",12,"A"
"J&V FAMOUS PIZZA",2016-01-04,40365632,"BROOKLYN",11204,"Pizza",13,"A"
"J. RESTAURANT",2016-04-08,41717438,"MANHATTAN",10027,"Other",12,"A"
"J.D.'S SALOON BAR",2016-08-08,41308332,"QUEENS",11361,"American",8,"A"
"J.E. BAKERY",2016-04-14,40890186,"BRONX",10467,"Bakery",2,"A"
"J.J. BUBBLES",2015-11-09,40393532,"BROOKLYN",11209,"Other",2,"A"
"J.R'S CABARET",2016-01-04,40693952,"BRONX",10466,"American",10,"A"
"J.WALTER THOMAS CAFE",2016-09-16,50052955,"MANHATTAN",10017,"Cafe/Coffee/Tea",2,"A"
"JAC MAO CHINESE CUISINE",2015-11-10,50004099,"STATEN ISLAND",10305,"Chinese",11,"A"
"Jacal Mexicano Corp",2016-08-04,50053536,"QUEENS",11423,"Other",11,"A"
"JACK'S COFFEE",2015-08-28,40979620,"MANHATTAN",10014,"Cafe/Coffee/Tea",13,"A"
"JACK'S PIZZA & PASTA",2016-03-29,40367278,"QUEENS",11360,"Pizza",12,"A"
"JACK'S RESTAURANT & BAR",2016-05-26,40641617,"MANHATTAN",10018,"American",11,"A"
"JACK'S SLIDERS AND SUSHI",2016-04-11,41647241,"MANHATTAN",10003,"Asian",10,"A"
"JACK'S STIR BREW COFFEE",2016-07-12,41694453,"MANHATTAN",10014,"Cafe/Coffee/Tea",12,"A"
"JACK'S WIFE FREDA",2016-02-29,50017903,"MANHATTAN",10014,"Mediterranean",16,"B"
"JACK & HENRY POPCORN(BOWTIE CINEMAS)",2015-10-14,50039961,"MANHATTAN",10011,"Delicatessen",11,"A"
"JACK & NELLIE'S",2015-07-22,41678659,"QUEENS",11375,"American",13,"A"
"JACK DEMSEY'S PUB",2015-12-23,40936610,"MANHATTAN",10001,"European (Irish, English, German, etc)",12,"A"
"JACK DOYLES PUB & RESTAURANT",2016-05-16,41687345,"MANHATTAN",10001,"European (Irish, English, German, etc)",12,"A"
"JACK RUSSELL'S PUB",2015-12-09,41169439,"MANHATTAN",10028,"American",13,"A"
"JACK STUDIOS",2016-01-19,41481494,"MANHATTAN",10001,"American",5,"A"
"JACK THE HORSE TAVERN",2016-06-24,41552928,"BROOKLYN",11201,"American",13,"A"
"JACKBAR",2016-05-18,50002070,"BROOKLYN",11211,"American",5,"A"
"JACKFRUIT GARDEN",2016-04-19,50037449,"QUEENS",11432,"South Asian (Indian, Pakistani, Afghan, etc)",8,"A"
"JACKIE'S",2016-05-11,41160918,"STATEN ISLAND",10305,"Bakery",12,"A"
"JACKIE'S PARADISE",2016-09-06,50049486,"BRONX",10466,"Other",27,"B"
"JACKIE'S WEST INDIAN BAKERY",2016-06-14,40424972,"BRONX",10466,"Caribbean",10,"A"
"JACKS ALE HOUSE",2016-09-07,40386147,"QUEENS",11104,"American",20,"B"
"JACKS COFFEE",2016-04-20,41719380,"MANHATTAN",10014,"Cafe/Coffee/Tea",9,"A"
"JACKSON BAGEL",2016-07-01,50046096,"QUEENS",11372,"Bakery",12,"A"
"JACKSON DINER INDIAN CUISINE",2016-08-17,40647953,"QUEENS",11372,"South Asian (Indian, Pakistani, Afghan, etc)",10,"A"
"JACKSON HOLE",2016-09-16,40394068,"QUEENS",11370,"American",5,"A"
"JACKSON HOUSE RESTAURANT",2016-04-05,40392939,"QUEENS",11372,"Mediterranean",9,"A"
"JACOB'S PICKLES",2016-03-09,41627819,"MANHATTAN",10024,"American",12,"A"
"JACOB RESTAURANT",2016-03-22,41501061,"MANHATTAN",10030,"Other",10,"A"
"JACOB SOUL FOOD RESTAURANT",2016-02-23,41409219,"MANHATTAN",10027,"Other",7,"A"
"JACOBI TOWERS CAFE",2015-09-08,41559071,"BRONX",10461,"American",12,"A"
"JACQUELINE'S BAKERY RESTAURANT",2016-06-15,50011009,"BRONX",10472,"Bakery",19,"B"
"JACQUES 1534",2016-06-16,41018152,"MANHATTAN",10012,"French",10,"A"
"JACQUES TORRES CHOCOLATE",2016-05-13,41555596,"MANHATTAN",10112,"American",8,"A"
"JACQUES TORRES ICE CREAM",2016-04-29,50033575,"MANHATTAN",10017,"Juice/Smoothies/Ice Cream/Yogurt",13,"A"
"JADE ASIAN BISTRO",2016-05-11,50005613,"STATEN ISLAND",10306,"Chinese",11,"A"
"JADE ASIAN EXPRESS INC",2016-06-13,50011687,"QUEENS",11385,"Chinese",27,"B"
"JADE ASIAN RESTAURANT",2016-08-25,41289382,"QUEENS",11354,"Chinese",34,"C"
"JADE BAMBOO",2016-08-29,50049887,"QUEENS",11379,"Chinese",21,"B"
"JADE EATERY AND LOUNGE",2016-02-10,41209713,"QUEENS",11375,"Asian",10,"A"
"JADE FOOD",2016-03-25,41720841,"BROOKLYN",11220,"Chinese",13,"A"
"JADE GARDEN",2016-09-23,41141755,"QUEENS",11432,"Chinese",9,"A"
"JADE ISLAND RESTAURANT",2016-08-25,40536227,"STATEN ISLAND",10314,"Chinese",8,"A"
"JADE JOY",2015-12-03,50016546,"BRONX",10473,"Chinese",5,"A"
"JADE LINDEN RESTAURANT",2016-01-14,40962966,"QUEENS",11414,"Chinese",11,"A"
"JADE PALACE",2016-02-01,50002521,"BRONX",10475,"Chinese",11,"A"
"JADE SENECA ORIENTAL RESTAURANT",2015-12-01,40783806,"QUEENS",11385,"Chinese",13,"A"
"JADE STAR KITCHEN",2016-09-12,41144369,"BROOKLYN",11204,"Chinese",23,"B"
"JADIS RESTAURANT",2016-03-15,41160076,"MANHATTAN",10002,"French",13,"A"
"JADO SUSHI",2016-05-13,41666655,"MANHATTAN",10026,"Asian",24,"B"
"JADORE CAKES",2015-06-04,50004871,"BROOKLYN",11212,"Bakery",10,"A"
"JAGALCHI  SUSHI",2016-08-23,50016180,"QUEENS",11354,"Japanese",12,"A"
"JAGANA FAMILY KENNEDY FRIED CHICKEN",2016-08-10,50046783,"BRONX",10456,"American",12,"A"
"JAGERHAUS GASTROPUB",2016-03-15,50039303,"QUEENS",11357,"European (Irish, English, German, etc)",12,"A"
"JAHBREW COFFEE & TEA",2016-06-01,50045684,"BROOKLYN",11210,"Cafe/Coffee/Tea",11,"A"
"JAHLOOKOVA",2016-08-17,41646976,"MANHATTAN",10035,"Caribbean",8,"A"
"JAHLOOKOVER US",2016-08-09,50010340,"BRONX",10456,"Caribbean",13,"A"
"JAHN'S RESTAURANT",2015-12-09,40365627,"QUEENS",11372,"American",12,"A"
"JAI DEE RESTAURANT",2016-09-14,41630698,"BROOKLYN",11215,"Southeast Asian (Thai, Viet, Malaysia, etc)",9,"A"
"JAIYA THAI & ORIENTAL RESTAURANT",2016-05-04,41647176,"MANHATTAN",10028,"Southeast Asian (Thai, Viet, Malaysia, etc)",21,"B"
"JAIYA THAI ORIENTAL RESTAURANT",2016-06-21,40392724,"MANHATTAN",10016,"Southeast Asian (Thai, Viet, Malaysia, etc)",10,"A"
"JAKE'S CAFE EMPLOYEES CAFETERIA AT JAVED CENTER",2016-08-15,50013144,"MANHATTAN",10001,"Other",10,"A"
"JAKE'S DILEMMA",2015-08-26,40401453,"MANHATTAN",10024,"American",11,"A"
"JAKE'S HANDCRAFTED",2016-06-13,41574989,"BROOKLYN",11215,"American",9,"A"
"JAKE'S SALOON",2016-08-16,41330376,"MANHATTAN",10011,"American",5,"A"
"JAKE'S STEAKHOUSE",2016-07-21,40819558,"BRONX",10471,"American",8,"A"
"JAKE'S WAYBACK BURGERS",2015-09-16,50005123,"BROOKLYN",11236,"American",12,"A"
"JALAN DELICIOUS FOOD",2016-09-23,50042301,"QUEENS",11432,"Caribbean",13,"A"
"JALAPA JAR",2016-09-23,50050218,"BROOKLYN",11201,"American",2,"A"
"JALAPENO DELI",2016-06-06,40758830,"MANHATTAN",10029,"Mexican",3,"A"
"JALAPENO KING",2016-03-17,50005068,"BROOKLYN",11215,"American",5,"A"
"JALAPENOS MEXICAN",2016-06-15,50037997,"BROOKLYN",11220,"Mexican",17,"B"
"JALISCO TACO'S",2016-03-02,41215422,"BRONX",10454,"American",13,"A"
"JALLOH FAMILY RESTAURANT",2016-03-23,41022267,"BRONX",10456,"Other",19,"B"
"JALOPY",2016-04-30,41183948,"BROOKLYN",11231,"Cafe/Coffee/Tea",2,"A"
"JALOPY TAVERN",2016-04-30,41641302,"BROOKLYN",11231,"American",7,"A"
"JAM ROCK",2015-11-05,41181265,"BROOKLYN",11212,"Caribbean",13,"A"
"JAMAICA BREEZE RESTAURANT",2016-06-28,50000268,"QUEENS",11413,"Caribbean",18,"B"
"JAMAICA FISH MARKET",2016-09-15,41195053,"QUEENS",11418,"Seafood",23,"B"
"JAMAICA GRILL RESTAURANT & CATERERS",2016-08-02,41400593,"BROOKLYN",11216,"Caribbean",41,"C"
"JAMAICA MULTI PLEX CINEMAS",2016-01-19,41595437,"QUEENS",11432,"Delicatessen",13,"A"
"JAMAICAN BEST",2016-07-11,50051825,"QUEENS",11423,"Caribbean",11,"A"
"JAMAICAN FLAVORS",2016-03-02,41016441,"QUEENS",11413,"Caribbean",9,"A"
"JAMAO COFFEE SHOP RESTAURANT",2016-06-23,41210181,"QUEENS",11433,"Latin",12,"A"
"JAMBA JUICE",2016-09-19,41517953,"MANHATTAN",10001,"American",24,"B"
"JAMES RESTAURANT",2016-04-23,41339329,"BROOKLYN",11238,"American",12,"A"
"JAMESON'S BAR AND RESTAURANT",2016-04-27,50032621,"MANHATTAN",10022,"American",11,"A"
"JAMESONS PUB",2016-01-09,41004222,"QUEENS",11694,"American",10,"A"
"JAMEX SPORTS BAR",2016-09-08,50032873,"BRONX",10469,"Caribbean",10,"A"
"JAMROCK CAFE",2015-10-22,41351965,"BRONX",10456,"Caribbean",8,"A"
"JAN'S",2015-09-15,50037961,"MANHATTAN",10019,"American",13,"A"
"JANE",2016-05-17,40819315,"MANHATTAN",10012,"American",11,"A"
"JANE MOTORCYCLE",2016-08-20,50034725,"BROOKLYN",11249,"Cafe/Coffee/Tea",7,"A"
"JANE STREET",2016-07-26,50048590,"MANHATTAN",10281,"American",7,"A"
"JANE STREET HOTEL",2016-05-26,41418400,"MANHATTAN",10014,"American",7,"A"
"JANEYDI BAKERY",2016-06-14,41137942,"BRONX",10451,"Bakery",9,"A"
"JANG BAK BBQ",2016-06-08,50009978,"QUEENS",11354,"Korean",11,"A"
"JAPANESE CREPE S&N",2015-12-10,50043010,"BROOKLYN",11220,"Japanese",10,"A"
"JAPAS 38",2016-06-25,41670486,"MANHATTAN",10016,"Japanese",8,"A"
"JAPONICA RESTAURANT",2016-01-21,50014486,"MANHATTAN",10003,"Japanese",11,"A"
"Jaques Brasserie",2016-08-22,50048671,"MANHATTAN",10028,"French",12,"A"
"JARDIN DE CHINA REST",2016-06-16,40366543,"QUEENS",11368,"Chinese",15,"B"
"JARS BY DANI",2016-07-12,50013304,"MANHATTAN",10011,"Other",7,"A"
"JASLOWICZANKA POLISH BAKERY",2016-05-23,41379907,"BROOKLYN",11222,"Bakery",2,"A"
"JASMIN LOUNGE",2016-05-22,41665031,"QUEENS",11103,"Cafe/Coffee/Tea",13,"A"
"JASPER'S TAPHOUSE & KITCHEN",2015-11-17,50008104,"MANHATTAN",10019,"American",3,"A"
"JASSI'S FINE INDIAN CUISINE",2016-08-02,41693685,"QUEENS",11040,"South Asian (Indian, Pakistani, Afghan, etc)",12,"A"
"JASSI'S WORLD FAMOUS DELI & GROCERY",2016-06-21,41435744,"QUEENS",11101,"Delicatessen",23,"B"
"JAVA DAY",2016-02-03,50012353,"QUEENS",11358,"Bakery",8,"A"
"JAVA DAY CAFE",2016-06-23,41710693,"QUEENS",11358,"Cafe/Coffee/Tea",13,"A"
"JAVA GIRL",2016-05-06,40884510,"MANHATTAN",10065,"Cafe/Coffee/Tea",13,"A"
"JAVA RESTAURANT",2016-05-02,40395826,"BROOKLYN",11215,"Southeast Asian (Thai, Viet, Malaysia, etc)",9,"A"
"JAVELINA",2016-06-13,50032654,"MANHATTAN",10003,"Mexican",23,"B"
"JAX INN DINER",2016-06-13,50005669,"QUEENS",11372,"American",5,"A"
"JAY'S PLACE",2016-02-16,41161329,"BRONX",10471,"American",7,"A"
"JAY'S ROTI HUT",2016-08-08,50045619,"QUEENS",11420,"Caribbean",9,"A"
"JAYA",2016-09-13,50033120,"MANHATTAN",10013,"Asian",22,"B"
"JAYS RESTAURANT",2016-04-11,40559832,"QUEENS",11434,"American",3,"A"
"JAYSE CATERING",2016-07-07,41348416,"BROOKLYN",11222,"American",13,"A"
"JAZZY WEST INDIAN AND AMERICAN RESTAURANT",2015-11-12,50032746,"BROOKLYN",11203,"Caribbean",7,"A"
