"dba","inspection.date","camis","boro","zipcode","cuisine.type","score","grade"
"33 GOURMET",2016-05-05,50047434,"MANHATTAN",10018,"Delicatessen",16,"B"
"333 LOUNGE",2016-09-09,50046578,"BROOKLYN",11217,"Caribbean",32,"C"
"337 - BURGERS & DOGS",2016-06-07,41395501,"QUEENS",11368,"American",0,"A"
"35 DUET",2016-06-06,41164822,"MANHATTAN",10001,"Japanese",11,"A"
"360 LOUNGE",2016-02-20,41633066,"QUEENS",11354,"Asian",11,"A"
"38 DELI",2015-09-25,41155536,"BROOKLYN",11219,"Chinese",2,"A"
"388 CAFE & DELI",2015-11-24,41488338,"MANHATTAN",10002,"Chinese",10,"A"
"39 KARAOKE",2016-06-02,50033110,"BROOKLYN",11232,"Chinese",17,"B"
"3E TASTE OF THAI",2016-09-14,41534687,"QUEENS",11106,"Southeast Asian (Thai, Viet, Malaysia, etc)",12,"A"
"3rd & 7",2016-06-13,41403545,"BROOKLYN",11234,"American",19,"B"
"40/40 CLUB",2016-08-23,40944872,"MANHATTAN",10010,"American",8,"A"
"40/40 CLUB BAR",2016-03-15,41688500,"BROOKLYN",11217,"American",0,"A"
"401 LUCKY STAR RESTAURANT",2016-05-12,50006978,"BROOKLYN",11212,"Chinese",9,"A"
"414 Hotel",2015-12-29,50013561,"MANHATTAN",10036,"Other",11,"A"
"414 LATINO RESTAURANT SPORTS BAR",2016-04-07,41246253,"BRONX",10454,"Mexican",15,"B"
"42ND STREET PIZZA DINER",2015-11-24,40605319,"MANHATTAN",10036,"American",12,"A"
"44 & X HELL'S KITCHEN",2016-05-17,40809948,"MANHATTAN",10036,"American",10,"A"
"44 1/2 CAFE",2015-09-08,41108812,"MANHATTAN",10036,"American",12,"A"
"444 MADISON COFFEE SHOP",2016-05-05,41718959,"MANHATTAN",10022,"American",7,"A"
"44TH STREET MINAR",2016-08-08,41700988,"MANHATTAN",10017,"South Asian (Indian, Pakistani, Afghan, etc)",9,"A"
"44TH STREET PIZZA",2016-02-23,41660211,"MANHATTAN",10017,"Pizza",13,"A"
"456 RESTAURANT",2016-08-24,41529681,"MANHATTAN",10013,"Chinese",16,"B"
"46 GRILL CAFE",2016-09-15,41269706,"QUEENS",11377,"Mexican",8,"A"
"4618 BAKERY",2016-09-20,41582797,"BROOKLYN",11220,"Bakery",9,"A"
"49 GROVE",2016-06-10,41060828,"MANHATTAN",10014,"American",7,"A"
"4ALL AMERICAN BAGEL & BARISTA II",2016-05-31,50047765,"QUEENS",11693,"American",7,"A"
"4O KNOTS",2016-07-29,41532133,"BROOKLYN",11231,"American",10,"A"
"4TH DOWN",2016-05-17,50011200,"BROOKLYN",11211,"American",7,"A"
"4TH FLOOR CAFE",2016-03-15,50001632,"MANHATTAN",10021,"American",4,"A"
"5 BORO BURGER",2016-05-13,41633315,"MANHATTAN",10018,"American",11,"A"
"5 BURRO CAFE",2016-04-21,40390163,"QUEENS",11375,"Mexican",11,"A"
"5 DE MAYO",2016-07-02,41462146,"QUEENS",11368,"Mexican",7,"A"
"5 ESTRELLA BAKERY",2016-06-14,41166881,"MANHATTAN",10032,"Bakery",11,"A"
"5 NAPKIN",2016-04-20,50043509,"MANHATTAN",10021,"American",9,"A"
"5 NAPKIN BURGER",2016-05-25,41460077,"MANHATTAN",10024,"American",11,"A"
"5 SENSES",2016-06-21,50037784,"MANHATTAN",10001,"Korean",2,"A"
"5 STAR CHEESE STEAK AND PIZZA",2016-08-29,50014906,"MANHATTAN",10029,"Pizza",11,"A"
"5 STAR VILLAGE CAFE",2016-05-04,41699662,"BROOKLYN",11223,"European (Irish, English, German, etc)",9,"A"
"502 BAR RESTAURANT",2016-03-31,50041262,"QUEENS",11432,"Latin",12,"A"
"51 MOTT STREET RESTAURANT",2016-05-17,50050352,"MANHATTAN",10013,"Korean",0,"A"
"510 11ST BAR",2016-08-16,40969233,"MANHATTAN",10009,"American",12,"A"
"51ST BAKERY AND CAFE",2016-09-17,50004788,"QUEENS",11101,"Bakery",12,"A"
"520 DESSERT",2016-07-28,50047581,"QUEENS",11354,"Asian",11,"A"
"525 LEX RESTAURANT & LOUNGE",2016-04-08,40806489,"MANHATTAN",10017,"American",13,"A"
"52ND SUSHI",2016-05-09,41716978,"QUEENS",11377,"Japanese",7,"A"
"54 BELOW",2016-05-06,41663204,"MANHATTAN",10019,"American",10,"A"
"55 BAR",2016-01-04,41331076,"MANHATTAN",10014,"American",17,"B"
"55 THOMAS CAFE",2016-06-28,41548334,"MANHATTAN",10013,"American",5,"A"
"555 VIVACAFE",2016-01-29,41332399,"BRONX",10455,"American",2,"A"
"556 EL CAFE INTERNATIONAL",2016-07-14,41233392,"BROOKLYN",11208,"Latin",12,"A"
"57'S ALL AMERICAN GRILL",2016-06-21,41419342,"QUEENS",11358,"American",11,"A"
"59 CHINA",2016-09-12,41680586,"MANHATTAN",10038,"Chinese",34,"C"
"59E59 BAR",2016-08-03,41023553,"MANHATTAN",10022,"American",12,"A"
"5BAR KARAOKE",2016-03-30,41674573,"MANHATTAN",10001,"Korean",7,"A"
"5C CAFE & CULTURAL CENTER",2016-04-25,50040962,"MANHATTAN",10009,"Cafe/Coffee/Tea",13,"A"
"5IVE SPICE",2016-02-25,50042491,"BROOKLYN",11217,"Asian",10,"A"
"5IVE STEAK",2016-03-10,41362513,"QUEENS",11430,"American",9,"A"
"5TH & MAD",2016-06-06,41219092,"MANHATTAN",10016,"European (Irish, English, German, etc)",12,"A"
"5TH & VINE",2016-04-12,41019884,"STATEN ISLAND",10304,"American",3,"A"
"5TH AVENUE ASIAN TASTE RESTAURANT",2015-08-05,50037537,"BROOKLYN",11215,"Chinese",9,"A"
"5TH AVENUE EMPIRE CAFE",2015-11-16,41276823,"MANHATTAN",10016,"Chinese",9,"A"
"60 Beans",2015-11-09,50009459,"QUEENS",11105,"Cafe/Coffee/Tea",2,"A"
"61 LOCAL",2016-09-06,41548213,"BROOKLYN",11201,"American",23,"B"
"619 BAR & RESTAURANT EL SALVADORENO",2016-05-22,50044817,"BRONX",10455,"Latin",8,"A"
"620 ON CATON",2016-06-29,41434590,"BROOKLYN",11218,"Pizza",24,"B"
"624 KAM HAI CHINESE FOOD",2016-03-21,50007193,"BROOKLYN",11218,"Chinese",8,"A"
"6321 YUAN BAO",2015-10-03,41588813,"BROOKLYN",11220,"Chinese",12,"A"
"652 LIN'S GARDEN",2015-11-10,41701096,"QUEENS",11385,"Chinese",8,"A"
"658 KINGS DELI",2016-05-25,41260427,"STATEN ISLAND",10306,"Delicatessen",11,"A"
"66 PRINCE RESTAURANT",2016-06-21,41717000,"QUEENS",11354,"Chinese",11,"A"
"67 Burger",2016-05-17,41154687,"BROOKLYN",11217,"American",11,"A"
"67 BURGER",2016-08-16,41617945,"BROOKLYN",11217,"American",9,"A"
"67 ORANGE STREET",2016-07-21,41351549,"MANHATTAN",10026,"American",12,"A"
"67 RESTAURANT",2016-01-20,40926403,"MANHATTAN",10033,"Spanish",11,"A"
"678 AURORA CATERING",2016-07-28,50015638,"QUEENS",11354,"Asian",5,"A"
"68 JAY STREET BAR",2016-01-20,40978834,"BROOKLYN",11201,"American",10,"A"
"68 MEI MEI BAKERY",2016-05-31,41653049,"BROOKLYN",11214,"Chinese",12,"A"
"68 TASTE OF CHINA",2016-08-12,50036518,"QUEENS",11365,"Chinese",11,"A"
"69 BAR LOUNGE",2016-07-13,41420397,"QUEENS",11377,"Other",10,"A"
"69 PIZZERIA",2016-07-13,41645673,"QUEENS",11377,"Pizza",11,"A"
"696 GOURMET DELI",2016-08-01,41690753,"MANHATTAN",10017,"American",12,"A"
"6B",2015-08-13,50017241,"MANHATTAN",10165,"American",11,"A"
"7 EXPRESS",2016-08-24,50018984,"QUEENS",11354,"Chinese",31,"C"
"7 GRAMS CAFFE",2015-12-30,50014520,"MANHATTAN",10001,"Cafe/Coffee/Tea",10,"A"
"7 SPICES",2016-06-13,41584120,"BRONX",10469,"Caribbean",3,"A"
"7 STARS RESTAURANT",2016-09-09,40820080,"QUEENS",11356,"American",12,"A"
"7 TACOS MEXICAN CUISINE CORP",2016-08-12,50016385,"MANHATTAN",10034,"Mexican",41,"C"
"70KING, BURGER KING, POPEYES LOUISIANA KITCHEN",2016-06-18,41350171,"QUEENS",11366,"American",9,"A"
"71 IRVING PLACE",2015-09-21,40835721,"MANHATTAN",10003,"American",8,"A"
"718 HOOKAH LOUNGE",2016-01-05,41660841,"QUEENS",11375,"Mediterranean",10,"A"
"718 LOUNGE & TAPAS",2015-10-03,50003585,"BRONX",10457,"Spanish",12,"A"
"729 BAR & GRILL",2016-08-19,41720025,"QUEENS",11412,"American",10,"A"
"72ND STREET BAGEL",2016-08-25,40980449,"MANHATTAN",10023,"Bakery",23,"B"
"739 FRANKLIN BAR & LOUNGE",2016-04-30,41649506,"BROOKLYN",11238,"Caribbean",9,"A"
"750 MYRTLE DINER",2016-06-04,50034497,"BROOKLYN",11205,"American",11,"A"
"765 FOOD MARKET",2016-08-30,41638961,"MANHATTAN",10017,"Delicatessen",9,"A"
"773 LOUNGE",2016-04-19,41386038,"BROOKLYN",11218,"American",6,"A"
"7B BAR",2016-05-31,40364518,"MANHATTAN",10009,"American",9,"A"
"7TH AVENUE DONUT SHOP",2015-11-06,40846477,"BROOKLYN",11215,"Bakery",4,"A"
"7TH MANSION",2015-11-24,50041695,"QUEENS",11354,"Korean",19,"B"
"8 DRAGON & PHOENIX CHINESE RESTAURANT",2016-03-13,50003283,"QUEENS",11105,"Chinese",12,"A"
