"","country","population","natural.gas.consumption","coal.consumption","CO2.emission"
"193","South Africa","49.05249","0.13274","4.06907","451.21964"
"194","Spain","46.29524","1.37936","0.44346","329.85729"
"195","Sri Lanka","21.32479","0","0.00221","12.65395"
"196","Sudan","42.81128","0","0","12.94618"
"197","Suriname","0.48127","0","0","2.03058"
"198","Swaziland","1.33719","0","0.00584","1.38366"
"199","Sweden","9.05965","0.0494","0.06223","50.55719"
"200","Switzerland","7.63923","0.11892","0.00495","45.81194"
"201","Syria","21.76298","0.27435","0.00011","58.13677"
"202","Taiwan","22.97435","0.47218","1.6355","279.14287"
"203","Tajikistan","7.34915","0.00839","0.00393","6.17798"
"204","Tanzania","41.04853","0.02433","0.00243","6.70279"
"205","Thailand","66.64481","1.35147","0.6418","254.87965"
"206","Timor-Leste (East Timor)","1.13161","0","0","0.38261"
"207","Togo","6.40501","0","0","2.89747"
"208","Tonga","0.1209","0","0","0.15504"
"209","Trinidad and Tobago","1.22995","0.77351","0","47.48203"
"210","Tunisia","10.48634","0.12352","0","22.92089"
"211","Turkey","76.80552","1.27481","1.23968","253.05666"
"212","Turkmenistan","4.88489","0.74134","0","56.64928"
"213","Turks and Caicos Islands","0.02294","0","0","0.07776"
"214","U.S. Pacific Islands","0.24424","0","0","0.29446"
"215","Uganda","32.36956","0","0","1.90708"
"216","Ukraine","45.7004","1.63281","1.38199","252.47261"
"217","United Arab Emirates","4.79849","2.16595","0","193.38199"
"218","United Kingdom","62.25857","3.33648","1.21182","519.94404"
"219","United States","307.00655","23.411","19.66839","5424.52952"
"220","Uruguay","3.49438","0.00148","0.00006","7.18679"
"221","Uzbekistan","27.60601","1.65958","0.05606","115.1794"
"222","Vanuatu","0.21852","0","0","0.14652"
"223","Venezuela","26.81484","0.85088","0.00957","158.99564"
"224","Vietnam","88.57676","0.2594","0.53039","98.34013"
"225","Virgin Islands,  U.S.","0.10981","0","0","12.48685"
"226","Virgin Islands, British","0.02449","0","0","0.14784"
"228","Western Sahara","0.47601","0","0","0.3146"
"230","Yemen","22.85824","0.01331","0","25.78069"
"231","Zambia","13.06068","0","0.00002","2.67288"
"232","Zimbabwe","11.39263","0","0.07743","10.61956"
