Region,Causes,Bothsexes(2012),Female(2012),Male(2012),Bothsexes(2000),Female(2000),Male(2000),Group
EastAsiaandPacific,Pretermbirthcomplications,111126,47611,63515,179002,78498,100504,Neonatal
EastAsiaandPacific,Birthasphyxiaandbirthtrauma,81375,33574,47801,173447,73859,99588,Neonatal
EastAsiaandPacific,Neonatalsepsisandinfections,29340,11248,18092,53519,21270,32249,Neonatal
EastAsiaandPacific,Otherneonatalconditions,44098,19271,24827,45293,20523,24770,Neonatal
EastAsiaandPacific,Nutritionaldeficiencies,37702,20459,17243,45645,24370,21275,Subgroup
EastAsiaandPacific,Protein-energymalnutrition,22077,11973,10104,32822,17070,15752,NutritionalDeficiency
EastAsiaandPacific,Iodinedeficiency,180,81,99,55,28,27,NutritionalDeficiency
EastAsiaandPacific,VitaminAdeficiency,108,108,0,0,0,0,NutritionalDeficiency
EastAsiaandPacific,Iron-deficiencyanaemia,12606,6837,5769,11921,6781,5140,NutritionalDeficiency
EastAsiaandPacific,Othernutritionaldeficiencies,2730,1460,1270,849,493,356,NutritionalDeficiency
EastAsiaandPacific,Noncommunicablediseases,11463155,5360615,6102540,9013854,4184891,4828963,LargeSubgroup
EastAsiaandPacific,Malignantneoplasms,2767393,1035116,1732277,1926654,699457,1227197,Subgroup
EastAsiaandPacific,Mouthandoropharynxcancers,66089,19877,46212,48696,14744,33952,Cancer
EastAsiaandPacific,Oesophaguscancer,209875,60288,149587,171669,56457,115212,Cancer
EastAsiaandPacific,Stomachcancer,356182,115125,241057,297469,94402,203067,Cancer
EastAsiaandPacific,Colonandrectumcancers,186627,81614,105013,120255,47662,72593,Cancer
EastAsiaandPacific,Livercancer,460406,123253,337153,333600,75530,258070,Cancer
EastAsiaandPacific,Pancreascancer,76243,32037,44206,45152,17853,27299,Cancer
EastAsiaandPacific,"Trachea,bronchus,lungcancers",699449,208457,490992,413647,120491,293156,Cancer
EastAsiaandPacific,Melanomaandotherskincancers,16019,7223,8796,9246,4116,5130,Cancer
EastAsiaandPacific,Breastcancer,93527,93527,0,59361,59361,0,Cancer
EastAsiaandPacific,Cervixutericancer,54023,54023,0,38675,38675,0,Cancer
EastAsiaandPacific,Corpusutericancer,21741,21741,0,14060,14060,0,Cancer
EastAsiaandPacific,Ovarycancer,27954,27954,0,20917,20917,0,Cancer
EastAsiaandPacific,Prostatecancer,39084,0,39084,18187,0,18187,Cancer
EastAsiaandPacific,Bladdercancer,34108,8480,25628,23447,6018,17429,Cancer
EastAsiaandPacific,"Lymphomas,multiplemyeloma",58652,23457,35195,43499,16448,27051,Cancer
EastAsiaandPacific,Leukaemia,77525,32944,44581,70335,28968,41367,Cancer
EastAsiaandPacific,Othermalignantneoplasms,289893,125118,164775,198450,83764,114686,Cancer
EastAsiaandPacific,Otherneoplasms,46407,21420,24987,33642,15405,18237,Cancer
EastAsiaandPacific,Diabetesmellitus,425971,259616,166355,251898,153803,98095,Diabetes
EastAsiaandPacific,"Endocrine,blood,immunedisorders",44670,24851,19819,35279,20390,14889,Endocrine.blood.immunedisorders
EastAsiaandPacific,Mentalandbehavioraldisorders,33590,13892,19698,37586,15323,22263,Subgroup
EastAsiaandPacific,Unipolardepressivedisorders,0,0,0,0,0,0,Men.Behav
EastAsiaandPacific,Bipolardisorder,0,0,0,0,0,0,Men.Behav
EastAsiaandPacific,Schizophrenia,11010,5911,5099,16817,8069,8748,Men.Behav
EastAsiaandPacific,Alcoholusedisorders,9162,1054,8108,9073,1064,8009,Men.Behav
EastAsiaandPacific,Drugusedisorders,9219,4744,4475,7771,4417,3354,Men.Behav
EastAsiaandPacific,Anxietydisorders,0,0,0,0,0,0,Men.Behav
EastAsiaandPacific,Eatingdisorders,1397,878,519,1444,788,656,Men.Behav
EastAsiaandPacific,Pervasivedevelopmentaldisorders,0,0,0,0,0,0,Men.Behav
EastAsiaandPacific,Childhoodbehaviouraldisorders,0,0,0,0,0,0,Men.Behav
EastAsiaandPacific,Idiopathicintellectualdisability,0,0,0,0,0,0,Men.Behav
EastAsiaandPacific,Othermentalandbehaviouraldisorders,2800,1304,1496,2481,983,1498,Men.Behav
EastAsiaandPacific,Neurologicalconditions,145775,79267,66508,119130,62474,56656,Subgroup
EastAsiaandPacific,Alzheimer'sdiseaseandotherdementias,76683,44879,31804,54263,32419,21844,Neurological
EastAsiaandPacific,Parkinson'sdisease,14556,6684,7872,9974,5246,4728,Neurological
EastAsiaandPacific,Epilepsy,25962,11420,14542,32824,13211,19613,Neurological
EastAsiaandPacific,Multiplesclerosis,2164,1010,1154,2442,996,1446,Neurological
EastAsiaandPacific,Migraine,0,0,0,0,0,0,Neurological
EastAsiaandPacific,Non-migraineheadache,0,0,0,0,0,0,Neurological
EastAsiaandPacific,Otherneurologicalconditions,26409,15273,11136,19629,10602,9027,Neurological
EastAsiaandPacific,Senseorgandiseases,43,28,15,1072,633,439,Neurological
EastAsiaandPacific,Glaucoma,0,0,0,129,93,36,Neurological
EastAsiaandPacific,Cataracts,2,2,0,236,139,97,Neurological
EastAsiaandPacific,Refractiveerrors,0,0,0,0,0,0,Neurological
EastAsiaandPacific,Maculardegeneration,0,0,0,0,0,0,Neurological
EastAsiaandPacific,Othervisionloss,0,0,0,0,0,0,Neurological
EastAsiaandPacific,Otherhearingloss,0,0,0,0,0,0,Neurological
EastAsiaandPacific,othersenseorgandisorders,42,27,15,707,401,306,Neurological
EastAsiaandPacific,Cardiovasculardiseases,5805606,2934687,2870919,4111035,2048818,2062217,Subgroup
EastAsiaandPacific,Rheumaticheartdisease,99413,62194,37219,113374,68294,45080,Cardiovascular
EastAsiaandPacific,Hypertensiveheartdisease,345072,189437,155635,316560,163882,152678,Cardiovascular
EastAsiaandPacific,Ischaemicheartdisease,1943262,972746,970516,894181,427920,466261,Cardiovascular
EastAsiaandPacific,Stroke,3020833,1513517,1507316,2179978,1072671,1107307,Cardiovascular
EastAsiaandPacific,"Cardiomyopathy,myocarditis,endocarditis",79997,38261,41736,70632,30766,39866,Cardiovascular
EastAsiaandPacific,Othercirculatorydiseases,317030,158534,158496,536311,285287,251024,Cardiovascular
EastAsiaandPacific,Respiratorydiseases,1399158,640178,758980,1701198,828202,872996,Subgroup
EastAsiaandPacific,Chronicobstructivepulmonarydisease,1184163,543693,640470,1484141,726479,757662,Respiratory
EastAsiaandPacific,Asthma,95078,44329,50749,89044,41264,47780,Respiratory
EastAsiaandPacific,Otherrespiratorydiseases,119920,52158,67762,128017,60461,67556,Respiratory
EastAsiaandPacific,Digestivediseases,394643,149647,244996,440613,168597,272016,Subgroup
EastAsiaandPacific,Pepticulcerdisease,47968,19756,28212,70782,27708,43074,Digestive
EastAsiaandPacific,Cirrhosisoftheliver,203553,60952,142601,224042,68964,155078,Digestive
EastAsiaandPacific,Appendicitis,5967,2988,2979,8206,4072,4134,Digestive
EastAsiaandPacific,Otherdigestivediseases,137153,65950,71203,137583,67856,69727,Digestive
EastAsiaandPacific,Genitourinarydiseases,241205,117461,123744,209003,99756,109247,Subgroup
EastAsiaandPacific,Kidneydiseases,183100,89081,94019,166281,81352,84929,Genitourinary
EastAsiaandPacific,Hyperplasiaofprostate,1648,18,1630,4059,0,4059,Genitourinary
EastAsiaandPacific,Urolithiasis,7605,3145,4460,7830,2942,4888,Genitourinary
EastAsiaandPacific,Othergenitourinarydiseases,45072,21432,23640,27189,11817,15372,Genitourinary
EastAsiaandPacific,Infertility,0,0,0,0,0,0,Infertility
EastAsiaandPacific,Gynecologicaldiseases,3786,3786,0,3646,3646,0,
EastAsiaandPacific,Skindiseases,16093,8988,7105,13321,7316,6005,
EastAsiaandPacific,Musculoskeletaldiseases,43966,28743,15223,26368,16765,9603,Subgroup
EastAsiaandPacific,Rheumatoidarthritis,14437,9262,5175,9775,5678,4097,musc.skelet
EastAsiaandPacific,Osteoarthritis,0,0,0,0,0,0,musc.skelet
EastAsiaandPacific,Gout,0,0,0,0,0,0,musc.skelet
EastAsiaandPacific,Backandneckpain,0,0,0,0,0,0,musc.skelet
EastAsiaandPacific,Othermusculoskeletaldisorders,29532,19482,10050,16591,11087,5504,musc.skelet
EastAsiaandPacific,Congenitalanomalies,98644,46728,51916,107066,47957,59109,Subgroup
EastAsiaandPacific,Neuraltubedefects,8103,3485,4618,13870,5428,8442,Congenital
EastAsiaandPacific,Cleftlipandcleftpalate,1007,310,697,1345,341,1004,Congenital
EastAsiaandPacific,Down'ssyndrome,2001,1095,906,1993,1094,899,Congenital
EastAsiaandPacific,Congenitalheartanomalies,60830,28510,32320,62945,27977,34968,Congenital
EastAsiaandPacific,Otherchromosomalanomalies,4902,2583,2319,6067,3082,2985,Congenital
EastAsiaandPacific,Othercongenitalanomalies,21806,10748,11058,20855,10037,10818,Congenital
EastAsiaandPacific,Oralconditions,0,0,0,0,0,0,Subgroup
EastAsiaandPacific,Dentalcaries,0,0,0,0,0,0,Oral
EastAsiaandPacific,Periodontaldisease,0,0,0,0,0,0,Oral
EastAsiaandPacific,Edentulism,0,0,0,0,0,0,Oral
EastAsiaandPacific,Injuries,1108901,426115,682786,1216605,460168,756437,LargeSubgroup
EastAsiaandPacific,Unintentionalinjuries,886643,325267,561376,852759,287522,565237,Subgroup
EastAsiaandPacific,Roadinjury,402000,125729,276271,283764,78685,205079,Accident
EastAsiaandPacific,Poisonings,47421,19493,27928,59948,24195,35753,Accident
EastAsiaandPacific,Falls,154680,74106,80574,108137,48532,59605,Accident
EastAsiaandPacific,"Fire,heatandhotsubstances",23757,11036,12721,27646,12679,14967,Accident
EastAsiaandPacific,Drowning,91051,34506,56545,153489,54200,99289,Accident
EastAsiaandPacific,Exposuretoforcesofnature,2456,983,1473,282,117,165,Accident
EastAsiaandPacific,Otherunintentionalinjuries,165281,59415,105866,219497,69117,150380,Accident
EastAsiaandPacific,Intentionalinjuries,222261,100851,121410,363847,172648,191199,Subgroup
EastAsiaandPacific,Self-harm,165627,84938,80689,280568,151748,128820,Intentional
EastAsiaandPacific,Interpersonalviolence,51677,15295,36382,74267,19742,54525,Intentional
EastAsiaandPacific,Collectiveviolenceandlegalintervention,4956,616,4340,9014,1160,7854,Intentional
