Country Name,Country Code,1990 [YR1990],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],Average.POP
Greenland,GRL,55600,56200,56350,56609,56765,56911,56935,56774,56555,56328,56323,56905,56890,56810,56483,56295,56608.86667
Grenada,GRD,96286,101620,101849,102100,102371,102657,102951,103259,103587,103934,104298,104677,105070,105476,105902,106349,103740
Guam,GUM,130482,155328,156417,157241,157823,158194,158401,158429,158332,158310,158621,159440,160858,162807,165121,167543,159524.3333
Guatemala,GTM,9158547,11688660,11976725,12272208,12573346,12877711,13183505,13490041,13797629,14106687,14418033,14732261,15049280,15368759,15690793,16015494,13816075.47
Guinea,GIN,6034082,8799165,8955756,9114287,9281572,9464771,9669023,9898301,10152521,10427356,10715770,11012406,11316351,11628767,11948726,12275527,10310686.6
Guinea-Bissau,GNB,1056208,1315455,1343646,1372367,1401716,1431816,1462784,1494603,1527342,1561293,1596832,1634196,1673509,1714620,1757138,1800513,1539188.667
Guyana,GUY,720282,742218,743163,743107,742537,742162,742495,743705,745638,748096,750749,753362,755883,758410,761033,763893,749096.7333
Haiti,HTI,7099733,8549202,8692564,8834739,8976555,9119182,9263409,9409479,9556958,9705130,9852953,9999617,10144890,10288828,10431249,10572029,9559785.6
Honduras,HND,4903363,6243080,6371304,6499001,6626304,6753352,6880181,7007029,7133737,7259470,7383098,7503875,7621414,7736131,7849059,7961680,7121914.333
"Hong Kong SAR, China",HKG,5704500,6665000,6714300,6744100,6730800,6783500,6813200,6857100,6916300,6957800,6972800,7024200,7071600,7154600,7187500,7241700,6922300
Hungary,HUN,10373988,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9866468,10048037.87
Iceland,ISL,254826,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327386,306147.1333
India,IND,870601776,1053481072,1071888190,1090189358,1108369577,1126419321,1144326293,1162088305,1179685631,1197070109,1214182182,1230984504,1247446011,1263589639,1279498874,1295291543,1177634041
Indonesia,IDN,181436821,211540428,214448301,217369087,220307809,223268606,226254703,229263980,232296830,235360765,238465165,241613126,244808254,248037853,251268276,254454778,232583864.1
"Iran, Islamic Rep.",IRN,56169196,65850062,66812736,67696677,68522074,69321953,70122115,70923164,71720859,72530693,73370982,74253373,75184322,76156975,77152445,78143644,71850804.93
Iraq,IRQ,17478455,23574751,24258794,24943793,25630426,26320530,27017712,27716983,28423538,29163327,29970634,30868156,31867758,32957622,34107366,35273293,28806312.2
Ireland,IRL,3513974,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4576794,4586897,4598294,4617225,4297791.867
Isle of Man,IMY,70312,76806,77608,78318,78975,79636,80345,81110,81914,82737,83548,84327,85069,85779,86462,87127,81984.06667
Israel,ISR,4660000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215700,7222006.667
Italy,ITA,56719240,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,60789140,58511152.33
Jamaica,JAM,2390000,2589389,2605556,2615253,2624695,2634145,2643601,2653042,2662481,2671934,2681386,2690824,2699838,2707805,2714669,2720554,2661011.467
Japan,JPN,123537000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127817277,127561489,127338621,127131800,127638212.5
Jordan,JOR,3358453,4767476,4850227,4938935,5042538,5171633,5332982,5530218,5759424,6010035,6266865,6517912,6760371,6994451,7214832,7416083,5904932.133
Kazakhstan,KAZ,16348000,14883626,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092701,16321581,16556600,16791425,17035275,17289224,15748201.53
Kenya,KEN,23446229,31065820,31863280,32691980,33551079,34437460,35349040,36286015,37250540,38244442,39269988,40328313,41419954,42542978,43692881,44863583,37523823.53
Kiribati,KIR,72411,84406,85858,87343,88892,90545,92329,94257,96310,98437,100566,102648,104662,106620,108544,110470,96792.46667
"Korea, Dem. People??s Rep.",PRK,20194354,22840218,23043441,23248053,23449173,23639296,23813324,23969897,24111945,24243829,24371806,24500506,24631359,24763353,24895705,25026772,24036578.47
"Korea, Rep.",KOR,42869283,47008111,47357362,47622179,47859311,48039415,48138077,48371946,48597652,48948698,49182038,49410366,49779440,50004441,50219669,50423955,48730844
Kosovo,KSV,1862000,1700000,1701154,1702310,1703466,1704622,1705780,1719536,1733404,1747383,1761474,1775680,1790957,1805200,1818117,1812771,1745456.933
Kuwait,KWT,2058832,1929470,1990022,2042215,2095993,2166344,2263604,2389498,2538591,2705290,2881243,3059473,3239181,3419581,3593689,3753121,2671154.333
Kyrgyz Republic,KGZ,4391200,4898400,4945100,4990700,5043300,5104700,5162600,5218400,5268400,5318700,5383300,5447900,5514600,5607200,5719600,5835500,5297226.667
Lao PDR,LAO,4247839,5342879,5424701,5502340,5579003,5658894,5745012,5838837,5939634,6045439,6153153,6260544,6366909,6473050,6579985,6689300,5973312
Latvia,LVA,2663151,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1993782,2182696.933
Lebanon,LBN,2703019,3235380,3359875,3522842,3701464,3863271,3986865,4057041,4085426,4109389,4181742,4337156,4591698,4924257,5286990,5612096,4190366.133
Lesotho,LSO,1597534,1856225,1871489,1885488,1898778,1912042,1925844,1940345,1955656,1972194,1990413,2010586,2032950,2057331,2083061,2109197,1966773.267
Liberia,LBR,2102877,2891968,2998770,3070673,3124222,3184643,3269786,3384804,3522337,3672782,3821498,3957990,4079574,4190155,4293692,4396554,3590629.867
Libya,LBY,4398419,5337264,5428303,5518341,5609166,5703224,5801543,5907149,6017794,6123022,6208680,6265697,6288652,6283403,6265987,6258984,5934480.6
Liechtenstein,LIE,28745,33282,33663,33995,34290,34569,34852,35141,35431,35721,36004,36276,36537,36791,37040,37286,35391.86667
Lithuania,LTU,3697838,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2932367,3226254.2
Luxembourg,LUX,381850,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556319,486258.0667
"Macao SAR, China",MAC,359735,431907,438088,444178,450754,458579,468149,479728,493022,507274,521405,534626,546682,557763,568056,577914,498541.6667
"Macedonia, FYR",MKD,1996227,2012051,2021585,2028706,2033974,2038444,2042894,2047330,2051427,2055266,2058920,2062443,2065888,2069270,2072543,2075625,2049091.067
Madagascar,MDG,11545782,15744811,16235767,16736029,17245275,17763367,18290394,18826129,19371031,19926798,20495706,21079532,21678867,22293720,22924557,23571713,19478913.07
Malawi,MWI,9408998,11193230,11491824,11788731,12090476,12407618,12747846,13112383,13498377,13904671,14329056,14769824,15226813,15700436,16190126,16695253,13676444.27
Malaysia,MYS,18211097,23420751,23920963,24401977,24869423,25332026,25796124,26263048,26730607,27197419,27661017,28119500,28572970,29021940,29465372,29901997,26711675.6
Maldives,MDV,218000,286000,292000,297000,304000,312000,321000,333000,349000,362000,360000,367000,377000,385000,393000,401000,342600
Mali,MLI,8482075,11046926,11376094,11723017,12088867,12474857,12881384,13309942,13759226,14223403,14694565,15167286,15639115,16112333,16592097,17086022,13878342.27
Malta,MLT,354170,381363,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,419455,423374,427364,407260.0667
Marshall Islands,MHL,47300,52161,52184,52161,52115,52074,52058,52080,52136,52221,52321,52428,52541,52663,52786,52898,52321.8
Mauritania,MRT,2023665,2711421,2796502,2884672,2974686,3064882,3154087,3241762,3328285,3414552,3501927,3591400,3683221,3777067,3872684,3969625,3331118.2
Mauritius,MUS,1058775,1186873,1196287,1204621,1213370,1221003,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1232923.8
Mexico,MEX,85609404,102808590,104239563,105578297,106888418,108257822,109747906,111382857,113139374,114972821,116815612,118617542,120365271,122070963,123740109,125385833,113600731.9
"Micronesia, Fed. Sts.",FSM,96331,107430,107170,106983,106816,106575,106198,105680,105080,104472,103961,103619,103476,103516,103718,104044,105249.2
Moldova,MDA,3696000,3639592,3631462,3623062,3612874,3603945,3595187,3585209,3576910,3570108,3565604,3562045,3559986,3559519,3558566,3556397,3586697.733
Monaco,MCO,29438,32081,32364,32648,32960,33339,33808,34384,35046,35731,36351,36845,37189,37404,37528,37623,35020.06667
Mongolia,MNG,2184145,2397438,2419729,2443503,2469045,2496621,2526447,2558484,2592776,2629666,2669572,2712657,2759074,2808339,2859174,2909871,2616826.4
Montenegro,MNE,606372,604950,607389,609828,612267,613353,614261,615025,615875,616969,618294,619428,620079,620601,621207,621810,615422.4
Morocco,MAR,24950128,28950553,29250983,29535591,29812685,30093109,30385479,30691434,31011322,31350544,31714958,32107739,32531964,32984190,33452686,33921203,31186296
Mozambique,MOZ,13371971,18264536,18792357,19348715,19928496,20523159,21126676,21737860,22359637,22994867,23647815,24321457,25016921,25732928,26467180,27216276,22498592
Myanmar,MMR,42007309,47669791,48195684,48689952,49151958,49582751,49984704,50355559,50698814,51030006,51369725,51733013,52125411,52543841,52983829,53437159,50636813.13
Namibia,NAM,1415447,1897953,1931005,1957749,1980531,2002745,2027026,2053915,2083174,2115703,2152357,2193643,2240161,2291645,2346592,2402858,2111803.8
Nauru,NRU,9157,10042,10053,10073,10096,10113,10115,10101,10075,10047,10028,10025,10043,10079,10125,10176,10079.4
Nepal,NPL,18741688,23740145,24140941,24516969,24868900,25198130,25506847,25794344,26063619,26325183,26592666,26875910,27179237,27500515,27834981,28174724,26020874.07
Netherlands,NLD,14951510,15925513,16046180,16148929,16225302,16281779,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16425614.6
New Caledonia,NCL,170899,213230,217324,221490,225000,228000,231000,235000,238000,242000,245000,250000,254000,259000,263000,268000,239336.2667
New Zealand,NZL,3329800,3857700,3880500,3948500,4027200,4087500,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4200046.667
Nicaragua,NIC,4144564,5026792,5100750,5171736,5240876,5309703,5379327,5450217,5522119,5594524,5666595,5737722,5807787,5877034,5945646,6013913,5522982.733
Niger,NER,7911884,11224523,11642308,12075991,12526725,12996012,13485436,13995530,14527631,15085130,15672194,16291990,16946485,17635782,18358863,19113728,14771888.53
Nigeria,NGA,95617345,122876723,126014935,129246283,132581484,136033321,139611303,143318011,147152502,151115683,155207145,159424742,163770669,168240403,172816517,177475986,148325713.8
Northern Mariana Islands,MNP,43972,68434,68817,68499,67562,66143,64372,62235,59791,57343,55276,53860,53234,53314,53869,54541,60486
Norway,NOR,4241473,4490967,4513751,4538159,4564855,4591910,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,4757831.267
