DATE,DSPIC96_PCH
2000-05-01,0.37230
2000-06-01,0.22999
2000-07-01,0.52755
2000-08-01,0.53821
2000-09-01,0.00334
2000-10-01,0.16137
2000-11-01,-0.06667
2000-12-01,0.11786
2001-01-01,0.55416
2001-02-01,0.20432
2001-03-01,0.31191
2001-04-01,-0.22524
2001-05-01,-0.21033
2001-06-01,0.00772
2001-07-01,1.50071
2001-08-01,1.74596
2001-09-01,-0.73085
2001-10-01,-1.55964
2001-11-01,0.23836
2001-12-01,0.24980
2002-01-01,2.12504
2002-02-01,0.10441
2002-03-01,-0.04470
2002-04-01,0.28324
2002-05-01,0.21873
2002-06-01,0.21720
2002-07-01,-0.30976
2002-08-01,-0.08166
2002-09-01,0.05413
2002-10-01,0.22488
2002-11-01,0.22438
2002-12-01,0.29041
2003-01-01,0.04001
2003-02-01,-0.20525
2003-03-01,0.35438
2003-04-01,0.64425
2003-05-01,0.77693
2003-06-01,0.33780
2003-07-01,1.12463
2003-08-01,0.61989
2003-09-01,-1.15500
2003-10-01,0.42715
2003-11-01,0.73411
2003-12-01,0.16950
2004-01-01,0.10943
2004-02-01,0.21053
2004-03-01,0.36260
2004-04-01,0.32808
2004-05-01,0.51158
2004-06-01,0.00299
2004-07-01,0.15867
2004-08-01,0.29293
2004-09-01,0.00199
2004-10-01,0.08941
2004-11-01,-0.23623
2004-12-01,3.65429
2005-01-01,-3.34117
2005-02-01,0.04071
2005-03-01,0.31168
2005-04-01,0.19494
2005-05-01,0.41380
2005-06-01,0.28817
2005-07-01,0.25204
2005-08-01,0.15163
2005-09-01,-0.51182
2005-10-01,0.48107
2005-11-01,0.68689
2005-12-01,0.53082
2006-01-01,1.34175
2006-02-01,0.42672
2006-03-01,0.18305
2006-04-01,-0.12875
2006-05-01,-0.08816
2006-06-01,0.22296
2006-07-01,-0.02745
2006-08-01,-0.01704
2006-09-01,0.61466
2006-10-01,0.57514
2006-11-01,0.35378
2006-12-01,0.26114
2007-01-01,0.08837
2007-02-01,0.26115
2007-03-01,0.30219
2007-04-01,-0.02126
2007-05-01,-0.04899
2007-06-01,-0.11375
2007-07-01,0.22591
2007-08-01,0.06005
2007-09-01,0.25481
2007-10-01,-0.18233
2007-11-01,-0.09687
2007-12-01,0.42479
2008-01-01,0.28782
2008-02-01,0.17605
2008-03-01,0.21052
2008-04-01,-0.37905
2008-05-01,4.81072
2008-06-01,-2.64005
2008-07-01,-1.57685
2008-08-01,-0.79969
2008-09-01,0.11227
2008-10-01,0.49729
2008-11-01,0.69423
2008-12-01,-0.36062
2009-01-01,0.41844
2009-02-01,-0.89967
2009-03-01,0.00550
2009-04-01,0.54779
2009-05-01,1.55607
2009-06-01,-1.69729
2009-07-01,-0.35134
2009-08-01,-0.24818
2009-09-01,0.13496
2009-10-01,-0.40799
2009-11-01,0.23383
2009-12-01,0.34625
2010-01-01,-0.17390
2010-02-01,-0.17604
2010-03-01,0.22503
2010-04-01,0.74413
2010-05-01,0.67132
2010-06-01,0.03885
2010-07-01,0.08310
2010-08-01,0.30865
2010-09-01,-0.12146
2010-10-01,0.24412
2010-11-01,0.29205
2010-12-01,0.70067
2011-01-01,0.51962
2011-02-01,0.27971
2011-03-01,-0.14653
2011-04-01,-0.26166
2011-05-01,-0.05052
2011-06-01,0.43185
2011-07-01,0.40085
2011-08-01,-0.06771
2011-09-01,-0.28776
2011-10-01,0.08826
2011-11-01,-0.10140
2011-12-01,0.76527
2012-01-01,0.69376
2012-02-01,0.55501
2012-03-01,0.25954
2012-04-01,0.26750
2012-05-01,0.10413
2012-06-01,0.22094
2012-07-01,-0.26935
2012-08-01,-0.17890
2012-09-01,0.47046
2012-10-01,0.59090
2012-11-01,1.32662
2012-12-01,2.60924
2013-01-01,-6.22642
2013-02-01,-0.02361
2013-03-01,0.10759
2013-04-01,0.04107
2013-05-01,0.59477
2013-06-01,0.23963
2013-07-01,-0.05717
2013-08-01,0.29986
2013-09-01,0.25316
2013-10-01,-0.26373
2013-11-01,0.26011
2013-12-01,0.11291
2014-01-01,0.36848
2014-02-01,0.56355
2014-03-01,0.59707
2014-04-01,0.27641
2014-05-01,0.41348
2014-06-01,0.47746
2014-07-01,0.19360
2014-08-01,0.45503
2014-09-01,0.14239
2014-10-01,0.44401
2014-11-01,0.38659
2014-12-01,0.30181
2015-01-01,0.06330
2015-02-01,0.16679
2015-03-01,-0.04019
2015-04-01,0.60559
2015-05-01,0.35725
2015-06-01,0.25439
2015-07-01,0.24726
2015-08-01,0.30083
2015-09-01,0.19753
2015-10-01,0.27358
2015-11-01,0.12599
2015-12-01,0.45523
2016-01-01,0.09335
2016-02-01,0.00478
2016-03-01,0.23433
2016-04-01,0.20675
2016-05-01,0.11586
2016-06-01,0.21797
2016-07-01,0.31240
2016-08-01,0.03390
2016-09-01,0.05044
