DATE,NETEXP_PCH
1967-01-01,27.77778
1967-04-01,-2.17391
1967-07-01,-35.55556
1967-10-01,-24.13793
1968-01-01,-50.00000
1968-04-01,72.72727
1968-07-01,-31.57895
1968-10-01,-15.38462
1969-01-01,-81.81818
1969-04-01,500.00000
1969-07-01,-16.66667
1969-10-01,230.00000
1970-01-01,3.03030
1970-04-01,58.82353
1970-07-01,-29.62963
1970-10-01,-15.78947
1971-01-01,37.50000
1971-04-01,-104.54545
1971-07-01,-50.00000
1971-10-01,1600.00000
1972-01-01,105.88235
1972-04-01,22.85714
1972-07-01,-39.53488
1972-10-01,19.23077
1973-01-01,-54.83871
1973-04-01,-278.57143
1973-07-01,156.00000
1973-10-01,40.62500
1974-01-01,-28.88889
1974-04-01,-142.18750
1974-07-01,159.25926
1974-10-01,-100.00000
1975-01-01,.
1975-04-01,30.90909
1975-07-01,-44.44444
1975-10-01,15.00000
1976-01-01,-65.94203
1976-04-01,-110.63830
1976-07-01,720.00000
1976-10-01,60.97561
1977-01-01,219.69697
1977-04-01,0.00000
1977-07-01,-2.36967
1977-10-01,43.68932
1978-01-01,30.74324
1978-04-01,-41.60207
1978-07-01,5.30973
1978-10-01,-31.09244
1979-01-01,10.97561
1979-04-01,21.97802
1979-07-01,3.60360
1979-10-01,16.52174
1980-01-01,33.58209
1980-04-01,-57.54190
1980-07-01,-136.18421
1980-10-01,-221.81818
1981-01-01,113.43284
1981-04-01,-5.59441
1981-07-01,-43.70370
1981-10-01,94.73684
1982-01-01,10.13514
1982-04-01,-73.00613
1982-07-01,572.72727
1982-10-01,0.00000
1983-01-01,-17.22973
1983-04-01,85.30612
1983-07-01,43.61233
1983-10-01,9.50920
1984-01-01,33.05322
1984-04-01,9.78947
1984-07-01,-0.47939
1984-10-01,3.85356
1985-01-01,-15.30612
1985-04-01,25.30120
1985-07-01,2.18531
1985-10-01,14.11463
1986-01-01,-5.54723
1986-04-01,2.30159
1986-07-01,7.83553
1986-10-01,-3.88489
1987-01-01,5.68862
1987-04-01,4.10765
1987-07-01,-1.02041
1987-10-01,-0.06873
1988-01-01,-14.71802
1988-04-01,-14.03226
1988-07-01,-6.84803
1988-10-01,8.45921
1989-01-01,-6.22098
1989-04-01,-12.67327
1989-07-01,-14.85261
1989-10-01,10.25300
1990-01-01,6.88406
1990-04-01,-22.25989
1990-07-01,9.01163
1990-10-01,5.46667
1991-01-01,-40.45512
1991-04-01,-50.74310
1991-07-01,-9.05172
1991-10-01,9.47867
1992-01-01,-11.25541
1992-04-01,60.00000
1992-07-01,17.37805
1992-10-01,22.33766
1993-01-01,18.25902
1993-04-01,13.46499
1993-07-01,8.22785
1993-10-01,7.30994
1994-01-01,9.80926
1994-04-01,12.40695
1994-07-01,6.95364
1994-10-01,5.15996
1995-01-01,3.33660
1995-04-01,3.98860
1995-07-01,-32.05479
1995-10-01,-6.18280
1996-01-01,27.22063
1996-04-01,5.51802
1996-07-01,21.87834
1996-10-01,-22.24168
1997-01-01,22.52252
1997-04-01,-21.69118
1997-07-01,13.61502
1997-10-01,20.86777
1998-01-01,15.55556
1998-04-01,20.04438
1998-07-01,7.57856
1998-10-01,2.34822
1999-01-01,16.67599
1999-04-01,17.69784
1999-07-01,12.51019
1999-10-01,7.38863
2000-01-01,18.98820
2000-04-01,1.92744
2000-07-01,8.03671
2000-10-01,3.57786
2001-01-01,-2.65905
2001-04-01,-8.27164
2001-07-01,2.05956
2001-10-01,-2.64521
2002-01-01,5.12605
2002-04-01,10.84466
2002-07-01,3.75000
2002-10-01,11.90918
2003-01-01,3.85093
2003-04-01,-0.03987
2003-07-01,-0.29916
2003-10-01,2.36047
2004-01-01,6.82040
2004-04-01,11.23308
2004-07-01,4.93421
2004-10-01,7.21003
2005-01-01,-1.05263
2005-04-01,1.81738
2005-07-01,6.13844
2005-10-01,7.67022
2006-01-01,-1.30794
2006-04-01,0.56613
2006-07-01,3.07062
2006-10-01,-10.70010
2007-01-01,1.26494
2007-04-01,0.61771
2007-07-01,-2.85130
2007-10-01,-1.61494
2008-01-01,8.02170
2008-04-01,0.34355
2008-07-01,1.86990
2008-10-01,-22.13030
2009-01-01,-34.61155
2009-04-01,-13.25209
2009-07-01,18.70061
2009-10-01,8.62919
2010-01-01,10.91693
2010-04-01,7.05955
2010-07-01,2.25535
2010-10-01,-5.85047
2011-01-01,11.67362
2011-04-01,4.33778
2011-07-01,-2.47061
2011-10-01,4.48987
2012-01-01,2.77546
2012-04-01,-5.49862
2012-07-01,-7.86710
2012-10-01,-0.63528
2013-01-01,-2.31290
2013-04-01,-0.92397
2013-07-01,-4.23548
2013-10-01,-10.54981
2014-01-01,15.30959
2014-04-01,1.41621
2014-07-01,-5.81846
2014-10-01,8.21664
2015-01-01,1.75071
2015-04-01,-4.82514
2015-07-01,2.84928
2015-10-01,-0.47765
2016-01-01,-2.59167
2016-04-01,-2.95625
2016-07-01,-6.86434
