"","Category","name","member","Location","FoundedDate","Group.reviews","Past.Meetups","Upcoming.Meetups","UpcommingEventName","UpcommingEventGoing","UpcommingEventDate","UpcommingEventTime","url","U_e_wd","U_temp_time"
"11","Outdoors & Adventure","The New York Afternoon Hiking Meetup",2818,"New York, NY",2009-10-21,58,71,1,"5 Mile Three Bridges Hike",50,2016-11-13,"01:15 PM","https://www.meetup.com/AfternoonHiking/","Sun","13:15:00"
"12","Outdoors & Adventure","The Miramar Ski Club",899,"New York, NY",2007-11-09,30,390,4,"Join Miramar Ski Club at the 67th Warren Miller Ski Movie- Sat Nov 12th, 2016",5,2016-11-12,"06:00 PM","https://www.meetup.com/MiramarSkiClub/","Sat","18:00:00"
"13","Outdoors & Adventure","Swiss Ski Club of New York",469,"New York, NY",2012-03-05,8,125,3," An Evening of Ski Talk",11,2016-12-03,"06:00 PM","https://www.meetup.com/SwissSkiClub/","Sat","18:00:00"
"14","Outdoors & Adventure","Rock & Ice",2942,"New York, NY",2009-05-20,50,1170,41,"Weekend Rock Climbing Partnering and Carpooling Gunks/Daks/West Point/NE",1,2016-11-13,"08:30 AM","https://www.meetup.com/Rock-n-Ice/","Sun","08:30:00"
"15","Outdoors & Adventure","The Jewish Outdoors Club",1751,"New York, NY",2013-10-03,12,69,2,"JOC Hiking & Chocolates - this Sunday Nov 13!!",17,2016-11-13,"11:15 AM","https://www.meetup.com/Jewish-Outdoors-Club/","Sun","11:15:00"
"16","Outdoors & Adventure","New York Hikes, Happy Hours & Outdoor Adventures: 20's-40's",5510,"New York, NY",2014-03-18,5,1242,25,"After Work Party at Big Deal Casino Academy: Learn, Play, Socialize, Eat & Drink",1,2016-11-11,"07:00 PM","https://www.meetup.com/New-York-Hikes-Happy-Hours-and-Outdoor-Adventures/","Fri","19:00:00"
"17","Outdoors & Adventure","New York Adventure Club",2448,"New York, NY",2014-04-21,27,499,44,"UrbEx Hike Through The Abandoned Bergen Arches Of The Erie Railroad",2,2016-11-13,"01:00 PM","https://www.meetup.com/NewYorkAdventureClub/","Sun","13:00:00"
"18","Outdoors & Adventure","Manhattan Flight Club",395,"New York, NY",2014-03-06,10,43,1,"IMC Club: Manhattan Chapter Meeting, November 2016",27,2016-11-22,"07:00 PM","https://www.meetup.com/Manhattan-Flight-Club/","Tue","19:00:00"
"19","Outdoors & Adventure","Appalachian Mountain Club - Young Members",1242,"New York, NY",2008-10-21,10,266,2,"Mappy Hour",5,2016-11-17,"07:00 PM","https://www.meetup.com/AMCYoungMembers/","Thu","19:00:00"
"20","Outdoors & Adventure","Fun Events in NYC (7,000+ members)",7403,"New York, NY",2006-07-06,5,1350,12,"Meetup Anniversary Party @ Empire Rooftop (Heated & Enclosed)",22,2016-11-12,"08:00 PM","https://www.meetup.com/hotlist/","Sat","20:00:00"
"21","Outdoors & Adventure","International Singles - 20's, 30's, 40's, 50's",603,"New York, NY",2016-07-25,NA,37,7,"?é≤Casino Night!?é≤",3,2016-11-11,"07:00 PM","https://www.meetup.com/winesingletravel/","Fri","19:00:00"
"22","Outdoors & Adventure","Travel Chicks NYC",1432,"New York, NY",2009-11-22,1,47,6,"Dubai and Abu Dhabi *Full*",14,2016-01-11,"07:00 PM","https://www.meetup.com/TravelChicksNYC/","Wed","19:00:00"
"23","Outdoors & Adventure","Beyond Adventure",1284,"New York, NY",2012-02-18,24,211,7,"2016 Warren Miller: Here, There and Everywhere (ski movie)",5,2016-11-12,"09:00 PM","https://www.meetup.com/Beyond-Adventure/","Sat","21:00:00"
"24","Outdoors & Adventure","Hoboken Cove Community Boathouse",506,"Hoboken, NJ",2012-12-17,9,235,1,"End of Season Wrap-Up Party and Awards",25,2016-11-11,"07:00 PM","https://www.meetup.com/Hoboken-Cove-Community-Boathouse/","Fri","19:00:00"
"25","Outdoors & Adventure","The Ski & Snowboard Club of New York",2204,"New York, NY",2009-01-02,43,98,4,"Here There Everywhere - Warren Miller ski movie",9,2016-11-12,"08:30 PM","https://www.meetup.com/skiclubofnewyork/","Sat","20:30:00"
"26","Outdoors & Adventure","Free Spirit Outdoors",813,"New York, NY",2012-03-11,39,251,1,"Hike and visit an Animal Sanctuary + BBQ Vegan lunch",11,2016-11-13,"10:00 AM","https://www.meetup.com/FreeSpiritOutdoors/","Sun","10:00:00"
"27","Outdoors & Adventure","Brooklyn Snowboard Meetup",437,"Brooklyn, NY",2013-02-08,5,78,2,"Pre-Killington Ski/Snowboard Trip Happy Hour & Meet and Greet",18,2016-11-15,"06:00 PM","https://www.meetup.com/Brooklyn-Snowboard-Meetup/","Tue","18:00:00"
"28","Outdoors & Adventure","African American Travelers of NY",982,"New York, NY",2013-07-14,1,37,3,"5th Annual European Getaway: Greece + Moscow",24,2016-07-05,"07:00 PM","https://www.meetup.com/AATofNY/","Wed","19:00:00"
"29","Outdoors & Adventure","SKI & SNOW CARPOOLS - NY & NJ",259,"New York, NY",2015-09-17,4,44,1,"NY > VT | 1 day trip | 3 seats open | $ split gas",5,2016-12-10,"04:30 AM","https://www.meetup.com/SHREDSHARE/","Sat","04:30:00"
"30","Outdoors & Adventure","NYCers Who Love to Travel for 20s & 30s",2303,"New York, NY",2015-08-25,2,39,2,"November Happy Hour",9,2016-11-16,"06:00 PM","https://www.meetup.com/NYCers-Who-Love-to-Travel/","Wed","18:00:00"
"31","Outdoors & Adventure","New York Urban Hike Challenge",80,"New York, NY",2016-10-28,NA,0,1,"Urban Hike- Midtown, East, West, then Back!",16,2016-11-13,"12:30 PM","https://www.meetup.com/New-York-Urban-Hike-Challenge/","Sun","12:30:00"
"32","Outdoors & Adventure","Peak Co. Mountaineering",99,"New York, NY",2016-10-19,NA,0,1,"Winter 3500: Balsam & Panther",13,2016-01-07,"08:30 AM","https://www.meetup.com/Peak-Co-Mountaineering/","Sat","08:30:00"
"33","Outdoors & Adventure","NY Outdoor Adventurers",1719,"New York, NY",2012-12-18,5,247,10,"Pre-Christmas Weekend Ski Trip @ Killington (2 Nights 2 Lifts + Bus) $249",16,2016-12-16,"04:00 PM","https://www.meetup.com/NY-Outdoor-Adventurers/","Fri","16:00:00"
"34","Outdoors & Adventure","The Hammock Backpacking Group",357,"New York, NY",2015-01-09,10,51,3,"Harriman Backpack: Stockbridge Shelter Caves (beginner, 3m)",4,2016-11-19,"10:00 AM","https://www.meetup.com/The-Hammock-Backpacking-Group/","Sat","10:00:00"
"35","Outdoors & Adventure","Tent & Trails Outdoor Education Workshops",1084,"New York, NY",2014-01-31,11,98,2,"Hudson River Sloop Clearwater House Party - MUST BE 21 TO ATTEND",2,2016-11-21,"06:30 PM","https://www.meetup.com/Tent-Trails-Outdoor-Education-workshops/","Mon","18:30:00"
"36","Outdoors & Adventure","NYC Karting Meetup",970,"New York, NY",2008-08-10,46,95,1,"Final Endurance Race of 2016 (Raceway Park road course)",5,2016-11-20,"11:00 AM","https://www.meetup.com/nyckarting/","Sun","11:00:00"
"37","Outdoors & Adventure","Hiking and Trail Running trips from NYC  (www.RawTrail.com)",2242,"New York, NY",2014-12-30,5,71,1,"Trail run on the Febapple trail course  + lunch",3,2016-11-12,"09:00 AM","https://www.meetup.com/RAWTRAIL/","Sat","09:00:00"
"38","Outdoors & Adventure","West NY | Hoboken | Social Group 20s & 30s",126,"West New York, NJ",2016-02-06,NA,45,1,"Hiking!",8,2016-11-19,"10:00 AM","https://www.meetup.com/West-NY-Hoboken-Social-Group-20s-30s/","Sat","10:00:00"
"39","Outdoors & Adventure","Hoboken Ski Club",805,"Hoboken, NJ",2009-10-25,4,565,15,"Hoboken Ski Club Weekly Meetup",3,2016-11-15,"08:30 PM","https://www.meetup.com/Hoboken-Ski-Club/","Tue","20:30:00"
"40","Outdoors & Adventure","New York Trail & Ultra Running",2330,"New York, NY",2010-12-21,59,674,1,"BUS Dumb Ass Trail Mix-up",3,2016-12-11,"09:15 AM","https://www.meetup.com/New-York-Trail-Ultrarunning/","Sun","09:15:00"
"41","Outdoors & Adventure","Vedge: Northeast Vegetarian Rock Climbers and Adventurers",401,"Long Island City, NY",2011-04-11,8,210,6,"Welcome Back, Vedge! Climbing and Indian at the Cliffs in LIC",5,2016-11-13,"02:00 PM","https://www.meetup.com/ClimbVedge/","Sun","14:00:00"
"42","Outdoors & Adventure","NYC Backwoods Adventurers",1457,"New York, NY",2011-07-26,16,145,2,"Adventure Film Festival NYC",3,2016-11-16,"07:00 PM","https://www.meetup.com/NYC-Backwoods-Adventurers/","Wed","19:00:00"
"43","Outdoors & Adventure","California Travel and Adventure Club - New York",185,"New York, NY",2016-10-22,NA,0,4,"Tour of Italy - Rome - Florene - Venice",5,2016-06-15,"09:15 AM","https://www.meetup.com/California-Travel-and-Adventure-Club-New-York/","Thu","09:15:00"
"44","Outdoors & Adventure","New York Outdoor and International Adventure Club",2216,"New York, NY",2015-02-14,NA,22,3,"Everest Base Camp Trek",7,2016-04-07,"10:00 AM","https://www.meetup.com/New-York-Outdoor-and-International-Adventure-Club/","Fri","10:00:00"
"45","Outdoors & Adventure","Caribbean Bareboat Sailing NYC",211,"New York, NY",2015-08-04,1,13,2,"BVI Trip Warm-Up party",6,2016-11-16,"06:30 PM","https://www.meetup.com/Caribbean-Sailing-Meetup/","Wed","18:30:00"
"46","Outdoors & Adventure","A Long Bicycle Ride with a View",216,"New York, NY",2016-01-30,4,24,1,"Ride Till It's Dark (Or We Need Beer!!)",4,2016-11-19,"11:00 AM","https://www.meetup.com/A-Long-Bicycle-Ride-with-a-View/","Sat","11:00:00"
"47","Outdoors & Adventure","Haiti Nou La",30,"Brooklyn, NY",2016-10-29,NA,2,2,"Group Trips to Haiti",2,2016-11-19,"03:00 PM","https://www.meetup.com/Haiti-Nou-La/","Sat","15:00:00"
"48","Outdoors & Adventure","Hudson Valley Kayaks",785,"New York, NY",2016-05-11,8,44,1,"The Nutcracker New York City Ballet",3,2016-12-18,"04:30 PM","https://www.meetup.com/HudsonValleyKayaks/","Sun","16:30:00"
"49","Outdoors & Adventure","NYC Surfing Club",434,"New York, NY",2014-07-18,1,23,3,"Pre-Christmas Weekend Ski Trip @ Killington (2 Nights 2 Lifts + Bus) $249",16,2016-12-16,"04:00 PM","https://www.meetup.com/nycsurf/","Fri","16:00:00"
"50","Outdoors & Adventure","New York Caving Meetup Group",1206,"New York, NY",2008-07-13,22,160,8,"cuba.. That's right.. I said CUBA!!  ¬°Ol√©!",3,2016-11-15,"07:00 AM","https://www.meetup.com/New-York-Cavers/","Tue","07:00:00"
"51","Outdoors & Adventure","Coach AGIWAL : (1) Travel for Free (2) A day trip under $50.",2279,"New York, NY",2009-04-06,10,151,5,"Free Pop Up Event ! Women in Business Networking Lunch in Bayside",1,2016-11-12,"01:30 PM","https://www.meetup.com/TRAVEL-FOR-FREE/","Sat","13:30:00"
"52","Outdoors & Adventure","Aquatic Voyagers Scuba Club",179,"New York, NY",2011-07-07,9,77,8,"Aquatic Voyagers Scuba Club Meeting",1,2016-11-19,"03:00 PM","https://www.meetup.com/Aquatic-Voyagers-Scuba-Club/","Sat","15:00:00"
"53","Outdoors & Adventure","Sailors NYC",429,"New York, NY",2012-08-16,8,87,1,"Sailors NYC's Annual Holidays Party!",4,2016-12-16,"07:00 PM","https://www.meetup.com/SailorsNYC/","Fri","19:00:00"
"54","Outdoors & Adventure","International Connection Travel Meetup NYC & world",919,"New York, NY",2015-01-30,NA,28,2,"Trip To India! ",2,2016-01-02,"09:00 AM","https://www.meetup.com/International-Connection-Travel-Meetup-NYC-world/","Mon","09:00:00"
"55","Outdoors & Adventure","FLY Bellas Travel Group- New York",180,"New York, NY",2016-06-10,NA,8,4,"Jazz in the Gardens 2017- Miami, FL",2,2016-03-17,"07:00 AM","https://www.meetup.com/The-FLY-Bellas-Travel-Group-New-York/","Fri","07:00:00"
"56","Outdoors & Adventure","Catskill Getaway Group",319,"New York, NY",2016-07-03,NA,4,1,"Friends-Giving in the Catskills",1,2016-11-19,"12:00 PM","https://www.meetup.com/Catskill-Getaway-Group/","Sat","12:00:00"
"57","Outdoors & Adventure","New Yorkers Outdoors",730,"New York, NY",2010-07-13,13,126,3,"Loon Mountain Ski/Snow board - 2016 Christmas holiday",6,2016-12-25,"08:30 AM","https://www.meetup.com/Outdoor-Adventure-Seekers/","Sun","08:30:00"
"58","Outdoors & Adventure","NYC Outdoor Fitness/Natural Movement",1125,"New York, NY",2011-04-03,1,123,10,"Primal Playground",1,2016-11-12,"09:30 AM","https://www.meetup.com/OutdoorFitness/","Sat","09:30:00"
"59","Outdoors & Adventure","NYC Outdoor Adventure Workouts",1336,"New York, NY",2015-06-13,14,27,1,"Adventure in the Amazon Rainforest",5,2016-06-16,"07:00 PM","https://www.meetup.com/NYC-Outdoor-Adventure-Workouts/","Fri","19:00:00"
"60","Outdoors & Adventure","Brooklyn Cruise and Travel Meetup",105,"Brooklyn, NY",2016-03-08,NA,2,2,"Cruise to Southern Caribbean",3,2016-03-27,"07:00 PM","https://www.meetup.com/Brooklyn-Cruise-and-Travel-Meetup/","Mon","19:00:00"
"61","Outdoors & Adventure","New York International Travel Group",245,"New York, NY",2016-04-14,NA,2,6,"Thailand Christmas & New Year's Trip",1,2016-12-18,"07:00 PM","https://www.meetup.com/NewYork-International-Travel-Group/","Sun","19:00:00"
"62","Tech","SQL NYC, The NoSQL & NewSQL Database Meetup",14884,"New York, NY",2003-03-17,108,194,3,"Really Big Data in Real-Time: IoT Machine Data Processing in CrateDB & Grafana",165,2016-12-01,"06:30 PM","https://www.meetup.com/mysqlnyc/","Thu","18:30:00"
"63","Tech","Data Visualization New York",5018,"New York, NY",2011-06-06,22,34,1,"Hadley Wickham: Nine visualisation challenges",398,2016-11-17,"06:30 PM","https://www.meetup.com/DataVisualization/","Thu","18:30:00"
"64","Tech","NY Tech Meetup",51252,"New York, NY",2004-09-25,501,227,10,"December 2016 NY Tech Meetup and Afterparty",33,2016-12-13,"07:00 PM","https://www.meetup.com/ny-tech/","Tue","19:00:00"
"65","Tech","The Product Group",12385,"New York, NY",2009-08-31,115,126,3,"The Product Group December 2016 (SPECIAL DATE)",123,2016-12-07,"07:00 PM","https://www.meetup.com/TheProductGroup/","Wed","19:00:00"
"66","Tech","Angular NYC",5414,"New York, NY",2012-04-21,40,43,1,"AngularNYC Meetup Nov 2016: Large scale apps, ng2 synthesis with RxJS",265,2016-11-15,"06:00 PM","https://www.meetup.com/AngularNYC/","Tue","18:00:00"
"67","Tech","AWS New York | Official Meetup",3100,"New York, NY",2013-12-06,12,24,1,"Serverless on AWS",180,2016-11-16,"06:30 PM","https://www.meetup.com/AWS-NYC/","Wed","18:30:00"
"68","Tech","Design Driven NYC (a FirstMark Event)",7007,"New York, NY",2014-08-07,6,21,1,"Design Driven NYC #22 (A FirstMark Event)",95,2016-12-13,"05:45 PM","https://www.meetup.com/Design-Driven-NYC/","Tue","17:45:00"
"69","Tech","Flatiron School Presents",2222,"New York, NY",2014-05-06,4,86,6,"Flatiron Students Present",9,2016-11-15,"06:30 PM","https://www.meetup.com/Flatiron-School-Presents/","Tue","18:30:00"
"70","Tech","Artificial Intelligence NYC",693,"New York, NY",2016-10-12,NA,2,1,"Artificial Intelligence - Overview and Recent Developments",46,2016-11-17,"06:30 PM","https://www.meetup.com/Artificial-Intelligence-NYC/","Thu","18:30:00"
"71","Tech","Women Who Code NYC",7617,"New York, NY",2014-03-12,54,162,4,"Algorithms @ Betterment",160,2016-11-16,"06:30 PM","https://www.meetup.com/WomenWhoCodeNYC/","Wed","18:30:00"
"72","Tech","iOSoho - New York City's largest iOS Engineer Meetup",1431,"New York, NY",2013-10-15,20,39,7,"@BuzzFeed: Hacking Objective-C & The Hidden Challenges of Analytics",240,2016-11-14,"07:00 PM","https://www.meetup.com/iOSoho/","Mon","19:00:00"
"73","Tech","Tech in Motion: New York City",8731,"New York, NY",2012-01-27,32,56,1,"Tech in Motion?ôs End of Year Celebration",245,2016-12-08,"06:00 PM","https://www.meetup.com/techinmotionnyc/","Thu","18:00:00"
"74","Tech","Metis: New York Data Science",4352,"New York, NY",2014-07-03,2,44,1,"Analyzing IBM Watson IoT Events Using Spark & Jupyter Notebooks",75,2016-11-30,"06:30 PM","https://www.meetup.com/Metis-New-York-Data-Science/","Wed","18:30:00"
"75","Tech","Byte Academy: Python, FinTech, Blockchain,Data Sci,  MedTech",2303,"New York, NY",2014-07-08,3,204,20,"Introduction to Geospatial Analysis",12,2016-11-14,"06:30 PM","https://www.meetup.com/Byte-Academy-Finance-and-Technology-community/","Mon","18:30:00"
"76","Tech","New York Data Science",2279,"New York, NY",2015-06-29,2,13,1,"Numba - Accelerating your Python is Surprisingly Simple!",76,2016-11-14,"06:30 PM","https://www.meetup.com/NYDataScientists/","Mon","18:30:00"
"77","Tech","Hardwired NYC (a FirstMark Event)",4956,"New York, NY",2013-05-10,31,32,1,"Hardwired NYC #33 (A FirstMark Event)",170,2016-11-16,"05:45 PM","https://www.meetup.com/Hardwired-NYC/","Wed","17:45:00"
"78","Tech","HackerNest NYC Tech Socials",6220,"New York, NY",2014-07-31,10,20,1,"HackerNest NYC November Tech Social",197,2016-11-14,"08:00 PM","https://www.meetup.com/HackerNestNYC/","Mon","20:00:00"
"79","Tech","NYC TechBreakfast",4067,"New York, NY",2013-07-30,29,55,2,"Bootstrapping Patent Protection for your Idea Presented by KISS Patent",29,2016-11-29,"08:30 AM","https://www.meetup.com/NYC-TechBreakfast/","Tue","08:30:00"
"80","Tech","Learn Python NYC",3666,"New York, NY",2015-01-20,22,283,37,"Beyond Python's Comfort Zone: Asynchronous Python in 2016-2017",53,2016-11-12,"02:00 PM","https://www.meetup.com/learn-python-nyc/","Sat","14:00:00"
"81","Tech","ProductTank NYC",1729,"New York, NY",2012-03-02,1,18,7,"Product Tank NYC November",219,2016-11-15,"06:30 PM","https://www.meetup.com/producttanknyc/","Tue","18:30:00"
"82","Tech","Brooklyn Swift Developers",1664,"Brooklyn, NY",2014-06-05,13,21,1,"#1 Web Scraping and Parsing HTML in Swift  #2 i18n & l10n: best practices",134,2016-11-15,"07:00 PM","https://www.meetup.com/Brooklyn-Swift-Developers/","Tue","19:00:00"
"83","Tech","(NYVR) Virtual Reality NYC",4086,"New York, NY",2013-12-16,24,42,6,"November (NYVR Meetup)",158,2016-11-17,"06:00 PM","https://www.meetup.com/NYVR-Virtual-Reality-NYC/","Thu","18:00:00"
"84","Tech","DigitalOcean NYC",3428,"New York, NY",2014-03-27,3,47,1,"She Geeks Out in NYC! Sponsored by DigitalOcean",1,2016-11-30,"06:00 PM","https://www.meetup.com/DigitalOceanNYC/","Wed","18:00:00"
"85","Tech","NYC Ethereum",1704,"New York, NY",2014-10-11,5,36,1,"NYC Ethereum Enthusiasts Save-the-Date",29,2016-12-14,"06:30 PM","https://www.meetup.com/NYC_Ethereum/","Wed","18:30:00"
"86","Tech","New York Android Developers",3698,"New York, NY",2011-08-17,29,71,1,"November meetup at Oscar Health",211,2016-11-15,"06:30 PM","https://www.meetup.com/nyandroiddevelopers/","Tue","18:30:00"
"87","Tech","Google Developer Group (GDG) NYC",2253,"New York, NY",2016-03-31,10,18,18,"[DevFest NYC Pre-Event] Google Apps Workshop & Firebase",133,2016-11-18,"05:00 PM","https://www.meetup.com/gdgnyc/","Fri","17:00:00"
"88","Tech","Dev Bootcamp NYC Events and Workshops",3486,"New York, NY",2014-02-12,7,156,4,"How to Interview a Tech Company While Job Searching",56,2016-11-15,"06:30 PM","https://www.meetup.com/DBC-NYC/","Tue","18:30:00"
"89","Tech","Docker New York City",3001,"New York, NY",2013-08-06,4,28,1,"Docker Global Mentor Week:: Learn / Level-up your Docker skills",162,2016-11-17,"06:00 PM","https://www.meetup.com/Docker-NewYorkCity/","Thu","18:00:00"
"90","Tech","IoT Central | NYC   (NYC IoT: Internet of Things Meetup)",4838,"New York, NY",2014-04-17,32,31,2,"Crowdfunding & Developing Your IoT Product",206,2016-11-16,"06:00 PM","https://www.meetup.com/NYCIOT/","Wed","18:00:00"
"91","Tech","Product Thinking NYC",1499,"New York, NY",2014-12-10,8,17,3,"Full Scholarship to Product School New York [Apply Online]",9,2016-11-11,"08:00 PM","https://www.meetup.com/productthinking/","Fri","20:00:00"
"92","Tech","NYC.rb",4722,"New York, NY",2011-01-18,56,105,11,"Talks",32,2016-12-13,"07:00 PM","https://www.meetup.com/NYC-rb/","Tue","19:00:00"
"93","Tech","Internet of Things (IoT) NY",4358,"New York, NY",2013-05-09,13,38,4,"IOT NY #38: IoT NY #31: Office hours with Brinc (Hong Kong IoT Accelerator)",39,2016-11-17,"10:00 AM","https://www.meetup.com/IoT-NY/","Thu","10:00:00"
"94","Tech","NYC PyLadies",2148,"New York, NY",2012-08-17,20,101,3,"Transitioning to Coding",37,2016-11-14,"06:30 PM","https://www.meetup.com/NYC-PyLadies/","Mon","18:30:00"
"95","Tech","Geo NYC",2289,"New York, NY",2012-01-30,29,56,1,"Mapping Red, White and Blue: Election Mapping Uncensored.",162,2016-11-14,"06:30 PM","https://www.meetup.com/geonyc/","Mon","18:30:00"
"96","Tech","New York Data Science Study Group",2574,"New York, NY",2014-12-17,5,21,1,"Data Science Session with DataKind @Kaplan Test Prep",160,2016-11-14,"06:30 PM","https://www.meetup.com/NYC-Data-Science-Study-Group/","Mon","18:30:00"
"97","Tech","NYC Javascript React Group",2545,"New York, NY",2015-02-26,3,16,12,"Monthly React Javascript Meetup",80,2016-11-24,"07:00 PM","https://www.meetup.com/NYC-Javascript-React-Group/","Thu","19:00:00"
"98","Tech","NYC Open Data",4261,"New York, NY",2013-05-23,46,200,6,"Project Showcase: Building ""Shiny"" Web Applications with R",57,2016-11-15,"06:30 PM","https://www.meetup.com/NYC-Open-Data/","Tue","18:30:00"
"99","Tech","NYLUG - New York Linux Users Group",5444,"New York, NY",2011-10-16,64,156,4,"Introduction to NixOS",103,2016-11-16,"06:30 PM","https://www.meetup.com/nylug-meetings/","Wed","18:30:00"
"100","Tech","Hyperledger NYC",1152,"New York, NY",2016-03-17,2,4,2,"Blockchain Use Cases, Regulations, Strategy: Finance, IoT",324,2016-12-06,"05:45 PM","https://www.meetup.com/Hyperledger-NYC/","Tue","17:45:00"
"101","Tech","Microsoft Mobile App Devs of New York City (#MMADNYC)",1280,"New York, NY",2011-08-31,22,42,1,"Electrical Engineering for Programmers",52,2016-11-29,"06:00 PM","https://www.meetup.com/MMADNYC/","Tue","18:00:00"
"102","Tech","Product Management New York",1792,"New York, NY",2015-09-04,NA,63,3," ?úDESIGN DISRUPTORS?? Product School Exclusive Documentary Screening",17,2016-11-16,"06:30 PM","https://www.meetup.com/productmanagementNY/","Wed","18:30:00"
"103","Tech","New York Artificial Intelligence",1559,"New York, NY",2016-01-12,5,6,1,"NYAI#7: Using Data Science to Operationalize Machine Learning (Matthew Russell)",31,2016-11-22,"06:30 PM","https://www.meetup.com/New-York-Artificial-Intelligence-Meetup-NYAIM/","Tue","18:30:00"
"104","Tech","New York Haskell Users Group",1624,"New York, NY",2012-09-24,16,81,5,"F-Algebras _and_ Backpack to Work",72,2016-11-23,"07:00 PM","https://www.meetup.com/NY-Haskell/","Wed","19:00:00"
"105","Tech","NY JavaScript",4705,"New York, NY",2008-07-25,27,100,14,"JavaScript Fundamentals: Higher Order Functions, Scopes, Closures, Callbacks",31,2016-11-12,"10:00 AM","https://www.meetup.com/NY-JavaScript/","Sat","10:00:00"
"106","Tech","New York Data Science #ODSC",1859,"New York, NY",2015-06-29,2,29,1,"Recommender Systems, Basics and Different Use Cases",136,2016-11-16,"06:00 PM","https://www.meetup.com/New-York-ODSC/","Wed","18:00:00"
"107","Tech","LispNYC",1284,"New York, NY",2010-12-09,26,73,6,"A Purely Functional Holiday Party",24,2016-12-13,"07:00 PM","https://www.meetup.com/LispNYC/","Tue","19:00:00"
"108","Tech","BitDevs NYC",1830,"New York, NY",2013-07-27,12,102,2,"Whitepaper Wednesday 7: Blockchain-Free Cryptocurrencies",60,2016-11-16,"07:00 PM","https://www.meetup.com/BitDevsNYC/","Wed","19:00:00"
"109","Tech","Agile Experience Design",4604,"New York, NY",2009-07-02,44,58,1,"Sprint: How to Prototype and Test Products in Five Days",110,2016-11-21,"06:30 PM","https://www.meetup.com/Agile-Experience-Design/","Mon","18:30:00"
"110","Tech","Hacker Hours",4439,"New York, NY",2012-10-09,23,449,26,"Sundays @ Gregory's Coffee",6,2016-11-13,"11:00 AM","https://www.meetup.com/hackerhours/","Sun","11:00:00"
"111","Tech","Kubernetes and Cloud Native New York",757,"New York, NY",2016-03-02,NA,8,1,"KubeCon Wrap Up and More with Apprenda and Rancher Labs",92,2016-11-16,"06:00 PM","https://www.meetup.com/Kubernetes-Cloud-Native-New-York/","Wed","18:00:00"
"112","Tech","WordPress NYC Meetup Group",5434,"New York, NY",2006-06-29,143,142,1,"Open Mic Night",29,2016-11-15,"07:00 PM","https://www.meetup.com/WordPressNYC/","Tue","19:00:00"
