,Category,FoundedDate,Group reviews,Location,Past Meetups,Region,Upcoming Meetups,UpcommingEventDate,UpcommingEventGoing,UpcommingEventName,UpcommingEventTime,Worldwide,group,member,name
13,Outdoors & Adventure,May 1 2006 ,83,New York,692,NY,8,,,,,,Jewish Outdoor Enthusiasts,"1,270",Mosaic Outdoor Mountain Club             of Greater New York
14,Outdoors & Adventure,Jul 25 2006 ,20,Brooklyn,143,NY,4,Sat Nov 12,2 going,Bronx Cranksgiving!,01:00 PM,,cyclists/foodies,"2,228",NYC Cycling & Food
15,Outdoors & Adventure,Oct 21 2009 ,58,New York,71,NY,1,Sun Nov 13,50 going,5 Mile Three Bridges Hike,01:15 PM,,Hikers,"2,818",The New York Afternoon Hiking Meetup
16,Outdoors & Adventure,Nov 9 2007 ,30,New York,390,NY,4,Sat Nov 12,5 going,"Join Miramar Ski Club at the 67th Warren Miller Ski Movie- Sat Nov 12th, 2016",06:00 PM,,Ski Fans!,899,The Miramar Ski Club
17,Outdoors & Adventure,Oct 7 2016 ,1,New York,3,NY,1,,,,,,Leisurely Hikers,197,New York Leisurely Hikers
18,Outdoors & Adventure,Mar 5 2012 ,8,New York,125,NY,3,Sat Dec 3,11 going, An Evening of Ski Talk,06:00 PM,,Friends,469,Swiss Ski Club of New York
19,Outdoors & Adventure,May 2 2016 ,5,Hoboken,163,NJ,13,,,,,,Paddlers,168,Ke Aloha Outrigger of Hoboken
20,Outdoors & Adventure,Sep 21 2012 ,46,New York,208,NY,5,,,,,,Sundancers,681,Sundance Outdoor Adventure Society
21,Outdoors & Adventure,May 20 2009 ,50,New York,"1,170",NY,41,Sun Nov 13,1 going,Weekend Rock Climbing Partnering and Carpooling Gunks/Daks/West Point/NE,08:30 AM,,Climbers!,"2,942",Rock & Ice
22,Outdoors & Adventure,Jan 10 2012 ,10,New York,"2,337",NY,16,,,,,,Paddlers,96,New York Outrigger
23,Outdoors & Adventure,Oct 3 2013 ,12,New York,69,NY,2,Sun Nov 13,17 going,JOC Hiking & Chocolates - this Sunday Nov 13!!,11:15 AM,,JOCers,"1,751",The Jewish Outdoors Club
24,Outdoors & Adventure,Mar 18 2014 ,5,New York,"1,242",NY,25,Fri Nov 11,1 going,"After Work Party at Big Deal Casino Academy: Learn, Play, Socialize, Eat & Drink",07:00 PM,,NY Adventurers,"5,510","New York Hikes, Happy Hours & Outdoor Adventures: 20's-40's"
25,Outdoors & Adventure,Apr 21 2014 ,27,New York,499,NY,44,Sun Nov 13,2 going,UrbEx Hike Through The Abandoned Bergen Arches Of The Erie Railroad,01:00 PM,,Non-Boring Members,"2,448",New York Adventure Club
26,Outdoors & Adventure,Mar 6 2014 ,10,New York,43,NY,1,Tue Nov 22,27 going,"IMC Club: Manhattan Chapter Meeting, November 2016",07:00 PM,,Aviators,395,Manhattan Flight Club
27,Outdoors & Adventure,Oct 21 2008 ,10,New York,266,NY,2,Thu Nov 17,5 going,Mappy Hour,07:00 PM,,Young Members,"1,242",Appalachian Mountain Club - Young Members
28,Outdoors & Adventure,Jul 6 2006 ,5,New York,"1,350",NY,12,Sat Nov 12,22 going,Meetup Anniversary Party @ Empire Rooftop (Heated & Enclosed),08:00 PM,,Adventurerists,"7,403","Fun Events in NYC (7,000+ members)"
29,Outdoors & Adventure,Mar 23 2011 ,96,New York,554,NY,21,,,,,,Adventure Lovers,"4,107","Northeast Hiking, Climbing and Exploring"
30,Outdoors & Adventure,Sep 23 2011 ,10,Brooklyn,158,NY,,,,,,,Brothers and Sisters,161,The Legion of Osiris
31,Outdoors & Adventure,Jul 25 2016 ,,New York,37,NY,7,Fri Nov 11,3 going,?é≤Casino Night!?é≤,07:00 PM,,Members,603,"International Singles - 20's, 30's, 40's, 50's"
32,Outdoors & Adventure,Nov 13 2005 ,132,New York,843,NY,3,,,,,,Snowboarders,"2,370",New York Snowboarding Group
33,Outdoors & Adventure,Jun 1 2008 ,44,New York,228,NY,,,,,,,Scuba Divers or Sea Gypsies,"1,139",NYC Sea Gypsies - New York City's Dive Club
34,Outdoors & Adventure,Nov 22 2009 ,1,New York,47,NY,6,Wed Jan 11,14 going,Dubai and Abu Dhabi *Full*,07:00 PM,,Travel Chicks!,"1,432",Travel Chicks NYC
35,Outdoors & Adventure,Feb 18 2012 ,24,New York,211,NY,7,Sat Nov 12,5 going,"2016 Warren Miller: Here, There and Everywhere (ski movie)",09:00 PM,,Adventurologists,"1,284",Beyond Adventure
36,Outdoors & Adventure,Dec 17 2012 ,9,Hoboken,235,NJ,1,Fri Nov 11,25 going,End of Season Wrap-Up Party and Awards,07:00 PM,,Paddlers,506,Hoboken Cove Community Boathouse
37,Outdoors & Adventure,May 18 2015 ,4,New York,26,NY,,,,,,,Outdoor Afros,835,Outdoor Afro NY-NJ
38,Outdoors & Adventure,Jan 2 2009 ,43,New York,98,NY,4,Sat Nov 12,9 going,Here There Everywhere - Warren Miller ski movie,08:30 PM,,Skiers,"2,204",The Ski & Snowboard Club of New York
39,Outdoors & Adventure,Apr 5 2013 ,6,Brooklyn,51,NY,,,,,,,Brooklyn Bird Walkers,420,Brooklyn Bridge Park Bird Walks
40,Outdoors & Adventure,Mar 11 2012 ,39,New York,251,NY,1,Sun Nov 13,11 going,Hike and visit an Animal Sanctuary + BBQ Vegan lunch,10:00 AM,,Free Spirits,813,Free Spirit Outdoors
41,Outdoors & Adventure,Feb 8 2013 ,5,Brooklyn,78,NY,2,Tue Nov 15,18 going,Pre-Killington Ski/Snowboard Trip Happy Hour & Meet and Greet,06:00 PM,,members,437,Brooklyn Snowboard Meetup
42,Outdoors & Adventure,Jul 14 2013 ,1,New York,37,NY,3,Wed Jul 5,24 going,5th Annual European Getaway: Greece + Moscow,07:00 PM,,African American Travelers,982,African American Travelers of NY
43,Outdoors & Adventure,Aug 22 2013 ,9,New York,136,NY,6,,,,,,East Coast Travelers,"1,603",East Coast Travelers of the World
44,Outdoors & Adventure,Sep 17 2015 ,4,New York,44,NY,1,Sat Dec 10,5 going,NY > VT | 1 day trip | 3 seats open | $ split gas,04:30 AM,,Carpoolers,259,SKI & SNOW CARPOOLS - NY & NJ
45,Outdoors & Adventure,Dec 27 2007 ,7,New York,456,NY,11,,,,,,Seasonalites!,"2,424",Group for ALL Seasons! What to do in NYC in Fall/Winter
46,Outdoors & Adventure,Sep 15 2011 ,9,New York,147,NY,8,,,,,,fly anglers,270,NYC Fly Meetup
47,Outdoors & Adventure,Aug 25 2015 ,2,New York,39,NY,2,Wed Nov 16,9 going,November Happy Hour,06:00 PM,,Travel lovers,"2,303",NYCers Who Love to Travel for 20s & 30s
48,Outdoors & Adventure,Oct 28 2016 ,,New York,,NY,1,Sun Nov 13,16 going,"Urban Hike- Midtown, East, West, then Back!",12:30 PM,,Members,80,New York Urban Hike Challenge
49,Outdoors & Adventure,Oct 19 2016 ,,New York,,NY,1,Sat Jan 7,13 going,Winter 3500: Balsam & Panther,08:30 AM,,Members,99,Peak Co. Mountaineering
50,Outdoors & Adventure,Dec 18 2012 ,5,New York,247,NY,10,Fri Dec 16,16 going,Pre-Christmas Weekend Ski Trip @ Killington (2 Nights 2 Lifts + Bus) $249,04:00 PM,,Adventurers,"1,719",NY Outdoor Adventurers
51,Outdoors & Adventure,Mar 17 2016 ,,New York,5,NY,7,,,,,,Travelers 50,474,"50 States, 50 Weekends+Travel Meetup"
52,Outdoors & Adventure,Jan 9 2015 ,10,New York,51,NY,3,Sat Nov 19,4 going,"Harriman Backpack: Stockbridge Shelter Caves (beginner, 3m)",10:00 AM,,Trail Junkies,357,The Hammock Backpacking Group
53,Outdoors & Adventure,Sep 19 2015 ,1,New York,14,NY,,,,,,,Hikers,"1,191",New York Hiking Meetup
54,Outdoors & Adventure,Jan 31 2014 ,11,New York,98,NY,2,Mon Nov 21,2 going,Hudson River Sloop Clearwater House Party - MUST BE 21 TO ATTEND,06:30 PM,,Outdoor Enthusiasts,"1,084",Tent & Trails Outdoor Education Workshops
55,Outdoors & Adventure,Oct 22 2015 ,5,New York,54,NY,,,,,,,BpOutdoors,972,! Black People Who Love Outdoors and Adventure NY
56,Outdoors & Adventure,Aug 10 2008 ,46,New York,95,NY,1,Sun Nov 20,5 going,Final Endurance Race of 2016 (Raceway Park road course),11:00 AM,,Karting Drivers,970,NYC Karting Meetup
57,Outdoors & Adventure,Sep 18 2014 ,4,New York,137,NY,10,,,,,,Thrill Seeker,"1,604",New York Hikers and Backpackers Club
58,Outdoors & Adventure,Dec 30 2014 ,5,New York,71,NY,1,Sat Nov 12,3 going,Trail run on the Febapple trail course  + lunch,09:00 AM,,Hikers and Runners,"2,242",Hiking and Trail Running trips from NYC  (www.RawTrail.com)
59,Outdoors & Adventure,Feb 6 2016 ,,West New York,45,NJ,1,Sat Nov 19,8 going,Hiking!,10:00 AM,,Friends,126,West NY | Hoboken | Social Group 20s & 30s
60,Outdoors & Adventure,May 16 2016 ,1,New York,6,NY,11,,,,,,{REAL} Travel Chicks!,126,{REAL} Travel Chicks ROCK!
61,Outdoors & Adventure,Oct 25 2009 ,4,Hoboken,565,NJ,15,Tue Nov 15,3 going,Hoboken Ski Club Weekly Meetup,08:30 PM,,Members,805,Hoboken Ski Club
62,Outdoors & Adventure,Dec 21 2010 ,59,New York,674,NY,1,Sun Dec 11,3 going,BUS Dumb Ass Trail Mix-up,09:15 AM,,Runners,"2,330",New York Trail & Ultra Running
63,Outdoors & Adventure,Apr 11 2011 ,8,Long Island City,210,NY,6,Sun Nov 13,5 going,"Welcome Back, Vedge! Climbing and Indian at the Cliffs in LIC",02:00 PM,,veggie climbers,401,Vedge: Northeast Vegetarian Rock Climbers and Adventurers
64,Outdoors & Adventure,Jul 26 2011 ,16,New York,145,NY,2,Wed Nov 16,3 going,Adventure Film Festival NYC,07:00 PM,,Backwood Adventurers,"1,457",NYC Backwoods Adventurers
65,Outdoors & Adventure,Sep 28 2011 ,14,New York,327,NY,,,,,,,Riders,189,NYC Triumph and Brit Bike Riders
66,Outdoors & Adventure,Oct 22 2016 ,,New York,,NY,4,Thu Jun 15,5 going,Tour of Italy - Rome - Florene - Venice,09:15 AM,,Members,185,California Travel and Adventure Club - New York
67,Outdoors & Adventure,Jan 9 2011 ,21,New York,88,NY,1,Coming soon!,18 going,Hawaiian Party,,,Hikers,722,"Hardcore Hikers of New York, Unite!"
68,Outdoors & Adventure,Mar 16 2013 ,27,New York,125,NY,,,,,,,NYC Camino Pilgrims,279,NYC Pilgrims on the Camino de Santiago
69,Outdoors & Adventure,Feb 14 2015 ,,New York,22,NY,3,Fri Apr 7,7 going,Everest Base Camp Trek,10:00 AM,,Adventurers,"2,216",New York Outdoor and International Adventure Club
70,Outdoors & Adventure,Aug 4 2015 ,1,New York,13,NY,2,Wed Nov 16,6 going,BVI Trip Warm-Up party,06:30 PM,,members,211,Caribbean Bareboat Sailing NYC
71,Outdoors & Adventure,Jan 30 2016 ,4,New York,24,NY,1,Sat Nov 19,4 going,Ride Till It's Dark (Or We Need Beer!!),11:00 AM,,Bicyclists,216,A Long Bicycle Ride with a View
72,Outdoors & Adventure,Oct 29 2016 ,,Brooklyn,2,NY,2,Sat Nov 19,2 going,Group Trips to Haiti,03:00 PM,,Members,30,Haiti Nou La
73,Outdoors & Adventure,Aug 1 2007 ,7,New York,184,NY,5,,,,,,Yoga Adventurers,"3,238",Outdoor Yoga Adventurers
74,Outdoors & Adventure,Apr 4 2015 ,4,New York,23,NY,,,,,,,Orienteers,612,New York City Orienteering
75,Outdoors & Adventure,Apr 6 2015 ,,New York,8,NY,,,,,,,Networkers,975,Teach and Learn Networking: NYC Chapter
76,Outdoors & Adventure,May 2 2015 ,,New York,4,NY,,,,,,,Explorers,473,City Explorers
77,Outdoors & Adventure,May 11 2016 ,8,New York,44,NY,1,Sun Dec 18,3 going,The Nutcracker New York City Ballet,04:30 PM,,Members,785,Hudson Valley Kayaks
78,Outdoors & Adventure,Jul 18 2014 ,1,New York,23,NY,3,Fri Dec 16,16 going,Pre-Christmas Weekend Ski Trip @ Killington (2 Nights 2 Lifts + Bus) $249,04:00 PM,,Surfers,434,NYC Surfing Club
79,Outdoors & Adventure,Jul 13 2008 ,22,New York,160,NY,8,Tue Nov 15,3 going,cuba.. That's right.. I said CUBA!!  ¬°Ol√©!,07:00 AM,,Cavers,"1,206",New York Caving Meetup Group
80,Outdoors & Adventure,Apr 6 2009 ,10,New York,151,NY,5,Sat Nov 12,1 going,Free Pop Up Event ! Women in Business Networking Lunch in Bayside,01:30 PM,,Travel Enthusiasts,"2,279",Coach AGIWAL : (1) Travel for Free (2) A day trip under $50.
81,Outdoors & Adventure,Jun 29 2011 ,35,New York,292,NY,1,,,,,,Members,716,Ducati Owners Club New York City
82,Outdoors & Adventure,Jul 7 2011 ,9,New York,77,NY,8,Sat Nov 19,1 going,Aquatic Voyagers Scuba Club Meeting,03:00 PM,,Scuba Divers,179,Aquatic Voyagers Scuba Club
83,Outdoors & Adventure,Jul 4 2012 ,33,New York,447,NY,9,,,,,,Cashers,"1,162","Cavers, Adventure Seekers & Hikers"
84,Outdoors & Adventure,Aug 16 2012 ,8,New York,87,NY,1,Fri Dec 16,4 going,Sailors NYC's Annual Holidays Party!,07:00 PM,,Sailors,429,Sailors NYC
85,Outdoors & Adventure,May 28 2013 ,11,New York,102,NY,,,,,,,Bromptoneers,494,#BromptonNYC
86,Outdoors & Adventure,Jan 30 2015 ,,New York,28,NY,2,Mon Jan 2,2 going,Trip To India! ,09:00 AM,,travelers,919,International Connection Travel Meetup NYC & world
87,Outdoors & Adventure,May 2 2016 ,2,New York,18,NY,,,,,,,NYCeWheels Bromptoneers,392,NYCeWheels Events
88,Outdoors & Adventure,Jun 10 2016 ,,New York,8,NY,4,Fri Mar 17,2 going,"Jazz in the Gardens 2017- Miami, FL",07:00 AM,,FLY Bellas,180,FLY Bellas Travel Group- New York
89,Outdoors & Adventure,Jul 3 2016 ,,New York,4,NY,1,Sat Nov 19,1 going,Friends-Giving in the Catskills,12:00 PM,,Members,319,Catskill Getaway Group
90,Outdoors & Adventure,Sep 19 2016 ,,New York,4,NY,,,,,,,GTFO Adventurers,251,GTFO Adventures
91,Outdoors & Adventure,Jan 14 2004 ,124,New York,919,NY,4,,,,,,Hiking and Outoors Enthusiasts,"6,682",The New York City Hiking Group
92,Outdoors & Adventure,Jan 15 2006 ,18,New York,73,NY,,,,,,,Members,368,The New York City Pilots Group - (HANGAR FLYERS)
93,Outdoors & Adventure,Jul 13 2010 ,13,New York,126,NY,3,Sun Dec 25,6 going,Loon Mountain Ski/Snow board - 2016 Christmas holiday,08:30 AM,,Outdoor Adventure Seekers,730,New Yorkers Outdoors
94,Outdoors & Adventure,Apr 3 2011 ,1,New York,123,NY,10,Sat Nov 12,1 going,Primal Playground,09:30 AM,,Outdoor Fitness Enthusiasts,"1,125",NYC Outdoor Fitness/Natural Movement
95,Outdoors & Adventure,Nov 24 2013 ,1,New York,12,NY,,,,,,,Nomads,141,She's a Nomad
96,Outdoors & Adventure,Jun 13 2015 ,14,New York,27,NY,1,Fri Jun 16,5 going,Adventure in the Amazon Rainforest,07:00 PM,,Adventurers,"1,336",NYC Outdoor Adventure Workouts
97,Outdoors & Adventure,Mar 8 2016 ,,Brooklyn,2,NY,2,Mon Mar 27,3 going,Cruise to Southern Caribbean,07:00 PM,,Explorers,105,Brooklyn Cruise and Travel Meetup
98,Outdoors & Adventure,Apr 14 2016 ,,New York,2,NY,6,Sun Dec 18,1 going,Thailand Christmas & New Year's Trip,07:00 PM,,Travelers,245,New York International Travel Group
99,Outdoors & Adventure,Sep 22 2016 ,,Hoboken,2,NJ,,,,,,,Explorers,243,Travel Minded Professional Networking
100,Tech,Nov 25 2015 ,,Woodside,,NY,,,,,,,Innovators,59,Kids Technology Lab
101,Tech,Mar 17 2003 ,108,New York,194,NY,3,Thu Dec 1,165 going,Really Big Data in Real-Time: IoT Machine Data Processing in CrateDB & Grafana,06:30 PM,,Data Enthusiasts,"14,884","SQL NYC, The NoSQL & NewSQL Database Meetup"
102,Tech,Jun 6 2011 ,22,New York,34,NY,1,Thu Nov 17,398 going,Hadley Wickham: Nine visualisation challenges,06:30 PM,,Members,"5,018",Data Visualization New York
103,Tech,Sep 25 2004 ,501,New York,227,NY,10,Tue Dec 13,33 going,December 2016 NY Tech Meetup and Afterparty,07:00 PM,,NYC Technologists,"51,252",NY Tech Meetup
104,Tech,Aug 31 2009 ,115,New York,126,NY,3,Wed Dec 7,123 going,The Product Group December 2016 (SPECIAL DATE),07:00 PM,,Product People,"12,385",The Product Group
105,Tech,Apr 21 2012 ,40,New York,43,NY,1,Tue Nov 15,265 going,"AngularNYC Meetup Nov 2016: Large scale apps, ng2 synthesis with RxJS",06:00 PM,,Anglars,"5,414",Angular NYC
106,Tech,Dec 6 2013 ,12,New York,24,NY,1,Wed Nov 16,180 going,Serverless on AWS,06:30 PM,,AWS Enthusiasts,"3,100",AWS New York | Official Meetup
107,Tech,Aug 7 2014 ,6,New York,21,NY,1,Tue Dec 13,95 going,Design Driven NYC #22 (A FirstMark Event),05:45 PM,,Designers,"7,007",Design Driven NYC (a FirstMark Event)
108,Tech,May 6 2014 ,4,New York,86,NY,6,Tue Nov 15,9 going,Flatiron Students Present,06:30 PM,,Flatirons,"2,222",Flatiron School Presents
109,Tech,Oct 12 2016 ,,New York,2,NY,1,Thu Nov 17,46 going,Artificial Intelligence - Overview and Recent Developments,06:30 PM,,Neurons,693,Artificial Intelligence NYC
110,Tech,Mar 12 2014 ,54,New York,162,NY,4,Wed Nov 16,160 going,Algorithms @ Betterment,06:30 PM,71,Badass Female Coders,"7,617",Women Who Code NYC
111,Tech,Oct 15 2013 ,20,New York,39,NY,7,Mon Nov 14,240 going,@BuzzFeed: Hacking Objective-C & The Hidden Challenges of Analytics,07:00 PM,,Members,"1,431",iOSoho - New York City's largest iOS Engineer Meetup
112,Tech,Jan 27 2012 ,32,New York,56,NY,1,Thu Dec 8,245 going,Tech in Motion?ôs End of Year Celebration,06:00 PM,,Technologists,"8,731",Tech in Motion: New York City
113,Tech,Jul 3 2014 ,2,New York,44,NY,1,Wed Nov 30,75 going,Analyzing IBM Watson IoT Events Using Spark & Jupyter Notebooks,06:30 PM,3,Data Scientists,"4,352",Metis: New York Data Science
114,Tech,Jul 8 2014 ,3,New York,204,NY,20,Mon Nov 14,12 going,Introduction to Geospatial Analysis,06:30 PM,,Members,"2,303","Byte Academy: Python, FinTech, Blockchain,Data Sci,  MedTech"
115,Tech,Jun 29 2015 ,2,New York,13,NY,1,Mon Nov 14,76 going,Numba - Accelerating your Python is Surprisingly Simple!,06:30 PM,9,Data Scientists,"2,279",New York Data Science
116,Tech,May 10 2013 ,31,New York,32,NY,1,Wed Nov 16,170 going,Hardwired NYC #33 (A FirstMark Event),05:45 PM,,Members,"4,956",Hardwired NYC (a FirstMark Event)
117,Tech,Jul 31 2014 ,10,New York,20,NY,1,Mon Nov 14,197 going,HackerNest NYC November Tech Social,08:00 PM,39,technologists,"6,220",HackerNest NYC Tech Socials
118,Tech,Jul 30 2013 ,29,New York,55,NY,2,Tue Nov 29,29 going,Bootstrapping Patent Protection for your Idea Presented by KISS Patent,08:30 AM,,TechBreakfasters,"4,067",NYC TechBreakfast
119,Tech,Jun 25 2012 ,30,New York,37,NY,,,,,,,Hardwarians,"3,941",NY Hardware Start-up
120,Tech,Jan 20 2015 ,22,New York,283,NY,37,Sat Nov 12,53 going,Beyond Python's Comfort Zone: Asynchronous Python in 2016-2017,02:00 PM,,Python Enthusiasts and Learners,"3,666",Learn Python NYC
121,Tech,Mar 2 2012 ,1,New York,18,NY,7,Tue Nov 15,219 going,Product Tank NYC November,06:30 PM,,Digital Product Managers,"1,729",ProductTank NYC
122,Tech,Jun 5 2014 ,13,Brooklyn,21,NY,1,Tue Nov 15,134 going,#1 Web Scraping and Parsing HTML in Swift  #2 i18n & l10n: best practices,07:00 PM,,Developers,"1,664",Brooklyn Swift Developers
123,Tech,Dec 16 2013 ,24,New York,42,NY,6,Thu Nov 17,158 going,November (NYVR Meetup),06:00 PM,,Avatars,"4,086",(NYVR) Virtual Reality NYC
124,Tech,Mar 27 2014 ,3,New York,47,NY,1,Wed Nov 30,1 going,She Geeks Out in NYC! Sponsored by DigitalOcean,06:00 PM,25,Sharks,"3,428",DigitalOcean NYC
125,Tech,Oct 11 2014 ,5,New York,36,NY,1,Wed Dec 14,29 going,NYC Ethereum Enthusiasts Save-the-Date,06:30 PM,,Ethereum Enthusiasts,"1,704",NYC Ethereum
126,Tech,Aug 17 2011 ,29,New York,71,NY,1,Tue Nov 15,211 going,November meetup at Oscar Health,06:30 PM,,Members,"3,698",New York Android Developers
127,Tech,Mar 31 2016 ,10,New York,18,NY,18,Fri Nov 18,133 going,[DevFest NYC Pre-Event] Google Apps Workshop & Firebase,05:00 PM,136,Technologists,"2,253",Google Developer Group (GDG) NYC
128,Tech,Feb 12 2014 ,7,New York,156,NY,4,Tue Nov 15,56 going,How to Interview a Tech Company While Job Searching,06:30 PM,,Members,"3,486",Dev Bootcamp NYC Events and Workshops
129,Tech,Aug 6 2013 ,4,New York,28,NY,1,Thu Nov 17,162 going,Docker Global Mentor Week:: Learn / Level-up your Docker skills,06:00 PM,228,Dockers,"3,001",Docker New York City
130,Tech,Sep 2 2009 ,65,New York,111,NY,,,,,,,Members,"9,180",NYC Machine Learning
131,Tech,Apr 17 2014 ,32,New York,31,NY,2,Wed Nov 16,206 going,Crowdfunding & Developing Your IoT Product,06:00 PM,16,IoTers,"4,838",IoT Central | NYC   (NYC IoT: Internet of Things Meetup)
132,Tech,Dec 10 2014 ,8,New York,17,NY,3,Fri Nov 11,9 going,Full Scholarship to Product School New York [Apply Online],08:00 PM,,Members,"1,499",Product Thinking NYC
133,Tech,Jan 7 2013 ,24,New York,44,NY,1,,,,,,Security Professionals,"2,223",NY Information Security Meetup @NYInfoSecurity
134,Tech,Jan 18 2011 ,56,New York,105,NY,11,Tue Dec 13,32 going,Talks,07:00 PM,,Rubyists,"4,722",NYC.rb
135,Tech,May 9 2013 ,13,New York,38,NY,4,Thu Nov 17,39 going,IOT NY #38: IoT NY #31: Office hours with Brinc (Hong Kong IoT Accelerator),10:00 AM,,IoT'ers,"4,358",Internet of Things (IoT) NY
136,Tech,Aug 17 2012 ,20,New York,101,NY,3,Mon Nov 14,37 going,Transitioning to Coding,06:30 PM,,Pythonistas,"2,148",NYC PyLadies
137,Tech,Mar 12 2009 ,78,New York,78,NY,,,,,,,Data hackers,"7,520",New York Open Statistical Programming Meetup
138,Tech,Jan 30 2012 ,29,New York,56,NY,1,Mon Nov 14,162 going,"Mapping Red, White and Blue: Election Mapping Uncensored.",06:30 PM,,Mappers,"2,289",Geo NYC
139,Tech,Dec 17 2014 ,5,New York,21,NY,1,Mon Nov 14,160 going,Data Science Session with DataKind @Kaplan Test Prep,06:30 PM,,Data Science Padawans,"2,574",New York Data Science Study Group
140,Tech,Feb 26 2015 ,3,New York,16,NY,12,Thu Nov 24,80 going,Monthly React Javascript Meetup,07:00 PM,,People,"2,545",NYC Javascript React Group
141,Tech,May 23 2013 ,46,New York,200,NY,6,Tue Nov 15,57 going,"Project Showcase: Building ""Shiny"" Web Applications with R",06:30 PM,,Data Scientists and Open Data-er,"4,261",NYC Open Data
142,Tech,Oct 16 2011 ,64,New York,156,NY,4,Wed Nov 16,103 going,Introduction to NixOS,06:30 PM,,Members,"5,444",NYLUG - New York Linux Users Group
143,Tech,Oct 30 2015 ,,New York,7,NY,,,,,,16,React Native Developers,919,React Native NYC
144,Tech,Mar 17 2016 ,2,New York,4,NY,2,Tue Dec 6,324 going,"Blockchain Use Cases, Regulations, Strategy: Finance, IoT",05:45 PM,33,Members,"1,152",Hyperledger NYC
145,Tech,Aug 31 2011 ,22,New York,42,NY,1,Tue Nov 29,52 going,Electrical Engineering for Programmers,06:00 PM,,Mobile Devs,"1,280",Microsoft Mobile App Devs of New York City (#MMADNYC)
146,Tech,Sep 4 2015 ,,New York,63,NY,3,Wed Nov 16,17 going, ?úDESIGN DISRUPTORS?? Product School Exclusive Documentary Screening,06:30 PM,,Aspiring Product Managers,"1,792",Product Management New York
147,Tech,Jan 12 2016 ,5,New York,6,NY,1,Tue Nov 22,31 going,NYAI#7: Using Data Science to Operationalize Machine Learning (Matthew Russell),06:30 PM,,Members,"1,559",New York Artificial Intelligence
148,Tech,Aug 6 2016 ,,New York,1,NY,,,,,,,Members,500,Amazon Engineering NYC Tech
149,Tech,Sep 24 2012 ,16,New York,81,NY,5,Wed Nov 23,72 going,F-Algebras _and_ Backpack to Work,07:00 PM,,Haskellers,"1,624",New York Haskell Users Group
150,Tech,May 17 2016 ,1,New York,4,NY,,,,,,,Web Designers & Developers,436,Smashing Magazine
