"","X","Address","Cuisine","DiningStyle","Restaurant","lon","lat"
"76",75,"81 University Place New York, NY 10003","Greek","Casual Dining","Village Taverna Greek Grill",-73.9929302,40.7333834
"77",76,"251 West 50th Street New York, NY 10012","Mexican","Casual Dining","Toloache-Midtown",-73.9855741,40.7623091
"78",77,"132 9th Avenue New York, NY 10011","Bar","Casual Dining","Bathtub Gin",-74.0031842,40.743566
"79",78,"13 Barrow Street New York, NY 10014","American","Fine Dining","Annisa",-74.0023973,40.732497
"80",79,"1584 Palisades Center Dr. Space B112 West Nyack, NY 10994","Brazilian Steakhouse","Casual Elegant","Texas de Brazil - West Nyack",-73.9556981,41.0992429
"81",80,"15 East 15th Street New York, NY 10003","Sushi","Casual Elegant","15 East Restaurant",-73.9921178,40.7364457
"82",81,"206 W 118th St New York, NY 10026","American","Casual Elegant","Minton's",-73.9522994,40.8046775
"83",82,"128 East 7th Street New York, NY 10009","Greek","Casual Elegant","Pylos",-73.984146,40.7260759
"84",83,"967 Lexington Avenue New York, NY 10021","Italian","Casual Elegant","Bella Blu",-73.9628225,40.7692185
"85",84,"21 Ninth Avenue New York, NY 10014","Seafood","Casual Elegant","Catch New York",-74.0062068,40.7401801
"86",85,"259 West 4th Street New York, NY 10014","Italian","Casual Elegant","Sant Ambroeus - West Village",-74.0031344,40.7354027
"87",86,"101 Liberty St Floor 3 New York, NY 10006","Italian","Casual Elegant","Osteria della Pace - Eataly NYC Downtown",-74.011714,40.709716
"88",87,"25 Hudson St New York, NY 10013","Japanese","Casual Dining","NINJA NEW YORK",-74.009407,40.7168467
"89",88,"5 E 19th St G Floor New York, NY 10003-1107","Thai","Casual Dining","Thai Villa",-73.9906637,40.7390081
"90",89,"120 West 44th Street New York, NY 10036","French","Casual Dining","Saju Bistro",-73.9843318,40.7563739
"91",90,"70 West 3rd Street New York, NY 10012","Caribbean","Casual Dining","Negril Village",-73.9983558,40.729352
"92",91,"64 W. 10th St. New York, NY 10011","Mediterranean","Casual Elegant","Alta",-73.9982001,40.7344108
"93",92,"568 Amsterdam Avenue New York, NY 10024","Italian","Casual Elegant","Pizzeria Sirenetta",-73.9745763,40.7888077
"94",93,"355 West 16th Street New York, NY 10011","Japanese","Casual Elegant","Megu",-74.0034554,40.742291
"95",94,"88 Ninth Avenue New York, NY 10011","Italian","Casual Elegant","La Sirena at the Maritime Hotel",-74.00382,40.7424579
"96",95,"355 West 16th street New York, NY 10011","Contemporary Mexican","Casual Elegant","Bodega Negra",-74.0034554,40.742291
"97",96,"26 Little West 12th street New York, NY 10014","Contemporary American","Casual Dining","STK  NYC  Rooftop",-74.0071747,40.7398399
"98",97,"211 Waverly Place New York, NY 10014","Italian","Casual Dining","Morandi",-74.0014282,40.735317
"99",98,"142 West 65th St. New York, NY 10023","Italian","Fine Dining","Lincoln Ristorante",-73.9837555,40.7733125
"100",99,"60 Yorkville Ave Toronto, ON M4W 0A4","French","Casual Dining","Cafe Boulud",-79.3899138,43.6718611
"101",100,"97 Sullivan St New York, NY 10012","American","Casual Elegant","Blue Ribbon Brasserie",-74.0030091,40.7254507
"102",101,"141 East 48th Street New York, NY 10017","Greek","Casual Elegant","Avra Estiatorio",-73.9725187,40.7551174
"103",102,"420 East 59th St, New York, NY 10022","Italian","Casual Dining","Morso - NYC",-73.960915,40.7589123
"104",103,"1486 Second Avenue New York, NY 10075","Italian","Casual Dining","Uva",-73.9556049,40.7721589
"105",104,"232 8th Ave New York, NY 10011","Contemporary American","Casual Dining","Momofuku Nishi",-73.9988079,40.7443485
"106",105,"56 Irving Place New York, NY 10003","Afternoon Tea","Casual Elegant","Lady Mendls",-73.9870191,40.7359319
"107",106,"1460 Second Ave. New York, NY 10021","Spanish","Casual Elegant","Boqueria UES",-73.9560522,40.7715065
"108",107,"28 Cornelia Street New York, NY 10014","Italian","Home Style","Palma",-74.0023327,40.7311708
"109",108,"285 West 12th Street New York, NY 10014","Contemporary American","Casual Elegant","The Beatrice Inn",-74.0041082,40.7376817
"110",109,"848 Washington Street The Standard Hotel New York, NY 10014","American","Casual Dining","The Standard Grill",-74.0094471,40.7366138
"111",110,"61 Columbus Avenue New York, NY 10023","Mexican","Casual Dining","Rosa Mexicano by Lincoln Center",-73.9833769,40.7711376
"112",111,"181 Grand Street New York, NY 10013","Breakfast","Casual Dining","Baz Bagel & Restaurant",-73.9977569,40.719266
"113",112,"9 East First Street New York, NY 10003","Steakhouse","Casual Elegant","Bowery Meat Company",-73.9918409,40.7245665
"114",113,"34 Cooper Square New York, NY 10003","Japanese","Casual Dining","Gyu-Kaku - East Village",-73.9914601,40.728255
"115",114,"1900 Broadway New York, NY 10023","French","Casual Dining","Bar Boulud",-73.981633,40.7715384
"116",115,"243 E. 58th New York, NY 10022","Italian","Fine Dining","Felidia",-73.9651112,40.7603679
"117",116,"174 East 82nd Street New York, NY 10028","Seafood","Casual Dining","Flex Mussels - 82nd Street",-73.9565051,40.7763039
"118",117,"435 Hudson Street New York, NY 10014","Japanese","Casual Elegant","EN Japanese Brasserie",-74.0072168,40.7304988
"119",118,"34 East 52nd st New York, NY 10022","Italian","Casual Elegant","Fresco by Scotto",-73.9745136,40.7588164
"120",119,"47 W 56th St New York, NY 10019","Japanese","Casual Dining","Benihana - New York",-73.9766612,40.7633643
"121",120,"2 Columbus Circle, 9th Floor Museum of Arts and Design New York, NY 10019","Contemporary American","Fine Dining","Robert",-73.9918181,40.7686973
"122",121,"30 West 26th Street New York, NY 10010","Barbecue","Casual Dining","Hill Country Barbecue Market  Flatiron",-73.9904452,40.7442135
"123",122,"164 W. 75th St. New York, NY 10024","Italian","Casual Elegant","Cesca",-73.9798894,40.7802763
"124",123,"85 West Broadway New York, NY 10007","Contemporary American","Casual Elegant","Little Park",-74.0091396,40.715201
"125",124,"1341 Third Avenue at 77th Street New York, NY 10075","Seafood","Casual Elegant","Atlantic Grill, Eastside",-73.9583305,40.7724587
"126",125,"Pier 81 at West 41st Street New York, NY 10036","Fish","Casual Elegant","Fish Bar at North River Landing",-73.9937124,40.7581368
"127",126,"402 West 43rd Street New York, NY 10036","Italian","Casual Elegant","Esca",-73.9927457,40.7592097
"128",127,"57 West 57th Street New York, NY 10019","Steakhouse","Fine Dining","Quality Italian",-73.9767201,40.7645536
"129",128,"17 Orchard Street New York, NY 10002","British","Casual Elegant","The Fat Radish",-73.9918889,40.7152673
"130",129,"20 West 72nd Street New York, NY 10023","Contemporary American","Casual Dining","The Ribbon - NYC",-73.9774548,40.7765601
"131",130,"362 W 23rd St New York, NY 10011","Sushi","Casual Dining","Ushiwakamaru",-74.001017,40.7461343
"132",131,"252 Broome St New York, NY 10002","Pan-Asian","Casual Dining","The Lucky Bee",-73.989806,40.7181939
"133",132,"1 Fifth Avenue New York, NY 10003","Italian","Casual Dining","Otto Enoteca Pizzeria",-73.9961919,40.731903
"134",133,"12 East 12th Street New York, NY 10003","Contemporary American","Fine Dining","Gotham Bar and Grill",-73.9938232,40.7340887
"135",134,"108 Lexington Avenue New York, NY 10016","Indian","Casual Dining","Dhaba",-73.9829084,40.7424075
"136",135,"50 Rockefeller Plaza New York, NY 10020","American","Casual Dining","Del Frisco's Grille - NYC",-73.9782143,40.7595931
"137",136,"52 East 41st Street New York, NY 10017","American","Casual Elegant","Benjamin Steakhouse",-73.9790474,40.7517244
"138",137,"135 West Broadway New York, NY 10002","American","Casual Dining","Tiny's & the Bar Upstairs",-74.0079901,40.7166983
"139",138,"9 E. 18th St. New York, NY 10003","Mexican","Casual Elegant","Rosa Mexicano - Union Square",-73.9907841,40.7383202
"140",139,"32 East 10th Street New York, NY 10003","Italian","Fine Dining","Il Cantinori",-73.9932049,40.7321769
"141",140,"174 1st Ave New York, NY 10009","Tapas / Small Plates","Casual Dining","Nai Tapas",-73.9839023,40.7290286
"142",141,"948 First Avenue New York, NY 10022","French","Casual Elegant","Jubilee 1st Avenue",-73.9648174,40.755194
"143",142,"2315 Broadway New York, NY 10024","American","Casual Dining","5 Napkin Burger - Upper West Side",-73.9781294,40.7870225
"144",143,"781 5th Avenue New York, NY 10022","Italian","Fine Dining","Harry Cipriani",-73.9725243,40.7643133
